PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Diakite, AA; Zlatanova, S				Diakite, Abdoulaye A.; Zlatanova, Sisi			Automatic geo-referencing of BIM in GIS environments using building footprints	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS																	Zlatanova, Sisi/P-5503-2014	Zlatanova, Sisi/0000-0002-8766-0487												0198-9715	1873-7587				MAR	2020	80								101453	10.1016/j.compenvurbsys.2019.101453								WOS:000515209500013						
J	Kuster, C; Hippolyte, JL; Rezgui, Y				Kuster, Corentin; Hippolyte, Jean-Laurent; Rezgui, Yacine			The UDSA ontology: An ontology to support real time urban sustainability assessment	ADVANCES IN ENGINEERING SOFTWARE																	Rezgui, Yacine/ABE-6712-2020	Rezgui, Yacine/0000-0002-5711-8400												0965-9978	1873-5339				FEB	2020	140								102731	10.1016/j.advengsoft.2019.102731								WOS:000509780900001						
J	Xu, Z; Zhang, L; Li, H; Lin, YH; Yin, S				Xu, Zhao; Zhang, Lu; Li, Heng; Lin, Yi-Hsin; Yin, Shi			Combining IFC and 3D tiles to create 3D visualization for building information modeling	AUTOMATION IN CONSTRUCTION																	Li, Heng/B-2821-2015; Lin, Yi-Hsin/P-8262-2019	Li, Heng/0000-0002-3187-9041; Lin, Yi-Hsin/0000-0002-8119-4921												0926-5805	1872-7891				JAN	2020	109								102995	10.1016/j.autcon.2019.102995								WOS:000501617300014						
J	Hu, ZZ; Yuan, S; Benghi, C; Zhang, JP; Zhang, XY; Li, D; Kassem, M				Hu, Zhen-Zhong; Yuan, Shuang; Benghi, Claudio; Zhang, Jian-Ping; Zhang, Xiao-Yang; Li, Ding; Kassem, Mohamad			Geometric optimization of building information models in MEP projects: Algorithms and techniques for improving storage, transmission and display	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				NOV	2019	107								102941	10.1016/j.autcon.2019.102941								WOS:000494887600027						
J	Wang, MZ; Deng, YC; Won, JS; Cheng, JCP				Wang, Mingzhu; Deng, Yichuan; Won, Jongsung; Cheng, Jack C. P.			An integrated underground utility management and decision support based on BIM and GIS	AUTOMATION IN CONSTRUCTION																		Deng, Yichuan/0000-0003-1492-4370												0926-5805	1872-7891				NOV	2019	107								102931	10.1016/j.autcon.2019.102931								WOS:000494887600019						
J	Zhu, JX; Wang, XY; Chen, MC; Wu, P; Kim, MJ				Zhu, Junxiang; Wang, Xiangyu; Chen, Mengcheng; Wu, Peng; Kim, Mi Jeong			Integration of BIM and GIS: IFC geometry transformation to shapefile using enhanced open-source approach	AUTOMATION IN CONSTRUCTION																	Kim, Mi Jeong/Z-6248-2019; Wang, Xiangyu/B-6232-2013; Zhu, Junxiang/AAX-4418-2020	Kim, Mi Jeong/0000-0002-0727-2741; Zhu, Junxiang/0000-0002-9828-5168; wu, peng/0000-0002-3793-0653												0926-5805	1872-7891				OCT	2019	106								102859	10.1016/j.autcon.2019.102859								WOS:000488136600016						
J	Wang, H; Pan, Y; Luo, XC				Wang, Hao; Pan, Yisha; Luo, Xiaochun			Integration of BIM and GIS in sustainable built environment: A review and bibliometric analysis	AUTOMATION IN CONSTRUCTION																	LUO, Xiaochun/AAX-7943-2020	LUO, Xiaochun/0000-0002-2497-848X; Wang, Hao/0000-0003-1421-5953												0926-5805	1872-7891				JUL	2019	103						41	52		10.1016/j.autcon.2019.03.005								WOS:000466828500004						
J	Zhu, JX; Wang, XY; Wang, P; Wu, ZY; Kim, MJ				Zhu, Junxiang; Wang, Xiangyu; Wang, Peng; Wu, Zhiyou; Kim, Mi Jeong			Integration of BIM and GIS: Geometry from IFC to shapefile using open-source technology	AUTOMATION IN CONSTRUCTION																	Kim, Mi Jeong/Z-6248-2019; Zhu, Junxiang/AAX-4418-2020; Wang, Xiangyu/B-6232-2013	Kim, Mi Jeong/0000-0002-0727-2741; Zhu, Junxiang/0000-0002-9828-5168; Wang, Xiangyu/0000-0001-8718-6941												0926-5805	1872-7891				JUN	2019	102						105	119		10.1016/j.autcon.2019.02.014								WOS:000463309900008						
J	Krijnen, T; Beetz, J				Krijnen, Thomas; Beetz, Jakob			A SPARQL query engine for binary-formatted IFC building models	AUTOMATION IN CONSTRUCTION																	Beetz, Jakob/L-2027-2014	Beetz, Jakob/0000-0002-9975-9206												0926-5805	1872-7891				NOV	2018	95						46	63		10.1016/j.autcon.2018.07.014								WOS:000446286800023						
J	Theiler, M; Smarsly, K				Theiler, Michael; Smarsly, Kay			IFC Monitor - An IFC schema extension for modeling structural health monitoring systems	ADVANCED ENGINEERING INFORMATICS					24th EG-ICE International Workshop on Intelligent Computing in Engineering (EG-ICE)	JUL 10-12, 2017	Nottingham, ENGLAND	European Grp Intelligent Comp Engn																						1474-0346	1873-5320				AUG	2018	37						54	65		10.1016/j.aei.2018.04.011								WOS:000438320300005						
C	Nandigam, V; Lin, K; Phan, M; Borsa, A; Khalsa, SJS; Crosby, C			IEEE	Nandigam, V.; Lin, K.; Phan, M.; Borsa, A.; Khalsa, S. J. S.; Crosby, C.			RAPID ACCESS AND VISUALIZATION OF SPACEBORNE ALTIMETRY DATA FROM ICESAT AND ICESAT-2	IGARSS 2018 - 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	IEEE International Symposium on Geoscience and Remote Sensing IGARSS				38th IEEE International Geoscience and Remote Sensing Symposium (IGARSS)	JUL 22-27, 2018	Valencia, SPAIN	Inst Elect & Elect Engineers, Inst Elect & Elect Engineers Geoscience & Remote Sensing Soc, European Space Agcy									Borsa, Adrian/AAH-2158-2019	Nandigam, Viswanath/0000-0003-0928-9851; Borsa, Adrian/0000-0002-9939-1480												2153-6996		978-1-5386-7150-4				2018							5270	5273										WOS:000451039805036						
J	Ninic, J; Koch, C; Stascheit, J				Ninic, Jelena; Koch, Christian; Stascheit, Janosch			An integrated platform for design and numerical analysis of shield tunnelling processes on different levels of detail	ADVANCES IN ENGINEERING SOFTWARE																	Koch, Christian/L-5725-2015	Koch, Christian/0000-0002-6170-7611; Ninic, Jelena/0000-0002-0272-3208												0965-9978	1873-5339				OCT	2017	112						165	179		10.1016/j.advengsoft.2017.05.012								WOS:000405456900015						
J	Krijnen, T; Beetz, J				Krijnen, Thomas; Beetz, Jakob			An IFC schema extension and binary serialization format to efficiently integrate point cloud data into building models	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				AUG	2017	33						473	490		10.1016/j.aei.2017.03.008								WOS:000412612100035						
J	Afsari, K; Eastman, CM; Castro-Lacouture, D				Afsari, Kereshmeh; Eastman, Charles M.; Castro-Lacouture, Daniel			JavaScript Object Notation (JSON) data serialization for IFC schema in web-based BIM data exchange	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016													0926-5805	1872-7891				MAY	2017	77						24	51		10.1016/j.autcon.2017.01.011								WOS:000395221400003						
C	Mbogo, GK; Rakitin, SV; Visheratin, A		Klimova, A; Bilyatdinova, A; Kortelainen, J; Boukhanovsky, A		Mbogo, Gali-Ketema; Rakitin, Stepan, V; Visheratin, Alexander			High-performance meteorological data processing framework for real-time analysis and visualization	6TH INTERNATIONAL YOUNG SCIENTIST CONFERENCE ON COMPUTATIONAL SCIENCE, YSC 2017	Procedia Computer Science				6th Annual International Young Scientists Conference on HPC and Computational Science (YSC)	NOV 01-03, 2017	Kotka, FINLAND	Univ Amsterdam									Visheratin, Alexander A/G-2687-2015													1877-0509						2017	119						334	340		10.1016/j.procs.2017.11.192								WOS:000426712500039						
J	Chen, Y; Wang, F; Li, S; Xiao, BJ; Yang, F				Chen, Y.; Wang, F.; Li, S.; Xiao, B. J.; Yang, F.			The implementation of a data acquisition and service system based on HDF5	FUSION ENGINEERING AND DESIGN					10th IAEA Technical Meeting on Control, Data Acquisition, and Remote Participation for Fusion Research	APR 20-24, 2015	Inst Plasma Res, Ahmedabad, INDIA	IAEA	Inst Plasma Res								Xiao, Bingjia/A-1681-2017	Xiao, Bingjia/0000-0001-8692-2636												0920-3796	1873-7196				NOV 15	2016	112						975	978		10.1016/j.fusengdes.2016.02.047								WOS:000387836800151						
J	Shi, WS; Cao, J; Zhang, Q; Li, YHZ; Xu, LY				Shi, Weisong; Cao, Jie; Zhang, Quan; Li, Youhuizi; Xu, Lanyu			Edge Computing: Vision and Challenges	IEEE INTERNET OF THINGS JOURNAL																	Shi, Weisong/D-2233-2016	Shi, Weisong/0000-0001-5864-4675												2327-4662					OCT	2016	3	5					637	646		10.1109/JIOT.2016.2579198								WOS:000393047800001						
J	Zverovich, V; Mahdjoubi, L; Boguslawski, P; Fadli, F; Barki, H				Zverovich, V.; Mahdjoubi, L.; Boguslawski, P.; Fadli, F.; Barki, H.			Emergency Response in Complex Buildings: Automated Selection of Safest and Balanced Routes	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING																	Fadli, Fodil/AAF-4259-2020; Boguslawski, Pawel/K-7144-2012	Boguslawski, Pawel/0000-0002-1914-9214; FADLI, Fodil/0000-0002-7917-0939												1093-9687	1467-8667				AUG	2016	31	8					617	632		10.1111/mice.12197								WOS:000379916700004						
J	Deng, YC; Cheng, JCP; Anumba, C				Deng, Yichuan; Cheng, Jack C. P.; Anumba, Chimay			Mapping between BIM and 3D GIS in different levels of detail using schema mediation and instance comparison	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Deng, Yichuan/0000-0003-1492-4370												0926-5805	1872-7891				JUL	2016	67						1	21		10.1016/j.autcon.2016.03.006								WOS:000375818300001						
