PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Werbrouck, J; Pauwels, P; Bonduel, M; Beetz, J; Bekers, W				Werbrouck, Jeroen; Pauwels, Pieter; Bonduel, Mathias; Beetz, Jakob; Bekers, Willem			Scan-to-graph: Semantic enrichment of existing building geometry	AUTOMATION IN CONSTRUCTION																	Bekers, Willem/ABH-1732-2020	Bekers, Willem/0000-0001-9939-668X; Bonduel, Mathias/0000-0002-3313-924X												0926-5805	1872-7891				NOV	2020	119								103286	10.1016/j.autcon.2020.103286								WOS:000579045500009						
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Czerniawski, T; Leite, F				Czerniawski, Thomas; Leite, Fernanda			Automated digital modeling of existing buildings: A review of visual object recognition methods	AUTOMATION IN CONSTRUCTION																	Leite, Fernanda/AAT-2099-2021	Leite, Fernanda/0000-0002-7789-4474; Czerniawski, Thomas/0000-0002-7310-6522												0926-5805	1872-7891				MAY	2020	113								103131	10.1016/j.autcon.2020.103131								WOS:000526785700005						
J	Yang, L; Cheng, JCP; Wang, Q				Yang, Liu; Cheng, Jack C. P.; Wang, Qian			Semi-automated generation of parametric BIM for steel structures based on terrestrial laser scanning data	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X												0926-5805	1872-7891				APR	2020	112								103037	10.1016/j.autcon.2019.103037								WOS:000526785600030						
J	Shah, GA; Polette, A; Pernot, JP; Giannini, F; Monti, M				Shah, Ghazanfar Ali; Polette, Arnaud; Pernot, Jean-Philippe; Giannini, Franca; Monti, Marina			Simulated annealing-based fitting of CAD models to point clouds of mechanical parts' assemblies	ENGINEERING WITH COMPUTERS																	Giannini, Franca/ABA-1893-2020; monti, marina/O-2910-2015	Giannini, Franca/0000-0002-3608-6737; monti, marina/0000-0002-1627-3551; SHAH, Ghazanfar Ali/0000-0003-3740-9945												0177-0667	1435-5663				OCT	2021	37	4					2891	2909		10.1007/s00366-020-00970-8		FEB 2020						WOS:000516360200001						
J	Buonamici, F; Carfagni, M; Furferi, R; Volpe, Y; Governi, L				Buonamici, Francesco; Carfagni, Monica; Furferi, Rocco; Volpe, Yary; Governi, Lapo			Reverse engineering by CAD template fitting: study of a fast and robust template-fitting strategy	ENGINEERING WITH COMPUTERS																	Furferi, Rocco/C-6660-2008; Governi, Lapo/D-7150-2012	Furferi, Rocco/0000-0001-6771-5981; Volpe, Yary/0000-0002-5668-1912; Governi, Lapo/0000-0002-7417-3487												0177-0667	1435-5663				OCT	2021	37	4					2803	2821		10.1007/s00366-020-00966-4		FEB 2020						WOS:000516104700001						
J	Iturralde, K; Linner, T; Bock, T				Iturralde, K.; Linner, T.; Bock, T.			Matching kit interface for building refurbishment processes with 2D modules	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				FEB	2020	110								103003	10.1016/j.autcon.2019.103003								WOS:000517664900016						
J	Xue, F; Lu, WS; Chen, K; Webster, CJ				Xue, Fan; Lu, Weisheng; Chen, Ke; Webster, Christopher J.			BIM reconstruction from 3D point clouds: A semantic registration approach based on multimodal optimization and architectural design knowledge	ADVANCED ENGINEERING INFORMATICS																	Xue, Fan/H-9198-2012; CHEN, KE/A-4018-2015	Xue, Fan/0000-0003-2217-3693; CHEN, KE/0000-0003-3918-3820; Webster, Chris/0000-0002-2171-7495												1474-0346	1873-5320				OCT	2019	42								100965	10.1016/j.aei.2019.100965								WOS:000501389000040						
J	Maalek, R; Lichti, DD; Walker, R; Bhavnani, A; Ruwanpura, JY				Maalek, Reza; Lichti, Derek D.; Walker, Ryan; Bhavnani, Adam; Ruwanpura, Janaka Y.			Extraction of pipes and flanges from point clouds for automated verification of pre-fabricated modules in oil and gas refinery projects	AUTOMATION IN CONSTRUCTION																	Maalek, Reza/S-7943-2019; Maalek, Reza/AAF-8299-2021	Maalek, Reza/0000-0001-6825-2691												0926-5805	1872-7891				JUL	2019	103						150	167		10.1016/j.autcon.2019.03.013								WOS:000466828500011						
J	Xue, F; Lu, WS; Chen, K; Zetkulic, A				Xue, Fan; Lu, Weisheng; Chen, Ke; Zetkulic, Anna			u From Semantic Segmentation to Semantic Registration: Derivative-Free Optimization-Based Approach for Automatic Generation of Semantically Rich As-Built Building Information Models from 3D Point Clouds	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	CHEN, KE/A-4018-2015; Xue, Fan/H-9198-2012	CHEN, KE/0000-0003-3918-3820; Xue, Fan/0000-0003-2217-3693												0887-3801	1943-5487				JUL 1	2019	33	4							04019024	10.1061/(ASCE)CP.1943-5487.0000839								WOS:000474683400004						
J	Bloch, T; Sacks, R				Bloch, Tanya; Sacks, Rafael			Comparing machine learning and rule-based inferencing for semantic enrichment of BIM models	AUTOMATION IN CONSTRUCTION																	Sacks, Rafael/B-1431-2008	Sacks, Rafael/0000-0001-9427-5053; Bloh, Tanya/0000-0002-3588-9685												0926-5805	1872-7891				JUL	2018	91						256	272		10.1016/j.autcon.2018.03.018								WOS:000431470100022						
J	Lin, YC; Lin, CP; Hu, HT; Su, YC				Lin, Yu-Cheng; Lin, Cheng-Ping; Hu, Hsin-Tzu; Su, Yu-Chih			Developing final as-built BIM model management system for owners during project closeout: A case study	ADVANCED ENGINEERING INFORMATICS					3rd International Conference on Civil and Building Engineering Informatics (ICCBEI)	APR 19-21, 2017	Taipei, TAIWAN											Lin, Cheng-Ping/0000-0002-2100-6239												1474-0346	1873-5320				APR	2018	36						178	193		10.1016/j.aei.2018.04.001								WOS:000434745800015						
J	Buonamici, F; Carfagni, M; Furferi, R; Governi, L; Lapini, A; Volpe, Y				Buonamici, Francesco; Carfagni, Monica; Furferi, Rocco; Governi, Lapo; Lapini, Alessandro; Volpe, Yary			Reverse engineering of mechanical parts: A template-based approach	JOURNAL OF COMPUTATIONAL DESIGN AND ENGINEERING																	Lapini, Alessandro/J-6624-2017; Buonamici, Francesco/AAC-1863-2020; Governi, Lapo/D-7150-2012; Furferi, Rocco/C-6660-2008	Lapini, Alessandro/0000-0002-7711-7229; Buonamici, Francesco/0000-0001-5186-9724; Governi, Lapo/0000-0002-7417-3487; Furferi, Rocco/0000-0001-6771-5981													2288-5048				APR	2018	5	2					145	159		10.1016/j.jcde.2017.11.009								WOS:000429831100001						
J	Barazzetti, L				Barazzetti, Luigi			Parametric as-built model generation of complex shapes from point clouds	ADVANCED ENGINEERING INFORMATICS																		BARAZZETTI, LUIGI/0000-0002-7859-8677												1474-0346	1873-5320				AUG	2016	30	3					298	311		10.1016/j.aei.2016.03.005								WOS:000382793700004						
J	Dimitrov, A; Gu, RQ; Golparvar-Fard, M				Dimitrov, Andrey; Gu, Rongqi; Golparvar-Fard, Mani			Non-Uniform B-Spline Surface Fitting from Unordered 3D Point Clouds for As-Built Modeling	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING																														1093-9687	1467-8667				JUL	2016	31	7					483	498		10.1111/mice.12192								WOS:000379916100001						
J	Barazzetti, L; Banfi, F; Brumana, R; Previtali, M				Barazzetti, L.; Banfi, F.; Brumana, R.; Previtali, M.			Creation of Parametric BIM Objects from Point Clouds Using Nurbs	PHOTOGRAMMETRIC RECORD																		banfi, fabrizio/0000-0002-5193-0043; BARAZZETTI, LUIGI/0000-0002-7859-8677												0031-868X	1477-9730				DEC	2015	30	152					339	362		10.1111/phor.12122								WOS:000366838600002						
J	Gao, T; Akinci, B; Ergan, S; Garrett, J				Gao, Te; Akinci, Burcu; Ergan, Semiha; Garrett, James			An approach to combine progressively captured point clouds for BIM update	ADVANCED ENGINEERING INFORMATICS																		Garrett, James/0000-0002-8408-2407												1474-0346	1873-5320				OCT	2015	29	4					1001	1012		10.1016/j.aei.2015.08.005								WOS:000366769500022						
J	Patraucean, V; Armeni, I; Nahangi, M; Yeung, JM; Brilakis, I; Haas, C				Patraucean, Viorica; Armeni, Iro; Nahangi, Mohammad; Yeung, Jamie; Brilakis, Ioannis; Haas, Carl			State of research in automatic as-built modelling	ADVANCED ENGINEERING INFORMATICS																	Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083												1474-0346	1873-5320				APR	2015	29	2					162	171		10.1016/j.aei.2015.01.001								WOS:000355038200003						
J	Bosche, F; Ahmed, M; Turkan, Y; Haas, CT; Haas, R				Bosche, Frederic; Ahmed, Mahmoud; Turkan, Yelda; Haas, Carl T.; Haas, Ralph			The value of integrating Scan-to-BIM and Scan-vs-BIM techniques for construction monitoring using laser scanning and BIM: The case of cylindrical MEP components	AUTOMATION IN CONSTRUCTION					30th International Symposium on Automation and Robotics in Construction (ISARC)	AUG 11-15, 2013	Montreal, CANADA										Bosché, Frédéric/AAJ-9117-2020; Ahmed, Mahmoud/T-6792-2019	Bosche, Frederic/0000-0002-4064-8982; Turkan, Yelda/0000-0002-3224-5462												0926-5805	1872-7891				JAN	2015	49		B		SI		201	213		10.1016/j.autcon.2014.05.014								WOS:000347578900004						
J	Yonekura, K; Watanabe, O				Yonekura, Kazuo; Watanabe, Osamu			A Shape Parameterization Method Using Principal Component Analysis in Applications to Parametric Shape Optimization	JOURNAL OF MECHANICAL DESIGN																	Yonekura, Kazuo/AAP-8540-2020	Yonekura, Kazuo/0000-0002-1955-069X												1050-0472					DEC	2014	136	12							121401	10.1115/1.4028273								WOS:000345356000003						
