PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Hartung, R; Naraniecki, H; Klemt-Albert, K; Marx, S				Hartung, Robert; Naraniecki, Hubert; Klemt-Albert, Katharina; Marx, Steffen			Concept for BIM-based maintenance of engineering structures with monitoring systems	BAUTECHNIK																	Klemt-Albert, Katharina/AAC-7438-2021	Marx, Steffen/0000-0001-8735-1345												0932-8351	1437-0999				DEC	2020	97	12					826	835		10.1002/bate.202000095		NOV 2020						WOS:000592682300001						
J	Grabe, M; Ullerich, C; Wenner, M; Herbrand, M				Grabe, Matthias; Ullerich, Christof; Wenner, Marc; Herbrand, Martin			smartBridge Hamburg - prototypische Pilotierung eines digitalen Zwillings	BAUTECHNIK																	Herbrand, Martin/P-7611-2017	Herbrand, Martin/0000-0003-2513-2686												0932-8351	1437-0999				FEB	2020	97	2					118	125		10.1002/bate.201900108								WOS:000513955600009						
C	Wagner, C; Grothoff, J; Epple, U; Drath, R; Malakuti, S; Gruner, S; Hoffmeister, M; Zimermann, P			IEEE	Wagner, Constantin; Grothoff, Julian; Epple, Ulrich; Drath, Rainer; Malakuti, Somayeh; Gruener, Sten; Hoffmeister, Michael; Zimermann, Patrick			The role of the Industry 4.0 Asset Administration Shell and the Digital Twin during the life cycle of a plant	2017 22ND IEEE INTERNATIONAL CONFERENCE ON EMERGING TECHNOLOGIES AND FACTORY AUTOMATION (ETFA)	IEEE International Conference on Emerging Technologies and Factory Automation-ETFA				22nd IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)	SEP 12-15, 2017	Limassol, CYPRUS	IEEE, ABB, ies, Univ Cyprus, Dept Elect Comp Engn										Grothoff, Julian/0000-0001-7825-499X												1946-0740		978-1-5090-6505-9				2017																		WOS:000427812000018						
