PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Abdelrahman, MM; Zhan, SC; Miller, C; Chong, A				Abdelrahman, Mahmoud M.; Zhan, Sicheng; Miller, Clayton; Chong, Adrian			Data science for building energy efficiency: A comprehensive text-mining driven review of scientific literature	ENERGY AND BUILDINGS																	Miller, Clayton/I-8813-2019	Miller, Clayton/0000-0002-1186-4299												0378-7788	1872-6178				JUL 1	2021	242								110885	10.1016/j.enbuild.2021.110885								WOS:000656885400002						
J	Chong, A; Augenbroe, G; Yan, D				Chong, Adrian; Augenbroe, Godfried; Yan, Da			Occupancy data at different spatial resolutions: Building energy performance and model calibration	APPLIED ENERGY																	Chong, Adrian/AAY-8562-2020; Yan, Da/AAI-8879-2021	Chong, Adrian/0000-0002-9486-4728; Yan, Da/0000-0003-2399-723X												0306-2619	1872-9118				MAR 15	2021	286								116492	10.1016/j.apenergy.2021.116492								WOS:000624977800008						
J	Biljecki, F; Lim, J; Crawford, J; Moraru, D; Tauscher, H; Konde, A; Adouane, K; Lawrence, S; Janssen, P; Stouffs, R				Biljecki, Filip; Lim, Joie; Crawford, James; Moraru, Diana; Tauscher, Helga; Konde, Amol; Adouane, Kamel; Lawrence, Simon; Janssen, Patrick; Stouffs, Rudi			Extending CityGML for IFC-sourced 3D city models	AUTOMATION IN CONSTRUCTION																	Biljecki, Filip/B-9829-2013; mumcu, merve/AAP-7797-2021	Biljecki, Filip/0000-0002-6229-7749; Adouane, Kamel/0000-0003-2222-5203; Tauscher, Helga/0000-0003-0411-8770												0926-5805	1872-7891				JAN	2021	121								103440	10.1016/j.autcon.2020.103440								WOS:000596386700001						
J	Chew, MYL; Teo, EAL; Shah, KW; Kumar, V; Hussein, GF				Chew, Michael Yit Lin; Teo, Evelyn Ai Lin; Shah, Kwok Wei; Kumar, Vishal; Hussein, Ghassan Fahem			Evaluating the Roadmap of 5G Technology Implementation for Smart Building and Facilities Management in Singapore	SUSTAINABILITY																	MICHAEL, CHEW YIT LIN/ABA-4017-2020	MICHAEL, CHEW YIT LIN/0000-0001-7936-5157; Shah, Kwok Wei/0000-0002-5649-4105													2071-1050				DEC	2020	12	24							10259	10.3390/su122410259								WOS:000603264300001						
J	Jayathissa, P; Quintana, M; Abdelrahman, M; Miller, C				Jayathissa, Prageeth; Quintana, Matias; Abdelrahman, Mahmoud; Miller, Clayton			Humans-as-a-Sensor for Buildings-Intensive Longitudinal Indoor Comfort Models	BUILDINGS																	Abdelrahman, Mahmoud/ABB-2837-2020; Miller, Clayton/I-8813-2019; Quintana, Matias/AAL-3947-2020	Abdelrahman, Mahmoud/0000-0001-8027-6936; Miller, Clayton/0000-0002-1186-4299; Quintana, Matias/0000-0002-0486-221X													2075-5309				OCT	2020	10	10							174	10.3390/buildings10100174								WOS:000584214700001						
J	Altomonte, S; Allen, J; Bluyssen, PM; Brager, G; Heschong, L; Loder, A; Schiavon, S; Veitch, JA; Wang, L; Wargocki, P				Altomonte, Sergio; Allen, Joseph; Bluyssen, Philomena M.; Brager, Gail; Heschong, Lisa; Loder, Angela; Schiavon, Stefano; Veitch, Jennifer A.; Wang, Lily; Wargocki, Pawel			Ten questions concerning well-being in the built environment	BUILDING AND ENVIRONMENT																	Wargocki, Pawel/AAZ-9496-2021; Schiavon, Stefano/AAS-9673-2020; Altomonte, Sergio/M-6420-2015	Wargocki, Pawel/0000-0003-3865-3560; Schiavon, Stefano/0000-0003-1285-5682; Altomonte, Sergio/0000-0002-2518-0234; Wang, Lily/0000-0001-5815-0317; Veitch, Jennifer/0000-0003-3183-4537												0360-1323	1873-684X				AUG	2020	180								106949	10.1016/j.buildenv.2020.106949								WOS:000564121000011						
C	Jayathissa, P; Quintana, M; Sood, T; Nazarian, N; Miller, C		Scartezzini, JL; Smith, B		Jayathissa, Prageeth; Quintana, Matias; Sood, Tapeesh; Nazarian, Negin; Miller, Clayton			Is your clock-face cozie? A smartwatch methodology for the in-situ collection of occupant comfort data	CLIMATE RESILIENT CITIES - ENERGY EFFICIENCY & RENEWABLES IN THE DIGITAL ERA (CISBAT 2019)	Journal of Physics Conference Series				International Conference on Climate Resilient Cities - Energy Efficiency and Renewables in the Digital Era (CISBAT)	SEP 04-06, 2019	Ecole Polytechnique Fed Lausanne, Solar Energy & Building Phys Lab, Lausanne, SWITZERLAND	Swiss Fed Off Energy	Ecole Polytechnique Fed Lausanne, Solar Energy & Building Phys Lab								Quintana, Matias/AAL-3947-2020; Miller, Clayton/I-8813-2019; Nazarian, Negin/R-6473-2018	Quintana, Matias/0000-0002-0486-221X; Miller, Clayton/0000-0002-1186-4299; Nazarian, Negin/0000-0001-9839-7234												1742-6588	1742-6596					2019	1343								012145	10.1088/1742-6596/1343/1/012145								WOS:000561852800145						
J	Dave, B; Buda, A; Nurminen, A; Framling, K				Dave, Bhargav; Buda, Andrea; Nurminen, Antti; Framling, Kary			A framework for integrating BIM and IoT through open standards	AUTOMATION IN CONSTRUCTION																	Främling, Kary Å/G-2222-2013; Tang, Llewellyn/AAE-8423-2020; Dave, Bhargav/C-1555-2014	Främling, Kary Å/0000-0002-8078-5172; Tang, Llewellyn/0000-0001-8453-5384; Dave, Bhargav/0000-0003-4228-506X												0926-5805	1872-7891				NOV	2018	95						35	45		10.1016/j.autcon.2018.07.022								WOS:000446286800004						
J	Stazi, F; Naspi, F; D'Orazio, M				Stazi, Francesca; Naspi, Federica; D'Orazio, Marco			A literature review on driving factors and contextual events influencing occupants' behaviours in buildings	BUILDING AND ENVIRONMENT																	d'orazio, Marco/AAD-7121-2021; d'orazio, marco/E-8196-2012	d'orazio, marco/0000-0003-3779-4361; STAZI, Francesca/0000-0001-9231-7010												0360-1323	1873-684X				JUN	2017	118						40	66		10.1016/j.buildenv.2017.03.021								WOS:000401374600004						
J	Frontczak, M; Schiavon, S; Goins, J; Arens, E; Zhang, H; Wargocki, P				Frontczak, M.; Schiavon, S.; Goins, J.; Arens, E.; Zhang, H.; Wargocki, P.			Quantitative relationships between occupant satisfaction and satisfaction aspects of indoor environmental quality and building design	INDOOR AIR																	Wargocki, Pawel/AAZ-9496-2021; Schiavon, Stefano/AAS-9673-2020; Wargocki, Pawel/B-4632-2017	Wargocki, Pawel/0000-0003-3865-3560; Schiavon, Stefano/0000-0003-1285-5682; Wargocki, Pawel/0000-0003-3865-3560												0905-6947	1600-0668				APR	2012	22	2					119	131		10.1111/j.1600-0668.2011.00745.x								WOS:000301223300004	21929547					
J	Mills, E				Mills, Evan			Building commissioning: a golden opportunity for reducing energy costs and greenhouse gas emissions in the United States	ENERGY EFFICIENCY																														1570-646X	1570-6478				MAY	2011	4	2					145	173		10.1007/s12053-011-9116-8								WOS:000293068200002						
