PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Delgado, JMD; Oyedele, L; Demian, P; Beach, T				Delgado, Juan Manuel Davila; Oyedele, Lukumon; Demian, Peter; Beach, Thomas			A research agenda for augmented and virtual reality in architecture, engineering and construction	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				AUG	2020	45								101122	10.1016/j.aei.2020.101122								WOS:000552715300020						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Kifokeris, D; Koch, C				Kifokeris, Dimosthenis; Koch, Christian			A CONCEPTUAL DIGITAL BUSINESS MODEL FOR CONSTRUCTION LOGISTICS CONSULTANTS, FEATURING A SOCIOMATERIAL BLOCKCHAIN SOLUTION FOR INTEGRATED ECONOMIC, MATERIAL AND INFORMATION FLOWS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																	Molina, Nicholle/AAA-7370-2022; Kifokeris, Dimosthenis/X-7461-2019	Kifokeris, Dimosthenis/0000-0003-4186-8730												1874-4753						2020	25						500	521		10.36680/j.itcon.2020.029								WOS:000585913500001						
J	Ventura, SM; Castronovo, F; Ciribini, ALC				Ventura, Silvia Mastrolembo; Castronovo, Fadi; Ciribini, Angelo L. C.			A DESIGN REVIEW SESSION PROTOCOL FOR THE IMPLEMENTATION OF IMMERSIVE VIRTUAL REALITY IN USABILITY-FOCUSED ANALYSIS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																		Castronovo, Fadi/0000-0001-6143-1777; MASTROLEMBO VENTURA, Silvia/0000-0001-9446-8824												1874-4753						2020	25						233	253		10.36680/j.itcon.2020.014								WOS:000525663400001						
J	De Fino, M; Galantucci, RA; Fatiguso, F				De Fino, Mariella; Galantucci, Rosella Alessia; Fatiguso, Fabio			REMOTE DIAGNOSIS AND CONTROL OF HERITAGE ARCHITECTURE BY PHOTOREALISTIC DIGITAL ENVIRONMENTS AND MODELS	SCIRES-IT-SCIENTIFIC RESEARCH AND INFORMATION TECHNOLOGY																	De Fino, Mariella/ABF-4542-2021; Galantucci, Rosella/AAS-4424-2020	Galantucci, Rosella Alessia/0000-0002-2742-1492; FATIGUSO, Fabio/0000-0003-4584-3776												2239-4303						2019	9	2					1	16										WOS:000505067200002						
J	El Saddik, A				El Saddik, Abdulmotaleb			Digital Twins The Convergence of Multimedia Technologies	IEEE MULTIMEDIA																	El Saddik, Abdulmotaleb/D-4159-2009	El Saddik, Abdulmotaleb/0000-0002-7690-8547												1070-986X	1941-0166				APR-JUN	2018	25	2					87	92		10.1109/MMUL.2018.023121167								WOS:000440854300008						
J	Bruno, S; De Fino, M; Fatiguso, F				Bruno, Silvana; De Fino, Mariella; Fatiguso, Fabio			Historic Building Information Modelling: performance assessment for diagnosis-aided information modelling and management	AUTOMATION IN CONSTRUCTION																	De Fino, Mariella/ABF-4542-2021; Bruno, Silvana/AAC-8233-2019	FATIGUSO, Fabio/0000-0003-4584-3776; Bruno, Silvana/0000-0002-7633-9989; DE FINO, Mariella/0000-0002-2675-704X												0926-5805	1872-7891				FEB	2018	86						256	276		10.1016/j.autcon.2017.11.009								WOS:000423889800020						
J	Tao, F; Cheng, JF; Qi, QL; Zhang, M; Zhang, H; Sui, FY				Tao, Fei; Cheng, Jiangfeng; Qi, Qinglin; Zhang, Meng; Zhang, He; Sui, Fangyuan			Digital twin-driven product design, manufacturing and service with big data	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY					12th International Conference on Frontiers of Design and Manufacturing (ICFDM)	AUG 10-12, 2016	Natl Nat Sci Fdn China, Shenyang, PEOPLES R CHINA	Shien Ming Wu Fdn USA	Natl Nat Sci Fdn China								Qi, Qinglin/N-3496-2018; Qi, Qinglin/AAP-2458-2020; Tao, Fei/F-8944-2012	Qi, Qinglin/0000-0002-3247-0440; Tao, Fei/0000-0002-9020-0633; Cheng, Jiangfeng/0000-0003-0386-3533												0268-3768	1433-3015				FEB	2018	94	9-12					3563	3576		10.1007/s00170-017-0233-1								WOS:000425592900043						
J	Palmarini, R; Erkoyuncu, JA; Roy, R; Torabmostaedi, H				Palmarini, Riccardo; Erkoyuncu, John Ahmet; Roy, Rajkumar; Torabmostaedi, Hosein			A systematic review of augmented reality applications in maintenance	ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING																	Roy, Rajkumar/AAR-5146-2020	Roy, Rajkumar/0000-0001-5491-7437; Erkoyuncu, John Ahmet/0000-0002-8046-9911; Palmarini, Riccardo/0000-0002-7161-3029												0736-5845	1879-2537				FEB	2018	49						215	228		10.1016/j.rcim.2017.06.002								WOS:000412957500020						
J	Napolitano, RK; Scherer, G; Glisic, B				Napolitano, Rebecca K.; Scherer, George; Glisic, Branko			Virtual tours and informational modeling for conservation of cultural heritage sites	JOURNAL OF CULTURAL HERITAGE																	Glisic, Branko/F-6105-2013	Glisic, Branko/0000-0002-1852-5310; Scherer, George/0000-0002-5874-2627; Napolitano, Rebecca/0000-0002-8939-5998												1296-2074	1778-3674				JAN-FEB	2018	29						123	129		10.1016/j.culher.2017.08.007								WOS:000424325800014						
J	Cestari, CB; Marzi, T				Cestari, Clara Bertolini; Marzi, Tanja			Conservation of historic timber roof structures of Italian architectural heritage: diagnosis, assessment, and intervention	INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE																		Marzi, Tanja/0000-0002-2812-3278; Bertolini Cestari, Clara/0000-0002-6795-850X												1558-3058	1558-3066					2018	12	4			SI		632	665		10.1080/15583058.2018.1442523								WOS:000431697600011						
J	Paes, D; Arantes, E; Irizarry, J				Paes, Daniel; Arantes, Eduardo; Irizarry, Javier			Immersive environment for improving the understanding of architectural 3D models: Comparing user spatial perception between immersive and traditional virtual reality systems	AUTOMATION IN CONSTRUCTION																	Irizarry, Javier/AAC-9460-2019	Paes, Daniel/0000-0002-0377-7689												0926-5805	1872-7891				DEC	2017	84						292	303		10.1016/j.autcon.2017.09.016								WOS:000413607600024						
C	Castagnetti, C; Giannini, M; Rivola, R		Tucci, G; Bonora, V		Castagnetti, C.; Giannini, M.; Rivola, R.			IMAGE-BASED VIRTUAL TOURS AND 3D MODELING OF PAST AND CURRENT AGES FOR THE ENHANCEMENT OF ARCHAEOLOGICAL PARKS: THE VISUALVERSILIA 3D PROJECT	GEOMATICS & RESTORATION - CONSERVATION OF CULTURAL HERITAGE IN THE DIGITAL ERA	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				1st International Conference on Geomatics and Restoration - Conservation of Cultural Heritage in the Digital Era	MAY 22-24, 2017	Florence, ITALY	Acad Assoc Topog & Cartog, Acad Assoc Architectural Restorat, Italian Geog Mil Inst									Castagnetti, Cristina/N-2298-2016	Castagnetti, Cristina/0000-0002-6591-4802												1682-1750	2194-9034					2017	42-5	W1					639	645		10.5194/isprs-archives-XLII-5-W1-639-2017								WOS:000568504400085						
J	Chen, HM; Chang, KC; Lin, TH				Chen, Hung-Ming; Chang, Kai-Chuan; Lin, Tsung-Hsi			A cloud-based system framework for performing online viewing, storage, and analysis on big data of massive BIMs	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016													0926-5805	1872-7891				NOV	2016	71		1		SI		34	48		10.1016/j.autcon.2016.03.002								WOS:000384851600005						
C	Bozgeyikli, E; Raij, A; Katkoori, S; Dubey, R			ACM	Bozgeyikli, Evren; Raij, Andrew; Katkoori, Srinivas; Dubey, Rajiv			Point & Teleport Locomotion Technique for Virtual Reality	CHI PLAY 2016: PROCEEDINGS OF THE 2016 ANNUAL SYMPOSIUM ON COMPUTER-HUMAN INTERACTION IN PLAY					3rd ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play (CHI PLAY)	OCT 16-19, 2016	Austin, TX	Assoc Comp Machinery, ACM SIGCHI									Katkoori, Srinivas/AAY-5931-2020	Katkoori, Srinivas/0000-0002-7589-5836														978-1-4503-4456-2				2016							205	216		10.1145/2967934.2968105								WOS:000387871100023						
J	Moropoulou, A; Labropoulos, KC; Delegou, ET; Karoglou, M; Bakolas, A				Moropoulou, Antonia; Labropoulos, Kyriakos C.; Delegou, Ekaterini T.; Karoglou, Maria; Bakolas, Asterios			Non-destructive techniques as a tool for the protection of built cultural heritage	CONSTRUCTION AND BUILDING MATERIALS																	Bakolas, Asterios/M-5975-2019	Bakolas, Asterios/0000-0001-6866-3255; Lampropoulos, Kyriakos/0000-0002-0500-8285; Delegou, Ekaterini/0000-0002-1656-4965												0950-0618	1879-0526				NOV	2013	48						1222	1239		10.1016/j.conbuildmat.2013.03.044								WOS:000327561200143						
J	Succar, B				Succar, Bilal			Building information modelling framework: A research and delivery foundation for industry stakeholders	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016	Succar, Bilal/0000-0001-5377-1026												0926-5805	1872-7891				MAY	2009	18	3					357	375		10.1016/j.autcon.2008.10.003								WOS:000264211200014						
