PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Min-Allah, N; Alrashed, S				Min-Allah, Nasro; Alrashed, Saleh			Smart campus-A sketch	SUSTAINABLE CITIES AND SOCIETY																	Min-Allah, Nasro/O-3147-2019													2210-6707	2210-6715				AUG	2020	59								102231	10.1016/j.scs.2020.102231								WOS:000537462200004	32395421					
J	Jarrar, A; Wakrime, AA; Balouki, Y				Jarrar, Abdessamad; Ait Wakrime, Abderrahim; Balouki, Youssef			Formal approach to model complex adaptive computing systems	COMPLEX ADAPTIVE SYSTEMS MODELING																	jarrar, Abdessamad/AAV-3814-2020	jarrar, Abdessamad/0000-0002-8792-7014; balouki, youssef/0000-0003-0713-5613; AIT WAKRIME, Abderrahim/0000-0001-9215-6309													2194-3206				FEB 12	2020	8	1							3	10.1186/s40294-020-0069-7								WOS:000514861100002						
J	Colding, J; Colding, M; Barthel, S				Colding, Johan; Colding, Magnus; Barthel, Stephan			The smart city model: A new panacea for urban sustainability or unmanageable complexity?	ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE																	Colding, Johan/AAB-7047-2019; Barthel, Stephan/AAE-8367-2019	Colding, Johan/0000-0001-7644-7448; Barthel, Stephan/0000-0003-2637-2024												2399-8083	2399-8091				JAN	2020	47	1					179	187		10.1177/2399808318763164								WOS:000507400700012						
J	Caballero, V; Vernet, D; Zaballos, A				Caballero, Victor; Vernet, David; Zaballos, Agustin			Social Internet of Energy-A New Paradigm for Demand Side Management	IEEE INTERNET OF THINGS JOURNAL																	Zaballos, Agustin/I-1320-2015; Caballero, Victor/J-1807-2017	Zaballos, Agustin/0000-0003-2755-4428; Caballero, Victor/0000-0001-9176-7669; Vernet, David/0000-0003-2453-6128												2327-4662					DEC	2019	6	6			SI		9853	9867		10.1109/JIOT.2019.2932508								WOS:000503985700055						
J	Fernandez-Carames, TM; Fraga-Lamas, P				Fernandez-Carames, Tiago M.; Fraga-Lamas, Paula			Towards Next Generation Teaching, Learning, and Context-Aware Applications for Higher Education: A Review on Blockchain, IoT, Fog and Edge Computing Enabled Smart Campuses and Universities	APPLIED SCIENCES-BASEL																	Fraga-Lamas, Paula/G-2499-2016; Caramés, Tiago M. Fernández/L-9307-2014	Fraga-Lamas, Paula/0000-0002-4991-6808; Caramés, Tiago M. Fernández/0000-0003-2179-5917													2076-3417				NOV	2019	9	21							4479	10.3390/app9214479								WOS:000498058600004						
J	Villegas-Ch, W; Palacios-Pacheco, X; Lujan-Mora, S				Villegas-Ch, William; Palacios-Pacheco, Xavier; Lujan-Mora, Sergio			Application of a Smart City Model to a Traditional University Campus with a Big Data Architecture: A Sustainable Smart Campus	SUSTAINABILITY																	Luján-Mora, Sergio/D-9207-2013	Luján-Mora, Sergio/0000-0001-5000-864X; Villegas Chiliquinga, William Eduardo/0000-0002-5421-7710													2071-1050				MAY 2	2019	11	10							2857	10.3390/su11102857								WOS:000471010300140						
J	Lozano, R; Barreiro-Gen, M; Lozano, FJ; Sammalisto, K				Lozano, Rodrigo; Barreiro-Gen, Maria; Lozano, Francisco J.; Sammalisto, Kaisu			Teaching Sustainability in European Higher Education Institutions: Assessing the Connections between Competences and Pedagogical Approaches	SUSTAINABILITY																	Lozano, Rodrigo/B-5594-2019; Barreiro-Gen, María/L-1907-2015; Lozano, Francisco J./B-4506-2015	Lozano, Rodrigo/0000-0003-1441-7555; Barreiro-Gen, María/0000-0001-6260-6727; Sammalisto, Kaisu/0000-0001-6179-7525; Lozano, Francisco J./0000-0002-3370-9599												2071-1050					MAR 16	2019	11	6							1602	10.3390/su11061602								WOS:000464347300005						
J	Fantozzi, F; Hamdi, H; Rocca, M; Vegnuti, S				Fantozzi, Fabio; Hamdi, Hassan; Rocca, Michele; Vegnuti, Stefano			Use of Automated Control Systems and Advanced Energy Simulations in the Design of Climate Responsive Educational Building for Mediterranean Area	SUSTAINABILITY																	Rocca, Michele/U-4967-2019	Rocca, Michele/0000-0001-9454-0654; Fantozzi, Fabio/0000-0002-3213-1764													2071-1050				MAR 2	2019	11	6							1660	10.3390/su11061660								WOS:000465613000115						
J	Caballero, V; Valbuena, S; Vernet, D; Zaballos, A				Caballero, Victor; Valbuena, Sergi; Vernet, David; Zaballos, Agustin			Ontology-Defined Middleware for Internet of Things Architectures	SENSORS																	Zaballos, Agustin/I-1320-2015; Caballero, Victor/J-1807-2017	Zaballos, Agustin/0000-0003-2755-4428; Caballero, Victor/0000-0001-9176-7669; Vernet, David/0000-0003-2453-6128												1424-8220					MAR 1	2019	19	5							1163	10.3390/s19051163								WOS:000462540400182	30866533					
J	Kazado, D; Kavgic, M; Eskicioglu, R				Kazado, Daniel; Kavgic, Miroslava; Eskicioglu, Rasit			INTEGRATING BUILDING INFORMATION MODELING (BIM) AND SENSOR TECHNOLOGY FOR FACILITY MANAGEMENT	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																	TOYIN, JAMES OLAONIPEKUN/AAE-1400-2022; Kavgic, Miroslava/AAH-4171-2019; Eskicioglu, Mehmet/A-7042-2019	TOYIN, JAMES OLAONIPEKUN/0000-0002-4512-6876; Eskicioglu, Mehmet/0000-0002-2928-4321												1874-4753						2019	24						440	458										WOS:000495126300001						
J	Abbasi, KM; Khan, TA; Ul Haq, I				Abbasi, Khurrum Mustafa; Khan, Tamim Ahmed; Ul Haq, Irfan			Hierarchical Modeling of Complex Internet of Things Systems Using Conceptual Modeling Approaches	IEEE ACCESS																	Abbasi, Khurrum Mustafa/V-2750-2019	Khan, Tamim/0000-0002-8209-6100												2169-3536						2019	7						102772	102791		10.1109/ACCESS.2019.2930933								WOS:000481688500191						
J	Filho, WL; Raath, S; Lazzarini, B; Vargas, VR; de Souza, L; Anholon, R; Quelhas, OLG; Haddad, R; Klavins, M; Orlovic, VL				Filho, W. Leal; Raath, S.; Lazzarini, B.; Vargas, V. R.; de Souza, L.; Anholon, R.; Quelhas, O. L. G.; Haddad, R.; Klavins, M.; Orlovic, V. L.			The role of transformation in learning and education for sustainability	JOURNAL OF CLEANER PRODUCTION																	de Sousa, Luiza/X-9916-2019; Anholon, Rosley/C-3650-2018; Filho, Walter Leal/AAU-6997-2021; Haddad, Rema/AAA-3555-2022; Vargas, Valeria Ruiz/AAU-5444-2020	de Sousa, Luiza/0000-0001-8185-8081; Anholon, Rosley/0000-0003-3163-6119; Filho, Walter Leal/0000-0002-1241-5225; Vargas, Valeria Ruiz/0000-0002-0008-0747; Lazzarini, Boris/0000-0003-3164-416X												0959-6526	1879-1786				OCT 20	2018	199						286	295		10.1016/j.jclepro.2018.07.017								WOS:000444358400028						
J	Vasileva, R; Rodrigues, L; Hughes, N; Greenhalgh, C; Goulden, M; Tennison, J				Vasileva, Roza; Rodrigues, Lucelia; Hughes, Nancy; Greenhalgh, Chris; Goulden, Murray; Tennison, Jeni			What Smart Campuses Can Teach Us about Smart Cities: User Experiences and Open Data	INFORMATION																		Goulden, Murray/0000-0003-4005-8752; Greenhalgh, Chris/0000-0003-3483-2422												2078-2489					OCT	2018	9	10							251	10.3390/info9100251								WOS:000451210700012						
J	Chang, KM; Dzeng, RJ; Wu, YJ				Chang, Kai-Ming; Dzeng, Ren-Jye; Wu, Yi-Ju			An Automated IoT Visualization BIM Platform for Decision Support in Facilities Management	APPLIED SCIENCES-BASEL																														2076-3417					JUL	2018	8	7							1086	10.3390/app8071086								WOS:000441814300076						
J	Kim, E; Wu, HG; Park, JM; Kim, JI; Kim, HJ; Kang, HC				Kim, Eunji; Wu, Hong-Gyun; Park, Jong Min; Kim, Jung-in; Kim, Hak Jae; Kang, Hyun-Cheol			Lung density change after SABR: A comparative study between tri-Co-60 magnetic resonance-guided system and linear accelerator (vol 13, e0195196, 2018)	PLOS ONE																														1932-6203					MAY 17	2018	13	5							e0197799	10.1371/journal.pone.0197799								WOS:000432348900101	29771972					
J	Caballero, V; Vernet, D; Zaballos, A; Corral, G				Caballero, Victor; Vernet, David; Zaballos, Agustin; Corral, Guiomar			Prototyping a Web-of-Energy Architecture for Smart Integration of Sensor Networks in Smart Grids Domain	SENSORS																	Zaballos, Agustin/I-1320-2015; Corral Torruella, Guiomar/J-6661-2017; Caballero, Victor/J-1807-2017	Zaballos, Agustin/0000-0003-2755-4428; Corral Torruella, Guiomar/0000-0001-7309-2223; Vernet, David/0000-0003-2453-6128; Caballero, Victor/0000-0001-9176-7669												1424-8220					FEB	2018	18	2							400	10.3390/s18020400								WOS:000427544000083	29385748					
J	Ricciardi, P; Buratti, C				Ricciardi, Paola; Buratti, Cinzia			Environmental quality of university classrooms: Subjective and objective evaluation of the thermal, acoustic, and lighting comfort conditions	BUILDING AND ENVIRONMENT																	Buratti, Cinzia/H-9744-2019; ricciardi, paola/AAN-4470-2020	ricciardi, paola/0000-0001-7623-0134; Buratti, Cinzia/0000-0001-5653-3701												0360-1323	1873-684X				JAN	2018	127						23	36		10.1016/j.buildenv.2017.10.030								WOS:000418979500003						
J	Alvarez-Campana, M; Lopez, G; Vazquez, E; Villagra, VA; Berrocal, J				Alvarez-Campana, Manuel; Lopez, Gregorio; Vazquez, Enrique; Villagra, Victor A.; Berrocal, Julio			Smart CEI Moncloa: An IoT-based Platform for People Flow and Environmental Monitoring on a Smart University Campus	SENSORS																	Berrocal, Julio/AAS-1590-2020; Alvarez-Campana, Manuel/K-9360-2014; Villagra, Victor A/L-7550-2014; Alvarez-Campana, Manuel/ABH-5278-2020; Lopez, Gregorio/AAB-5384-2021	Berrocal, Julio/0000-0001-6822-0921; Alvarez-Campana, Manuel/0000-0003-2747-9798; Villagra, Victor A/0000-0002-7067-6968; Alvarez-Campana, Manuel/0000-0003-2747-9798; Lopez, Gregorio/0000-0001-9954-3504												1424-8220					DEC	2017	17	12							2856	10.3390/s17122856								WOS:000423285800156						
J	de Pozuelo, RM; Zaballos, A; Navarro, J; Corral, G				Martin de Pozuelo, Ramon; Zaballos, Agustin; Navarro, Joan; Corral, Guiomar			Prototyping a Software Defined Utility	ENERGIES																	Navarro, Joan/AAL-6976-2021; Zaballos, Agustin/I-1320-2015; Corral Torruella, Guiomar/J-6661-2017	Navarro, Joan/0000-0003-3916-9279; Zaballos, Agustin/0000-0003-2755-4428; Martin de Pozuelo, Ramon/0000-0002-4476-2619; Corral Torruella, Guiomar/0000-0001-7309-2223												1996-1073					JUN	2017	10	6							818	10.3390/en10060818								WOS:000404384000084						
J	Cockroft, J; Cowie, A; Samuel, A; Strachan, P				Cockroft, J.; Cowie, A.; Samuel, A.; Strachan, P.			Potential energy savings achievable by zoned control of individual rooms in UK housing compared to standard central heating controls	ENERGY AND BUILDINGS																	Strachan, Paul/C-1104-2013	Strachan, Paul/0000-0003-4280-2880; Cowie, Andrew/0000-0002-1852-7113												0378-7788	1872-6178				FEB 1	2017	136						1	11		10.1016/j.enbuild.2016.11.036								WOS:000392354100001						
C	Dzaferagic, M; Kaminski, N; Macaluso, I; Marchetti, N			IEEE	Dzaferagic, Merim; Kaminski, Nicholas; Macaluso, Irene; Marchetti, Nicola			Relation between Functional Complexity, Scalability and Energy Efficiency in WSNs	2017 13TH INTERNATIONAL WIRELESS COMMUNICATIONS AND MOBILE COMPUTING CONFERENCE (IWCMC)	International Wireless Communications and Mobile Computing Conference				13th International Wireless Communications and Mobile Computing Conference (IWCMC)	JUN 26-30, 2017	Valencia, SPAIN	IEEE, IEEE Spain Sect, Polytechn Univ Valencia																						2376-6492		978-1-5090-4372-9				2017							675	680										WOS:000426991500114						
C	Muhamad, W; Kurniawan, NB; Suhardi; Yazid, S		Suhardi; Langi, AZR; Gondokaryono, YS; Arman, AA		Muhamad, Wardani; Kurniawan, Novianto Budi; Suhardi; Yazid, Setiadi			Smart Campus Features, Technologies, and Applications: A Systematic Literature Review	2017 4TH INTERNATIONAL CONFERENCE ON INFORMATION TECHNOLOGY SYSTEMS AND INNOVATION (ICITSI)	International Conference on Information Technology Systems and Innovation (ICITSI)				4th International Conference on Information Technology Systems and Innovation (ICITSI)	OCT 23-24, 2017	Sch Electrl Eng & Informat - ITB, Bandung, INDONESIA	IEEE, Informat Technol Res Group - ITB, Services Computing Res Group - ITB, IEEE Indonesia Sect	Sch Electrl Eng & Informat - ITB								Muhamad, Wardani/AAB-9841-2021	Muhamad, Wardani/0000-0002-6420-1683												2443-1451		978-1-5386-3100-3				2017							384	391										WOS:000426919200067						
J	Zomorodian, ZS; Tahsildoost, M; Hafezi, M				Zomorodian, Zahra Sadat; Tahsildoost, Mohammad; Hafezi, Mohammadreza			Thermal comfort in educational buildings: A review article	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Zomorodian, Zahra Sadat/AAS-4021-2020; Tahsildoost, Mohammad/AAC-5653-2022	Zomorodian, Zahra Sadat/0000-0003-2418-8856; Tahsildoost, Mohammad/0000-0002-9016-9429												1364-0321					JUN	2016	59						895	906		10.1016/j.rser.2016.01.033								WOS:000371948400062						
J	Razzaque, MA; Milojevic-Jevric, M; Palade, A; Clarke, S				Razzaque, Mohammad Abdur; Milojevic-Jevric, Marija; Palade, Andrei; Clarke, Siobhan			Middleware for Internet of Things: A Survey	IEEE INTERNET OF THINGS JOURNAL																														2327-4662					FEB	2016	3	1			SI		70	95		10.1109/JIOT.2015.2498900								WOS:000373099000008						
J	Chaisson, EJ				Chaisson, Eric J.			Energy Flows in Low-Entropy Complex Systems	ENTROPY																														1099-4300					DEC	2015	17	12					8007	8018		10.3390/e17127857								WOS:000367443600011						
J	Atif, Y; Mathew, SS; Lakas, A				Atif, Yacine; Mathew, Sujith Samuel; Lakas, Abderahmane			Building a smart campus to support ubiquitous learning	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING																		Mathew, Sujith/0000-0001-7648-7458; Lakas, Abderrahmane/0000-0003-4725-8634												1868-5137	1868-5145				APR	2015	6	2			SI		223	238		10.1007/s12652-014-0226-y								WOS:000351243800006						
J	Lozano, R				Lozano, Rodrigo			A Holistic Perspective on Corporate Sustainability Drivers	CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT																	Lozano, Rodrigo/B-5594-2019; Lozano, Rodrigo/L-7962-2013	Lozano, Rodrigo/0000-0003-1441-7555; Lozano, Rodrigo/0000-0003-1441-7555												1535-3958	1535-3966				JAN-FEB	2015	22	1					32	44		10.1002/csr.1325								WOS:000348573500003						
J	Chiva, R; Ghauri, P; Alegre, J				Chiva, Ricardo; Ghauri, Pervez; Alegre, Joaquin			Organizational Learning, Innovation and Internationalization: A Complex System Model	BRITISH JOURNAL OF MANAGEMENT																	Chiva, Ricardo/AAF-3008-2019; Alegre, Joaquin/L-7029-2014	Chiva, Ricardo/0000-0001-9525-8220; Alegre, Joaquin/0000-0003-2723-6593; Ghauri, Pervez/0000-0002-9728-485X												1045-3172	1467-8551				OCT	2014	25	4					687	705		10.1111/1467-8551.12026								WOS:000342815900003						
