Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Looney B.","Statistical Review of World Energy",2020,"BP Statistical Review of World Energy 2020",592,,[No abstract available],,"Final",Scopus,2-s2.0-85093946182
"Di-Meglio E., Rusu C., Rybkowska A.",[No title available],2014,"Living Conditions in Europe",60,,[No abstract available],,"Final",Scopus,2-s2.0-84961167473
"Speck J.","Walkable City Rules: 101 Steps to Making Better Places",2018,"Walkable City Rules: 101 Steps to Making Better Places",37,,[No abstract available],,"Final",Scopus,2-s2.0-85068206916
"Novak J., Purta M., Marciniak T., Ignatowicz K., Rozenbaum K., Yearwood K.",[No title available],2018,"The Rise of Digital Challengers",25,,[No abstract available],,"Final",Scopus,2-s2.0-85064894691
"Beiser V.","The World in a Grain: The Story of Sand and How It Transformed Civilization",2018,"The world in a grain",24,,[No abstract available],,"Final",Scopus,2-s2.0-85063376761
"Anderson J., Moncaster A.","Embodied carbon of concrete in buildings, Part 1: Analysis of published EPD",2020,"Build. Cities",11,,[No abstract available],,"Final",Scopus,2-s2.0-85093102271
"Ruggeri A.G., Gabrielli L., Scarpa M.","Energy retrofit in european building portfolios: A review of five key aspects",2020,"Sustainability (Switzerland)",11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091580657&doi=10.3390%2fSU12187465&partnerID=40&md5=2ff59602a8f686bcf67bbf3e452d9c1e","The research about energy efficiency in buildings has exponentially increased during the last few years. Nevertheless, both research and practice still cannot rely on complete methodologies tailored for building portfolios as a whole, because the attention has always been drawn to individual premises. Yet, energy efficiency analyses need to go beyond the single building perspective and incorporate strategic district approaches to optimize the retrofit investment. For this purpose, several aspects should be considered simultaneously, and new methodologies should also be promoted. Therefore, this paper aims to discuss energy retrofit campaigns in building portfolios, drawing an exhaustive and updated review about the challenge of jumping from the single-building perspective to a stock-based analysis. This research discusses the publications available on the topic from five key aspects that are all essential steps in achieving a complete and reliable study of energy efficiency at a portfolio level. They are energy modelling and assessment, energy retrofit design, decision-making criteria assessment, optimal allocation of (financial) resources and risk valuation. This review, therefore, advocates for joint consideration of the problem as a basis on which to structure further disciplinary developments. Research gaps are highlighted, and new directions for future research are suggested. © 2020 by the authors.",Review,"Final",Scopus,2-s2.0-85091580657
"Lorenzo-Sáez E., Oliver-Villanueva J.-V., Coll-Aliaga E., Lemus-Zúñiga L.-G., Lerma-Arce V., Reig-Fabado A.","Energy efficiency and GHG emissions mapping of buildings for decision-making processes against climate change at the local level",2020,"Sustainability (Switzerland)",6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083561629&doi=10.3390%2fsu12072982&partnerID=40&md5=78689abac6dbdc653e8b5636d3515403","Buildings have become a key source of greenhouse gas (GHG) emissions due to the consumption of primary energy, especially when used to achieve thermal comfort conditions. In addition, buildings play a key role for adapting societies to climate change by achieving more energy efficiency. Therefore, buildings have become a key sector to tackle climate change at the local level. However, public decision-makers do not have tools with enough spatial resolution to prioritise and focus the available resources and efforts in an efficient manner. The objective of the research is to develop an innovative methodology based on a geographic information system (GIS) for mapping primary energy consumption and GHG emissions in buildings in cities according to energy efficiency certificates. The developed methodology has been tested in a representative medium-sized city in Spain, obtaining an accurate analysis that shows 32,000 t of CO2 emissions due to primary energy consumption of 140 GWh in residential buildings with high spatial resolution at single building level. The obtained results demonstrate that the majority of residential buildings have low levels of energy efficiency and emit an average of 45 kg CO2/m2. Compared to the national average in Spain, this obtained value is on the average, while it is slightly better at the regional level. Furthermore, the results obtained demonstrate that the developed methodology is able to directly identify city districts with highest potential for improving energy efficiency and reducing GHG emissions. Additionally, a data model adapted to the INSPIRE regulation has been developed in order to ensure interoperability and European-wide application. All these results have allowed the local authorities to better define local strategies towards a low-carbon economy and energy transition. In conclusion, public decision-makers will be supported with an innovative and user-friendly GIS-based methodology to better define local strategies towards a low-carbon economy and energy transition in a more efficient and transparent way based on metrics of high spatial resolution and accuracy. © 2020 by the authors.",Article,"Final",Scopus,2-s2.0-85083561629
"Dclg U.K.",[No title available],2007,"The Energy Performance of Buildings (Certificates and Inspections) (England and Wales) Regulations",5,,[No abstract available],,"Final",Scopus,2-s2.0-84888434880
"Absimetov V.E., Solovev D.B.","The Use of Effective Design Solutions and High-Tech Building Materials for Reconstructing Residential Buildings of Mass Development in 1960-1990",2020,"IOP Conference Series: Materials Science and Engineering",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082435274&doi=10.1088%2f1757-899X%2f753%2f3%2f032027&partnerID=40&md5=97cba47a5c802ec78b1cecb5254c6f04","In connection with the mass development of large-panel typical buildings, in solving the problem of housing for millions of people in the country, they were supposed to be limited in use for 50-60 years. However, the solution to this problem occurs mainly in Moscow, since significant investments are required to resolve the issue of demolition, relocation of residents and the construction of new buildings on the site of the demolished ones. A method of reconstruction of these objects is proposed with the solution of the issues of thermal modernization of facades and improvement of sanitary and hygienic living conditions, with the involvement of investors without the use of budgetary funds [1]. © Published under licence by IOP Publishing Ltd.",Conference Paper,"Final",Scopus,2-s2.0-85082435274
"Gribat N., Huxley M.","Problem spaces, problem subjects: Contesting policies in a Shrinking city",2015,"Planning and Conflict: Critical Perspectives on Contentious Urban Developments",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979722388&doi=10.4324%2f9780203734933&partnerID=40&md5=1348fdd0d388a463a9285be543c7107c",[No abstract available],Book Chapter,"Final",Scopus,2-s2.0-84979722388
"Galvin R., Sunikka-Blank M.","A Critical Appraisal of Germany's Thermal Retrofit Policy",2013,"A Critical Assessment of Germany's Thermal Retrofit Policy, Turning Down the Heat",3,,[No abstract available],,"Final",Scopus,2-s2.0-84901220486
