PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Trento, A; Woessner, U; Kieferle, JB; Cataldo, A		Fioravanti, A; Cursi, S; Elahmar, S; Gargaro, S; Loffreda, G; Novembri, G; Trento, A		Trento, Armando; Woessner, Uwe; Kieferle, Joachim B.; Cataldo, Andrea			DSA - Digital Support for Art Process and Tools to Realize a Large Sculpture in a Heritage Urban Environment	ECAADE 2017: SHARING OF COMPUTABLE KNOWLEDGE! (SHOCK!), VOL 1					35th International Conference on Education and Research in Computer Aided Architectural Design in Europe (eCAADe)	SEP 20-22, 2017	Rome, ITALY	Sapienza Univ Rome, Fac Civil & Ind Engn, Dept Civil Bldg & Environm Engn, A Sapiens Univ Rete, A T Adv Technologies s r l, Autodesk, Bentley, 3TI, Genres, Gangemi Editore Int Publishing, Epson, It Solut, Noumena, Sapienza Univ Roma																								978-94-91207-12-9				2017							571	580										WOS:000432026000066						
J	Wells, JJ; Kansa, EC; Kansa, SW; Yerka, SJ; Anderson, DG; Bissett, TG; Myers, KN; DeMuth, RC				Wells, Joshua J.; Kansa, Eric C.; Kansa, Sarah W.; Yerka, Stephen J.; Anderson, David G.; Bissett, Thaddeus G.; Myers, Kelsey Noack; DeMuth, R. Carl			Web-based discovery and integration of archaeological historic properties inventory data: The Digital Index of North American Archaeology (DINAA)	LITERARY AND LINGUISTIC COMPUTING																		Yerka, Stephen/0000-0003-2131-4992; Kansa, Eric/0000-0001-5620-4764; Kansa, Sarah Whitcher/0000-0001-7920-5321												0268-1145	1477-4615				SEP	2014	29	3			SI		349	360		10.1093/llc/fqu028								WOS:000345836000007						
J	Rua, H; Alvito, P				Rua, Helena; Alvito, Pedro			Living the past: 3D models, virtual reality and game engines as tools for supporting archaeology and the reconstruction of cultural heritage - the case-study of the Roman villa of Casal de Freiria	JOURNAL OF ARCHAEOLOGICAL SCIENCE																		Rua, Helena/0000-0002-7357-5230												0305-4403	1095-9238				DEC	2011	38	12					3296	3308		10.1016/j.jas.2011.07.015								WOS:000297384300012						
J	Keay, S; Earl, G; Hay, S; Kay, S; Ogden, J; Strutt, KD				Keay, Simon; Earl, Graeme; Hay, Sophie; Kay, Stephen; Ogden, Jessica; Strutt, Kristian D.			The Role of Integrated Geophysical Survey Methods in the Assessment of Archaeological Landscapes: the Case of Portus	ARCHAEOLOGICAL PROSPECTION																		Kay, Stephen/0000-0002-5920-3377; Earl, Graeme/0000-0001-9077-4605												1075-2196	1099-0763				JUL-SEP	2009	16	3					154	166		10.1002/arp.358								WOS:000270049600002						
