Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Dronov D.S., Kimetova N.R., Tkachenkova V.P.","Problems of Implementing BIM Technologies in Russia",2017,"Sinergiya nauk",2,,[No abstract available],,"Final",Scopus,2-s2.0-85119586810
"Kondratiev V.V., Lorents V.Ya.",[No title available],2007,"Let's go engineering! Methodology for organising a project business",1,,[No abstract available],,"Final",Scopus,2-s2.0-85119607070
