Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Söbke H., Theiler M., Tauscher E., Smarsly K.","BIM-based description of wastewater treatment plants",2018,"Proceedings of the 17th International Conference on Computing in Civil and Building Engineering",3,,[No abstract available],,"Final",Scopus,2-s2.0-85091044629
"García Fernández O.",[No title available],2019,"Modelling As-Built MEP Facilities in a BIM Environment",1,,[No abstract available],,"Final",Scopus,2-s2.0-85121802865
[No author name available],"G. S. T. Drainage Services Department: BIM Success in Construction of Seage Treatment Works Project with lasting benefits",2017,"Autodesk Hong Kong BIM Awards",1,,[No abstract available],,"Final",Scopus,2-s2.0-85121786301
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121824363
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121816178
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121808510
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121789199
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121783854
[No author name available],[No title available],0000,,1,,[No abstract available],,"Final",Scopus,2-s2.0-85121783217
