PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Jiang, ZM; Guo, YM; Wang, ZQ				Jiang, Zongmin; Guo, Yangming; Wang, Zhuqing			Digital twin to improve the virtual-real integration of industrial IoT	JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION																														2467-964X	2452-414X				JUN	2021	22								100196	10.1016/j.jii.2020.100196								WOS:000687861300009						
J	Khan, A; Sepasgozar, S; Liu, TT; Yu, RR				Khan, Ayaz; Sepasgozar, Samad; Liu, Tingting; Yu, Rongrong			Integration of BIM and Immersive Technologies for AEC: A Scientometric-SWOT Analysis and Critical Content Review	BUILDINGS																		Yu, Rongrong/0000-0001-6948-9543; M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				MAR	2021	11	3							126	10.3390/buildings11030126								WOS:000633434700001						
J	White, G; Zink, A; Codeca, L; Clarke, S				White, Gary; Zink, Anna; Codeca, Lara; Clarke, Siobhan			A digital twin smart city for citizen feedback	CITIES																														0264-2751	1873-6084				MAR	2021	110								103064	10.1016/j.cities.2020.103064								WOS:000618544100001						
J	Fan, C; Zhang, C; Yahja, A; Mostafavi, A				Fan, Chao; Zhang, Cheng; Yahja, Alex; Mostafavi, Ali			Disaster City Digital Twin: A vision for integrating artificial and human intelligence for disaster management	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT																	Fan, Chao/AAM-2182-2020	Fan, Chao/0000-0002-5670-7860												0268-4012	1873-4707				FEB	2021	56								102049	10.1016/j.ijinfomgt.2019.102049								WOS:000600915700014						
J	Bauer, P; Stevens, B; Hazeleger, W				Bauer, Peter; Stevens, Bjorn; Hazeleger, Wilco			A digital twin of Earth for the green transition	NATURE CLIMATE CHANGE																	Stevens, Bjorn/A-1757-2013	Stevens, Bjorn/0000-0003-3795-0475; Hazeleger, Wilco/0000-0002-4566-958X												1758-678X	1758-6798				FEB	2021	11	2					80	83		10.1038/s41558-021-00986-y		FEB 2021						WOS:000613580200001						
J	McNamara, AJ; Sepasgozar, SME				McNamara, Alan J.; Sepasgozar, Samad M. E.			Intelligent contract adoption in the construction industry: Concept development	AUTOMATION IN CONSTRUCTION																		M. E. Sepasgozar, Samad/0000-0003-2568-3111												0926-5805	1872-7891				FEB	2021	122								103452	10.1016/j.autcon.2020.103452								WOS:000606850300005						
J	Sood, SK; Rawat, KS				Sood, Sandeep Kumar; Rawat, Keshav Singh			A scientometric analysis of ICT-assisted disaster management	NATURAL HAZARDS																		Rawat, Dr. Keshav Singh/0000-0002-1497-985X; Sood, Sandeep/0000-0002-8196-5503												0921-030X	1573-0840				APR	2021	106	3					2863	2881		10.1007/s11069-021-04512-3		JAN 2021						WOS:000611071700002	33500600					
J	He, B; Cao, XY; Hua, YC				He, Bin; Cao, Xiaoyang; Hua, Yicheng			Data fusion-based sustainable digital twin system of intelligent detection robotics	JOURNAL OF CLEANER PRODUCTION																														0959-6526	1879-1786				JAN 20	2021	280		1						124181	10.1016/j.jclepro.2020.124181								WOS:000609017600002						
J	Liu, MN; Fang, SL; Dong, HY; Xu, CZ				Liu, Mengnan; Fang, Shuiliang; Dong, Huiyue; Xu, Cunzhi			Review of digital twin about concepts, technologies, and industrial applications	JOURNAL OF MANUFACTURING SYSTEMS																		Liu, Mengnan/0000-0003-4437-3434												0278-6125	1878-6642				JAN	2021	58		B		SI		346	361		10.1016/j.jmsy.2020.06.017								WOS:000631736100005						
J	Kong, TX; Hu, TL; Zhou, TT; Ye, YX				Kong, Tianxiang; Hu, Tianliang; Zhou, Tingting; Ye, Yingxin			Data Construction Method for the Applications of Workshop Digital Twin System	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		B		SI		323	328		10.1016/j.jmsy.2020.02.003								WOS:000631736100003						
J	Wang, P; Luo, M				Wang, Pei; Luo, Ming			A digital twin-based big data virtual and real fusion learning reference framework supported by industrial internet towards smart manufacturing	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		A				16	32		10.1016/j.jmsy.2020.11.012								WOS:000647703700002						
J	Sepasgozar, SME; Hui, FKP; Shirowzhan, S; Foroozanfar, M; Yang, LM; Aye, L				Sepasgozar, Samad M. E.; Hui, Felix Kin Peng; Shirowzhan, Sara; Foroozanfar, Mona; Yang, Liming; Aye, Lu			Lean Practices Using Building Information Modeling (BIM) and Digital Twinning for Sustainable Construction	SUSTAINABILITY																	Aye, Lu/J-8733-2013; Hui, Felix Kin Peng/T-3752-2018	Aye, Lu/0000-0002-5495-1683; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617; Hui, Felix Kin Peng/0000-0002-4800-9130													2071-1050				JAN	2021	13	1							161	10.3390/su13010161								WOS:000606382000001						
J	Sepasgozar, SME; Shi, AQ; Yang, LM; Shirowzhan, S; Edwards, DJ				Sepasgozar, Samad M. E.; Shi, Anqi; Yang, Liming; Shirowzhan, Sara; Edwards, David J.			Additive Manufacturing Applications for Industry 4.0: A Systematic Critical Review	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2075-5309				DEC	2020	10	12							231	10.3390/buildings10120231								WOS:000602241300001						
J	Errandonea, I; Beltran, S; Arrizabalaga, S				Errandonea, Itxaro; Beltran, Sergio; Arrizabalaga, Saioa			Digital Twin for maintenance: A literature review	COMPUTERS IN INDUSTRY																		Beltran, Sergio/0000-0003-1008-2065; Errandonea, Itxaro/0000-0001-6935-1835												0166-3615	1872-6194				DEC	2020	123								103316	10.1016/j.compind.2020.103316								WOS:000663832400003						
J	Starr, CW; Saginor, J; Worzala, E				Starr, Christopher W.; Saginor, Jesse; Worzala, Elaine			The rise of PropTech: emerging industrial technologies and their impact on real estate	JOURNAL OF PROPERTY INVESTMENT & FINANCE																	worzala, elaine/N-8014-2018	worzala, elaine/0000-0001-7613-8549												1463-578X	1470-2002				FEB 11	2021	39	2			SI		157	169		10.1108/JPIF-08-2020-0090		NOV 2020						WOS:000592119100001						
