PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Xia, T; Yang, J; Chen, L				Xia, Tian; Yang, Jian; Chen, Long			Automated semantic segmentation of bridge point cloud based on local descriptor and machine learning	AUTOMATION IN CONSTRUCTION																		Yang, Jian/0000-0002-3390-5127												0926-5805	1872-7891				JAN	2022	133								103992	10.1016/j.autcon.2021.103992								WOS:000716995000004						
J	Sampaio, AZ; Pinto, AM; Gomes, AM; Sanchez-Lite, A				Sampaio, Alcinia Zita; Pinto, Antonio Mendes; Gomes, Augusto Martins; Sanchez-Lite, Alberto			Generation of an HBIM Library regarding a Palace of the 19th Century in Lisbon	APPLIED SCIENCES-BASEL																	Sampaio, Alcinia Zita/M-5777-2013	Sampaio, Alcinia Zita/0000-0002-8992-9603													2076-3417				AUG	2021	11	15							7020	10.3390/app11157020								WOS:000682022700001						
J	Girardet, A; Boton, C				Girardet, Alexis; Boton, Conrad			A parametric BIM approach to foster bridge project design and analysis	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				JUN	2021	126								103679	10.1016/j.autcon.2021.103679								WOS:000649686600002						
J	Kang, JS; Chung, K; Hong, EJ				Kang, Ji-Soo; Chung, Kyungyong; Hong, Ellen J.			Multimedia knowledge-based bridge health monitoring using digital twin	MULTIMEDIA TOOLS AND APPLICATIONS																		Hong, Jeong hee/0000-0002-0948-9944; Chung, Kyungyong/0000-0002-6439-9992												1380-7501	1573-7721				NOV	2021	80	26-27					34609	34624		10.1007/s11042-021-10649-x		FEB 2021						WOS:000618948700005						
J	Guzzetti, F; Anyabolu, KLN; Biolo, F; D'Ambrosio, L				Guzzetti, Franco; Anyabolu, Karen Lara Ngozi; Biolo, Francesca; D'Ambrosio, Lara			BIM for Existing Construction: A Different Logic Scheme and an Alternative Semantic to Enhance the Interoperabilty	APPLIED SCIENCES-BASEL																	Guzzetti, Franco/AAA-3315-2022	Biolo, Francesca/0000-0003-4327-8435													2076-3417				FEB	2021	11	4							1855	10.3390/app11041855								WOS:000632132500001						
J	Mora, R; Sanchez-Aparicio, LJ; Mate-Gonzalez, MA; Garcia-Alvarez, J; Sanchez-Aparicio, M; Gonzalez-Aguilera, D				Mora, Rocio; Javier Sanchez-Aparicio, Luis; Angel Mate-Gonzalez, Miguel; Garcia-Alvarez, Joaquin; Sanchez-Aparicio, Maria; Gonzalez-Aguilera, Diego			An historical building information modelling approach for the preventive conservation of historical constructions: Application to the Historical Library of Salamanca	AUTOMATION IN CONSTRUCTION																	Maté-González, Miguel Ángel/I-4466-2017; Sanchez, Luis Javier/K-4488-2017	Maté-González, Miguel Ángel/0000-0001-5721-346X; Sanchez, Luis Javier/0000-0001-6758-2234; Gonzalez-Aguilera, Diego/0000-0002-8949-4216												0926-5805	1872-7891				JAN	2021	121								103449	10.1016/j.autcon.2020.103449								WOS:000596386400002						
J	Savini, F; Rainieri, C; Fabbrocino, G; Trizio, I				Savini, Francesca; Rainieri, Carlo; Fabbrocino, Giovanni; Trizio, Ilaria			Applications of Stratigraphic Analysis to Enhance the Inspection and Structural Characterization of Historic Bridges	INFRASTRUCTURES																	; Rainieri, Carlo/G-6539-2012	TRIZIO, ILARIA/0000-0002-3049-7527; Rainieri, Carlo/0000-0003-4854-0850													2412-3811				JAN	2021	6	1							7	10.3390/infrastructures6010007								WOS:000623661400007						
J	Abbate, E; Invernizzi, S; Spano, A				Abbate, Emilio; Invernizzi, Stefano; Spano, Antonia			HBIM parametric modelling from clouds to perform structural analyses based on finite elements: a case study on a parabolic concrete vault	APPLIED GEOMATICS																	; Invernizzi, Stefano/L-6738-2015	Spano, Antonia/0000-0003-4243-7959; Invernizzi, Stefano/0000-0001-6334-7931												1866-9298	1866-928X															10.1007/s12518-020-00341-4		OCT 2020						WOS:000576537000001						
J	Nili, MH; Zahraie, B; Taghaddos, H				Nili, Mohammad Hosein; Zahraie, Banafsheh; Taghaddos, Hosein			BrDSS: A decision support system for bridge maintenance planning employing bridge information modeling	SMART STRUCTURES AND SYSTEMS																														1738-1584	1738-1991				OCT	2020	26	4					533	544		10.12989/sss.2020.26.4.533								WOS:000581715300010						
J	Angjeliu, G; Coronelli, D; Cardani, G				Angjeliu, Grigor; Coronelli, Dario; Cardani, Giuliana			Development of the simulation model for Digital Twin applications in historical masonry buildings: The integration between numerical and experimental reality	COMPUTERS & STRUCTURES																	Angjeliu, Grigor/F-8033-2019; Cardani, Giuliana/D-3347-2017	Angjeliu, Grigor/0000-0001-5300-3932; Cardani, Giuliana/0000-0001-7169-5362												0045-7949	1879-2243				OCT 1	2020	238								106282	10.1016/j.compstruc.2020.106282								WOS:000551867000004						
J	Conti, A; Fiorini, L; Massaro, R; Santoni, C; Tucci, G				Conti, Alessandro; Fiorini, Lidia; Massaro, Rosanna; Santoni, Camilla; Tucci, Grazia			HBIM for the preservation of a historic infrastructure: the Carlo III bridge of the Carolino Aqueduct	APPLIED GEOMATICS																	Conti, Alessandro/AAF-1865-2020	Conti, Alessandro/0000-0002-2265-0317; Fiorini, Lidia/0000-0002-8406-4591												1866-9298	1866-928X															10.1007/s12518-020-00335-2		AUG 2020						WOS:000561252900001						
