PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Aryan, A; Bosche, F; Tang, PB				Aryan, Afrooz; Bosche, Frederic; Tang, Pingbo			Planning for terrestrial laser scanning in construction: A review	AUTOMATION IN CONSTRUCTION																		Bosche, Frederic/0000-0002-4064-8982												0926-5805	1872-7891				MAY	2021	125								103551	10.1016/j.autcon.2021.103551								WOS:000649681700007						
J	Perez-Perez, Y; Golparvar-Fard, M; El-Rayes, K				Perez-Perez, Yeritza; Golparvar-Fard, Mani; El-Rayes, Khaled			Segmentation of point clouds via joint semantic and geometric features for 3D modeling of the built environment	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				MAY	2021	125								103584	10.1016/j.autcon.2021.103584								WOS:000646987900003						
J	Pan, Y; Zhang, LM				Pan, Yue; Zhang, Limao			A BIM-data mining integrated digital twin framework for advanced project management	AUTOMATION IN CONSTRUCTION																	Zhang, Limao/A-1320-2016													0926-5805	1872-7891				APR	2021	124								103564	10.1016/j.autcon.2021.103564								WOS:000623400100003						
J	Rausch, C; Haas, C				Rausch, Christopher; Haas, Carl			Automated shape and pose updating of building information model elements from 3D point clouds	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				APR	2021	124								103561	10.1016/j.autcon.2021.103561								WOS:000623401200004						
J	Czerniawski, T; Ma, JW; Leite, F				Czerniawski, Thomas; Ma, Jong Won; Leite, Fernanda			Automated building change detection with amodal completion of point clouds	AUTOMATION IN CONSTRUCTION																	Leite, Fernanda/AAT-2099-2021	Leite, Fernanda/0000-0002-7789-4474; Czerniawski, Thomas/0000-0002-7310-6522												0926-5805	1872-7891				APR	2021	124								103568	10.1016/j.autcon.2021.103568								WOS:000623401800003						
J	Hamledari, H; Sajedi, S; McCabe, B; Fischer, M				Hamledari, Hesam; Sajedi, Seyedomid; McCabe, Brenda; Fischer, Martin			Automation of Inspection Mission Planning Using 4D BIMs and in Support of Unmanned Aerial Vehicle-Based Data Collection	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																		Sajedi, Seyedomid/0000-0002-4552-4794												0733-9364	1943-7862				MAR 1	2021	147	3							04020179	10.1061/(ASCE)CO.1943-7862.0001995								WOS:000656445700002						
J	Bosch-Sijtsema, P; Claeson-Jonsson, C; Johansson, M; Roupe, M				Bosch-Sijtsema, Petra; Claeson-Jonsson, Christina; Johansson, Mikael; Roupe, Mattias			The hype factor of digital technologies in AEC	CONSTRUCTION INNOVATION-ENGLAND																	; Bosch-Sijtsema, Petra/B-2889-2016	Claeson-Jonsson, Christina/0000-0003-0488-4723; Bosch-Sijtsema, Petra/0000-0001-8141-9759												1471-4175	1477-0857				OCT 21	2021	21	4					899	916		10.1108/CI-01-2020-0002		FEB 2021						WOS:000623745200001						
J	Hasan, SM; Lee, K; Moon, D; Kwon, S; Jinwoo, S; Lee, S				Hasan, Syed Mobeen; Lee, Kyuhyup; Moon, Daeyoon; Kwon, Soonwook; Jinwoo, Song; Lee, Seojoon			Augmented reality and digital twin system for interaction with construction machinery	JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING																		Hasan, Syed Mobeen/0000-0002-3061-8464												1346-7581	1347-2852															10.1080/13467581.2020.1869557		FEB 2021						WOS:000620468900001						
J	Arif, F; Khan, WA				Arif, Farrukh; Khan, Waleed Ahmed			Smart Progress Monitoring Framework for Building Construction Elements Using Videography-MATLAB-BIM Integration	INTERNATIONAL JOURNAL OF CIVIL ENGINEERING																														1735-0522	2383-3874				JUN	2021	19	6					717	732		10.1007/s40999-021-00601-3		FEB 2021						WOS:000616039100001						
J	Garbett, J; Hartley, T; Heesom, D				Garbett, James; Hartley, Thomas; Heesom, David			A multi-user collaborative BIM-AR system to support design and construction	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				FEB	2021	122								103487	10.1016/j.autcon.2020.103487								WOS:000606852600002						
J	Meza, S; Pranjic, AM; Vezocnik, R; Osmokrovic, I; Lenart, S				Meza, Sebastjan; Mauko Pranjic, Alenka; Vezocnik, Rok; Osmokrovic, Igor; Lenart, Stanislav			Digital Twins and Road Construction Using Secondary Raw Materials	JOURNAL OF ADVANCED TRANSPORTATION																		Meza, Sebastjan/0000-0002-4002-0204; Lenart, Stanislav/0000-0003-4818-5668												0197-6729	2042-3195				JAN 19	2021	2021								8833058	10.1155/2021/8833058								WOS:000616181100001						
J	Guven, G; Ergen, E				Guven, Gursans; Ergen, Esin			Tracking major resources for automated progress monitoring of construction activities: masonry work case	CONSTRUCTION INNOVATION-ENGLAND																														1471-4175	1477-0857				OCT 21	2021	21	4					648	667		10.1108/CI-05-2020-0081		JAN 2021						WOS:000607862100001						
J	Khalili, A				Khalili, Alireza			An XML-based approach for geo-semantic data exchange from BIM to VR applications	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				JAN	2021	121								103425	10.1016/j.autcon.2020.103425								WOS:000596385500003						
J	Asadi, K; Haritsa, VR; Han, K; Ore, JP				Asadi, Khashayar; Haritsa, Varun R.; Han, Kevin; Ore, John-Paul			Automated Object Manipulation Using Vision-Based Mobile Robotic System for Construction Applications	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				JAN 1	2021	35	1							04020058	10.1061/(ASCE)CP.1943-5487.0000946								WOS:000672336100010						
J	Deng, M; Menassa, CC; Kamat, VR				Deng, Min; Menassa, Carol C.; Kamat, Vineet R.			FROM BIM TO DIGITAL TWINS: A SYSTEMATIC REVIEW OF THE EVOLUTION OF INTELLIGENT BUILDING REPRESENTATIONS IN THE AEC-FM INDUSTRY	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																														1874-4753						2021	26						58	83		10.36680/j.itcon.2021.005								WOS:000626039100001						
J	Aheleroff, S; Xu, X; Zhong, RY; Lu, YQ				Aheleroff, Shohin; Xu, Xun; Zhong, Ray Y.; Lu, Yuqian			Digital Twin as a Service (DTaaS) in Industry 4.0: An Architecture Reference Model	ADVANCED ENGINEERING INFORMATICS																	Aheleroff, Shohin/L-9293-2017; Lu, Yuqian/U-6820-2019; Xu, Xun William/K-7899-2015	Aheleroff, Shohin/0000-0002-2631-9955; Lu, Yuqian/0000-0001-5954-0421; Xu, Xun William/0000-0001-6294-8153												1474-0346	1873-5320				JAN	2021	47								101225	10.1016/j.aei.2020.101225								WOS:000630364600013						
