PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kim, J; Zhou, YX; Schiavon, S; Raftery, P; Brager, G				Kim, Joyce; Zhou, Yuxun; Schiavon, Stefano; Raftery, Paul; Brager, Gail			Personal comfort models: Predicting individuals' thermal preference using occupant heating and cooling behavior and machine learning	BUILDING AND ENVIRONMENT																	Zhou, Yuxun/AAA-1180-2021; Schiavon, Stefano/AAS-9673-2020	Schiavon, Stefano/0000-0003-1285-5682; Raftery, Paul/0000-0002-6532-5178												0360-1323	1873-684X				FEB 1	2018	129						96	106		10.1016/j.buildenv.2017.12.011								WOS:000423889500010						
J	Pritoni, M; Salmon, K; Sanguinetti, A; Morejohn, J; Modera, M				Pritoni, Marco; Salmon, Kiernan; Sanguinetti, Angela; Morejohn, Joshua; Modera, Mark			Occupant thermal feedback for improved efficiency in university buildings	ENERGY AND BUILDINGS																	Sanguinetti, Angela/ABA-8974-2021	Sanguinetti, Angela/0000-0002-9008-7175; Pritoni, Marco/0000-0003-4200-6905; Modera, Mark/0000-0001-7895-5294												0378-7788	1872-6178				JUN 1	2017	144						241	250		10.1016/j.enbuild.2017.03.048								WOS:000401393000020						
J	Gupta, SK; Atkinson, S; O'Boyle, I; Drogo, J; Kar, K; Mishra, S; Wen, JT				Gupta, Santosh K.; Atkinson, Sam; O'Boyle, Ian; Drogo, John; Kar, Koushik; Mishra, Sandipan; Wen, John T.			BEES: Real-time occupant feedback and environmental learning framework for collaborative thermal management in multi-zone, multi-occupant buildings	ENERGY AND BUILDINGS																	Gupta, Santosh/AAY-6547-2021													0378-7788	1872-6178				AUG 1	2016	125						142	152		10.1016/j.enbuild.2016.04.084								WOS:000378962300014						
