PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
J	Diao, PH; Shih, NJ				Diao, Pei-Huang; Shih, Naai-Jung			BIM-Based AR Maintenance System (BARMS) as an Intelligent Instruction Platform for Complex Plumbing Facilities	APPLIED SCIENCES-BASEL																															2076-3417				APR 2	2019	9	8							1592	10.3390/app9081592								WOS:000467316400077						
J	Baek, F; Ha, I; Kim, H				Baek, Francis; Ha, Inhae; Kim, Hyoungkwan			Augmented reality system for facility management using image-based indoor localization	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				MAR	2019	99						18	26		10.1016/j.autcon.2018.11.034								WOS:000456759400002						
J	Parn, EA; Edwards, D; Riaz, Z; Mehmood, F; Lai, J				Parn, Erika A.; Edwards, David; Riaz, Zainab; Mehmood, Fahad; Lai, Joseph			Engineering-out hazards: digitising the management working safety in confined spaces	FACILITIES																		Mehmood, Fahad/0000-0002-7179-4632												0263-2772	1758-7131				FEB 28	2019	37	3-4					196	215		10.1108/F-03-2018-0039								WOS:000459294500006						
J	Vitiello, U; Ciotta, V; Salzano, A; Asprone, D; Manfredi, G; Cosenza, E				Vitiello, U.; Ciotta, V; Salzano, A.; Asprone, D.; Manfredi, G.; Cosenza, E.			BIM-based approach for the cost-optimization of seismic retrofit strategies on existing buildings	AUTOMATION IN CONSTRUCTION																		Ciotta, Vittoria/0000-0001-7952-3194												0926-5805	1872-7891				FEB	2019	98						90	101		10.1016/j.autcon.2018.10.023								WOS:000456899900007						
C	Lokshina, IV; Gregus, M; Thomas, WL		Shakshuki, E; Yasar, A; Malik, H		Lokshina, Izabella V.; Gregus, Michal; Thomas, Wade L.			Application of Integrated Building Information Modeling, IoT and Blockchain Technologies in System Design of a Smart Building	10TH INT CONF ON EMERGING UBIQUITOUS SYST AND PERVAS NETWORKS (EUSPN-2019) / THE 9TH INT CONF ON CURRENT AND FUTURE TRENDS OF INFORMAT AND COMMUN TECHNOLOGIES IN HEALTHCARE (ICTH-2019) / AFFILIATED WORKOPS	Procedia Computer Science				10th International Conference on Emerging Ubiquitous Systems and Pervasive Networks (EUSPN) / 9th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare (ICTH)	NOV 04-07, 2019	Coimbra, PORTUGAL																							1877-0509						2019	160						497	502		10.1016/j.procs.2019.11.058								WOS:000515510100067						
J	Khajavi, SH; Motlagh, NH; Jaribion, A; Werner, LC; Holmstrom, J				Khajavi, Siavash H.; Motlagh, Naser Hossein; Jaribion, Alireza; Werner, Liss C.; Holmstroem, Jan			Digital Twin: Vision, Benefits, Boundaries, and Creation for Buildings	IEEE ACCESS																	Motlagh, Naser Hossein/AAG-9568-2019; Khajavi, Siavash Haghighat/H-5187-2018; Jaribion, Alireza/AAN-6751-2020; Holmström, Jan B/E-7230-2012; Werner, Liss C./P-4678-2016	Motlagh, Naser Hossein/0000-0001-9923-9879; Khajavi, Siavash Haghighat/0000-0002-5166-4021; Jaribion, Alireza/0000-0003-1916-1309; Holmström, Jan B/0000-0002-2596-0337; Werner, Liss C./0000-0003-4184-6670												2169-3536						2019	7						147406	147419		10.1109/ACCESS.2019.2946515								WOS:000497160500006						
J	GhaffarianHoseini, A; Zhang, TR; Naismith, N; GhaffarianHoseini, A; Doan, DT; Rehman, AU; Nwadigo, O; Tookey, J				GhaffarianHoseini, Ali; Zhang, Tongrui; Naismith, Nicola; GhaffarianHoseini, Amirhosein; Dat Tien Doan; Rehman, Attiq Ur; Nwadigo, Okechukwu; Tookey, John			ND BIM-integrated knowledge-based building management: Inspecting post-construction energy efficiency	AUTOMATION IN CONSTRUCTION																	Rehman, Attiq Ur/ABA-8339-2021; Doan, Dat Tien/J-2062-2019	Rehman, Attiq Ur/0000-0002-9378-3838; Doan, Dat Tien/0000-0002-5890-0277; GhaffarianHoseini, Ali/0000-0002-0787-8399												0926-5805	1872-7891				JAN	2019	97						13	28		10.1016/j.autcon.2018.10.003								WOS:000453623600002						
J	Dave, B; Buda, A; Nurminen, A; Framling, K				Dave, Bhargav; Buda, Andrea; Nurminen, Antti; Framling, Kary			A framework for integrating BIM and IoT through open standards	AUTOMATION IN CONSTRUCTION																	Främling, Kary Å/G-2222-2013; Tang, Llewellyn/AAE-8423-2020; Dave, Bhargav/C-1555-2014	Främling, Kary Å/0000-0002-8078-5172; Tang, Llewellyn/0000-0001-8453-5384; Dave, Bhargav/0000-0003-4228-506X												0926-5805	1872-7891				NOV	2018	95						35	45		10.1016/j.autcon.2018.07.022								WOS:000446286800004						
J	McArthur, JJ; Shahbazi, N; Fok, R; Raghubar, C; Bortoluzzi, B; An, A				McArthur, J. J.; Shahbazi, Nima; Fok, Ricky; Raghubar, Christopher; Bortoluzzi, Brandon; An, Aijun			Machine learning and BIM visualization for maintenance issue classification and enhanced data collection	ADVANCED ENGINEERING INFORMATICS					Lean and Computing in Construction (LC3) Congress	JUL 04-12, 2017	Heraklion, GREECE											McArthur, Jennifer/0000-0001-5079-4564												1474-0346	1873-5320				OCT	2018	38						101	112		10.1016/j.aei.2018.06.007								WOS:000454378700009						
J	Zhong, BT; Gan, C; Luo, HB; Xing, XJ				Zhong, Botao; Gan, Chen; Luo, Hanbin; Xing, Xuejiao			Ontology-based framework for building environmental monitoring and compliance checking under BIM environment	BUILDING AND ENVIRONMENT																	Hanbin, Luo/AAH-7441-2019; li, chengqian/AAH-7343-2019; zhong, botao/AAH-3781-2019													0360-1323	1873-684X				AUG 15	2018	141						127	142		10.1016/j.buildenv.2018.05.046								WOS:000440529400012						
J	Chang, KM; Dzeng, RJ; Wu, YJ				Chang, Kai-Ming; Dzeng, Ren-Jye; Wu, Yi-Ju			An Automated IoT Visualization BIM Platform for Decision Support in Facilities Management	APPLIED SCIENCES-BASEL																														2076-3417					JUL	2018	8	7							1086	10.3390/app8071086								WOS:000441814300076						
J	Chen, WW; Chen, KY; Cheng, JCP; Wang, Q; Gan, VJL				Chen, Weiwei; Chen, Keyu; Cheng, Jack C. P.; Wang, Qian; Gan, Vincent J. L.			BIM-based framework for automatic scheduling of facility maintenance work orders	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X; Gan, Jielong (Vincent)/0000-0003-2954-301X												0926-5805	1872-7891				JUL	2018	91						15	30		10.1016/j.autcon.2018.03.007								WOS:000431470100002						
J	Kim, K; Kim, H; Kim, W; Kim, C; Kim, J; Yu, J				Kim, Karam; Kim, Hyunjoo; Kim, Wooyoung; Kim, Changduk; Kim, Jaeyo; Yu, Jungho			Integration of ifc objects and facility management work information using Semantic Web	AUTOMATION IN CONSTRUCTION																		Kim, Jae-Yo/0000-0001-9940-8118												0926-5805	1872-7891				MAR	2018	87						173	187		10.1016/j.autcon.2017.12.019								WOS:000426024900015						
J	Kang, K; Lin, JR; Zhang, JP				Kang, Kai; Lin, Jiarui; Zhang, Jianping			BIM- and IoT-based monitoring framework for building performance management	JOURNAL OF STRUCTURAL INTEGRITY AND MAINTENANCE																	Lin, Jia-Rui/E-9923-2019; Lin, Jia-Rui/L-7191-2019; Lin, Jia-Rui/D-5238-2012	Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675												2470-5314	2470-5322					2018	3	4			SI		254	261		10.1080/24705314.2018.1536318								WOS:000456978500007						
