PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Martinez-Aires, MD; Lopez-Alonso, M; Martinez-Rojas, M				Martinez-Aires, Maria D.; Lopez-Alonso, Monica; Martinez-Rojas, Maria			Building information modeling and safety management: A systematic review	SAFETY SCIENCE																	López-Alonso, Mónica/X-1135-2018; Martínez-Aires, M.D./F-6783-2015; Rojas, Maria Martinez/T-3911-2017	López-Alonso, Mónica/0000-0002-1343-1374; Martínez-Aires, M.D./0000-0002-9292-5048; Rojas, Maria Martinez/0000-0002-7050-3629												0925-7535	1879-1042				JAN	2018	101						11	18		10.1016/j.ssci.2017.08.015								WOS:000417009600002						
J	Zou, Y; Kiviniemi, A; Jones, SW				Zou, Yang; Kiviniemi, Arto; Jones, Stephen W.			A review of risk management through BIM and BIM-related technologies	SAFETY SCIENCE																	ZOU, YANG/A-6403-2016; Jones, Stephen/D-5977-2011	ZOU, YANG/0000-0001-6150-6126; Jones, Stephen/0000-0002-8977-8403												0925-7535	1879-1042				AUG	2017	97				SI		88	98		10.1016/j.ssci.2015.12.027								WOS:000404304400012						
C	Nwodo, MN; Anumba, CJ; Asadi, S		Lin, KY; ElGohary, N; Tang, P		Nwodo, M. N.; Anumba, C. J.; Asadi, S.			BIM-Based Life Cycle Assessment and Costing of Buildings: Current Trends and Opportunities	COMPUTING IN CIVIL ENGINEERING 2017: SMART SAFETY, SUSTAINABILITY, AND RESILIENCE					ASCE International Workshop on Computing in Civil Engineering (IWCCE)	JUN 25-27, 2017	Univ Washington, Seattle, WA	Amer Soc Civil Engineers, Amer Soc Civil Engineers, Comp Div	Univ Washington								Nwodo, Martin/AAL-9474-2020															978-0-7844-8084-7				2017							51	59										WOS:000426216800007						
J	Eadie, R; Browne, M; Odeyinka, H; McKeown, C; McNiff, S				Eadie, Robert; Browne, Mike; Odeyinka, Henry; McKeown, Clare; McNiff, Sean			BIM implementation throughout the UK construction project lifecycle: An analysis	AUTOMATION IN CONSTRUCTION																	Odeyinka, Henry/AAR-8903-2020; TOYIN, JAMES OLAONIPEKUN/AAE-1400-2022	TOYIN, JAMES OLAONIPEKUN/0000-0002-4512-6876; Eadie, Robert/0000-0003-4188-0481												0926-5805	1872-7891				DEC	2013	36						145	151		10.1016/j.autcon.2013.09.001								WOS:000327574100013						
J	Rezgui, Y; Beach, T; Rana, O				Rezgui, Yacine; Beach, Thomas; Rana, Omer			A GOVERNANCE APPROACH FOR BIM MANAGEMENT ACROSS LIFECYCLE AND SUPPLY CHAINS USING MIXED-MODES OF INFORMATION DELIVERY	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT																	Rana, Omer/E-4314-2015; Rezgui, Yacine/ABE-6712-2020; Rana, Omer/AAP-8523-2020	Rana, Omer/0000-0003-3597-2646; Rezgui, Yacine/0000-0002-5711-8400; Rana, Omer/0000-0003-3597-2646; Beach, Thomas/0000-0001-5610-8027												1392-3730	1822-3605					2013	19	2					239	258		10.3846/13923730.2012.760480								WOS:000318184700009						
