PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kaewunruen, S; Peng, SJ; Phil-Ebosie, O				Kaewunruen, Sakdirat; Peng, Shijie; Phil-Ebosie, Olisa			Digital Twin Aided Sustainability and Vulnerability Audit for Subway Stations	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				OCT	2020	12	19							7873	10.3390/su12197873								WOS:000586687900001						
J	Kaewunruen, S; Sresakoolchai, J; Zhou, ZH				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Zhou, Zhihao			Sustainability-Based Lifecycle Management for Bridge Infrastructure Using 6D BIM	SUSTAINABILITY																	Sresakoonchai, Jessada/AAC-8868-2021; Kaewunruen, Sakdirat/A-6793-2008	Sresakoonchai, Jessada/0000-0003-3692-6422; Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				MAR 2	2020	12	6							2436	10.3390/su12062436								WOS:000523751400283						
J	Osman, MH; Kaewunruen, S				Osman, Mohd Haniff; Kaewunruen, Sakdirat			Value of rescheduling of rail inspection	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART F-JOURNAL OF RAIL AND RAPID TRANSIT																	Osman, Mohd Haniff/AAV-1319-2020; Kaewunruen, Sakdirat/A-6793-2008	Osman, Mohd Haniff/0000-0001-8255-9147; Kaewunruen, Sakdirat/0000-0003-2153-3538												0954-4097	2041-3017				MAR	2020	234	3					321	330		10.1177/0954409718820968								WOS:000510337000007						
J	Huang, X; Ge, J; Kaewunruen, S; Su, Q				Huang, Xu; Ge, Jun; Kaewunruen, Sakdirat; Su, Qian			The Self-Sealing Capacity of Environmentally Friendly, Highly Damped, Fibre-Reinforced Concrete	MATERIALS																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													1996-1944				JAN 2	2020	13	2							298	10.3390/ma13020298								WOS:000515499900045	31936513					
J	Kaewunruen, S; Sresakoolchai, J; Peng, JY				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Peng, Junying			Life Cycle Cost, Energy and Carbon Assessments of Beijing-Shanghai High-Speed Railway	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				JAN	2020	12	1							206	10.3390/su12010206								WOS:000521955600206						
J	Kaewunruen, S; Sresakoolchai, J; Kerinnonta, L				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Kerinnonta, Lalida			Potential Reconstruction Design of an Existing Townhouse in Washington DC for Approaching Net Zero Energy Building Goal	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				DEC	2019	11	23							6631	10.3390/su11236631								WOS:000508186400103						
J	Kaewunruen, S; Lian, Q				Kaewunruen, Sakdirat; Lian, Qiang			Digital twin aided sustainability-based lifecycle management for railway turnout systems	JOURNAL OF CLEANER PRODUCTION																	Kaewunruen, Sakdirat/AAE-2374-2020	Kaewunruen, Sakdirat/0000-0003-2153-3538												0959-6526	1879-1786				AUG 10	2019	228						1537	1551		10.1016/j.jclepro.2019.04.156								WOS:000470947000128						
J	Kaewunruen, S; Bin Osman, MH; Rungskunroch, P				Kaewunruen, Sakdirat; Bin Osman, Mohd Haniff; Rungskunroch, Panrawee			The Total Track Inspection	FRONTIERS IN BUILT ENVIRONMENT																	Kaewunruen, Sakdirat/A-6793-2008; Osman, Mohd Haniff/AAV-1319-2020	Kaewunruen, Sakdirat/0000-0003-2153-3538; Osman, Mohd Haniff/0000-0001-8255-9147													2297-3362				JAN 9	2019	4								84	10.3389/fbuil.2018.00084								WOS:000559218200001						
J	Kaewunruen, S; Rungskunroch, P; Welsh, J				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Welsh, Joshua			A Digital-Twin Evaluation of Net Zero Energy Building for Existing Buildings	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538												2071-1050					JAN 1	2019	11	1							159	10.3390/su11010159								WOS:000457127300159						
J	Kaewunruen, S; Xu, NF				Kaewunruen, Sakdirat; Xu, Ningfang			Digital Twin for Sustainability Evaluation of Railway Station Buildings	FRONTIERS IN BUILT ENVIRONMENT																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2297-3362				DEC 10	2018	4								77	10.3389/fbuil.2018.00077								WOS:000559257400001						
