PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Isailovic, D; Stojanovic, V; Trapp, M; Richter, R; Hajdin, R; Dollner, J				Isailovic, Dusan; Stojanovic, Vladeta; Trapp, Matthias; Richter, Rico; Hajdin, Rade; Doellner, Juergen			Bridge damage: Detection, IFC-based semantic enrichment and visualization	AUTOMATION IN CONSTRUCTION																	Trapp, Matthias/J-4456-2014; Isailović, Dušan/ABH-1919-2021; Isailović, Dušan/ABG-6087-2021	Trapp, Matthias/0000-0003-3861-5759; Isailović, Dušan/0000-0002-9664-2483; Isailović, Dušan/0000-0002-9664-2483												0926-5805	1872-7891				APR	2020	112								103088	10.1016/j.autcon.2020.103088								WOS:000526785600012						
J	Chen, JJ; Liu, DH; Li, S; Hu, D				Chen, Junjie; Liu, Donghai; Li, Shuai; Hu, Da			Registering georeferenced photos to a building information model to extract structures of interest	ADVANCED ENGINEERING INFORMATICS																	Hu, Da/T-2144-2019; Chen, Junjie/ABE-8685-2020	Chen, Junjie/0000-0003-4509-2271												1474-0346	1873-5320				OCT	2019	42								100937	10.1016/j.aei.2019.100937								WOS:000501389000022						
J	Wu, HB; Yao, LB; Xu, ZR; Li, YY; Ao, XR; Chen, QC; Li, ZN; Meng, B				Wu, Hangbin; Yao, Lianbi; Xu, Zeran; Li, Yayun; Ao, Xinran; Chen, Qichao; Li, Zhengning; Meng, Bin			Road pothole extraction and safety evaluation by integration of point cloud and images derived from mobile mapping sensors	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				OCT	2019	42								100936	10.1016/j.aei.2019.100936								WOS:000501389000023						
J	Fitz, T; Theiler, M; Smarsly, K				Fitz, Theresa; Theiler, Michael; Smarsly, Kay			A metamodel for cyber-physical systems	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				AUG	2019	41								100930	10.1016/j.aei.2019.100930								WOS:000474323200009						
J	Poux, F; Billen, R				Poux, Florent; Billen, Roland			Voxel-based 3D Point Cloud Semantic Segmentation: Unsupervised Geometric and Relationship Featuring vs Deep Learning Methods	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Billen, Roland/AAH-5514-2020	Billen, Roland/0000-0002-3101-8057												2220-9964					MAY	2019	8	5							213	10.3390/ijgi8050213								WOS:000470965400014						
J	Morgenthal, G; Hallermann, N; Kersten, J; Taraben, J; Debus, P; Helmrich, M; Rodehorst, V				Morgenthal, Guido; Hallermann, Norman; Kersten, Jens; Taraben, Jakob; Debus, Paul; Helmrich, Marcel; Rodehorst, Volker			Framework for automated UAS-based structural condition assessment of bridges	AUTOMATION IN CONSTRUCTION																		Kersten, Jens/0000-0002-4735-7360; Debus, Paul/0000-0001-6228-588X												0926-5805	1872-7891				JAN	2019	97						77	95		10.1016/j.autcon.2018.10.006								WOS:000453623600006						
J	Sutter, B; Leleve, A; Pham, MT; Gouin, O; Jupille, N; Kuhn, M; Lule, P; Michaud, P; Remy, P				Sutter, Baptiste; Leleve, Arnaud; Minh Tu Pham; Gouin, Olivier; Jupille, Nicolas; Kuhn, Manuel; Lule, Pierre; Michaud, Pierre; Remy, Pascal			A semi-autonomous mobile robot for bridge inspection	AUTOMATION IN CONSTRUCTION																	Leleve, Arnaud/I-9523-2012	Leleve, Arnaud/0000-0001-5550-9072; Pham, Minh Tu/0000-0001-6799-5899												0926-5805	1872-7891				JUL	2018	91						111	119		10.1016/j.autcon.2018.02.013								WOS:000431470100010						
J	Sacks, R; Kedar, A; Borrmann, A; Ma, L; Brilakis, I; Huthwohl, P; Daum, S; Kattel, U; Yosef, R; Liebich, T; Barutcu, BE; Muhic, S				Sacks, Rafael; Kedar, Amir; Borrmann, Andre; Ma, Ling; Brilakis, Ioannis; Huthwohl, Philipp; Daum, Simon; Kattel, Uri; Yosef, Raz; Liebich, Thomas; Barutcu, Burcu Esen; Muhic, Sergej			SeeBridge as next generation bridge inspection: Overview, Information Delivery Manual and Model View Definition	AUTOMATION IN CONSTRUCTION																	Brilakis, Ioannis/H-5369-2013; Sacks, Rafael/B-1431-2008; Ma, Ling/F-6641-2010; Ma, Ling/F-3413-2019	Brilakis, Ioannis/0000-0003-1829-2083; Sacks, Rafael/0000-0001-9427-5053; Ma, Ling/0000-0002-9187-471X; Ma, Ling/0000-0002-9187-471X												0926-5805	1872-7891				JUN	2018	90						134	145		10.1016/j.autcon.2018.02.033								WOS:000430520300011						
J	Huthwohl, P; Brilakis, I; Borrmann, A; Sacks, R				Huthwohl, Philipp; Brilakis, Ioannis; Borrmann, Andre; Sacks, Rafael			Integrating RC Bridge Defect Information into BIM Models	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Sacks, Rafael/B-1431-2008; Brilakis, Ioannis/H-5369-2013	Sacks, Rafael/0000-0001-9427-5053; Brilakis, Ioannis/0000-0003-1829-2083												0887-3801	1943-5487				MAY	2018	32	3							04018013	10.1061/(ASCE)CP.1943-5487.0000744								WOS:000429816100003						
J	Hamledari, H; Azar, ER; McCabe, B				Hamledari, Hesam; Azar, Ehsan Rezazadeh; McCabe, Brenda			IFC-Based Development of As-Built and As-Is BIMs Using Construction and Facility Inspection Data: Site-to-BIM Data Transfer Automation	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				MAR	2018	32	2							04017075	10.1061/(ASCE)CP.1943-5487.0000727								WOS:000422833300006						
C	Hallennann, N; Taraben, J; Morgenthal, G		Powers, N; Frangopol, DM; AlMahaidi, R; Caprani, C		Hallennann, N.; Taraben, J.; Morgenthal, G.			BIM related workflow for an image-based deformation monitoring of bridges	MAINTENANCE, SAFETY, RISK, MANAGEMENT AND LIFE-CYCLE PERFORMANCE OF BRIDGES					9th International Conference on Bridge Maintenance, Safety and Management (IBAMAS)	JUL 09-13, 2018	Swinburne Univ Technol, Melbourne, AUSTRALIA	VicRoads, Monash Univ, RMIT Univ, Int Assoc Bridge Maintenance & Safety, Int Assoc Bridge Maintenance & Safety Australia	Swinburne Univ Technol																							978-1-315-18939-0; 978-1-138-73045-8				2018							157	164										WOS:000494642700013						
C	Taraben, J; Hallermann, N; Kersten, J; Morgenthal, G; Rodehorst, V		Askadskiy, A; Pustovgar, A; Matseevich, T; Adamtsevich, A		Taraben, Jakob; Hallermann, Norman; Kersten, Jens; Morgenthal, Guido; Rodehorst, Volker			Case study for the integration of geometrical analyses for structural condition assessment in building information models	XXI INTERNATIONAL SCIENTIFIC CONFERENCE ON ADVANCED IN CIVIL ENGINEERING CONSTRUCTION - THE FORMATION OF LIVING ENVIRONMENT (FORM 2018)	IOP Conference Series-Materials Science and Engineering				21st International Scientific Conference on Advanced in Civil Engineering Construction - The Formation of Living Environment (FORM)	APR 25-27, 2018	Moscow State Univ Civil Engn, Moscow, RUSSIA		Moscow State Univ Civil Engn									Kersten, Jens/0000-0002-4735-7360												1757-8981						2018	365								022054	10.1088/1757-899X/365/2/022054								WOS:000446160800054						
J	Osello, A; Lucibello, G; Morgagni, F				Osello, Anna; Lucibello, Greta; Morgagni, Francesco			HBIM and Virtual Tools: A New Chance to Preserve Architectural Heritage	BUILDINGS																		Lucibello, Greta/0000-0001-7634-9530													2075-5309				JAN	2018	8	1							12	10.3390/buildings8010012								WOS:000424097900011						
J	McKenna, T; Minehane, M; O'Keeffe, B; O'Sullivan, G; Ruane, K				McKenna, Ted; Minehane, Michael; O'Keeffe, Barry; O'Sullivan, Ger; Ruane, Kieran			Bridge information modelling (BrIM) for a listed viaduct	PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-BRIDGE ENGINEERING																														1478-4637	1751-7664				SEP	2017	170	3					192	203	1600007	10.1680/jbren.16.00007								WOS:000416998100005						
C	Dhonju, HK; Xiao, W; Sarhosis, V; Mills, JP; Wilkinson, S; Wang, Z; Thapa, L; Panday, US		Aguilera, D; Georgopoulos, A; Kersten, T; Remondino, F; Stathopoulou, E		Dhonju, H. K.; Xiao, W.; Sarhosis, V.; Mills, J. P.; Wilkinson, S.; Wang, Z.; Thapa, L.; Panday, U. S.			FEASIBILITY STUDY OF LOW-COST IMAGE-BASED HERITAGE DOCUMENTATION IN NEPAL	3D VIRTUAL RECONSTRUCTION AND VISUALIZATION OF COMPLEX ARCHITECTURES	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				Conference on 3D Virtual Reconstruction and Visualization of Complex Architectures	MAR 01-03, 2017	Nafplio, GREECE	Int Soc Photogrammetry & Remote Sensing									Sarhosis, Vasilis/AAR-6142-2021; Mills, Jon/H-7444-2013	Mills, Jon/0000-0001-5304-7935; Sarhosis, Vasilis/0000-0003-4495-9902; Dhonju, Hari Krishna/0000-0003-1890-6321; Sarhosis, Vasileios/0000-0002-5748-7679; Xiao, Wen/0000-0003-4922-8228												2194-9034						2017	42-2	W3					237	242		10.5194/isprs-archives-XLII-2-W3-237-2017								WOS:000406399800033						
C	Chiabrando, F; Di Lolli, A; Patrucco, G; Spano, A; Sammartano, G; Lose, LT		Tucci, G; Bonora, V		Chiabrando, F.; Di Lolli, A.; Patrucco, G.; Spano, A.; Sammartano, G.; Lose, L. Teppati			MULTITEMPORAL 3D MODELLING FOR CULTURAL HERITAGE EMERGENCY DURING SEISMIC EVENTS: DAMAGE ASSESMENT OF S. AGOSTINO CHURCH IN AMATRICE (RI)	GEOMATICS & RESTORATION - CONSERVATION OF CULTURAL HERITAGE IN THE DIGITAL ERA	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				1st International Conference on Geomatics and Restoration - Conservation of Cultural Heritage in the Digital Era	MAY 22-24, 2017	Florence, ITALY	Acad Assoc Topog & Cartog, Acad Assoc Architectural Restorat, Italian Geog Mil Inst									Losè, Lorenzo Teppati/ABA-6136-2021; chiabrando, filiberto/AAE-9359-2021; SAMMARTANO, GIULIA/AAW-7386-2021; Patrucco, Giacomo/AAX-5570-2020; Sammartano, Giulia/AAX-2877-2021	Losè, Lorenzo Teppati/0000-0002-6316-8842; chiabrando, filiberto/0000-0002-4982-5236; SAMMARTANO, GIULIA/0000-0002-7474-1544; Patrucco, Giacomo/0000-0003-3061-5316; Spano, Antonia/0000-0003-4243-7959												1682-1750	2194-9034					2017	42-5	W1					69	76		10.5194/isprs-archives-XLII-5-W1-69-2017								WOS:000568504400010						
C	Vetrivel, A; Duarte, D; Nex, F; Gerke, M; Kerle, N; Vosselman, G		Halounova, L; Schindler, K; Limpouch, A; Pajdla, T; Safar, V; Mayer, H; Elberink, SO; Mallet, C; Rottensteiner, F; Bredif, M; Skaloud, J; Stilla, U		Vetrivel, A.; Duarte, D.; Nex, F.; Gerke, M.; Kerle, N.; Vosselman, G.			POTENTIAL OF MULTI-TEMPORAL OBLIQUE AIRBORNE IMAGERY FOR STRUCTURAL DAMAGE ASSESSMENT	XXIII ISPRS CONGRESS, COMMISSION III	ISPRS Annals of the Photogrammetry Remote Sensing and Spatial Information Sciences				23rd ISPRS Congress	JUL 12-19, 2016	Prague, CZECH REPUBLIC	Int Soc Photogrammetry & Remote Sensing									Kerle, Norman/A-5508-2010; Vosselman, George/D-3985-2009	Vosselman, George/0000-0001-8813-8028; Kerle, Norman/0000-0002-4513-4681; Gerke, Markus/0000-0002-2221-6182; Duarte, Diogo/0000-0002-1599-8956												2194-9042	2194-9050					2016	3	3					355	362		10.5194/isprsannals-III-3-355-2016								WOS:000391012700046						
J	Adhikari, RS; Moselhi, O; Bagchi, A				Adhikari, R. S.; Moselhi, O.; Bagchi, A.			Image-based retrieval of concrete crack properties for bridge inspection	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				APR	2014	39						180	194		10.1016/j.autcon.2013.06.011								WOS:000331665400018						
J	Volk, R; Stengel, J; Schultmann, F				Volk, Rebekka; Stengel, Julian; Schultmann, Frank			Building Information Modeling (BIM) for existing buildings - literature review and future needs	AUTOMATION IN CONSTRUCTION																	Schultmann, Frank/AAF-6300-2020; Jeong, Yongwook/N-7413-2016; Volk, Rebekka D/R-6755-2017; Bagga, Ankit/AAG-8019-2021	Schultmann, Frank/0000-0001-6405-9763; Volk, Rebekka D/0000-0001-9930-5354; 												0926-5805	1872-7891				MAR	2014	38						109	127		10.1016/j.autcon.2013.10.023								WOS:000333380600010						
C	Christofori, E; Bierwagen, J		Grussenmeyer, P		Christofori, E.; Bierwagen, J.			RECORDING CULTURAL HERITAGE USING TERRESTRIAL LASERSCANNING - DEALING WITH THE SYSTEM, THE HUGE DATASETS THEY CREATE AND WAYS TO EXTRACT THE NECESSARY DELIVERABLES YOU CAN WORK WITH	XXIV INTERNATIONAL CIPA SYMPOSIUM	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				24th International CIPA Symposium	SEP 02-06, 2013	Strasbourg, FRANCE																							2194-9034						2013	40-5-W2						183	188										WOS:000368423200032						
C	Fuchs, S; Kadolsky, M; Scherer, RJ		Reddy, S; Tata, S		Fuchs, Sebastian; Kadolsky, Mathias; Scherer, Raimar J.			Formal Description of a Generic Multi-Model	2011 20TH IEEE INTERNATIONAL WORKSHOPS ON ENABLING TECHNOLOGIES: INFRASTRUCTURE FOR COLLABORATIVE ENTERPRISES (WETICE)	IEEE International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises Proceedings				20th IEEE International Workshops on Enabling Technologies - Infrastructure for Collaborative Enterprises (WETICE)	JUN 27-29, 2011	Paris, FRANCE	IEEE, IEEE Comp Soc Tech Comm Data Engn, W Virginia Univ, CERC, Telecom SudParis, IEEE Comp Soc, Samovar, Institut Telecom																						1524-4547		978-0-7695-4410-6				2011							205	210		10.1109/WETICE.2011.34								WOS:000298603900040						
