PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Cheng, YM; Kuo, CL; Mou, CC				Cheng, Ying-Mei; Kuo, Chiao-Ling; Mou, Chia-Ching			ONTOLOGY-BASED HBIM FOR HISTORIC BUILDINGS WITH TRADITIONAL WOODWORK IN TAIWAN	JOURNAL OF CIVIL ENGINEERING AND MANAGEMENT																		Kuo, Chiao-Ling/0000-0002-8340-3328												1392-3730	1822-3605					2021	27	1					27	44		10.3846/jcem.2021.14115								WOS:000606826100003						
J	Ham, N; Bae, BI; Yuh, OK				Ham, Namhyuk; Bae, Baek-Il; Yuh, Ok-Kyung			Phased Reverse Engineering Framework for Sustainable Cultural Heritage Archives Using Laser Scanning and BIM: The Case of the Hwanggungwoo (Seoul, Korea)	SUSTAINABILITY																															2071-1050				OCT	2020	12	19							8108	10.3390/su12198108								WOS:000586633000001						
J	Mol, A; Cabaleiro, M; Sousa, HS; Branco, JM				Mol, Alvaro; Cabaleiro, Manuel; Sousa, Helder S.; Branco, Jorge M.			HBIM for storing life-cycle data regarding decay and damage in existing timber structures	AUTOMATION IN CONSTRUCTION																		Cabaleiro, Manuel/0000-0002-6948-1389												0926-5805	1872-7891				SEP	2020	117								103262	10.1016/j.autcon.2020.103262								WOS:000539120500015						
J	Shabani, A; Kioumarsi, M; Plevris, V; Stamatopoulos, H				Shabani, Amirhosein; Kioumarsi, Mahdi; Plevris, Vagelis; Stamatopoulos, Haris			Structural Vulnerability Assessment of Heritage Timber Buildings: A Methodological Proposal	FORESTS																	Kioumarsi/T-2791-2019; Plevris, Vagelis/M-6491-2015	Kioumarsi/0000-0001-7719-7997; Plevris, Vagelis/0000-0002-7377-781X; Stamatopoulos, Haris/0000-0003-0639-2386; Shabani, Amirhosein/0000-0003-2941-8956													1999-4907				AUG	2020	11	8							881	10.3390/f11080881								WOS:000565613000001						
J	Massafra, A; Prati, D; Predari, G; Gulli, R				Massafra, Angelo; Prati, Davide; Predari, Giorgia; Gulli, Riccardo			Wooden Truss Analysis, Preservation Strategies, and Digital Documentation through Parametric 3D Modeling and HBIM Workflow	SUSTAINABILITY																	prati, davide/ABC-5879-2020	prati, davide/0000-0002-9174-4659; Massafra, Angelo/0000-0002-3642-4660													2071-1050				JUN	2020	12	12							4975	10.3390/su12124975								WOS:000549223700001						
J	Jiang, YH; Li, AQ; Xie, LL; Hou, ML; Qi, Y; Liu, HY				Jiang, Yonghui; Li, Aiqun; Xie, Linlin; Hou, Miaole; Qi, Ying; Liu, Haoyu			Development and Application of an Intelligent Modeling Method for Ancient Wooden Architecture	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																		Hou, Miaole/0000-0002-0942-629X; Xie, Linlin/0000-0003-3796-5271													2220-9964				MAR	2020	9	3							167	10.3390/ijgi9030167								WOS:000523512400048						
J	Yoon,, Jun-Seop; Seong-Lyong, Ryoo				Yoon,, Jun-Seop; Seong-Lyong, Ryoo			A Study on the Advancement of Wooden Cultural Heritage Documentation through 3D Scanning	Journal of the Architectural Institute of Korea대한건축학회논문집																														2733-6239						2020	36	6					97	105		10.5659/JAIK.2020.36.6.97														
J	Liu, HY; Xie, LL; Shi, LW; Hou, ML; Li, AQ; Hu, YG				Liu, Haoyu; Xie, Linlin; Shi, Liwen; Hou, Miaole; Li, Aiqun; Hu, Yungang			A method of automatic extraction of parameters of multi-LoD BIM models for typical components in wooden architectural-heritage structures	ADVANCED ENGINEERING INFORMATICS																		Xie, Linlin/0000-0003-3796-5271												1474-0346	1873-5320				OCT	2019	42								101002	10.1016/j.aei.2019.101002								WOS:000501389000058						
J	Sztwiertnia, D; Ochalek, A; Tama, A; Lewinska, P				Sztwiertnia, Dominika; Ochalek, Agnieszak; Tama, Alicja; Lewinska, Paulina			HBIM (heritage Building Information Modell) of the Wang Stave Church in Karpacz - Case Study	INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE																	Lewińska, Paulina/O-4126-2019	Lewińska, Paulina/0000-0002-8141-754X												1558-3058	1558-3066				MAY 4	2021	15	5					713	727		10.1080/15583058.2019.1645238		AUG 2019						WOS:000480867800001						
J	Yang, XC; Lu, YC; Murtiyoso, A; Koehl, M; Grussenmeyer, P				Yang, Xiucheng; Lu, Yi-Chou; Murtiyoso, Arnadi; Koehl, Mathieu; Grussenmeyer, Pierre			HBIM Modeling from the Surface Mesh and Its Extended Capability of Knowledge Representation	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Pierre, Grussenmeyer/B-4570-2010; Yang, Xiucheng/O-4374-2018	Pierre, Grussenmeyer/0000-0002-7292-2755; Yang, Xiucheng/0000-0001-5134-9614; Murtiyoso, Arnadi/0000-0002-3310-8937												2220-9964					JUL	2019	8	7							301	10.3390/ijgi8070301								WOS:000478616400025						
J	Brumana, R; Della Torre, S; Previtali, M; Barazzetti, L; Cantini, L; Oreni, D; Banfi, F				Brumana, R.; Della Torre, S.; Previtali, M.; Barazzetti, L.; Cantini, L.; Oreni, D.; Banfi, F.			Generative HBIM modelling to embody complexity (LOD, LOG, LOA, LOI): surveying, preservation, site interventionthe Basilica diCollemaggio (L'Aquila)	APPLIED GEOMATICS																		banfi, fabrizio/0000-0002-5193-0043; BARAZZETTI, LUIGI/0000-0002-7859-8677												1866-9298	1866-928X				DEC	2018	10	4			SI		545	567		10.1007/s12518-018-0233-3								WOS:000449933600019						
J	Quattrini, R; Pierdicca, R; Morbidoni, C				Quattrini, Ramona; Pierdicca, Roberto; Morbidoni, Christian			Knowledge-based data enrichment for HBIM: Exploring high-quality models using the semantic-web	JOURNAL OF CULTURAL HERITAGE																	Quattrini, Ramona/AAH-3040-2020	Quattrini, Ramona/0000-0001-5637-6582												1296-2074	1778-3674				NOV-DEC	2017	28						129	139		10.1016/j.cuther.2017.05.004								WOS:000414230700015						
C	Chiabrando, F; Sammartano, G; Spano, A		Halounova, L; Safar, V; Remondino, F; Hodac, J; Pavelka, K; Shortis, M; Rinaudo, F; Scaioni, M; Boehm, J; RiekeZapp, D		Chiabrando, F.; Sammartano, G.; Spano, A.			HISTORICAL BUILDINGS MODELS AND THEIR HANDLING VIA 3D SURVEY: FROM POINTS CLOUDS TO USER- ORIENTED HBIM	XXIII ISPRS CONGRESS, COMMISSION V	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				23rd Congress of the International-Society-for-Photogrammetry-and-Remote-Sensing (ISPRS)	JUL 12-19, 2016	Prague, CZECH REPUBLIC	Int Soc Photogrammetry & Remote Sensing									SAMMARTANO, GIULIA/AAW-7386-2021; chiabrando, filiberto/AAE-9359-2021; Sammartano, Giulia/AAX-2877-2021	SAMMARTANO, GIULIA/0000-0002-7474-1544; chiabrando, filiberto/0000-0002-4982-5236; Spano, Antonia/0000-0003-4243-7959												2194-9034						2016	41	B5					633	640		10.5194/isprsarchives-XLI-B5-633-2016								WOS:000392739800091						
C	Khodeir, LM; Aly, D; Tarek, S		Sotoca, A; Catalani, A; Ghoneem, MY; Amer, MS		Khodeir, Laila M.; Aly, Dalia; Tarek, Shaimaa			Integrating HBIM (Heritage Building Information Modeling) Tools in the Application of Sustainable Retrofitting of Heritage Buildings in Egypt	IMPROVING SUSTAINABILITY CONCEPT IN DEVELOPING COUNTRIES (ISCDC)	Procedia Environmental Sciences				Conference on Improving Sustainability Concept in Developing Countries (ISCDC)	DEC 02-04, 2015	Cairo, EGYPT										Khodeir, Laila/P-3578-2018	Khodeir, Laila/0000-0003-4613-5843												1878-0296						2016	34						258	270		10.1016/j.proenv.2016.04.024								WOS:000387550200023						
J	Whan, An Dai				Whan, An Dai			The Study on Description about Application of 3D Scandata for the Survey Report of Wooden Architectural Heritage	Journal of the Architectural Institute of Korea Planning & Design대한건축학회논문집 계획계																														1226-9093						2015	31	1					65	74		10.5659/JAIK_PD.2015.31.1.65														
J	Han, Kim In; Park,, SeunghwaHan, Kim In; Park,, Seunghwa; 이지아				Han, Kim In; Park,, Seunghwa; 이지아			A Framework of the Open BIM-based Integrated Information System for the Korean Traditional House	Journal of the Architectural Institute of Korea Planning & Design대한건축학회논문집 계획계																														1226-9093						2012	28	09					13	20																
J	Jungdae, ParkJungdae, Park; 김재열				Jungdae, Park; 김재열			A Study on the Categorization System of the BIM-Library for Wooden Structure of the Korean Traditional Buildings	Journal of the Architectural Institute of Korea Structure & Construction대한건축학회논문집 구조계																														1226-9107						2012	28	05					119	126																
J	Park, J				Park, Jungdae			BIM-Based Parametric Design Methodology for Modernized Korean Traditional Buildings	JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING																														1346-7581	1347-2852				NOV	2011	10	2					327	334		10.3130/jaabe.10.327								WOS:000297629100007						
