PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, SM; Bao, JS; Lu, YQ; Li, J; Lu, SY; Sun, XM				Liu, Shimin; Bao, Jinsong; Lu, Yuqian; Li, Jie; Lu, Shanyu; Sun, Xuemin			Digital twin modeling method based on biomimicry for machining aerospace components	JOURNAL OF MANUFACTURING SYSTEMS																	Lu, Yuqian/U-6820-2019	Lu, Yuqian/0000-0001-5954-0421; BAO, Jinsong/0000-0003-1999-1003												0278-6125	1878-6642				JAN	2021	58		B		SI		180	195		10.1016/j.jmsy.2020.04.014								WOS:000631725900001						
J	Nie, ZH; Shen, F; Xu, DJ; Li, QH				Nie, Zhihong; Shen, Feng; Xu, Dingjie; Li, Qinhua			An EMD-SVR model for short-term prediction of ship motion using mirror symmetry and SVR algorithms to eliminate EMD boundary effect	OCEAN ENGINEERING																														0029-8018					DEC 1	2020	217								107927	10.1016/j.oceaneng.2020.107927								WOS:000597316900038						
J	Brown, NC; Jusiega, V; Mueller, CT				Brown, Nathan C.; Jusiega, Violetta; Mueller, Caitlin T.			Implementing data-driven parametric building design with a flexible toolbox	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				OCT	2020	118								103252	10.1016/j.autcon.2020.103252								WOS:000571806400006						
J	Ali, M; Ullah, I; Noor, W; Sajid, A; Basit, A; Baber, J				Ali, Muhammad; Ullah, Ihsan; Noor, Waheed; Sajid, Ahthasham; Basit, Abdul; Baber, Junaid			Predicting the Session of a P2P IPTV User through Support Vector Regression (SVR)	ENGINEERING TECHNOLOGY & APPLIED SCIENCE RESEARCH																														2241-4487	1792-8036				AUG	2020	10	4					6021	6026										WOS:000560815300024						
J	Zhou, S; Sun, LJ; Xing, W; Feng, GJ; Ji, YM; Yang, J; Liu, SC				Zhou, Shuang; Sun, Laijun; Xing, Wang; Feng, Guojun; Ji, Yamin; Yang, Jun; Liu, Shuangcai			Hyperspectral imaging of beet seed germination prediction	INFRARED PHYSICS & TECHNOLOGY																														1350-4495	1879-0275				AUG	2020	108								103363	10.1016/j.infrared.2020.103363								WOS:000539395000030						
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Jones, D; Snider, C; Nassehi, A; Yon, J; Hicks, B				Jones, David; Snider, Chris; Nassehi, Aydin; Yon, Jason; Hicks, Ben			Characterising the Digital Twin: A systematic literature review	CIRP JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY																	Snider, Chris/AAR-6791-2020; Nassehi, Aydin/C-6810-2008	Snider, Chris/0000-0003-2692-110X; Hicks, Ben/0000-0001-8294-4694; Jones, David/0000-0002-6209-2698; Nassehi, Aydin/0000-0003-3417-3391; Yon, Jason/0000-0002-9384-4311												1755-5817					MAY	2020	29		A				36	52		10.1016/j.cirpj.2020.02.002								WOS:000540340800004						
J	Jiang, MQ; Liu, JP; Zhang, L; Liu, CY				Jiang, Minqi; Liu, Jiapeng; Zhang, Lu; Liu, Chunyu			An improved Stacking framework for stock index prediction by leveraging tree-based ensemble models and deep learning algorithms	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS																														0378-4371	1873-2119				MAR 1	2020	541								122272	10.1016/j.physa.2019.122272								WOS:000514758600036						
J	Rehman, MSU; Thaheem, MJ; Nasir, AR; Khan, KIA				Sami Ur Rehman, Muhammad; Thaheem, Muhammad Jamaluddin; Nasir, Abdur Rehman; Khan, Khurram Iqbal Ahmad			Project schedule risk management through building information modelling	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																	Thaheem, Muhammad Jamaluddin/N-3013-2019; Rehman, Muhammad Sami Ur/ABF-6865-2020	Thaheem, Muhammad Jamaluddin/0000-0001-6092-7842; Rehman, Muhammad Sami Ur/0000-0003-3394-0157												1562-3599	2331-2327															10.1080/15623599.2020.1728606		FEB 2020						WOS:000514980400001						
