PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Akinlolu, M; Haupt, TC; Edwards, DJ; Simpeh, F				Akinlolu, Mariam; Haupt, Theo C.; Edwards, David John; Simpeh, Fredrick			A bibliometric review of the status and emerging research trends in construction safety management technologies	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																	Simpeh, Fredrick/AAI-8832-2021	Simpeh, Fredrick/0000-0002-9986-3417												1562-3599	2331-2327															10.1080/15623599.2020.1819584		SEP 2020						WOS:000570273400001						
J	Oshodi, OS; Awuzie, BO; Akotia, J; Ademiloye, AS; Ngowi, A				Oshodi, Olalekan Shamsideen; Awuzie, Bankole Osita; Akotia, Julius; Ademiloye, Adesola S.; Ngowi, Alfred			A bibliometric analysis of recycled concrete research (1978-2019)	BUILT ENVIRONMENT PROJECT AND ASSET MANAGEMENT																	Awuzie, Bankole/AAD-3611-2020; Ademiloye, Adesola/A-2835-2016	Awuzie, Bankole/0000-0003-3371-191X; Ademiloye, Adesola/0000-0002-9741-6488; OSHODI, Olalekan/0000-0001-6106-7717												2044-124X	2044-1258				OCT 20	2020	10	5					725	736		10.1108/BEPAM-01-2020-0009		SEP 2020						WOS:000568093300001						
J	Wu, ZZ; Yang, KJ; Lai, XF; Antwi-Afari, MF				Wu, Zezhou; Yang, Kaijie; Lai, Xiaofan; Antwi-Afari, Maxwell Fordjour			A Scientometric Review of System Dynamics Applications in Construction Management Research	SUSTAINABILITY																		Antwi-Afari, Maxwell Fordjour/0000-0002-6812-7839													2071-1050				SEP	2020	12	18							7474	10.3390/su12187474								WOS:000584434000001						
J	Liang, HK; Zhang, SJ; Su, YK				Liang, Huakang; Zhang, Shoujian; Su, Yikun			The structure and emerging trends of construction safety management research: a bibliometric review	INTERNATIONAL JOURNAL OF OCCUPATIONAL SAFETY AND ERGONOMICS																		Liang, Huakang/0000-0003-1196-4588												1080-3548	2376-9130				JUL 2	2020	26	3					469	488		10.1080/10803548.2018.1444565								WOS:000547136200006	29480063					
J	Olanrewaju, OI; Chileshe, N; Babarinde, SA; Sandanayake, M				Olanrewaju, Oludolapo Ibrahim; Chileshe, Nicholas; Babarinde, Sunday Ajiboye; Sandanayake, Malindu			Investigating the barriers to building information modeling (BIM) implementation within the Nigerian construction industry	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT																	Chileshe, Nicholas/F-5482-2010; Olanrewaju, Oludolapo/R-6982-2018	Chileshe, Nicholas/0000-0002-1981-7518; Olanrewaju, Oludolapo/0000-0003-0034-6864												0969-9988	1365-232X				OCT 20	2020	27	10					2931	2958		10.1108/ECAM-01-2020-0042		MAY 2020						WOS:000532715200001						
J	Aghimien, DO; Aigbavboa, CO; Oke, AE; Thwala, WD				Aghimien, Douglas Omoregie; Aigbavboa, Clinton Ohis; Oke, Ayodeji Emmanuel; Thwala, Wellington Didibhuku			Mapping out research focus for robotics and automation research in construction-related studies A bibliometric approach	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																	OKE, AYODEJI EMMANUEL/C-1218-2013; Aigbavboa, Clinton/AAS-6493-2020; Aghimien, Douglas Omoregie/H-4534-2018	OKE, AYODEJI EMMANUEL/0000-0001-6551-8634; Aigbavboa, Clinton/0000-0003-2866-3706; Aghimien, Douglas Omoregie/0000-0002-6661-5679; Thwala, Wellington Didibhuku/0000-0002-8848-7823												1726-0531					AUG 20	2020	18	5					1063	1079		10.1108/JEDT-09-2019-0237		DEC 2019						WOS:000506892400001						
J	Wu, J; Zhang, JS				Wu, Jin; Zhang, Jiansong			New Automated BIM Object Classification Method to Support BIM Interoperability	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																		Zhang, Jiansong/0000-0001-5225-5943; Wu, Jin/0000-0002-4535-9653												0887-3801	1943-5487				SEP 1	2019	33	5							04019033	10.1061/(ASCE)CP.1943-5487.0000858								WOS:000475453400005						
J	Lozano, S; Calzada-Infante, L; Adenso-Diaz, B; Garcia, S				Lozano, S.; Calzada-Infante, L.; Adenso-Diaz, B.; Garcia, S.			Complex network analysis of keywords co-occurrence in the recent efficiency analysis literature	SCIENTOMETRICS																	Adenso-Diaz, Belarmino/L-1638-2017; Calzada, Laura/L-1603-2017; Lozano, Sebastián/E-7807-2010	Calzada, Laura/0000-0002-2662-5186; Lozano, Sebastián/0000-0002-0401-3584												0138-9130	1588-2861				AUG	2019	120	2					609	629		10.1007/s11192-019-03132-w								WOS:000477044700011						
J	Georgiadou, MC				Georgiadou, Maria Christina			An overview of benefits and challenges of building information modelling (BIM) adoption in UK residential projects	CONSTRUCTION INNOVATION-ENGLAND																														1471-4175	1477-0857				JUL 7	2019	19	3					298	320		10.1108/CI-04-2017-0030								WOS:000479238300001						
J	Wu, HY; Zuo, J; Zillante, G; Wang, JY; Yuan, HP				Wu, Huanyu; Zuo, Jian; Zillante, George; Wang, Jiayuan; Yuan, Hongping			Construction and demolition waste research: a bibliometric analysis	ARCHITECTURAL SCIENCE REVIEW																														0003-8628	1758-9622				JUL 4	2019	62	4					354	365		10.1080/00038628.2018.1564646								WOS:000479079500008						
J	Guo, YM; Huang, ZL; Guo, J; Li, H; Guo, XR; Nkeli, MJ				Guo, Yi-Ming; Huang, Zhen-Ling; Guo, Ji; Li, Hua; Guo, Xing-Rong; Nkeli, Mpeoane Judith			Bibliometric Analysis on Smart Cities Research	SUSTAINABILITY																															2071-1050				JUL 1	2019	11	13							3606	10.3390/su11133606								WOS:000477051900107						
