Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Xu X., Ding L., Luo H., Ma L.","From building information modeling to city information modeling",2014,"J. Inf. Technol. Constr.",38,,[No abstract available],,"Final",Scopus,2-s2.0-84962848006
"Auci S., Mundula L., Quaquero E.","Bright cities and city information modeling",2019,"Real Corp.",2,,[No abstract available],,"Final",Scopus,2-s2.0-85103702666
"Alashi A.T.Y., Koramaz T.K.","Towards city information modeling: A multidisciplinary platform for urban planners",2019,"Handbook of Research on Digital Research Methods and Architectural Tools in Urban Planning and Design",1,,[No abstract available],,"Final",Scopus,2-s2.0-85108912014
"Shaheen M.",[No title available],2019,"The Interoperability between BIM and CIM for Urban Design Process and Energy Simulation",1,,[No abstract available],,"Final",Scopus,2-s2.0-85108904607
"Fistola R., Rastelli A.","Nuove tecnologie e futuro della città: Il governo “aumentato” delle trasformazioni urbane",2018,"Urbanistica Informazioni. XI Giornata Studio INU Interruzioni, Intersezioni, Condivisioni, Sovrapposizioni. Nuove Prospettive per Il Territorio. INU Edizioni",1,,[No abstract available],,"Final",Scopus,2-s2.0-85108912515
"Stojanovski T.","City information modelling (CIM) and urban design: Morphological structure, design elements and programming classes in CIM. In: Computing for a better tomorrow. Proceedings of the 36th eCAADe conference, Lodz University of Technology, Lodz, Poland",2018,"19–21 Sept 2018",1,,[No abstract available],,"Final",Scopus,2-s2.0-85108908700
