PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Brumana, R; Condoleo, P; Grimoldi, A; Previtali, M		Brumana, R; Pracchi, V; Rinaudo, F; Grimoldi, A; Scaioni, M; Previtali, M; Cantini, L		Brumana, R.; Condoleo, P.; Grimoldi, A.; Previtali, M.			TOWARDS A SEMANTIC BASED HUB PLATFORM OF VAULTED SYSTEMS: HBIM MEETS A GEODB	2ND INTERNATIONAL CONFERENCE OF GEOMATICS AND RESTORATION (GEORES 2019)	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				2nd International Conference of Geomatics and Restoration (GEORES)	MAY 08-10, 2019	Milan, ITALY	Carleton Univ, Carleton Immers Media Studio, Microgeo Srl, GEOMAX Srl, STONEX Srl										Grimoldi, Alberto/0000-0002-2726-2305												1682-1750	2194-9034					2019	42-2	W11					301	308		10.5194/isprs-archives-XLII-2-W11-301-2019								WOS:000568508700042						
J	Elfadaly, A; Attia, W; Qelichi, MM; Murgante, B; Lasaponara, R				Elfadaly, Abdelaziz; Attia, Wael; Qelichi, Mohamad Molaei; Murgante, Beniamino; Lasaponara, Rosa			Management of Cultural Heritage Sites Using Remote Sensing Indices and Spatial Analysis Techniques	SURVEYS IN GEOPHYSICS					3rd International Conference on Metrology for Archaeology and Cultural Heritage	OCT 23-25, 2017	Lecce, ITALY										Murgante, Beniamino/B-4049-2016; Lasaponara, Rosa/AAI-6160-2020; Qelichi, Mohamad Molaei/Q-1949-2019; Elfadaly, Abdelaziz/AAQ-4781-2021	Murgante, Beniamino/0000-0003-2409-5959; Lasaponara, Rosa/0000-0002-1287-646X; Qelichi, Mohamad Molaei/0000-0002-1915-550X; Elfadaly, Abdelaziz/0000-0002-8376-5556; Elfadaly, Abdelaziz/0000-0001-8647-4212												0169-3298	1573-0956				NOV	2018	39	6			SI		1347	1377		10.1007/s10712-018-9489-8								WOS:000447982800017						
J	Klein, LJ; Bermudez, SA; Schrott, AG; Tsukada, M; Dionisi-Vici, P; Kargere, L; Marianno, F; Hamann, HF; Lopez, V; Leona, M				Klein, Levente J.; Bermudez, Sergio A.; Schrott, Alejandro G.; Tsukada, Masahiko; Dionisi-Vici, Paolo; Kargere, Lucretia; Marianno, Fernando; Hamann, Hendrik F.; Lopez, Vanessa; Leona, Marco			Wireless Sensor Platform for Cultural Heritage Monitoring and Modeling System	SENSORS																	Dionisi-Vici, Paolo/G-3829-2011; Dionisi-Vici, Paolo/V-1426-2019	Dionisi-Vici, Paolo/0000-0002-9692-9695; Dionisi-Vici, Paolo/0000-0002-9692-9695; Klein, Levente/0000-0001-9497-1403													1424-8220				SEP	2017	17	9							1998	10.3390/s17091998								WOS:000411484700068						
C	Bruman, R; Della Torre, S; Oreni, D; Previtali, M; Cantini, L; Barazzetti, L; Franchi, A; Banfi, F		Hayes, J; Ouimet, C; Quintero, MS; Fai, S; Smith, L		Bruman, R.; Della Torre, S.; Oreni, D.; Previtali, M.; Cantini, L.; Barazzetti, L.; Franchi, A.; Banfi, F.			HBIM CHALLENGE AMONG THE PARADIGM OF COMPLEXITY, TOOLS AND PRESERVATION: THE BASILICA DI COLLEMAGGIO 8 YEARS AFTER THE EARTHQUAKE (L'AQUILA)	ICOMOS/ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION (CIPA) 26TH INTERNATIONAL CIPA SYMPOSIUM - DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				26th International Symposium of ICOMOS/ISPRS-International-Scientific-Committee-on-Heritage-Documentation (CIPA) on Digital Workflows for Heritage Conservation	AUG 28-SEP 01, 2017	Ottawa, CANADA	ICOMOS ISPRS Int Sci Comm Heritage Documentat, Int Soc Photogrammetry & Remote Sensing									Cantini, Lorenzo/M-6111-2019; Fai, Stephen/V-1266-2018	Cantini, Lorenzo/0000-0002-0680-9535; Fai, Stephen/0000-0003-2369-5442; banfi, fabrizio/0000-0002-5193-0043; BARAZZETTI, LUIGI/0000-0002-7859-8677												2194-9034						2017	42-2	W5					97	104		10.5194/isprs-archives-XLII-2-W5-97-2017								WOS:000426801500015						
C	Oreni, D; Karimi, G; Barazzetti, L		Hayes, J; Ouimet, C; Quintero, MS; Fai, S; Smith, L		Oreni, D.; Karimi, G.; Barazzetti, L.			APPLYING BIM TO BUILT HERITAGE WITH COMPLEX SHAPES: THE ICE HOUSE OF FILARETE'S OSPEDALE MAGGIORE IN MILAN, ITALY	ICOMOS/ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION (CIPA) 26TH INTERNATIONAL CIPA SYMPOSIUM - DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				26th International Symposium of ICOMOS/ISPRS-International-Scientific-Committee-on-Heritage-Documentation (CIPA) on Digital Workflows for Heritage Conservation	AUG 28-SEP 01, 2017	Ottawa, CANADA	ICOMOS ISPRS Int Sci Comm Heritage Documentat, Int Soc Photogrammetry & Remote Sensing									Fai, Stephen/V-1266-2018	Fai, Stephen/0000-0003-2369-5442; BARAZZETTI, LUIGI/0000-0002-7859-8677												2194-9034						2017	42-2	W5					553	560		10.5194/isprs-archives-XLII-2-W5-553-2017								WOS:000426801500082						
C	Chiabrando, F; Lo Turco, M; Rinaudo, F		Hayes, J; Ouimet, C; Quintero, MS; Fai, S; Smith, L		Chiabrando, F.; Lo Turco, M.; Rinaudo, F.			MODELING THE DECAY IN AN HBIM STARTING FROM 3D POINT CLOUDS. A FOLLOWED APPROACH FOR CULTURAL HERITAGE KNOWLEDGE	ICOMOS/ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION (CIPA) 26TH INTERNATIONAL CIPA SYMPOSIUM - DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				26th International Symposium of ICOMOS/ISPRS-International-Scientific-Committee-on-Heritage-Documentation (CIPA) on Digital Workflows for Heritage Conservation	AUG 28-SEP 01, 2017	Ottawa, CANADA	ICOMOS ISPRS Int Sci Comm Heritage Documentat, Int Soc Photogrammetry & Remote Sensing									chiabrando, filiberto/AAE-9359-2021; Rinaudo, Fulvio/M-5926-2019	chiabrando, filiberto/0000-0002-4982-5236; Rinaudo, Fulvio/0000-0002-9592-1341												2194-9034						2017	42-2	W5					605	612		10.5194/isprs-archives-XLII-2-W5-605-2017								WOS:000426801500089						
C	Van Balen, K		Hayes, J; Ouimet, C; Quintero, MS; Fai, S; Smith, L		Van Balen, K.			Challenges that Preventive Conservation poses to the Cultural Heritage documentation field	ICOMOS/ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION (CIPA) 26TH INTERNATIONAL CIPA SYMPOSIUM - DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				26th International Symposium of ICOMOS/ISPRS-International-Scientific-Committee-on-Heritage-Documentation (CIPA) on Digital Workflows for Heritage Conservation	AUG 28-SEP 01, 2017	Ottawa, CANADA	ICOMOS ISPRS Int Sci Comm Heritage Documentat, Int Soc Photogrammetry & Remote Sensing									Van Balen, Koenraad/Q-6350-2019; Van Balen, Koenraad EP/C-2063-2012	Van Balen, Koenraad/0000-0001-6595-2051; Van Balen, Koenraad EP/0000-0001-6595-2051												2194-9034						2017	42-2	W5					713	717		10.5194/isprs-archives-XLII-2-W5-713-2017								WOS:000426801500106						
J	Fredheim, LH; Khalaf, M				Fredheim, L. Harald; Khalaf, Manal			The significance of values: heritage value typologies re-examined	INTERNATIONAL JOURNAL OF HERITAGE STUDIES																		Fredheim, Leif Harald/0000-0003-1538-1179												1352-7258	1470-3610				JUN	2016	22	6					466	481		10.1080/13527258.2016.1171247								WOS:000378805600004						
C	Barazzetti, L; Banfi, F; Brumana, R; Oreni, D; Previtali, M; Roncoroni, F		Yen, YN; Weng, KH; Cheng, HM		Barazzetti, L.; Banfi, F.; Brumana, R.; Oreni, D.; Previtali, M.; Roncoroni, F.			HBIM AND AUGMENTED INFORMATION: TOWARDS A WIDER USER COMMUNITY OF IMAGE AND RANGE-BASED RECONSTRUCTIONS	25TH INTERNATIONAL CIPA SYMPOSIUM 2015	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				25th International CIPA Symposium	AUG 31-SEP 04, 2015	Taipei, TAIWAN											BARAZZETTI, LUIGI/0000-0002-7859-8677; banfi, fabrizio/0000-0002-5193-0043												2194-9034						2015	40-5	W7					35	42		10.5194/isprsarchives-XL-5-W7-35-2015								WOS:000380437800006						
C	Cheng, HM; Yang, WB; Yen, YN		Yen, YN; Weng, KH; Cheng, HM		Cheng, Hung-Ming; Yang, Wun-Bin; Yen, Ya-Ning			BIM applied in historical building documentation and refurbishing	25TH INTERNATIONAL CIPA SYMPOSIUM 2015	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				25th International CIPA Symposium	AUG 31-SEP 04, 2015	Taipei, TAIWAN																							2194-9034						2015	40-5	W7					85	90		10.5194/isprsarchives-XL-5-W7-85-2015								WOS:000380437800013						
