PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Zaballos, A; Briones, A; Massa, A; Centelles, P; Caballero, V				Zaballos, Agustin; Briones, Alan; Massa, Alba; Centelles, Pol; Caballero, Victor			A Smart Campus' Digital Twin for Sustainable Comfort Monitoring	SUSTAINABILITY																	Briones, Alan/AAZ-2904-2021; Zaballos, Agustin/I-1320-2015	Zaballos, Agustin/0000-0003-2755-4428; Briones, Alan/0000-0003-2009-8669; Massa, Alba/0000-0002-0757-8927													2071-1050				NOV	2020	12	21							9196	10.3390/su12219196								WOS:000589212800001						
J	Kaewunruen, S; Peng, SJ; Phil-Ebosie, O				Kaewunruen, Sakdirat; Peng, Shijie; Phil-Ebosie, Olisa			Digital Twin Aided Sustainability and Vulnerability Audit for Subway Stations	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				OCT	2020	12	19							7873	10.3390/su12197873								WOS:000586687900001						
J	Sepasgozar, SME				Sepasgozar, Samad M. E.			Digital Twin and Web-Based Virtual Gaming Technologies for Online Education: A Case of Construction Management and Engineering	APPLIED SCIENCES-BASEL																	Hidayat, Ima/ABF-6870-2021	M. E. Sepasgozar, Samad/0000-0003-2568-3111													2076-3417				JUL	2020	10	13							4678	10.3390/app10134678								WOS:000555581300001						
J	He, B; Bai, KJ				He, Bin; Bai, Kai-Jian			Digital twin-based sustainable intelligent manufacturing: a review	ADVANCES IN MANUFACTURING																														2095-3127	2195-3597				MAR	2021	9	1			SI		1	21		10.1007/s40436-020-00302-5		MAY 2020						WOS:000530254900001						
J	Li, SP; Lu, YJ; Kua, HW; Chang, RD				Li, Shengping; Lu, Yujie; Kua, Harn Wei; Chang, Ruidong			The economics of green buildings: A life cycle cost analysis of non-residential buildings in tropic climates	JOURNAL OF CLEANER PRODUCTION																	Lu, Yujie/AAF-1872-2020	Lu, Yujie/0000-0002-9585-0192; Chang, Ruidong/0000-0003-2223-5292; li, shengping/0000-0002-7428-1525												0959-6526	1879-1786				APR 10	2020	252								119771	10.1016/j.jclepro.2019.119771								WOS:000516777200050						
J	Cheng, JCP; Chen, WW; Chen, KY; Wang, Q				Cheng, Jack C. P.; Chen, Weiwei; Chen, Keyu; Wang, Qian			Data-driven predictive maintenance planning framework for MEP components based on BIM and IoT using machine learning algorithms	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X												0926-5805	1872-7891				APR	2020	112								103087	10.1016/j.autcon.2020.103087								WOS:000526785600017						
J	Francisco, A; Mohammadi, N; Taylor, JE				Francisco, Abigail; Mohammadi, Neda; Taylor, John E.			Smart City Digital Twin-Enabled Energy Management: Toward Real-Time Urban Building Energy Benchmarking	JOURNAL OF MANAGEMENT IN ENGINEERING																		Taylor, John/0000-0002-8949-3248												0742-597X	1943-5479				MAR 1	2020	36	2							04019045	10.1061/(ASCE)ME.1943-5479.0000741								WOS:000508191300016						
J	Bain, PG; Kroonenberg, PM; Johansson, LO; Milfont, TL; Crimston, CR; Kurz, T; Bushina, E; Calligaro, C; Demarque, C; Guan, YJ; Park, J				Bain, Paul G.; Kroonenberg, Pieter M.; Johansson, Lars-Olof; Milfont, Taciano L.; Crimston, Charlie R.; Kurz, Tim; Bushina, Ekaterina; Calligaro, Carolina; Demarque, Christophe; Guan, Yanjun; Park, Joonha			Public views of the Sustainable Development Goals across countries	NATURE SUSTAINABILITY																		Kurz, Tim/0000-0002-2037-0995; Crimston, Charlie/0000-0002-4529-786X; Bain, Paul/0000-0001-5521-2738; Park, Joonha/0000-0002-0764-5173												2398-9629					SEP	2019	2	9					819	825		10.1038/s41893-019-0365-4								WOS:000485771900012						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
J	Tao, F; Zhan, H; Liu, A; Nee, AYC				Tao, Fei; Zhan, He; Liu, Ang; Nee, A. Y. C.			Digital Twin in Industry: State-of-the-Art	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Tao, Fei/F-8944-2012; Andrew, Y.C. Nee/C-9974-2009	Tao, Fei/0000-0002-9020-0633; Nee, Andrew/0000-0002-1029-9988												1551-3203	1941-0050				APR	2019	15	4					2405	2415		10.1109/TII.2018.2873186								WOS:000467095500054						
J	Amiri, A; Ottelin, J; Sorvari, J				Amiri, Ali; Ottelin, Juudit; Sorvari, Jaana			Are LEED-Certified Buildings Energy-Efficient in Practice?	SUSTAINABILITY																	Ottelin, Juudit/AAA-8887-2019; Amiri, Ali/V-3668-2019	Ottelin, Juudit/0000-0003-0878-5108; Sorvari, Jaana/0000-0001-7202-160X; Amiri, Ali/0000-0002-9476-8007												2071-1050					MAR 20	2019	11	6							1672	10.3390/su11061672								WOS:000464343400004						
J	Raouf, AMI; Al-Ghamdi, SG				Raouf, Ayman M., I; Al-Ghamdi, Sami G.			Building information modelling and green buildings: challenges and opportunities	ARCHITECTURAL ENGINEERING AND DESIGN MANAGEMENT																	Al-Ghamdi, Sami G./AAH-6959-2020	Al-Ghamdi, Sami G./0000-0002-7416-5153												1745-2007	1752-7589				JAN 2	2019	15	1					1	28		10.1080/17452007.2018.1502655								WOS:000451587100001						
