J	Myers, D; Suriadi, S; Radke, K; Foo, E				Myers, David; Suriadi, Suriadi; Radke, Kenneth; Foo, Ernest			Anomaly detection for industrial control systems using process mining	COMPUTERS & SECURITY																	Foo, Ernest/AAU-2301-2021	Foo, Ernest/0000-0002-3971-6415; Myers, David/0000-0002-2001-8879												0167-4048	1872-6208				SEP	2018	78						103	125		10.1016/j.cose.2018.06.002								WOS:000447358700008						
J	Erdogan, TG; Tarhan, A				Erdogan, Tugba Gurgen; Tarhan, Ayca			A Goal-Driven Evaluation Method Based On Process Mining for Healthcare Processes	APPLIED SCIENCES-BASEL																	Tarhan, Ayca/D-6138-2013	Tarhan, Ayca/0000-0003-1466-9605												2076-3417					JUN	2018	8	6							894	10.3390/app8060894								WOS:000436488000053						
J	Flath, CM; Stein, N				Flath, Christoph M.; Stein, Nikolai			Towards a data science toolbox for industrial analytics applications	COMPUTERS IN INDUSTRY																														0166-3615	1872-6194				JAN	2018	94						16	25		10.1016/j.compind.2017.09.003								WOS:000419412900002						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
J	Peng, Y; Lin, JR; Zhang, JP; Hu, ZZ				Peng, Yang; Lin, Jia-Rui; Zhang, Jian-Ping; Hu, Zhen-Zhong			A hybrid data mining approach on BIM-based building operation and maintenance	BUILDING AND ENVIRONMENT																	Hu, Zhen-Zhong/AAI-9454-2020; Jeong, Yongwook/N-7413-2016; Lin, Jia-Rui/L-7191-2019; Lin, Jia-Rui/E-9923-2019; Lin, Jia-Rui/D-5238-2012	Hu, Zhen-Zhong/0000-0001-9653-0097; Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675												0360-1323	1873-684X				DEC	2017	126						483	495		10.1016/j.buildenv.2017.09.030								WOS:000417010000040						
J	Hwang, I; Jang, YJ				Hwang, Illhoe; Jang, Young Jae			Process Mining to Discover Shoppers' Pathways at a Fashion Retail Store Using a WiFi-Base Indoor Positioning System	IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING																	Jang, Young Jae/C-1837-2011	Jang, Young Jae/0000-0002-2342-1444												1545-5955	1558-3783				OCT	2017	14	4					1786	1792		10.1109/TASE.2017.2692961								WOS:000412500600021						
J	Deb, C; Zhang, F; Yang, JJ; Lee, SE; Shah, KW				Deb, Chirag; Zhang, Fan; Yang, Junjing; Lee, Siew Eang; Shah, Kwok Wei			A review on time series forecasting techniques for building energy consumption	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Deb, Chirag/AAA-9486-2021	Deb, Chirag/0000-0001-9634-6441; Lee, Siew Eang/0000-0003-2683-1075; Shah, Kwok Wei/0000-0002-5649-4105; zhang, fan/0000-0002-1792-5195												1364-0321					JUL	2017	74						902	924		10.1016/j.rser.2017.02.085								WOS:000401492900065						
J	Schleich, B; Anwer, N; Mathieu, L; Wartzack, S				Schleich, Benjamin; Anwer, Nabil; Mathieu, Luc; Wartzack, Sandro			Shaping the digital twin for design and production engineering	CIRP ANNALS-MANUFACTURING TECHNOLOGY																	anwer, nabil/AAG-3942-2019; ANWER, NABIL/C-8538-2015	anwer, nabil/0000-0002-0771-4685; ANWER, NABIL/0000-0002-0771-4685; Schleich, Benjamin/0000-0002-3638-4179; Wartzack, Sandro/0000-0002-0244-5033												0007-8506	1726-0604					2017	66	1					141	144		10.1016/j.cirp.2017.04.040								WOS:000407985900036						
J	Tao, F; Zhang, M				Tao, Fei; Zhang, Meng			Digital Twin Shop-Floor: A New Shop-Floor Paradigm Towards Smart Manufacturing	IEEE ACCESS																	Tao, Fei/F-8944-2012	Tao, Fei/0000-0002-9020-0633												2169-3536						2017	5						20418	20427		10.1109/ACCESS.2017.2756069								WOS:000413873500035						
C	Vachalek, J; Bartalsky, L; Rovny, O; Sismisova, D; Morhac, M; Loksik, M		Fikar, M; Kvasnica, M		Vachalek, Jan; Bartalsky, Lukas; Rovny, Oliver; Sismisova, Dana; Morhac, Martin; Loksik, Milan			The Digital Twin of an Industrial Production Line Within the Industry 4.0 Concept	2017 21ST INTERNATIONAL CONFERENCE ON PROCESS CONTROL (PC)					21st International Conference on Process Control (PC)	JUN 06-09, 2017	Strbske Pleso, SLOVAKIA	IEEE, IEEE Czechoslovakia Sect, Inst Informat Engn Automat & Math, Slovak Univ Technol Bratislava, Fac Chem & Food Technol, Univ Pardubice, Univ Zagreb, Czech Tech Univ Prague, Slovak Soc Cybernet & Informat, IFAC Natl Member Org, Slovak Soc Ind Chem									Vachalek, Jan/P-4570-2019; Vachalek, Jan/AAX-9556-2021	Vachalek, Jan/0000-0003-1533-5914														978-1-5386-4011-1				2017							258	262										WOS:000412119800045						
J	Yahya, BN; Song, M; Bae, H; Sul, SO; Wu, JZ				Yahya, Bernardo Nugroho; Song, Minseok; Bae, Hyerim; Sul, Sung-ook; Wu, Jei-Zheng			Domain-driven actionable process model discovery	COMPUTERS & INDUSTRIAL ENGINEERING																	Wu）, 吳吉政（Jei-Zheng/C-6046-2013; Song, Minseok/U-9378-2019	Wu）, 吳吉政（Jei-Zheng/0000-0003-4834-1106; Song, Minseok/0000-0002-6813-8853												0360-8352	1879-0550				SEP	2016	99						382	400		10.1016/j.cie.2016.05.010								WOS:000383930600032						
J	Yuan, X; Anumba, CJ; Parfitt, MK				Yuan, Xiao; Anumba, Chimay J.; Parfitt, M. Kevin			Cyber-physical systems for temporary structure monitoring	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				JUN	2016	66						1	14		10.1016/j.autcon.2016.02.005								WOS:000375630200001						
J	Lin, JR; Hu, ZZ; Zhang, JP; Yu, FQ				Lin, Jia-Rui; Hu, Zhen-Zhong; Zhang, Jian-Ping; Yu, Fang-Qiang			A Natural-Language-Based Approach to Intelligent Data Retrieval and Representation for Cloud BIM	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING																	Lin, Jia-Rui/E-9923-2019; Jeong, Yongwook/N-7413-2016; Lin, Jia-Rui/L-7191-2019; Hu, Zhen-Zhong/AAI-9454-2020; Lin, Jia-Rui/D-5238-2012	Lin, Jia-Rui/0000-0003-2195-8675; Lin, Jia-Rui/0000-0003-2195-8675; Hu, Zhen-Zhong/0000-0001-9653-0097; Lin, Jia-Rui/0000-0003-2195-8675												1093-9687	1467-8667				JAN	2016	31	1					18	33		10.1111/mice.12151								WOS:000368000100003						
J	Dave, B; Kubler, S; Framling, K; Koskela, L				Dave, Bhargav; Kubler, Sylvain; Framling, Kary; Koskela, Lauri			Opportunities for enhanced lean construction management using Internet of Things standards	AUTOMATION IN CONSTRUCTION																	Koskela, Lauri/B-2359-2010; Främling, Kary Å/G-2222-2013; Bahroun, Zied/F-6863-2019	Främling, Kary Å/0000-0002-8078-5172; Bahroun, Zied/0000-0003-2832-3672; Kubler, Sylvain/0000-0001-7672-7837; Koskela, Lauri/0000-0003-4449-2281												0926-5805	1872-7891				JAN	2016	61						86	97		10.1016/j.autcon.2015.10.009								WOS:000366779700008						
J	Premchaiswadi, W; Porouhan, P				Premchaiswadi, Wichian; Porouhan, Parham			Process modeling and bottleneck mining in online peer-review systems	SPRINGERPLUS																		Porouhan, Parham/0000-0003-1209-6719												2193-1801					AUG 22	2015	4								441	10.1186/s40064-015-1183-4								WOS:000360387300001	26312206					
J	Ding, LY; Zhou, Y; Akinci, B				Ding, Lieyun; Zhou, Ying; Akinci, Burcu			Building Information Modeling (BIM) application framework: The process of expanding from 3D to computable nD	AUTOMATION IN CONSTRUCTION																	Jeong, Yongwook/N-7413-2016; Zhou, Ying/ABB-3897-2020	Zhou, Ying/0000-0002-3661-9265; Ding, Lieyun/0000-0002-9873-3776												0926-5805	1872-7891				OCT	2014	46						82	93		10.1016/j.autcon.2014.04.009								WOS:000341478500010						
J	Park, J; Lee, D; Zhu, J				Park, Jaehun; Lee, Dongha; Zhu, Joe			An integrated approach for ship block manufacturing process performance evaluation: Case from a Korean shipbuilding company	INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS																	Park, Jaehun/ABC-7608-2020; Zhu, Joe/E-7999-2014	Zhu, Joe/0000-0001-6103-080X												0925-5273	1873-7579				OCT	2014	156						214	222		10.1016/j.ijpe.2014.06.012								WOS:000341466100021						
J	Ding, LY; Xu, X				Ding, Lieyun; Xu, Xun			Application of Cloud Storage on BIM Life-cycle Management	INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS																		Ding, Lieyun/0000-0002-9873-3776												1729-8814					AUG 22	2014	11								129	10.5772/58443								WOS:000341371000001						
J	Buijs, JCAM; van Dongen, BF; van der Aalst, WMP				Buijs, J. C. A. M.; van Dongen, B. F.; van der Aalst, W. M. P.			Quality Dimensions in Process Discovery: The Importance of Fitness, Precision, Generalization and Simplicity	INTERNATIONAL JOURNAL OF COOPERATIVE INFORMATION SYSTEMS																	van der Aalst, Wil/G-1248-2011	van der Aalst, Wil/0000-0002-0955-6940; van Dongen, Boudewijn/0000-0002-3978-6464; Buijs, Joos/0000-0003-0568-3237												0218-8430	1793-6365				MAR	2014	23	1			SI				1440001	10.1142/S0218843014400012								WOS:000336257600002						
J	Dimitrov, A; Golparvar-Fard, M				Dimitrov, Andrey; Golparvar-Fard, Mani			Vision-based material recognition for automated monitoring of construction progress and generating building information modeling from unordered site image collections	ADVANCED ENGINEERING INFORMATICS																	Jeong, Yongwook/N-7413-2016													1474-0346	1873-5320				JAN	2014	28	1					37	49		10.1016/j.aei.2013.11.002								WOS:000332357100004						
C	Srewil, Y; Scherer, RJ		CamarinhaMatos, LM; Scherer, RJ		Srewil, Yaseen; Scherer, Raimar J.			Effective Construction Process Monitoring and Control through a Collaborative Cyber-Physical Approach	COLLABORATIVE SYSTEMS FOR REINDUSTRIALIZATION	IFIP Advances in Information and Communication Technology				14th IFIP WG 5.5 Working Conference on Virtual Enterprises (PROVE-VE)	SEP 30-OCT 02, 2013	Dresden, GERMANY	IFIP WG 5 5 Co Operat Infrastructure Virtual Enterprises & Electronic Business, Soc Collaborat Networks, Tech Univ Dresden, New Univ Lisbon, UNINOVA																						1868-4238		978-3-642-40543-3; 978-3-642-40542-6				2013	408						172	179										WOS:000391134800019						
J	Jans, M; van der Werf, JM; Lybaert, N; Vanhoof, K				Jans, Mieke; van der Werf, Jan Martijn; Lybaert, Nadine; Vanhoof, Koen			A business process mining application for internal transaction fraud mitigation	EXPERT SYSTEMS WITH APPLICATIONS																	Jans, Mieke J/D-1622-2018; Vanhoof, Koen/Q-5914-2017	Jans, Mieke J/0000-0002-9171-2403; Vanhoof, Koen/0000-0001-7084-4223												0957-4174	1873-6793				SEP 15	2011	38	10					13351	13359		10.1016/j.eswa.2011.04.159								WOS:000292169500147						
J	March, ST; Storey, VC				March, Salvatore T.; Storey, Veda C.			DESIGN SCIENCE IN THE INFORMATION SYSTEMS DISCIPLINE: AN INTRODUCTION TO THE SPECIAL ISSUE ON DESIGN SCIENCE RESEARCH	MIS QUARTERLY																														0276-7783					DEC	2008	32	4					725	730										WOS:000261362500005						
C	Gunther, CW; van der Aalst, WMR		Alonso, G; Dadam, P; Rosemann, M		Gunther, Christian W.; van der Aalst, Wil M. R.			Fuzzy mining - Adaptive process simplification based on multi-perspective metrics	BUSINESS PROCESS MANAGEMENT, PROCEEDINGS	Lecture Notes in Computer Science				5th International Conference on Business Process Management	SEP 24-28, 2007	Brisbane, AUSTRALIA	BPM Res Grp, Queensland Univ Technol, Fac Informat Technol									van der Aalst, Wil/G-1248-2011	van der Aalst, Wil/0000-0002-0955-6940												0302-9743	1611-3349	978-3-540-75182-3				2007	4714						328	+										WOS:000250201900024						
J	Hevner, AR; March, ST; Park, J; Ram, S				Hevner, AR; March, ST; Park, J; Ram, S			Design science in Information Systems research	MIS QUARTERLY																	Fuglerud, Kristin Skeide/A-2815-2011													0276-7783					MAR	2004	28	1					75	105		10.2307/25148625								WOS:000220207500005						
