PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Wong, JKW; Zhou, J				Wong, Johnny Kwok Wai; Zhou, Jason			Enhancing environmental sustainability over building life cycles through green BIM: A review	AUTOMATION IN CONSTRUCTION																		ZHOU, XIN/0000-0002-1053-5493												0926-5805	1872-7891				SEP	2015	57						156	165		10.1016/j.autcon.2015.06.003								WOS:000360772400013						
J	Khalili, A; Chua, DKH				Khalili, A.; Chua, D. K. H.			IFC-Based Graph Data Model for Topological Queries on Building Elements	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Chua, David KH/F-9193-2012	Chua, David KH/0000-0002-5717-682X												0887-3801	1943-5487				MAY	2015	29	3							04014046	10.1061/(ASCE)CP.1943-5487.0000331								WOS:000353891500001						
J	Marzouk, M; Abdelaty, A				Marzouk, Mohamed; Abdelaty, Ahmed			Monitoring thermal comfort in subways using building information modeling	ENERGY AND BUILDINGS																	Marzouk, Mohamed/AAA-2717-2021	Marzouk, Mohamed/0000-0002-8594-8452												0378-7788	1872-6178				DEC	2014	84						252	257		10.1016/j.enbuild.2014.08.006								WOS:000345182000024						
J	Zekavat, PR; Moon, S; Bernold, LE				Zekavat, Payam R.; Moon, Sungkon; Bernold, Leonhard E.			Performance of short and long range wireless communication technologies in construction	AUTOMATION IN CONSTRUCTION																	Rahnamayiezekavat, Payam/AAV-6661-2021	Rahnamayiezekavat, Payam/0000-0002-2328-4726												0926-5805	1872-7891				NOV	2014	47						50	61		10.1016/j.autcon.2014.07.008								WOS:000343684700005						
J	Dong, B; O'Neill, Z; Li, ZW				Dong, Bing; O'Neill, Zheng; Li, Zhengwei			A BIM-enabled information infrastructure for building energy Fault Detection and Diagnostics	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				AUG	2014	44						197	211		10.1016/j.autcon.2014.04.007								WOS:000338818100019						
J	Mazairac, W; Beetz, J				Mazairac, Wiet; Beetz, Jakob			BIMQL - An open query language for building information models	ADVANCED ENGINEERING INFORMATICS																	Beetz, Jakob/L-2027-2014; Jeong, Yongwook/N-7413-2016	Beetz, Jakob/0000-0002-9975-9206; 												1474-0346	1873-5320				OCT	2013	27	4					444	456		10.1016/j.aei.2013.06.001								WOS:000328525700004						
J	Bryde, D; Broquetas, M; Volm, JM				Bryde, David; Broquetas, Marti; Volm, Juergen Marc			The project benefits of Building Information Modelling (BIM)	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT																	Bagga, Ankit/AAG-8019-2021	Bryde, David/0000-0003-1779-9691												0263-7863	1873-4634				OCT	2013	31	7					971	980		10.1016/j.ijproman.2012.12.001								WOS:000324156700005						
J	Park, CS; Lee, DY; Kwon, OS; Wang, X				Park, Chan-Sik; Lee, Do-Yeop; Kwon, Oh-Seong; Wang, Xiangyu			A framework for proactive construction defect management using BIM, augmented reality and ontology-based data collection template	AUTOMATION IN CONSTRUCTION																	Wang, Xiangyu/B-6232-2013; Jeong, Yongwook/N-7413-2016	Wang, Xiangyu/0000-0001-8718-6941; Park, Chansik/0000-0003-2256-300X												0926-5805	1872-7891				AUG	2013	33				SI		61	71		10.1016/j.autcon.2012.09.010								WOS:000320906300007						
J	Curry, E; O'Donnell, J; Corry, E; Hasan, S; Keane, M; O'Riain, S				Curry, Edward; O'Donnell, James; Corry, Edward; Hasan, Souleiman; Keane, Marcus; O'Riain, Sean			Linking building data in the cloud: Integrating cross-domain building data using linked data	ADVANCED ENGINEERING INFORMATICS																	Hasan, Souleiman/T-6489-2018; Jeong, Yongwook/N-7413-2016	Hasan, Souleiman/0000-0003-4921-2867; Curry, Edward/0000-0001-8236-6433; O'Donnell, James/0000-0002-5881-9989; Keane, Marcus/0000-0002-6785-3484												1474-0346	1873-5320				APR	2013	27	2					206	219		10.1016/j.aei.2012.10.003								WOS:000318828500006						
J	Dibley, M; Li, HJ; Rezgui, Y; Miles, J				Dibley, Michael; Li, Haijiang; Rezgui, Yacine; Miles, John			An ontology framework for intelligent sensor-based building monitoring	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020	Rezgui, Yacine/0000-0002-5711-8400; Li, Haijiang/0000-0001-6326-8133												0926-5805	1872-7891				DEC	2012	28						1	14		10.1016/j.autcon.2012.05.018								WOS:000309642700001						
J	Becerik-Gerber, B; Jazizadeh, F; Li, N; Calis, G				Becerik-Gerber, Burcin; Jazizadeh, Farrokh; Li, Nan; Calis, Gulben			Application Areas and Data Requirements for BIM-Enabled Facilities Management	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Li, Nan/W-4397-2017; CALIS, GULBEN/X-8916-2018; Jazizadeh, Farrokh/P-8822-2014; Becerik-Gerber, Burcin/D-6897-2013; CALIS, GULBEN/AAF-7923-2020	Li, Nan/0000-0002-7272-4273; CALIS, GULBEN/0000-0003-3056-4870; Jazizadeh, Farrokh/0000-0002-0690-1307; Becerik-Gerber, Burcin/0000-0001-8648-0989; 												0733-9364	1943-7862				MAR	2012	138	3					431	442		10.1061/(ASCE)CO.1943-7862.0000433								WOS:000302218200013						
