PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Kubicki, Sylvain/I-6965-2019; Rezgui, Yacine/ABE-6712-2020	Kubicki, Sylvain/0000-0003-2985-0378; Rezgui, Yacine/0000-0002-5711-8400; Guerriero, Annie/0000-0002-8804-1995; Boje, Calin/0000-0002-5150-9355												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Dembski, F; Wossner, U; Letzgus, M; Ruddat, M; Yamu, C				Dembski, Fabian; Woessner, Uwe; Letzgus, Mike; Ruddat, Michael; Yamu, Claudia			Urban Digital Twins for Smart Cities and Citizens: The Case Study of Herrenberg, Germany	SUSTAINABILITY																		Yamu, Claudia Hedwig/0000-0002-2847-4975; Dembski, Fabian/0000-0002-2757-9759; Woessner, Uwe/0000-0002-0389-4527													2071-1050				MAR 2	2020	12	6							2307	10.3390/su12062307								WOS:000523751400154						
J	Fuller, A; Fan, Z; Day, C; Barlow, C				Fuller, Aidan; Fan, Zhong; Day, Charles; Barlow, Chris			Digital Twin: Enabling Technologies, Challenges and Open Research	IEEE ACCESS																	Fuller, Aidan/G-2329-2019	Fuller, Aidan/0000-0002-3391-2407												2169-3536						2020	8						108952	108971		10.1109/ACCESS.2020.2998358								WOS:000549854400011						
J	Barricelli, BR; Casiraghi, E; Fogli, D				Barricelli, Barbara Rita; Casiraghi, Elena; Fogli, Daniela			A Survey on Digital Twin: Definitions, Characteristics, Applications, and Design Implications	IEEE ACCESS																	Barricelli, Barbara Rita/AAT-2374-2020; Casiraghi, Elena/M-4867-2017	Barricelli, Barbara Rita/0000-0001-9575-5542; Casiraghi, Elena/0000-0003-2024-7572; FOGLI, Daniela/0000-0003-1479-2240												2169-3536						2019	7						167653	167671		10.1109/ACCESS.2019.2953499								WOS:000509585900122						
J	Chen, YB				Chen, Yubao			Integrated and Intelligent Manufacturing: Perspectives and Enablers	ENGINEERING																														2095-8099	2096-0026				OCT	2017	3	5					588	595		10.1016/J.ENG.2017.04.009								WOS:000416286000009						
J	Ghaffarianhoseini, A; Tookey, J; Ghaffarianhoseini, A; Naismith, N; Azhar, S; Efimova, O; Raahemifar, K				Ghaffarianhoseini, Ali; Tookey, John; Ghaffarianhoseini, Amirhosein; Naismith, Nicola; Azhar, Salman; Efimova, Olia; Raahemifar, Kaamran			Building Information Modelling (BIM) uptake: Clear benefits, understanding its implementation, risks and challenges	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Azhar, Salman/J-6438-2014	GhaffarianHoseini, Ali/0000-0002-0787-8399												1364-0321					AUG	2017	75						1046	1053		10.1016/j.rser.2016.11.083								WOS:000401395000084						
J	Abar, S; Theodoropoulos, GK; Lemarinier, P; O'Hare, GMP				Abar, Sameera; Theodoropoulos, Georgios K.; Lemarinier, Pierre; O'Hare, Gregory M. P.			Agent Based Modelling and Simulation tools: A review of the state-of-art software	COMPUTER SCIENCE REVIEW																	O'Hare, Gregory M.P./AAA-7756-2022; Abar, Sameera/M-4740-2014	O'Hare, Gregory M.P./0000-0002-5124-1686; Abar, Sameera/0000-0002-9503-1410; Theodoropoulos, Georgios/0000-0002-7448-5886												1574-0137	1876-7745				MAY	2017	24						13	33		10.1016/j.cosrev.2017.03.001								WOS:000405622300002						
J	Tah, JHM; Oti, AH; Abanda, FH				Tah, J. H. M.; Oti, A. H.; Abanda, F. H.			A state-of-the-art review of built environment information modelling (BeIM)	ORGANIZATION TECHNOLOGY AND MANAGEMENT IN CONSTRUCTION																	Tah, Joseph/AAI-6944-2020; Oti, Akponanabofa Henry/AAA-5088-2021	Tah, Joseph/0000-0002-1950-8387; Oti, Akponanabofa Henry/0000-0002-7228-6189												1847-5450	1847-6228				JAN	2017	9	1					1638	1654		10.1515/otmcj-2016-0030								WOS:000427301900006						
J	Teo, TA; Cho, KH				Teo, Tee-Ann; Cho, Kuan-Hsun			BIM-oriented indoor network model for indoor and outdoor combined route planning	ADVANCED ENGINEERING INFORMATICS																		Teo, Tee-Ann/0000-0002-7625-5662												1474-0346	1873-5320				AUG	2016	30	3					268	282		10.1016/j.aei.2016.04.007								WOS:000382793700002						
J	Solihin, W; Eastman, C; Lee, YC				Solihin, Wawan; Eastman, Charles; Lee, Yong-Cheol			Toward robust and quantifiable automated IFC quality validation	ADVANCED ENGINEERING INFORMATICS																		Solihin, Wawan/0000-0001-7538-5265												1474-0346	1873-5320				AUG	2015	29	3					739	756		10.1016/j.aei.2015.07.006								WOS:000361253200035						
J	Bryde, D; Broquetas, M; Volm, JM				Bryde, David; Broquetas, Marti; Volm, Juergen Marc			The project benefits of Building Information Modelling (BIM)	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT																	Bagga, Ankit/AAG-8019-2021	Bryde, David/0000-0003-1779-9691												0263-7863	1873-4634				OCT	2013	31	7					971	980		10.1016/j.ijproman.2012.12.001								WOS:000324156700005						
