Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"He G.",[No title available],2011,"BIM Overview",3,,[No abstract available],,"Final",Scopus,2-s2.0-84883210670
"Zhao L","Application of Smart City and Big Data in Urban Planning",2020,"J. Habitat",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107435994
"He S, Zhou S","innovation of fine management of construction projects based on BIM5D technology",2019,"J. project management technology",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107440131
"Ma Y","pplication analysis of construction engineering in BIM5D simulation construction",2019,"J. doors and windows",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107416656
"Lao K, Chen X","A brief analysis of the role of big data in the development of smart cities",2019,"J Information and Communication",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107399126
"Qiu KD.",[No title available],2017,"smart city guides construction project management of building materials and decoration",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107446338
"Zou X, Wei S, Zang R, Ni R, Sheng J",[No title available],0000,"School of Civil and Environmental Engineering",1,,[No abstract available],,"Final",Scopus,2-s2.0-85107447564
