Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Kharas H.","The Unprecedented Expansion of the Global Middle Class. An Update. Global Economy and Development Working Paper 100",2017,"The Unprecedented Expansion of the Global Middle Class: An Update",105,,[No abstract available],,"Final",Scopus,2-s2.0-85018592029
"Cabinet Office","Government Soft Landings",2013,"Government Soft Landings",7,,[No abstract available],,"Final",Scopus,2-s2.0-84911423123
[No author name available],[No title available],2020,"Climate and Biodiversity Action Plan",1,,[No abstract available],,"Final",Scopus,2-s2.0-85110493920
[No author name available],"DEFRA – DEPARTMENT FOR ENVIRONMENT, FOOD & RURAL AFFAIRS",2020,"UK Statistics on Waste",1,,[No abstract available],,"Final",Scopus,2-s2.0-85110483726
[No author name available],[No title available],0000,"Climate and Biodiversity Action Plan",1,,[No abstract available],,"Final",Scopus,2-s2.0-85110417413
