PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Rausch, C; Haas, C				Rausch, Christopher; Haas, Carl			Automated shape and pose updating of building information model elements from 3D point clouds	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				APR	2021	124								103561	10.1016/j.autcon.2021.103561								WOS:000623401200004						
J	Lu, QC; Xie, X; Parlikad, AK; Schooling, JM				Lu, Qiuchen; Xie, Xiang; Parlikad, Ajith Kumar; Schooling, Jennifer Mary			Digital twin-enabled anomaly detection for built asset monitoring in operation and maintenance	AUTOMATION IN CONSTRUCTION																		Xie, Xiang/0000-0003-4601-9519												0926-5805	1872-7891				OCT	2020	118								103277	10.1016/j.autcon.2020.103277								WOS:000572920300006						
J	Lim, KYH; Zheng, P; Chen, CH				Lim, Kendrik Yan Hong; Zheng, Pai; Chen, Chun-Hsien			A state-of-the-art survey of Digital Twin: techniques, engineering product lifecycle management and business innovation perspectives	JOURNAL OF INTELLIGENT MANUFACTURING																	Kendrik, Lim/AAU-5825-2020; ZHENG, PAI/K-7989-2012; Chen, Chun-Hsien/A-3877-2011	Kendrik, Lim/0000-0003-2832-6865; ZHENG, PAI/0000-0002-2329-8634; Chen, Chun-Hsien/0000-0003-2193-5270												0956-5515	1572-8145				AUG	2020	31	6					1313	1337		10.1007/s10845-019-01512-w								WOS:000544047100001						
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Arashpour, M; Heidarpour, A; Nezhad, AA; Hosseinifard, Z; Chileshe, N; Hosseini, R				Arashpour, Mehrdad; Heidarpour, Amin; Nezhad, Ali; Hosseinifard, Zahra; Chileshe, Nicholas; Hosseini, Reza			Performance-based control of variability and tolerance in off-site manufacture and assembly: optimization of penalty on poor production quality	CONSTRUCTION MANAGEMENT AND ECONOMICS																	; Chileshe, Nicholas/F-5482-2010	HosseiniFard, Zahra/0000-0002-1064-9079; Arashpour, Mehrdad/0000-0003-4148-3160; Chileshe, Nicholas/0000-0002-1981-7518												0144-6193	1466-433X				JUN 2	2020	38	6					502	514		10.1080/01446193.2019.1616789								WOS:000526424000002						
J	Noruwa, BI; Arewa, AO; Merschbrock, C				Noruwa, Bolanle Ireti; Arewa, Andrew O.; Merschbrock, Christoph			Effects of emerging technologies in minimising variations in construction projects in the UK	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																		Arewa, Andrew Oyen/0000-0002-8872-5799												1562-3599	2331-2327															10.1080/15623599.2020.1772530		JUN 2020						WOS:000543045800001						
J	Hou, L; Tan, YT; Luo, WK; Xu, S; Mao, C; Moon, SK				Hou, Lei; Tan, Yongtao; Luo, Wenkai; Xu, Sheng; Mao, Chao; Moon, Sungkon			Towards a more extensive application of off-site construction: a technological review	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																	Tan, Yongtao/J-6829-2014	Tan, Yongtao/0000-0001-7321-4251												1562-3599	2331-2327															10.1080/15623599.2020.1768463		MAY 2020						WOS:000536400900001						
J	Mostafa, S; Kim, KP; Tam, VWY; Rahnamayiezekavat, P				Mostafa, Sherif; Kim, Ki Pyung; Tam, Vivian W. Y.; Rahnamayiezekavat, Payam			Exploring the status, benefits, barriers and opportunities of using BIM for advancing prefabrication practice	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																	Rahnamayiezekavat, Payam/AAV-6661-2021; Mostafa, Sherif/A-6020-2013; Kim, Ki Pyung/I-3914-2016	Rahnamayiezekavat, Payam/0000-0002-2328-4726; Mostafa, Sherif/0000-0002-5708-3770; Tam, Vivian/0000-0002-1074-8018; Kim, Ki Pyung/0000-0003-3018-5504												1562-3599	2331-2327				MAR 3	2020	20	2					146	156		10.1080/15623599.2018.1484555								WOS:000496043600005						
J	Guo, JJ; Wang, Q; Park, JH				Guo, Jingjing; Wang, Qian; Park, Jae-Hyuk			Geometric quality inspection of prefabricated MEP modules with 3D laser scanning	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017; Guo, Jingjing/AAG-8586-2020	Wang, Qian/0000-0003-3175-334X; Guo, Jingjing/0000-0003-2047-6703												0926-5805	1872-7891				MAR	2020	111								103053	10.1016/j.autcon.2019.103053								WOS:000513989400007						
J	Lu, RD; Brilakis, I				Lu, Ruodan; Brilakis, Ioannis			Digital twinning of existing reinforced concrete bridges from labelled point clusters	AUTOMATION IN CONSTRUCTION																	Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083												0926-5805	1872-7891				SEP	2019	105								102837	10.1016/j.autcon.2019.102837								WOS:000474330100009						
