PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kaewunruen, S; Rungskunroch, P; Jennings, D				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Jennings, De'Von			A through-life evaluation of end-of-life rolling stocks considering asset recycling, energy recovering, and financial benefit	JOURNAL OF CLEANER PRODUCTION																	Kaewunruen, Sakdirat/AAE-2374-2020; Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538; Kaewunruen, Sakdirat/0000-0003-2153-3538; Jennings, De'von/0000-0002-9979-7886												0959-6526	1879-1786				MAR 1	2019	212						1008	1024		10.1016/j.jclepro.2018.11.271								WOS:000457952500085						
J	Asdrubali, F; Ballarini, I; Corrado, V; Evangelisti, L; Grazieschi, G; Guattari, C				Asdrubali, F.; Ballarini, I; Corrado, V; Evangelisti, L.; Grazieschi, G.; Guattari, C.			Energy and environmental payback times for an NZEB retrofit	BUILDING AND ENVIRONMENT																	Grazieschi, Gianluca/AAW-9179-2020; Corrado, Vincenzo/P-4710-2016; BALLARINI, ILARIA/L-8519-2017; Asdrubali, Francesco/N-4690-2015	Grazieschi, Gianluca/0000-0003-0947-4344; Corrado, Vincenzo/0000-0001-9391-5602; BALLARINI, ILARIA/0000-0003-1937-2915; Asdrubali, Francesco/0000-0003-1943-7547												0360-1323	1873-684X				JAN	2019	147						461	472		10.1016/j.buildenv.2018.10.047								WOS:000453338500037						
J	Colclough, S; Kinnane, O; Hewitt, N; Griffiths, P				Colclough, Shane; Kinnane, Oliver; Hewitt, Neil; Griffiths, Philip			Investigation of nZEB social housing built to the Passive House standard	ENERGY AND BUILDINGS																		Griffiths, Philip/0000-0002-5744-9197; Kinnane, Oliver/0000-0003-3840-3975; Colclough, Shane/0000-0003-1735-0376												0378-7788	1872-6178				NOV 15	2018	179						344	359		10.1016/j.enbuild.2018.06.069								WOS:000449901000030						
J	Kaewunruen, S; Martin, V				Kaewunruen, Sakdirat; Martin, Victor			Life Cycle Assessment of Railway Ground-Borne Noise and Vibration Mitigation Methods Using Geosynthetics, Metamaterials and Ground Improvement	SUSTAINABILITY																	Kaewunruen, Sakdirat/AAE-2374-2020; Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538; Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				OCT	2018	10	10							3753	10.3390/su10103753								WOS:000448559400395						
J	Krarti, M; Ihm, P				Krarti, Moncef; Ihm, Pyeongchan			Evaluation of net-zero energy residential buildings in the MENA region	SUSTAINABLE CITIES AND SOCIETY																														2210-6707	2210-6715				APR	2016	22						116	125		10.1016/j.scs.2016.02.007								WOS:000389318700012						
J	Biddulph, P; Gori, V; Elwell, CA; Scott, C; Rye, C; Lowe, R; Oreszczyn, T				Biddulph, Phillip; Gori, Virginia; Elwell, Clifford A.; Scott, Cameron; Rye, Caroline; Lowe, Robert; Oreszczyn, Tadj			Inferring the thermal resistance and effective thermal mass of a wall using frequent temperature and heat flux measurements	ENERGY AND BUILDINGS																	Elwell, Cliff/D-1612-2017	Elwell, Cliff/0000-0003-1058-1091; Oreszczyn, Tadeusz/0000-0002-9667-7336; Gori, Virginia/0000-0001-8701-7048												0378-7788	1872-6178				AUG	2014	78						10	16		10.1016/j.enbuild.2014.04.004								WOS:000339133200002						
J	Welfle, A; Gilbert, P; Thornley, P				Welfle, Andrew; Gilbert, Paul; Thornley, Patricia			Securing a bioenergy future without imports	ENERGY POLICY																	Gilbert, Paul/L-1982-2015	Welfle, Andrew/0000-0002-8705-3687												0301-4215	1873-6777				MAY	2014	68						1	14		10.1016/j.enpol.2013.11.079								WOS:000334130900001						
J	Visa, I; Moldovan, MD; Comsit, M; Duta, A				Visa, Ion; Moldovan, Macedon D.; Comsit, Mihai; Duta, Anca			Improving the renewable energy mix in a building toward the nearly zero energy status	ENERGY AND BUILDINGS																	Duta, Anca/B-6106-2011; Moldovan, Macedon/AAQ-6023-2020	Moldovan, Macedon/0000-0001-9584-7092; DUTA, Anca/0000-0002-0260-2676												0378-7788	1872-6178				JAN	2014	68		A				72	78		10.1016/j.enbuild.2013.09.023								WOS:000329885300009						
J	Kapsalaki, M; Leal, V; Santamouris, M				Kapsalaki, M.; Leal, V.; Santamouris, M.			A methodology for economic efficient design of Net Zero Energy Buildings	ENERGY AND BUILDINGS																	Mat, Santamouris/AAP-2836-2021; Leal, Vitor/AAF-5403-2021	Leal, Vitor/0000-0001-8396-2907; Santamouris, Matthaios/0000-0001-6076-3526												0378-7788	1872-6178				DEC	2012	55						765	778		10.1016/j.enbuild.2012.10.022								WOS:000313152400082						
J	Robert, A; Kummert, M				Robert, Amelie; Kummert, Michael			Designing net-zero energy buildings for the future climate, not for the past	BUILDING AND ENVIRONMENT																	Kummert, Michaël/B-2753-2008	Kummert, Michaël/0000-0003-1606-8344												0360-1323	1873-684X				SEP	2012	55				SI		150	158		10.1016/j.buildenv.2011.12.014								WOS:000304504100012						
J	Marszal, AJ; Heiselberg, P; Jensen, RL; Norgaard, J				Marszal, Anna Joanna; Heiselberg, Per; Jensen, Rasmus Lund; Norgaard, Jesper			On-site or off-site renewable energy supply options? Life cycle cost analysis of a Net Zero Energy Building in Denmark	RENEWABLE ENERGY																		Marszal, Anna Joanna/0000-0002-3195-7388; Jensen, Rasmus Lund/0000-0001-7008-2601												0960-1481	1879-0682				AUG	2012	44						154	165		10.1016/j.renene.2012.01.079								WOS:000302821800017						
J	Sartori, I; Napolitano, A; Voss, K				Sartori, Igor; Napolitano, Assunta; Voss, Karsten			Net zero energy buildings: A consistent definition framework	ENERGY AND BUILDINGS																														0378-7788	1872-6178				MAY	2012	48						220	232		10.1016/j.enbuild.2012.01.032								WOS:000302669300025						
J	Srinivasan, RS; Braham, WW; Campbell, DE; Curcija, CD				Srinivasan, Ravi S.; Braham, William W.; Campbell, Daniel E.; Curcija, Charlie D.			Re(De)fining Net Zero Energy: Renewable Emergy Balance in environmental building design	BUILDING AND ENVIRONMENT																	Srinivasan, Ravi/F-1202-2014; Srinivasan, Ravi/C-6245-2019	Srinivasan, Ravi/0000-0002-0461-5729; Srinivasan, Ravi/0000-0002-0461-5729												0360-1323					JAN	2012	47						300	315		10.1016/j.buildenv.2011.07.010								WOS:000295662100031						
