PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ma, XZ; Xiong, F; Olawumi, TO; Dong, N; Chan, APC				Ma, Xiaozhi; Xiong, Feng; Olawumi, Timothy O.; Dong, Na; Chan, Albert P. C.			Conceptual Framework and Roadmap Approach for Integrating BIM into Lifecycle Project Management	JOURNAL OF MANAGEMENT IN ENGINEERING																	Chan, Albert/I-4650-2012; Olawumi, Timothy O./D-9720-2016	Chan, Albert/0000-0002-4853-6440; Olawumi, Timothy O./0000-0003-3380-4702; Ma, Xiaozhi/0000-0002-5092-9358												0742-597X	1943-5479				NOV	2018	34	6							05018011	10.1061/(ASCE)ME.1943-5479.0000647								WOS:000444385500014						
J	Negishi, K; Tiruta-Barna, L; Schiopu, N; Lebert, A; Chevalier, J				Negishi, Koji; Tiruta-Barna, Ligia; Schiopu, Nicoleta; Lebert, Alexandra; Chevalier, Jacques			An operational methodology for applying dynamic Life Cycle Assessment to buildings	BUILDING AND ENVIRONMENT																		Barna, Ligia/0000-0003-1266-8051												0360-1323	1873-684X				OCT 15	2018	144						611	621		10.1016/j.buildenv.2018.09.005								WOS:000447484300055						
J	Pishdad-Bozorgi, P; Gao, XH; Eastman, C; Self, AP				Pishdad-Bozorgi, Pardis; Gao, Xinghua; Eastman, Charles; Self, Alonzo Patrick			Planning and developing facility management-enabled building information model (FM-enabled BIM)	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021													0926-5805	1872-7891				MAR	2018	87						22	38		10.1016/j.autcon.2017.12.004								WOS:000426024900003						
J	Su, S; Li, XD; Zhu, YM; Lin, BR				Su, Shu; Li, Xiaodong; Zhu, Yimin; Lin, Borong			Dynamic LCA framework for environmental impact assessment of buildings	ENERGY AND BUILDINGS																	Su, Shu/AAY-9920-2020	su, shu/0000-0003-2792-728X; Lin, Borong/0000-0003-3848-2837												0378-7788	1872-6178				AUG 15	2017	149						310	320		10.1016/j.enbuild.2017.05.042								WOS:000406983500029						
J	Atkin, B; Bildsten, L				Atkin, Brian; Bildsten, Louise			A future for facility management	CONSTRUCTION INNOVATION-ENGLAND																		Bildsten, Louise/0000-0001-5633-2985												1471-4175	1477-0857					2017	17	2					116	124		10.1108/CI-11-2016-0059								WOS:000413358000002						
J	Giel, B; Issa, RRA				Giel, Brittany; Issa, Raja R. A.			Framework for Evaluating the BIM Competencies of Facility Owners	JOURNAL OF MANAGEMENT IN ENGINEERING																														0742-597X	1943-5479				JAN	2016	32	1							04015024	10.1061/(ASCE)ME.1943-5479.0000378								WOS:000366650000007						
C	Deutsch, R		Chong, WO; Chang, J; Parrish, K; Berardi, U		Deutsch, Randall			Leveraging data across the building lifecycle	DEFINING THE FUTURE OF SUSTAINABILITY AND RESILIENCE IN DESIGN, ENGINEERING AND CONSTRUCTION	Procedia Engineering				Defining the Future of Sustainability and Resilience in Design, Engineering and Construction	MAY 10-13, 2015	Chicago, CA	ASCE, ICSDEC																						1877-7058						2015	118						260	267		10.1016/j.proeng.2015.08.425								WOS:000380430700030						
J	Becerik-Gerber, B; Jazizadeh, F; Li, N; Calis, G				Becerik-Gerber, Burcin; Jazizadeh, Farrokh; Li, Nan; Calis, Gulben			Application Areas and Data Requirements for BIM-Enabled Facilities Management	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Jazizadeh, Farrokh/P-8822-2014; CALIS, GULBEN/AAF-7923-2020; CALIS, GULBEN/X-8916-2018; Li, Nan/W-4397-2017; Becerik-Gerber, Burcin/D-6897-2013	Jazizadeh, Farrokh/0000-0002-0690-1307; CALIS, GULBEN/0000-0003-3056-4870; Li, Nan/0000-0002-7272-4273; Becerik-Gerber, Burcin/0000-0001-8648-0989												0733-9364	1943-7862				MAR	2012	138	3					431	442		10.1061/(ASCE)CO.1943-7862.0000433								WOS:000302218200013						
