PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Lee, JY; Lee, CK; Chun, YY				Lee, Jae-Young; Lee, Cheul-Kyu; Chun, Yoon-Young			Greenhouse gas emissions from high-speed rail infrastructure construction in Korea	TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT																	Chun, Yoon-Young/L-6239-2018	Chun, Yoon-Young/0000-0001-5573-5192												1361-9209					OCT	2020	87								102514	10.1016/j.trd.2020.102514								WOS:000581017900033						
J	Kaewunruen, S; Sresakoolchai, J; Yu, SA				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Yu, Shuonan			Global Warming Potentials Due to Railway Tunnel Construction and Maintenance	APPLIED SCIENCES-BASEL																	Sresakoonchai, Jessada/AAC-8868-2021; Kaewunruen, Sakdirat/A-6793-2008	Sresakoonchai, Jessada/0000-0003-3692-6422; Kaewunruen, Sakdirat/0000-0003-2153-3538													2076-3417				SEP	2020	10	18							6459	10.3390/app10186459								WOS:000580431100001						
J	Ngamkhanong, C; Wey, CM; Kaewunruen, S				Ngamkhanong, Chayut; Wey, Chuah Ming; Kaewunruen, Sakdirat			Buckling Analysis of Interspersed Railway Tracks	APPLIED SCIENCES-BASEL																	Ngamkhanong, Chayut/AAX-1174-2020; Kaewunruen, Sakdirat/A-6793-2008	Ngamkhanong, Chayut/0000-0003-1321-9952; Kaewunruen, Sakdirat/0000-0003-2153-3538													2076-3417				MAY	2020	10	9							3091	10.3390/app10093091								WOS:000535541900104						
J	Rungskunroch, P; Yang, Y; Kaewunruen, S				Rungskunroch, Panrawee; Yang, Yuwen; Kaewunruen, Sakdirat			Does High-Speed Rail Influence Urban Dynamics and Land Pricing?	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				APR	2020	12	7							3012	10.3390/su12073012								WOS:000531558100437						
J	Kaewunruen, S; Sresakoolchai, J; Peng, JY				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Peng, Junying			Life Cycle Cost, Energy and Carbon Assessments of Beijing-Shanghai High-Speed Railway	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				JAN	2020	12	1							206	10.3390/su12010206								WOS:000521955600206						
J	Kaewunruen, S; Sresakoolchai, J; Kerinnonta, L				Kaewunruen, Sakdirat; Sresakoolchai, Jessada; Kerinnonta, Lalida			Potential Reconstruction Design of an Existing Townhouse in Washington DC for Approaching Net Zero Energy Building Goal	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				DEC	2019	11	23							6631	10.3390/su11236631								WOS:000508186400103						
J	Kaewunruen, S; Lian, Q				Kaewunruen, Sakdirat; Lian, Qiang			Digital twin aided sustainability-based lifecycle management for railway turnout systems	JOURNAL OF CLEANER PRODUCTION																	Kaewunruen, Sakdirat/AAE-2374-2020	Kaewunruen, Sakdirat/0000-0003-2153-3538												0959-6526	1879-1786				AUG 10	2019	228						1537	1551		10.1016/j.jclepro.2019.04.156								WOS:000470947000128						
J	Kaewunruen, S; Rungskunroch, P; Welsh, J				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Welsh, Joshua			A Digital-Twin Evaluation of Net Zero Energy Building for Existing Buildings	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538												2071-1050					JAN 1	2019	11	1							159	10.3390/su11010159								WOS:000457127300159						
J	Kaewunruen, S; Xu, NF				Kaewunruen, Sakdirat; Xu, Ningfang			Digital Twin for Sustainability Evaluation of Railway Station Buildings	FRONTIERS IN BUILT ENVIRONMENT																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2297-3362				DEC 10	2018	4								77	10.3389/fbuil.2018.00077								WOS:000559257400001						
J	Krezo, S; Mirza, O; Kaewunruen, S; Sussman, JM				Krezo, S.; Mirza, O.; Kaewunruen, S.; Sussman, J. M.			Evaluation of CO2 emissions from railway resurfacing maintenance activities	TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538; Mirza, Olivia/0000-0003-0095-048X												1361-9209					DEC	2018	65						458	465		10.1016/j.trd.2018.09.019								WOS:000453626000031						
