PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Kaewunruen, S; Rungskunroch, P; Welsh, J				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Welsh, Joshua			A Digital-Twin Evaluation of Net Zero Energy Building for Existing Buildings	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538												2071-1050					JAN 1	2019	11	1							159	10.3390/su11010159								WOS:000457127300159						
J	Sadooghi, P; Kherani, NP				Sadooghi, Parham; Kherani, Nazir P.			Thermal analysis of triple and quadruple windows using partitioning radiant energy veils (TM) with different physical and optical properties	SOLAR ENERGY																														0038-092X					NOV 1	2018	174						1163	1168		10.1016/j.solener.2018.07.034								WOS:000451499500115						
J	Gonzalez-Julian, E; Xaman, J; Moraga, NO; Chavez, Y; Zavala-Guillen, I; Sima, E				Gonzalez-Julian, E.; Xaman, J.; Moraga, Nelson O.; Chavez, Y.; Zavala-Guillen, I; Sima, E.			Annual thermal evaluation of a double pane window using glazing available in the Mexican market	APPLIED THERMAL ENGINEERING																		Sima Moo, Efrain/0000-0001-7601-1273; Chavez Chena, Yvonne/0000-0003-3348-397X; Gonzalez Julian, Edgar Carmen/0000-0001-9992-6302												1359-4311					OCT	2018	143						100	111		10.1016/j.applthermaleng.2018.07.053								WOS:000448092600010						
J	Sierra-Perez, J; Rodriguez-Soria, B; Boschmonart-Rives, J; Gabarrell, X				Sierra-Perez, Jorge; Rodriguez-Soria, Beatriz; Boschmonart-Rives, Jesus; Gabarrell, Xavier			Integrated life cycle assessment and thermodynamic simulation of a public building's envelope renovation: Conventional vs. Passivhaus proposal	APPLIED ENERGY																	Sierra-Pérez, Jorge/Y-4268-2018; Sierra-Pérez, Jorge/X-6830-2019; Gabarrell Durany, Xavier/F-5575-2011; Rodriguez Soria, Beatriz/B-6247-2018	Sierra-Pérez, Jorge/0000-0002-7660-3508; Sierra-Pérez, Jorge/0000-0002-7660-3508; Gabarrell Durany, Xavier/0000-0003-1730-4337; Rodriguez Soria, Beatriz/0000-0001-5215-7112												0306-2619	1872-9118				FEB 15	2018	212						1510	1521		10.1016/j.apenergy.2017.12.101								WOS:000425200700112						
C	Aksamija, A		Chong, WO; Chang, J; Parrish, K; Berardi, U		Aksamija, Ajla			Regenerative Design of Existing Buildings for Net-Zero Energy Use	DEFINING THE FUTURE OF SUSTAINABILITY AND RESILIENCE IN DESIGN, ENGINEERING AND CONSTRUCTION	Procedia Engineering				Defining the Future of Sustainability and Resilience in Design, Engineering and Construction	MAY 10-13, 2015	Chicago, CA	ASCE, ICSDEC																						1877-7058						2015	118						72	80		10.1016/j.proeng.2015.08.405								WOS:000380430700010						
J	Huang, JN; Lv, HL; Gao, T; Feng, W; Chen, YX; Zhou, T				Huang, Jianen; Lv, Henglin; Gao, Tao; Feng, Wei; Chen, Yanxia; Zhou, Tai			Thermal properties optimization of envelope in energy-saving renovation of existing public buildings	ENERGY AND BUILDINGS																														0378-7788	1872-6178				JUN	2014	75						504	510		10.1016/j.enbuild.2014.02.040								WOS:000337013200051						
J	Visa, I; Moldovan, MD; Comsit, M; Duta, A				Visa, Ion; Moldovan, Macedon D.; Comsit, Mihai; Duta, Anca			Improving the renewable energy mix in a building toward the nearly zero energy status	ENERGY AND BUILDINGS																	Duta, Anca/B-6106-2011; Moldovan, Macedon/AAQ-6023-2020	Moldovan, Macedon/0000-0001-9584-7092; DUTA, Anca/0000-0002-0260-2676												0378-7788	1872-6178				JAN	2014	68		A				72	78		10.1016/j.enbuild.2013.09.023								WOS:000329885300009						
C	Li, LP; Fan, S		Wu, J; Lu, X; Xu, H; Nakagoshi, N		Li, Liping; Fan, Shuai			Comprehensive Use of Renewable Energy In Building	RESOURCES AND SUSTAINABLE DEVELOPMENT, PTS 1-4	Advanced Materials Research				2nd International Conference on Energy and Environmental Protection (ICEEP 2013)	APR 19-21, 2013	Guilin, PEOPLES R CHINA	Inner Mongolia Univ, Chinese Acad Sci, Res Ctr Eco Environm Sci, Key Lab Environm Biotechnol																						1022-6680		978-3-03785-744-1				2013	734-737						1671	1674		10.4028/www.scientific.net/AMR.734-737.1671								WOS:000332346800326						
J	Pacheco, R; Ordonez, J; Martinez, G				Pacheco, R.; Ordonez, J.; Martinez, G.			Energy efficient design of building: A review	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Montes, German Martínez/H-3758-2016; Pacheco-Torres, Rosalía/AAB-1018-2021; Pacheco-Torres, Rosalía/H-5957-2015	Montes, German Martínez/0000-0003-0677-8318; Pacheco-Torres, Rosalía/0000-0002-1452-7159; Pacheco-Torres, Rosalía/0000-0002-1452-7159												1364-0321					AUG	2012	16	6					3559	3573		10.1016/j.rser.2012.03.045								WOS:000306860700001						
J	Chua, KJ; Yang, WM; Wong, TZ; Ho, CA				Chua, K. J.; Yang, W. M.; Wong, T. Z.; Ho, C. A.			Integrating renewable energy technologies to support building trigeneration - A multi-criteria analysis	RENEWABLE ENERGY																	Chua, Kian Jon Ernest/D-1502-2009	Chua, Kian Jon Ernest/0000-0001-9293-7471												0960-1481					MAY	2012	41						358	367		10.1016/j.renene.2011.11.017								WOS:000301029600041						
J	Sartori, I; Napolitano, A; Voss, K				Sartori, Igor; Napolitano, Assunta; Voss, Karsten			Net zero energy buildings: A consistent definition framework	ENERGY AND BUILDINGS																														0378-7788	1872-6178				MAY	2012	48						220	232		10.1016/j.enbuild.2012.01.032								WOS:000302669300025						
J	Marszal, AJ; Heiselberg, P; Bourrelle, JS; Musall, E; Voss, K; Sartori, I; Napolitano, A				Marszal, A. J.; Heiselberg, P.; Bourrelle, J. S.; Musall, E.; Voss, K.; Sartori, I.; Napolitano, A.			Zero Energy Building - A review of definitions and calculation methodologies	ENERGY AND BUILDINGS																		Bourrelle, Julien S/0000-0002-5623-6659; Marszal, Anna Joanna/0000-0002-3195-7388												0378-7788					APR	2011	43	4					971	979		10.1016/j.enbuild.2010.12.022								WOS:000288592600025						
C	Chang, JY; Kuan, YD; Liou, SS		Sun, D; Sung, WP; Chen, R		Chang, Jing-Yi; Kuan, Yean-Der; Liou, Sheng-Shian			Integration of Renewable Energy Technology in Building	FRONTIERS OF GREEN BUILDING, MATERIALS AND CIVIL ENGINEERING, PTS 1-8	Applied Mechanics and Materials				International Conference on Green Building, Materials and Civil Engineering (GBMCE 2011)	AUG 22-23, 2011	Shangri La, PEOPLES R CHINA	Control Engn & Informat Sci Res Assoc, Int Frontiers Sci & Technol Res Assoc, Trans Tech Publicat, Chongqing Xueya Conf Cater Co Ltd																						1660-9336		978-3-03785-203-3				2011	71-78		1-8				2336	+		10.4028/www.scientific.net/AMM.71-78.2336								WOS:000307034501076						
J	ROOS, A; KARLSSON, B				ROOS, A; KARLSSON, B			OPTICAL AND THERMAL CHARACTERIZATION OF MULTIPLE GLAZED WINDOWS WITH LOW U-VALUES	SOLAR ENERGY																														0038-092X					APR	1994	52	4					315	325		10.1016/0038-092X(94)90138-4								WOS:A1994NA99700002						
