PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ho, GTS; Tang, YM; Tsang, KY; Tang, VL; Chau, KY				Ho, G. T. S.; Tang, Yuk Ming; Tsang, Kun Yat; Tang, Valerie; Chau, Ka Yin			A blockchain-based system to enhance aircraft parts traceability and trackability for inventory management	EXPERT SYSTEMS WITH APPLICATIONS																	Tang, YM/AAF-2055-2020	Tang, YM/0000-0001-8215-4190; Chau, Ka Yin/0000-0002-0381-8401												0957-4174	1873-6793				OCT 1	2021	179								115101	10.1016/j.eswa.2021.115101								WOS:000663549200001						
J	Li, X; Wu, LPF; Zhao, R; Lu, WS; Xue, F				Li, Xiao; Wu, Liupengfei; Zhao, Rui; Lu, Weisheng; Xue, Fan			Two-layer Adaptive Blockchain-based Supervision model for off-site modular housing production	COMPUTERS IN INDUSTRY																	Xue, Fan/H-9198-2012; Li, Xiao/AAG-9786-2021; /E-2899-2010	Xue, Fan/0000-0003-2217-3693; Li, Xiao/0000-0001-9702-4153; /0000-0003-4674-0357; Liupengfei, Wu/0000-0002-3768-9142; Zhao, Rui/0000-0003-1993-3129												0166-3615	1872-6194				JUN	2021	128								103437	10.1016/j.compind.2021.103437								WOS:000636296300006						
J	Pan, Y; Zhang, LM				Pan, Yue; Zhang, Limao			A BIM-data mining integrated digital twin framework for advanced project management	AUTOMATION IN CONSTRUCTION																	Zhang, Limao/A-1320-2016													0926-5805	1872-7891				APR	2021	124								103564	10.1016/j.autcon.2021.103564								WOS:000623400100003						
J	Li, CZ; Chen, Z; Xue, F; Kong, XTR; Xiao, B; Lai, XL; Zhao, YY				Li, Clyde Zhengdao; Chen, Zhe; Xue, Fan; Kong, Xiang T. R.; Xiao, Bing; Lai, Xulu; Zhao, Yiyu			A blockchain- and IoT-based smart product-service system for the sustainability of prefabricated housing construction	JOURNAL OF CLEANER PRODUCTION																	Xue, Fan/H-9198-2012	Xue, Fan/0000-0003-2217-3693; Chen, Zhe/0000-0002-8720-2638												0959-6526	1879-1786				MAR 1	2021	286								125391	10.1016/j.jclepro.2020.125391								WOS:000611944400007						
J	Abdelmageed, S; Zayed, T				Abdelmageed, Sherif; Zayed, Tarek			A study of literature in modular integrated construction - Critical review and future directions	JOURNAL OF CLEANER PRODUCTION																														0959-6526	1879-1786				DEC 20	2020	277								124044	10.1016/j.jclepro.2020.124044								WOS:000586917600178						
J	Petri, I; Barati, M; Rezgui, Y; Rana, OF				Petri, Ioan; Barati, Masoud; Rezgui, Yacine; Rana, Omer F.			Blockchain for energy sharing and trading in distributed prosumer communities	COMPUTERS IN INDUSTRY																	PETRI, IOAN/E-6136-2017; Rana, Omer/E-4314-2015	PETRI, IOAN/0000-0002-1625-8247; Rana, Omer/0000-0003-3597-2646												0166-3615	1872-6194				DEC	2020	123								103282	10.1016/j.compind.2020.103282								WOS:000667615300003						
J	Darko, A; Chan, APC; Yang, Y; Tetteh, MO				Darko, Amos; Chan, Albert P. C.; Yang, Yang; Tetteh, Mershack O.			Building information modeling (BIM)-based modular integrated construction risk management-Critical survey and future needs	COMPUTERS IN INDUSTRY																	Chan, Albert/I-4650-2012; Darko, Amos/C-4721-2018	Chan, Albert/0000-0002-4853-6440; Darko, Amos/0000-0002-7978-6039; Yang, Yang/0000-0002-3648-6001												0166-3615	1872-6194				DEC	2020	123								103327	10.1016/j.compind.2020.103327								WOS:000663832400010						
J	Ahmadisheykhsarmast, S; Sonmez, R				Ahmadisheykhsarmast, Salar; Sonmez, Rifat			A smart contract system for security of payment of construction contracts	AUTOMATION IN CONSTRUCTION																		Sonmez, Rifat/0000-0001-6163-3264												0926-5805	1872-7891				DEC	2020	120								103401	10.1016/j.autcon.2020.103401								WOS:000594153000002						
J	Tandon, A; Dhir, A; Islam, AKMN; Mantymaki, M				Tandon, Anushree; Dhir, Amandeep; Islam, A. K. M. Najmul; Mantymaki, Matti			Blockchain in healthcare: A systematic literature review, synthesizing framework and future research agenda	COMPUTERS IN INDUSTRY																	Dhir, Amandeep/F-1826-2013; tandon, anushree/AAP-8057-2020	Dhir, Amandeep/0000-0002-6006-6058; tandon, anushree/0000-0002-7319-418X; Mantymaki, Matti/0000-0002-1981-566X												0166-3615	1872-6194				NOV	2020	122								103290	10.1016/j.compind.2020.103290								WOS:000571219600004						
J	Yang, R; Wakefield, R; Lyu, SN; Jayasuriya, S; Han, FL; Yi, X; Yang, XC; Amarasinghe, G; Chen, SP				Yang, Rebecca; Wakefield, Ron; Lyu, Sainan; Jayasuriya, Sajani; Han, Fengling; Yi, Xun; Yang, Xuechao; Amarasinghe, Gayashan; Chen, Shiping			Public and private blockchain in construction business process and information integration	AUTOMATION IN CONSTRUCTION																	Chen, Shiping/Q-8611-2019; Wakefield, Ron/AAC-1048-2020	Chen, Shiping/0000-0002-4603-0024; Wakefield, Ron/0000-0003-0058-6008; Amarasinghe, Gayashan/0000-0001-8238-413X; Yang, Xuechao/0000-0001-5621-767X; Han, Fengling/0000-0001-8756-7197; Yang, Rebecca/0000-0002-0418-1967												0926-5805	1872-7891				OCT	2020	118								103276	10.1016/j.autcon.2020.103276								WOS:000571807400001						
