PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
C	Dasgupta, A; Gill, A; Hussain, F		Hammoudi, S; Quix, C; Bernardino, J		Dasgupta, Avirup; Gill, Asif; Hussain, Farookh			A Conceptual Framework for Data Governance in IoT-enabled Digital IS Ecosystems	PROCEEDINGS OF THE 8TH INTERNATIONAL CONFERENCE ON DATA SCIENCE, TECHNOLOGY AND APPLICATIONS (DATA)					8th International Conference on Data Science, Technology and Applications (DATA)	JUL 26-28, 2019	Prague, CZECH REPUBLIC										Gill, Asif/K-4375-2017	Gill, Asif/0000-0001-6239-6280														978-989-758-377-3				2019							209	216		10.5220/0007924302090216								WOS:000570730200023						
J	Tao, F; Qi, QL				Tao, Fei; Qi, Qinglin			New IT Driven Service-Oriented Smart Manufacturing: Framework and Characteristics	IEEE TRANSACTIONS ON SYSTEMS MAN CYBERNETICS-SYSTEMS																	Qi, Qinglin/N-3496-2018; Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020	Qi, Qinglin/0000-0002-3247-0440; Tao, Fei/0000-0002-9020-0633; 												2168-2216					JAN	2019	49	1			SI		81	91		10.1109/TSMC.2017.2723764								WOS:000454241100008						
C	Steinmetz, C; Rettberg, A; Ribeiro, FGC; Schroeder, G; Pereira, CE			IEEE	Steinmetz, Charles; Rettberg, Achim; Ribeiro, Fabiola Goncalves C.; Schroeder, Greyce; Pereira, Carlos E.			Internet of Things Ontology for Digital Twin in Cyber Physical Systems	2018 VIII BRAZILIAN SYMPOSIUM ON COMPUTING SYSTEMS ENGINEERING (SBESC 2018)	Brazilian Symposium on Computing System Engineering				8th Brazilian Symposium on Computing Systems Engineering (SBESC)	NOV 06-09, 2018	Salvador, BRAZIL	UFBA, UFBA, Inst Matematica & Estatistica, UFBA, Computacao, PGCOMP, PPGM, UFBA, LaSiD, STER, Soc Brasileira Computacao, IFIP									Pereira, Carlos E/G-5280-2012	Pereira, Carlos E/0000-0003-4315-4256												2324-7886		978-1-7281-0240-5				2018							154	159		10.1109/SBESC.2018.00030								WOS:000494351500020						
C	Eckhart, M; Ekelhart, A			Assoc Comp Machinery	Eckhart, Matthias; Ekelhart, Andreas			Towards Security-Aware Virtual Environments for Digital Twins	CPSS'18: PROCEEDINGS OF THE 4TH ACM WORKSHOP ON CYBER-PHYSICAL SYSTEM SECURITY					4th ACM Workshop on Cyber-Physical System Security (CPSS) / 5th ACM Asia Public-Key Cryptography Workshop (APKC)	JUN 04, 2018	Incheon, SOUTH KOREA	ACM SIGSAC, Assoc Comp Machinery									Eckhart, Matthias/AAE-6145-2020	Eckhart, Matthias/0000-0001-5125-4391; Ekelhart, Andreas/0000-0003-3682-1364														978-1-4503-5755-5				2018							61	72		10.1145/3198458.3198464								WOS:000461237800009						
J	Howell, S; Rezgui, Y; Hippolyte, JL; Jayan, B; Li, HJ				Howell, Shaun; Rezgui, Yacine; Hippolyte, Jean-Laurent; Jayan, Bejay; Li, Haijiang			Towards the next generation of smart grids: Semantic and holonic multi-agent management of distributed energy resources	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Rezgui, Yacine/ABE-6712-2020	Rezgui, Yacine/0000-0002-5711-8400												1364-0321					SEP	2017	77						193	214		10.1016/j.rser.2017.03.107								WOS:000404704500014						
J	GhaffarianHoseini, A; Zhang, TR; Nwadigo, O; GhaffarianHoseini, A; Naismith, N; Tookey, J; Raahemifar, K				GhaffarianHoseini, Ali; Zhang, Tongrui; Nwadigo, Okechukwu; GhaffarianHoseini, Amirhosein; Naismith, Nicola; Tookey, John; Raahemifar, Kaamran			Application of nD BIM Integrated Knowledge-based Building Management System (BIM-IKBMS) for inspecting post-construction energy efficiency	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Jeong, Yongwook/N-7413-2016	GhaffarianHoseini, Ali/0000-0002-0787-8399												1364-0321	1879-0690				MAY	2017	72						935	949		10.1016/j.rser.2016.12.061								WOS:000400227200074						
C	Negri, E; Fumagalli, L; Macchi, M		Pellicciari, M; Peruzzini, M		Negri, Elisa; Fumagalli, Luca; Macchi, Marco			A review of the roles of Digital Twin in CPS-based production systems	27TH INTERNATIONAL CONFERENCE ON FLEXIBLE AUTOMATION AND INTELLIGENT MANUFACTURING, FAIM2017	Procedia Manufacturing				27th International Conference on Flexible Automation and Intelligent Manufacturing (FAIM)	JUN 27-30, 2017	Modena, ITALY										Negri, Elisa/AAE-7638-2020	Negri, Elisa/0000-0002-0006-7497												2351-9789						2017	11						939	948		10.1016/j.promfg.2017.07.198								WOS:000419072100109						
C	Guerriero, A; Kubicki, S; Berroir, F; Lemaire, C		JardimGoncalves, R; Mendonca, JP; Pallot, M; Zarli, A; Martins, J; Marques, M		Guerriero, Annie; Kubicki, Sylvain; Berroir, Fabrice; Lemaire, Clement			BIM-enhanced Collaborative Smart Technologies for LEAN Construction Processes	2017 INTERNATIONAL CONFERENCE ON ENGINEERING, TECHNOLOGY AND INNOVATION (ICE/ITMC)	International ICE Conference on Engineering Technology and Innovation				23rd International Conference on Engineering, Technology and Innovation (ICE/ITMC)	JUN 27-29, 2017	PORTUGAL	Univ Nova Lisboa, Fac Ciencias Tecnologia, UNINOVA, GRIS, Univ Minho									Kubicki, Sylvain/I-6965-2019	Kubicki, Sylvain/0000-0003-2985-0378; Guerriero, Annie/0000-0002-8804-1995												2334-315X		978-1-5386-0774-9				2017							1023	1030										WOS:000464318300134						
J	Abramovici, M; Gobel, JC; Dang, HB				Abramovici, Michael; Goebel, Jens Christian; Dang, Hoang Bao			Semantic data management for the development and continuous reconfiguration of smart products and systems	CIRP ANNALS-MANUFACTURING TECHNOLOGY																		Dang, Dr. Hoang Bao/0000-0002-9562-8671												0007-8506	1726-0604					2016	65	1					185	188		10.1016/j.cirp.2016.04.051								WOS:000380603200047						
J	Dave, B; Kubler, S; Framling, K; Koskela, L				Dave, Bhargav; Kubler, Sylvain; Framling, Kary; Koskela, Lauri			Opportunities for enhanced lean construction management using Internet of Things standards	AUTOMATION IN CONSTRUCTION																	Koskela, Lauri/B-2359-2010; Främling, Kary Å/G-2222-2013; Bahroun, Zied/F-6863-2019	Främling, Kary Å/0000-0002-8078-5172; Bahroun, Zied/0000-0003-2832-3672; Kubler, Sylvain/0000-0001-7672-7837; Koskela, Lauri/0000-0003-4449-2281												0926-5805	1872-7891				JAN	2016	61						86	97		10.1016/j.autcon.2015.10.009								WOS:000366779700008						
J	Cha, HS; Lee, DG				Cha, Hee Sung; Lee, Dong Gun			A case study of time/cost analysis for aged-housing renovation using a pre-made BIM database structure	KSCE JOURNAL OF CIVIL ENGINEERING																	Cha, HeeSung/AAH-2884-2020													1226-7988	1976-3808				MAY	2015	19	4					841	852		10.1007/s12205-013-0617-1								WOS:000352709000004						
J	Boyes, H				Boyes, Hugh			Security, Privacy, and the Built Environment	IT PROFESSIONAL																		Boyes, Hugh/0000-0001-8129-4693												1520-9202	1941-045X				MAY-JUN	2015	17	3					25	31		10.1109/MITP.2015.49								WOS:000355934300006						
