PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Pan, Y; Zhang, LM				Pan, Yue; Zhang, Limao			A BIM-data mining integrated digital twin framework for advanced project management	AUTOMATION IN CONSTRUCTION																	Zhang, Limao/A-1320-2016													0926-5805	1872-7891				APR	2021	124								103564	10.1016/j.autcon.2021.103564								WOS:000623400100003						
J	Sepasgozar, SME				Sepasgozar, Samad M. E.			Differentiating Digital Twin from Digital Shadow: Elucidating a Paradigm Shift to Expedite a Smart, Sustainable Built Environment	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				APR	2021	11	4							151	10.3390/buildings11040151								WOS:000642779400001						
J	Agostinelli, S; Cumo, F; Guidi, G; Tomazzoli, C				Agostinelli, Sofia; Cumo, Fabrizio; Guidi, Giambattista; Tomazzoli, Claudio			Cyber-Physical Systems Improving Building Energy Management: Digital Twin and Artificial Intelligence	ENERGIES																		Agostinelli, Sofia/0000-0002-9706-8006; TOMAZZOLI, Claudio/0000-0003-2744-013X													1996-1073				APR	2021	14	8							2338	10.3390/en14082338								WOS:000644181100001						
J	Shahat, E; Hyun, CT; Yeom, C				Shahat, Ehab; Hyun, Chang T.; Yeom, Chunho			City Digital Twin Potentials: A Review and Research Agenda	SUSTAINABILITY																	Shahat, Ehab/ABG-5484-2021	Shahat, Ehab/0000-0002-8474-1994; Yeom, Chunho/0000-0002-4382-5323													2071-1050				MAR	2021	13	6							3386	10.3390/su13063386								WOS:000645686700001						
J	Bosch-Sijtsema, P; Claeson-Jonsson, C; Johansson, M; Roupe, M				Bosch-Sijtsema, Petra; Claeson-Jonsson, Christina; Johansson, Mikael; Roupe, Mattias			The hype factor of digital technologies in AEC	CONSTRUCTION INNOVATION-ENGLAND																	; Bosch-Sijtsema, Petra/B-2889-2016	Claeson-Jonsson, Christina/0000-0003-0488-4723; Bosch-Sijtsema, Petra/0000-0001-8141-9759												1471-4175	1477-0857				OCT 21	2021	21	4					899	916		10.1108/CI-01-2020-0002		FEB 2021						WOS:000623745200001						
J	Yu, G; Zhang, S; Hu, M; Wang, YK				Yu, Gang; Zhang, Shuang; Hu, Min; Wang, Y. Ken			Prediction of Highway Tunnel Pavement Performance Based on Digital Twin and Multiple Time Series Stacking	ADVANCES IN CIVIL ENGINEERING																		Yu, Gang/0000-0003-1376-7959; , min/0000-0003-2353-1923; Zhang, Shuang/0000-0002-2884-6572; Wang, Y. Ken/0000-0003-2829-3776												1687-8086	1687-8094				DEC 4	2020	2020								8824135	10.1155/2020/8824135								WOS:000599842600002						
J	Zhang, JS; Zhao, LH; Ren, GQ; Li, HJ; Li, XF				Zhang, Jisong; Zhao, Lihua; Ren, Guoqian; Li, Haijiang; Li, Xiaofei			Special Issue "Digital Twin Technology in the AEC Industry"	ADVANCES IN CIVIL ENGINEERING																														1687-8086	1687-8094				NOV 27	2020	2020								8842113	10.1155/2020/8842113								WOS:000598590300001						
J	Gotz, CS; Karlsson, P; Yitmen, I				Gotz, Christopher Santi; Karlsson, Patrik; Yitmen, Ibrahim			Exploring applicability, interoperability and integrability of Blockchain-based digital twins for asset life cycle management	SMART AND SUSTAINABLE BUILT ENVIRONMENT																														2046-6099	2046-6102															10.1108/SASBE-08-2020-0115		NOV 2020						WOS:000592890100001						
J	Peng, Y; Zhang, M; Yu, FQ; Xu, JL; Gao, S				Peng, Yang; Zhang, Ming; Yu, Fangqiang; Xu, Jinglin; Gao, Shang			Digital Twin Hospital Buildings: An Exemplary Case Study through Continuous Lifecycle Integration	ADVANCES IN CIVIL ENGINEERING																		Peng, Yang/0000-0001-6980-9957												1687-8086	1687-8094				NOV 19	2020	2020								8846667	10.1155/2020/8846667								WOS:000595825600003						
J	Zhang, JY; Zi, LJ; Hou, YX; Wang, MG; Jiang, WT; Deng, D				Zhang, Jinyue; Zi, Lijun; Hou, Yuexian; Wang, Mingen; Jiang, Wenting; Deng, Da			A Deep Learning-Based Approach to Enable Action Recognition for Construction Equipment	ADVANCES IN CIVIL ENGINEERING																														1687-8086	1687-8094				NOV 5	2020	2020								8812928	10.1155/2020/8812928								WOS:000590143700003						
J	Forcael, E; Ferrari, I; Opazo-Vega, A; Pulido-Arcas, JA				Forcael, Eric; Ferrari, Isabella; Opazo-Vega, Alexander; Pulido-Arcas, Jesus Alberto			Construction 4.0: A Literature Review	SUSTAINABILITY																	Pulido Arcas, Jesús Alberto/T-2129-2017	Pulido Arcas, Jesús Alberto/0000-0002-7956-2203; Opazo-Vega, Alexander/0000-0001-9059-8242; Forcael, Eric/0000-0002-3036-4329													2071-1050				NOV	2020	12	22							9755	10.3390/su12229755								WOS:000594615800001						
J	Zaballos, A; Briones, A; Massa, A; Centelles, P; Caballero, V				Zaballos, Agustin; Briones, Alan; Massa, Alba; Centelles, Pol; Caballero, Victor			A Smart Campus' Digital Twin for Sustainable Comfort Monitoring	SUSTAINABILITY																	Briones, Alan/AAZ-2904-2021; Zaballos, Agustin/I-1320-2015	Zaballos, Agustin/0000-0003-2755-4428; Briones, Alan/0000-0003-2009-8669; Massa, Alba/0000-0002-0757-8927													2071-1050				NOV	2020	12	21							9196	10.3390/su12219196								WOS:000589212800001						
J	Kaewunruen, S; Peng, SJ; Phil-Ebosie, O				Kaewunruen, Sakdirat; Peng, Shijie; Phil-Ebosie, Olisa			Digital Twin Aided Sustainability and Vulnerability Audit for Subway Stations	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538													2071-1050				OCT	2020	12	19							7873	10.3390/su12197873								WOS:000586687900001						
J	Lu, QC; Xie, X; Parlikad, AK; Schooling, JM				Lu, Qiuchen; Xie, Xiang; Parlikad, Ajith Kumar; Schooling, Jennifer Mary			Digital twin-enabled anomaly detection for built asset monitoring in operation and maintenance	AUTOMATION IN CONSTRUCTION																		Xie, Xiang/0000-0003-4601-9519												0926-5805	1872-7891				OCT	2020	118								103277	10.1016/j.autcon.2020.103277								WOS:000572920300006						
