PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
C	Modoni, GE; Sacco, M; Terkaj, W		Westkamper, E; Bauernhansl, T		Modoni, Gianfranco E.; Sacco, Marco; Terkaj, Walter			A telemetry-driven approach to simulate data-intensive manufacturing processes	FACTORIES OF THE FUTURE IN THE DIGITAL ENVIRONMENT	Procedia CIRP				49th CIRP Conference on Manufacturing Systems (CIRP-CMS)	MAY 25-27, 2016	Stuttgart, GERMANY	CIRP									Walter, Terkaj/N-6210-2014; Modoni, Gianfranco E./J-6662-2019; Sacco, marco/AAI-3566-2020	Walter, Terkaj/0000-0001-8902-361X; Sacco, marco/0000-0002-5055-4031; Modoni, Gianfranco Emanuele/0000-0002-4017-0800												2212-8271						2016	57						281	285		10.1016/j.procir.2016.11.049								WOS:000398053800048						
C	Jupp, JR		Bernard, A; Rivest, L; Dutta, D		Jupp, Julie Rose			Incomplete BIM Implementation: Exploring Challenges and the Role of Product Lifecycle Management Functions	PRODUCT LIFECYCLE MANAGEMENT FOR SOCIETY (PLM 2013)	IFIP Advances in Information and Communication Technology				10th IFIP WG 5.1 International Conference on Product Lifecycle Management (PLM)	JUL 06-10, 2013	Nantes, FRANCE	Int Federat Informat Proc WG 5 1																						1868-4238	1868-422X	978-3-642-41501-2				2013	409						630	640										WOS:000363258100062						
J	Vanlande, R; Nicolle, C; Cruz, C				Vanlande, Renaud; Nicolle, Christophe; Cruz, Christophe			lFC and building lifecycle management	AUTOMATION IN CONSTRUCTION																	NICOLLE, CHRISTOPHE/ABE-5885-2021; CRUZ, Christophe/I-2419-2012	NICOLLE, CHRISTOPHE/0000-0002-8118-5005; CRUZ, Christophe/0000-0002-5611-9479												0926-5805					DEC	2008	18	1					70	78		10.1016/j.autcon.2008.05.001								WOS:000259884200008						
J	Lee, G; Sacks, R; Eastman, CM				Lee, Ghang; Sacks, Rafael; Eastman, Charles M.			Specifying parametric building object behavior (BOB) for a building information modeling system	AUTOMATION IN CONSTRUCTION																	Sacks, Rafael/B-1431-2008; Lee, Ghang/G-8255-2012	Sacks, Rafael/0000-0001-9427-5053; Lee, Ghang/0000-0002-3522-2733												0926-5805					NOV	2006	15	6					758	776		10.1016/j.autcon.2005.09.009								WOS:000240933100009						
