PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Li, CZ; Xue, F; Li, X; Hong, JK; Shen, GQ				Li, Clyde Zhengdao; Xue, Fan; Li, Xiao; Hong, Jingke; Shen, Geoffrey Qiping			An Internet of Things-enabled BIM platform for on-site assembly services in prefabricated construction	AUTOMATION IN CONSTRUCTION																	Shen, Geoffrey Qiping/A-1250-2014; Li, Xiao/AAG-9786-2021; Xue, Fan/H-9198-2012	Shen, Geoffrey Qiping/0000-0002-3111-2019; Li, Xiao/0000-0001-9702-4153; Xue, Fan/0000-0003-2217-3693												0926-5805	1872-7891				MAY	2018	89						146	161		10.1016/j.autcon.2018.01.001								WOS:000430777700013						
J	Elwakil, E; Zayed, T				Elwakil, Emad; Zayed, Tarek			Construction productivity fuzzy knowledge base management system	CANADIAN JOURNAL OF CIVIL ENGINEERING																	Zayed, Tarek/A-3765-2011; Zayed, Tarek/L-6437-2018	Zayed, Tarek/0000-0003-3249-7712												0315-1468	1208-6029				MAY	2018	45	5					329	338		10.1139/cjce-2017-0540								WOS:000431318000001						
J	Cheng, B; Zhang, JY; Hancke, GP; Karnouskos, S; Colombo, AW				Cheng, Bo; Zhang, Jingyi; Hancke, Gerhard P.; Karnouskos, Stamatis; Colombo, Armando Walter			Industrial Cyberphysical Systems Realizing Cloud-Based Big Data Infrastructures	IEEE INDUSTRIAL ELECTRONICS MAGAZINE																	Colombo, Armando Walter/AAC-3284-2019; Karnouskos, Stamatis/D-3191-2016; Karnouskos, Stamatis/O-1877-2019; Hancke, Gerhard/J-7187-2013	Karnouskos, Stamatis/0000-0003-3519-8232; Karnouskos, Stamatis/0000-0003-3519-8232; Hancke, Gerhard/0000-0002-2388-3542												1932-4529	1941-0115				MAR	2018	12	1					25	35		10.1109/MIE.2017.2788850								WOS:000428543400004						
J	You, ZJ; Fu, HL; Shi, J				You, ZhiJia; Fu, HouLi; Shi, Jian			Design-by-analogy: A characteristic tree method for geotechnical engineering	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				MAR	2018	87						13	21		10.1016/j.autcon.2017.12.008								WOS:000426024900002						
J	Li, X; Yi, W; Chi, HL; Wang, XY; Chan, APC				Li, Xiao; Yi, Wen; Chi, Hung-Lin; Wang, Xiangyu; Chan, Albert P. C.			A critical review of virtual and augmented reality (VR/AR) applications in construction safety	AUTOMATION IN CONSTRUCTION																	Chi, Hung-Lin/ABF-3055-2020; Chan, Albert/I-4650-2012; Wang, Xiangyu/B-6232-2013; Li, Xiao/AAG-9786-2021	Chi, Hung-Lin/0000-0003-0756-4864; Chan, Albert/0000-0002-4853-6440; Li, Xiao/0000-0001-9702-4153; Wang, Xiangyu/0000-0001-8718-6941												0926-5805	1872-7891				FEB	2018	86						150	162		10.1016/j.autcon.2017.11.003								WOS:000423889800012						
J	Mostafa, R; Klepper, S				Mostafa, Romel; Klepper, Steven			Industrial Development Through Tacit Knowledge Seeding: Evidence from the Bangladesh Garment Industry	MANAGEMENT SCIENCE																														0025-1909	1526-5501				FEB	2018	64	2					613	632		10.1287/mnsc.2016.2619								WOS:000426191500009						
J	Senyo, PK; Addae, E; Boateng, R				Senyo, Prince Kwame; Addae, Erasmus; Boateng, Richard			Cloud computing research: A review of research themes, frameworks, methods and future research directions	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT																	Boateng, Richard/L-7776-2019; Senyo, PK/ABA-5334-2021	Boateng, Richard/0000-0002-9995-3340; Senyo, PK/0000-0001-7126-3826												0268-4012	1873-4707				FEB	2018	38	1					128	139		10.1016/j.ijinfomgt.2017.07.007								WOS:000416954500014						
J	Chan, APC; Darko, A; Olanipekun, AO; Ameyaw, EE				Chan, Albert Ping Chuen; Darko, Amos; Olanipekun, Ayokunle Olubunmi; Ameyaw, Ernest Effah			Critical barriers to green building technologies adoption in developing countries: The case of Ghana	JOURNAL OF CLEANER PRODUCTION																	Chan, Albert/I-4650-2012; Darko, Amos/C-4721-2018; OLANIPEKUN, AYOKUNLE OLUBUNMI/AAL-2483-2020	Chan, Albert/0000-0002-4853-6440; Darko, Amos/0000-0002-7978-6039; Ameyaw, Ernest E./0000-0001-6708-7647; OLANIPEKUN, AYOKUNLE OLUBUNMI/0000-0002-3551-4947												0959-6526	1879-1786				JAN 20	2018	172						1067	1079		10.1016/j.jclepro.2017.10.235								WOS:000423001900097						
J	Awolusi, I; Marks, E; Hallowell, M				Awolusi, Ibukun; Marks, Eric; Hallowell, Matthew			Wearable technology for personalized construction safety monitoring and trending: Review of applicable devices	AUTOMATION IN CONSTRUCTION																	Awolusi, Ibukun/X-1147-2019	Awolusi, Ibukun/0000-0001-8723-8609												0926-5805	1872-7891				JAN	2018	85						96	106		10.1016/j.autcon.2017.10.010								WOS:000424071900008						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
