PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Baek, F; Ha, I; Kim, H				Baek, Francis; Ha, Inhae; Kim, Hyoungkwan			Augmented reality system for facility management using image-based indoor localization	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				MAR	2019	99						18	26		10.1016/j.autcon.2018.11.034								WOS:000456759400002						
J	Moon, D; Chung, S; Kwon, S; Seo, J; Shin, J				Moon, Daeyoon; Chung, Suwan; Kwon, Soonwook; Seo, Jongwon; Shin, Joonghwan			Comparison and utilization of point cloud generated from photogrammetry and laser scanning: 3D world model for smart heavy equipment planning	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				FEB	2019	98						322	331		10.1016/j.autcon.2018.07.020								WOS:000456899900026						
J	Ha, I; Kim, H; Park, S; Kim, H				Ha, Inhae; Kim, Hongjo; Park, Somin; Kim, Hyoungkwan			Image retrieval using BIM and features from pretrained VGG network for indoor localization	BUILDING AND ENVIRONMENT																		Kim, Hongjo/0000-0002-2374-3785												0360-1323	1873-684X				AUG	2018	140						23	31		10.1016/j.buildenv.2018.05.026								WOS:000438660300003						
J	Chen, WW; Chen, KY; Cheng, JCP; Wang, Q; Gan, VJL				Chen, Weiwei; Chen, Keyu; Cheng, Jack C. P.; Wang, Qian; Gan, Vincent J. L.			BIM-based framework for automatic scheduling of facility maintenance work orders	AUTOMATION IN CONSTRUCTION																	Wang, Qian/N-8410-2017	Wang, Qian/0000-0003-3175-334X; Gan, Jielong (Vincent)/0000-0003-2954-301X												0926-5805	1872-7891				JUL	2018	91						15	30		10.1016/j.autcon.2018.03.007								WOS:000431470100002						
C	Arandjelovic, R; Gronat, P; Torii, A; Pajdla, T; Sivic, J			IEEE	Arandjelovic, Relja; Gronat, Petr; Torii, Akihiko; Pajdla, Tomas; Sivic, Josef			NetVLAD: CNN architecture for weakly supervised place recognition	2016 IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				2016 IEEE Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 27-30, 2016	Seattle, WA	IEEE Comp Soc, Comp Vis Fdn									Pajdla, Tomas/K-7954-2013	Pajdla, Tomas/0000-0001-6325-0072												1063-6919		978-1-4673-8851-1				2016							5297	5307		10.1109/CVPR.2016.572								WOS:000400012305040	28622667					
J	Chen, LC; Papandreou, G; Kokkinos, I; Murphy, K; Yuille, AL				Chen, Liang-Chieh; Papandreou, George; Kokkinos, Iasonas; Murphy, Kevin; Yuille, Alan L.			DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																		Yuille, Alan L./0000-0001-5207-9249												0162-8828	1939-3539				APR	2018	40	4					834	848		10.1109/TPAMI.2017.2699184								WOS:000426687100005	28463186					
J	Park, J; Cai, HB; Perissin, D				Park, Jaehyun; Cai, Hubo; Perissin, Daniele			Bringing Information to the Field: Automated Photo Registration and 4D BIM	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																														0887-3801	1943-5487				MAR	2018	32	2							04017084	10.1061/(ASCE)CP.1943-5487.0000740								WOS:000422833300017						
J	Pishdad-Bozorgi, P; Gao, XH; Eastman, C; Self, AP				Pishdad-Bozorgi, Pardis; Gao, Xinghua; Eastman, Charles; Self, Alonzo Patrick			Planning and developing facility management-enabled building information model (FM-enabled BIM)	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021													0926-5805	1872-7891				MAR	2018	87						22	38		10.1016/j.autcon.2017.12.004								WOS:000426024900003						
C	Czerniawski, T; Leite, F		Smith, IFC; Domer, B		Czerniawski, Thomas; Leite, Fernanda			3DFacilities: Annotated 3D Reconstructions of Building Facilities	ADVANCED COMPUTING STRATEGIES FOR ENGINEERING, PT I	Lecture Notes in Computer Science				25th Workshop of the European-Group-for-Intelligent-Computing-in-Engineering (EG-ICE)	JUN 10-13, 2018	Lausanne, SWITZERLAND	European Grp Intelligent Comp Engn									Leite, Fernanda/AAT-2099-2021	Leite, Fernanda/0000-0002-7789-4474; Czerniawski, Thomas/0000-0002-7310-6522												0302-9743	1611-3349	978-3-319-91635-4; 978-3-319-91634-7				2018	10863						186	200		10.1007/978-3-319-91635-4_10								WOS:000482715500010						
C	Satan, A; Toth, Z			IEEE	Satan, Adam; Toth, Zsolt			Development of Bluetooth Based Indoor Positioning Application	2018 IEEE INTERNATIONAL CONFERENCE ON FUTURE IOT TECHNOLOGIES (FUTURE IOT)					IEEE International Conference on Future IoT Technologies (Future IoT)	JAN 18-19, 2018	Eger, HUNGARY	IEEE																								978-1-5386-1208-8				2018																		WOS:000458554700002						
C	Taira, H; Okutomi, M; Sattler, T; Cimpoi, M; Pollefeys, M; Sivic, J; Pajdla, T; Torii, A			IEEE	Taira, Hajime; Okutomi, Masatoshi; Sattler, Torsten; Cimpoi, Mircea; Pollefeys, Marc; Sivic, Josef; Pajdla, Tomas; Torii, Akihiko			InLoc: Indoor Visual Localization with Dense Matching and View Synthesis	2018 IEEE/CVF CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR)	IEEE Conference on Computer Vision and Pattern Recognition				31st IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUN 18-23, 2018	Salt Lake City, UT	IEEE, CVF, IEEE Comp Soc									Cimpoi, Mircea/ABE-9462-2020; Sattler, Torsten/AAM-3155-2021; Pollefeys, Marc/I-7607-2013	Cimpoi, Mircea/0000-0002-5624-7593; 												1063-6919		978-1-5386-6420-9				2018							7199	7209		10.1109/CVPR.2018.00752								WOS:000457843607037						
J	Miettinen, R; Kerosuo, H; Metsala, T; Paavola, S				Miettinen, Reijo; Kerosuo, Hannele; Metsala, Teemu; Paavola, Sami			Bridging the life cycle: a case study on facility management infrastructures and uses of BIM	JOURNAL OF FACILITIES MANAGEMENT																		Paavola, Sami/0000-0002-5321-8535; Kerosuo, Hannele/0000-0001-9560-6029												1472-5967	1741-0983					2018	16	1					2	16		10.1108/JFM-04-2017-0017								WOS:000423506900001						
J	Yi, DH; Lee, TJ; Cho, DI				Yi, Dong-Hoon; Lee, Tae-Jae; Cho, Dong-Il Dan			A New Localization System for Indoor Service Robots in Low Luminance and Slippery Indoor Environment Using Afocal Optical Flow Sensor Based Sensor Fusion	SENSORS																		Cho, Dong-il/0000-0002-8040-5803												1424-8220					JAN	2018	18	1							171	10.3390/s18010171								WOS:000423286300170						
J	Natephra, W; Motamedi, A; Yabuki, N; Fukuda, T				Natephra, Worawan; Motamedi, Ali; Yabuki, Nobuyoshi; Fukuda, Tomohiro			Integrating 4D thermal information with BIM for building envelope thermal performance analysis and thermal comfort evaluation in naturally ventilated environments	BUILDING AND ENVIRONMENT																	Fukuda, Tomohiro/J-6490-2016	Fukuda, Tomohiro/0000-0002-4271-4445; Motamedi, Ali/0000-0002-7012-440X; Natephra, Worawan/0000-0003-0750-2823												0360-1323	1873-684X				NOV 1	2017	124						194	208		10.1016/j.buildenv.2017.08.004								WOS:000412252400016						
