Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
[No author name available],"Ingenieurbauwerke im Zuge von Straßen und Wegen, Überwachung und Prüfung",1999,"Ingenieurbauwerke im Zuge von Straßen und Wegen; Überwachung und Prüfung",51,,[No abstract available],,"Final",Scopus,2-s2.0-3342968388
[No author name available],[No title available],0000,"ASB-ING (2013) Anweisung Straßeninformationsbank Segment Bauwerksdaten",2,,[No abstract available],,"Final",Scopus,2-s2.0-85086171514
[No author name available],[No title available],2018,"DBV-Merkblatt (2018) Brückenmonitoring",1,,[No abstract available],,"Final",Scopus,2-s2.0-85086160299
[No author name available],[No title available],2018,"Intelligente Brücke [online]",1,,[No abstract available],,"Final",Scopus,2-s2.0-85086155094
[No author name available],[No title available],0000,"RI-EBW-PRüF (2017) Richtlinien für die Erhaltung von Ingenieurbauten (RI-ERH-ING) – Richtlinie zur einheitlichen Erfassung, Bewertung, Aufzeichnung und Auswertung von Ergebnissen der Bauwerksprüfungen nach DIN 1076",1,,[No abstract available],,"Final",Scopus,2-s2.0-85086419140
[No author name available],[No title available],0000,"Mitteilung des Senats an die Bürgerschaft Drucksache 21/13592, Grundsätze des Erhaltungsmanagements der Freien und Hansestadt Hamburg",1,,[No abstract available],,"Final",Scopus,2-s2.0-85086178500
[No author name available],[No title available],0000,"RPE-ING (2019) Richtlinie für die Planung von Erhaltungsmaßnahmen an Ingenieurbauwerken (Entwurf)",1,,[No abstract available],,"Final",Scopus,2-s2.0-85086156433
