PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Opoku, DJ; Perera, S; Osei-Kyei, R; Rashidi, M				Opoku, De-Graft Joe; Perera, Srinath; Osei-Kyei, Robert; Rashidi, Maria			Digital twin application in the construction industry: A literature review	JOURNAL OF BUILDING ENGINEERING																	Opoku, De-Graft Joe/AAT-4793-2020; Perera, Srinath/H-8575-2014	Opoku, De-Graft Joe/0000-0003-2557-5268; Perera, Srinath/0000-0001-9218-9282													2352-7102				AUG	2021	40								102726	10.1016/j.jobe.2021.102726								WOS:000663313300002						
J	Ozturk, GB				Ozturk, Gozde Basak			Digital Twin Research in the AECO-FM Industry	JOURNAL OF BUILDING ENGINEERING																	Ozturk, Gozde Basak/K-4182-2019	OZTURK, GOZDE BASAK/0000-0003-4617-6936												2352-7102					AUG	2021	40								102730	10.1016/j.jobe.2021.102730								WOS:000663176100005						
J	Safari, K; AzariJafari, H				Safari, Kaveh; AzariJafari, Hessam			Challenges and opportunities for integrating BIM and LCA: Methodological choices and framework development	SUSTAINABLE CITIES AND SOCIETY																	Safari, Kaveh/ABG-3727-2021; Azarijafari, Hessam/H-3488-2018	Azarijafari, Hessam/0000-0002-9855-1606; Safari, Kaveh/0000-0003-0397-3708												2210-6707	2210-6715				APR	2021	67								102728	10.1016/j.scs.2021.102728								WOS:000638118200001						
J	Sepasgozar, SME				Sepasgozar, Samad M. E.			Differentiating Digital Twin from Digital Shadow: Elucidating a Paradigm Shift to Expedite a Smart, Sustainable Built Environment	BUILDINGS																		M. E. Sepasgozar, Samad/0000-0003-2568-3111													2075-5309				APR	2021	11	4							151	10.3390/buildings11040151								WOS:000642779400001						
J	Mannino, A; Dejaco, MC; Cecconi, FR				Mannino, Antonino; Dejaco, Mario Claudio; Cecconi, Fulvio Re			Building Information Modelling and Internet of Things Integration for Facility Management-Literature Review and Future Needs	APPLIED SCIENCES-BASEL																	Dejaco, Mario Claudio/X-3199-2019; Fulvio, Re Cecconi/T-1438-2018	Dejaco, Mario Claudio/0000-0001-6804-4032; Fulvio, Re Cecconi/0000-0001-7716-8854; Mannino, Antonino/0000-0002-0371-8021													2076-3417				APR	2021	11	7							3062	10.3390/app11073062								WOS:000638313800001						
J	Agnusdei, GP; Elia, V; Gnoni, MG				Agnusdei, Giulio Paolo; Elia, Valerio; Gnoni, Maria Grazia			A classification proposal of digital twin applications in the safety domain	COMPUTERS & INDUSTRIAL ENGINEERING																	Elia, Valerio/N-4584-2015	Elia, Valerio/0000-0002-0208-5947												0360-8352	1879-0550				APR	2021	154								107137	10.1016/j.cie.2021.107137								WOS:000632964300036						
J	Agnusdei, GP; Elia, V; Gnoni, MG				Agnusdei, Giulio Paolo; Elia, Valerio; Gnoni, Maria Grazia			Is Digital Twin Technology Supporting Safety Management? A Bibliometric and Systematic Review	APPLIED SCIENCES-BASEL																	; Elia, Valerio/N-4584-2015	Agnusdei, Giulio Paolo/0000-0002-4537-0780; gnoni, maria grazia/0000-0001-7930-0556; Elia, Valerio/0000-0002-0208-5947													2076-3417				MAR	2021	11	6							2767	10.3390/app11062767								WOS:000645705200001						
J	Alshammari, K; Beach, T; Rezgui, Y				Alshammari, Kaznah; Beach, Thomas; Rezgui, Yacine			CYBERSECURITY FOR DIGITAL TWINS IN THE BUILT ENVIRONMENT: CURRENT RESEARCH AND FUTURE DIRECTIONS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																														1874-4753						2021	26						159	173		10.36680/j.itcon.2021.010								WOS:000662323400001						
J	Deng, M; Menassa, CC; Kamat, VR				Deng, Min; Menassa, Carol C.; Kamat, Vineet R.			FROM BIM TO DIGITAL TWINS: A SYSTEMATIC REVIEW OF THE EVOLUTION OF INTELLIGENT BUILDING REPRESENTATIONS IN THE AEC-FM INDUSTRY	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																														1874-4753						2021	26						58	83		10.36680/j.itcon.2021.005								WOS:000626039100001						
J	Resch, E; Andresen, I; Cherubini, F; Brattebo, H				Resch, Eirik; Andresen, Inger; Cherubini, Francesco; Brattebo, Helge			Estimating dynamic climate change effects of material use in buildings-Timing, uncertainty, and emission sources	BUILDING AND ENVIRONMENT																		Resch, Eirik/0000-0002-0592-5956												0360-1323	1873-684X				JAN	2021	187								107399	10.1016/j.buildenv.2020.107399								WOS:000600275800001						
J	Moretti, N; Xie, X; Merino, J; Brazauskas, J; Parlikad, AK				Moretti, Nicola; Xie, Xiang; Merino, Jorge; Brazauskas, Justas; Parlikad, Ajith Kumar			An openBIM Approach to IoT Integration with Incomplete As-Built Data	APPLIED SCIENCES-BASEL																	Moretti, Nicola/T-1347-2018	Moretti, Nicola/0000-0002-7197-8677; Xie, Xiang/0000-0003-4601-9519; Brazauskas, Justas/0000-0002-6795-5245													2076-3417				NOV	2020	10	22							8287	10.3390/app10228287								WOS:000594190600001						
