Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Tao F., Zhang M., Nee A.Y.C.","Digital twin driven smart manufacturing",2019,"Digital Twin Driven Smart Manufacturing",143,,[No abstract available],,"Final",Scopus,2-s2.0-85064427099
[No author name available],[No title available],2015,"National Building Information Modeling Standard",15,,[No abstract available],,"Final",Scopus,2-s2.0-84979221137
[No author name available],"Reassessing digital transformation, the culture and process change imperative",2018,"Harvard Business Review",1,,[No abstract available],,"Final",Scopus,2-s2.0-85089692832
"Reid R. D.",[No title available],2016,"Systems Engineering Advancement Research Initiative",1,,[No abstract available],,"Final",Scopus,2-s2.0-85089670306
"Kreider R. G., Messner J. I.",[No title available],2013,"Building information modeling execution planning guide version 2.1",1,,[No abstract available],,"Final",Scopus,2-s2.0-85089657398
[No author name available],[No title available],0000,"Airport Digital Transformation BP–A",1,,[No abstract available],,"Final",Scopus,2-s2.0-85089700666
