PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Wang, Y; Shao, L				Wang, Y.; Shao, L.			Understanding occupancy pattern and improving building energy efficiency through Wi-Fi based indoor positioning	BUILDING AND ENVIRONMENT																		Shao, Li/0000-0002-1544-7548												0360-1323	1873-684X				MAR	2017	114						106	117		10.1016/j.buildenv.2016.12.015								WOS:000393249800010						
J	Oti, AH; Kurul, E; Cheung, F; Tah, JHM				Oti, A. H.; Kurul, E.; Cheung, F.; Tah, J. H. M.			A framework for the utilization of Building Management System data in building information models for building design and operation	AUTOMATION IN CONSTRUCTION																	Kurul, Esra/C-9784-2016; Tah, Joseph/AAI-6944-2020; Kurul, Esra/AAC-6219-2021; Oti, Akponanabofa Henry/AAA-5088-2021	Kurul, Esra/0000-0003-3744-3895; Tah, Joseph/0000-0002-1950-8387; Kurul, Esra/0000-0003-3744-3895; Oti, Akponanabofa Henry/0000-0002-7228-6189; Cheung, Franco Kai Tak/0000-0001-6088-6315												0926-5805	1872-7891				DEC	2016	72		2				195	210		10.1016/j.autcon.2016.08.043								WOS:000390722100012						
J	Yang, JJ; Santamouris, M; Lee, SE				Yang, Junjing; Santamouris, Mattheos; Lee, Siew Eang			Review of occupancy sensing systems and occupancy modeling methodologies for the application in institutional buildings	ENERGY AND BUILDINGS																	Mat, Santamouris/AAP-2836-2021	Santamouris, Matthaios/0000-0001-6076-3526; Lee, Siew Eang/0000-0003-2683-1075												0378-7788	1872-6178				JUN 1	2016	121						344	349		10.1016/j.enbuild.2015.12.019								WOS:000376697400029						
C	Costa, AA; Lopes, PM; Antunes, A; Cabral, I; Grilo, A; Rodrigues, FM		Hajdu, M; Skibniewski, MJ		Costa, Antonio Aguiar; Lopes, Pedro Mira; Antunes, Andre; Cabral, Izunildo; Grilo, Antonio; Rodrigues, Filipe Martins			3I Buildings: Intelligent, Interactive and Immersive Buildings	CREATIVE CONSTRUCTION CONFERENCE 2015, SELECTED PAPERS	Procedia Engineering				Creative Construction Conference 2015, Selected Papers	JUN 21-24, 2015	Krakow, POLAND										Rodrigues, Filipe/O-5993-2019; Grilo, Antonio C. B./A-5091-2013; Bagga, Ankit/AAG-8019-2021; Costa, Antonio Aguiar/G-2467-2010	Rodrigues, Filipe/0000-0001-7268-5908; Grilo, Antonio C. B./0000-0002-6045-9994; Cabral, Izunildo/0000-0002-1035-8669; Costa, Antonio Aguiar/0000-0002-5123-4451												1877-7058						2015	123						7	14		10.1016/j.proeng.2015.10.051								WOS:000380488800002						
J	Chen, JY; Ahn, CB				Chen, Jiayu; Ahn, Changbum			Assessing occupants' energy load variation through existing wireless network infrastructure in commercial and educational buildings	ENERGY AND BUILDINGS																	Chen, Jiayu/P-8048-2019; Ahn, Changbum R/R-6837-2017; Ahn, Changbum Ryan/AAG-6251-2019	Chen, Jiayu/0000-0001-9396-0059; Ahn, Changbum R/0000-0002-6733-2216; Ahn, Changbum Ryan/0000-0002-6733-2216; Chen, Jiayu/0000-0002-6376-8127												0378-7788	1872-6178				OCT	2014	82						540	549		10.1016/j.enbuild.2014.07.053								WOS:000343781400053						
J	Marzouk, M; Abdelaty, A				Marzouk, Mohamed; Abdelaty, Ahmed			BIM-based framework for managing performance of subway stations	AUTOMATION IN CONSTRUCTION																	Marzouk, Mohamed/AAA-2717-2021	Marzouk, Mohamed/0000-0002-8594-8452												0926-5805	1872-7891				MAY	2014	41						70	77		10.1016/j.autcon.2014.02.004								WOS:000334139500008						
J	de Wilde, P				de Wilde, Pieter			The gap between predicted and measured energy performance of buildings: A framework for investigation	AUTOMATION IN CONSTRUCTION																	de Wilde, Pieter/T-5829-2017	de Wilde, Pieter/0000-0003-3376-9775												0926-5805	1872-7891				MAY	2014	41						40	49		10.1016/j.autcon.2014.02.009								WOS:000334139500005						
C	Codinhoto, R; Kiviniemi, A		Fukuda, S; Bernard, A; Gurumoorthy, B; Bouras, A		Codinhoto, Ricardo; Kiviniemi, Arto			BIM for FM: A Case Support for Business Life Cycle	PRODUCT LIFECYCLE MANAGEMENT FOR A GLOBAL MARKET (PLM 2014)	IFIP Advances in Information and Communication Technology				11th IFIP Working Group 5.1 International Conference on Product Lifecycle Management for a Global Market (PLM)	JUL 07-09, 2014	Yokohama, JAPAN	Int Federat Informat Proc Working Grp 5 1 Global Prod Dev Whole Lifecycle										Codinhoto, Ricardo/0000-0002-4427-8720												1868-4238	1868-422X	978-3-662-45937-9				2014	442						63	74										WOS:000363251200007						
J	Agha-Hossein, MM; El-Jouzi, S; Elmualim, AA; Ellis, J; Williams, M				Agha-Hossein, M. M.; El-Jouzi, S.; Elmualim, A. A.; Ellis, J.; Williams, M.			Post-occupancy studies of an office environment: Energy performance and occupants' satisfaction	BUILDING AND ENVIRONMENT																	Elmualim, Abbas/L-5580-2016	Elmualim, Abbas/0000-0003-2502-2858												0360-1323	1873-684X				NOV	2013	69						121	130		10.1016/j.buildenv.2013.08.003								WOS:000326429000013						
J	Li, N; Calis, G; Becerik-Gerber, B				Li, Nan; Calis, Gulben; Becerik-Gerber, Burcin			Measuring and monitoring occupancy with an RFID based system for demand-driven HVAC operations	AUTOMATION IN CONSTRUCTION																	CALIS, GULBEN/AAF-7923-2020; CALIS, GULBEN/X-8916-2018; Li, Nan/W-4397-2017; Becerik-Gerber, Burcin/D-6897-2013	CALIS, GULBEN/0000-0003-3056-4870; Li, Nan/0000-0002-7272-4273; Becerik-Gerber, Burcin/0000-0001-8648-0989												0926-5805	1872-7891				JUL	2012	24						89	99		10.1016/j.autcon.2012.02.013								WOS:000304494800010						
J	Martani, C; Lee, D; Robinson, P; Britter, R; Ratti, C				Martani, Claudio; Lee, David; Robinson, Prudence; Britter, Rex; Ratti, Carlo			ENERNET: Studying the dynamic relationship between building occupancy and energy consumption	ENERGY AND BUILDINGS																	Lee, David/N-8988-2017; Lee, David/AAA-1948-2020	Lee, David/0000-0003-0447-8573; Martani, Claudio/0000-0002-9039-0908												0378-7788					APR	2012	47						584	591		10.1016/j.enbuild.2011.12.037								WOS:000301989800065						
J	Kim, J; de Dear, R				Kim, Jungsoo; de Dear, Richard			Nonlinear relationships between individual IEQ factors and overall workspace satisfaction	BUILDING AND ENVIRONMENT																	de Dear, Richard/AAP-8963-2020	de Dear, Richard/0000-0002-3414-290X; Kim, Jungsoo/0000-0003-4012-1600												0360-1323					MAR	2012	49						33	40		10.1016/j.buildenv.2011.09.022								WOS:000298200600005						
J	Benezeth, Y; Laurent, H; Emile, B; Rosenberger, C				Benezeth, Y.; Laurent, H.; Emile, B.; Rosenberger, C.			Towards a sensor for detecting human presence and characterizing activity	ENERGY AND BUILDINGS																	rosenberger, Christophe/M-4841-2017; Benezeth, Yannick/D-3375-2012; ROSENBERGER, Christophe/B-9703-2008	rosenberger, Christophe/0000-0002-2042-9029; Benezeth, Yannick/0000-0002-6034-7431; 												0378-7788	1872-6178				FEB-MAR	2011	43	2-3					305	314		10.1016/j.enbuild.2010.09.014								WOS:000287291300006						
J	Zimmerman, A; Martin, M				Zimmerman, A; Martin, M			Post-occupancy evaluation: benefits and barriers	BUILDING RESEARCH AND INFORMATION																														0961-3218						2001	29	2					168	174		10.1080/09613210010016857								WOS:000167893700009						
J	ZIMRING, CM; REIZENSTEIN, JE				ZIMRING, CM; REIZENSTEIN, JE			POST-OCCUPANCY EVALUATION - AN OVERVIEW	ENVIRONMENT AND BEHAVIOR																														0013-9165						1980	12	4					429	450		10.1177/0013916580124002								WOS:A1980KW01300002						
