PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Meda, P; Calvetti, D; Hjelseth, E; Sousa, H				Meda, Pedro; Calvetti, Diego; Hjelseth, Eilif; Sousa, Hipolito			Incremental Digital Twin Conceptualisations Targeting Data-Driven Circular Construction	BUILDINGS																	Calvetti, Diego/AAW-2048-2020	Calvetti, Diego/0000-0001-9893-0377; Meda, Pedro/0000-0003-4380-5530; Sousa, Hipolito/0000-0001-8335-0898													2075-5309				NOV	2021	11	11							554	10.3390/buildings11110554								WOS:000724401700001						
J	Grabe, M; Ullerich, C; Wenner, M; Herbrand, M				Grabe, Matthias; Ullerich, Christof; Wenner, Marc; Herbrand, Martin			smartBridge Hamburg - prototypische Pilotierung eines digitalen Zwillings	BAUTECHNIK																	Herbrand, Martin/P-7611-2017	Herbrand, Martin/0000-0003-2513-2686												0932-8351	1437-0999				FEB	2020	97	2					118	125		10.1002/bate.201900108								WOS:000513955600009						
J	Lu, RD; Brilakis, I; Middleton, CR				Lu, Ruodan; Brilakis, Ioannis; Middleton, Campbell R.			Detection of Structural Components in Point Clouds of Existing RC Bridges	COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING																	Brilakis, Ioannis/H-5369-2013	Brilakis, Ioannis/0000-0003-1829-2083												1093-9687	1467-8667				MAR	2019	34	3					191	212		10.1111/mice.12407								WOS:000458425600001						
C	Dai, A; Qi, CR; Niessner, M			IEEE	Dai, Angela; Qi, Charles Ruizhongtai; Niessner, Matthias			Shape Completion using 3D-Encoder-Predictor CNNs and Shape Synthesis	30TH IEEE CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION (CVPR 2017)	IEEE Conference on Computer Vision and Pattern Recognition				30th IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR)	JUL 21-26, 2017	Honolulu, HI	IEEE, IEEE Comp Soc, CVF										Dai, Angela/0000-0002-6241-8782												1063-6919		978-1-5386-0457-1				2017							6545	6554		10.1109/CVPR.2017.693								WOS:000418371406068						
