PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Love, PED; Zhou, JY; Matthews, J; Luo, H				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane; Luo, Harbin			Systems information modelling: Enabling digital asset management	ADVANCES IN ENGINEERING SOFTWARE																	Love, Peter/D-7418-2017; Matthews, Jane/M-6968-2017	Love, Peter/0000-0002-3239-1304; Matthews, Jane/0000-0003-3367-9278												0965-9978	1873-5339				DEC	2016	102						155	165		10.1016/j.advengsoft.2016.10.007								WOS:000388155500013						
J	Love, PED; Zhou, JY; Matthews, J; Lou, HB				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane; Lou, Hanbin			Object oriented modeling: Retrospective systems information model for constructability assessment	AUTOMATION IN CONSTRUCTION																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304												0926-5805	1872-7891				NOV	2016	71		2				359	371		10.1016/j.autcon.2016.08.032								WOS:000384872000018						
J	Love, PED; Zhou, JY; Matthews, J; Sing, MCP				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane; Sing, Michael C. P.			Retrospective future proofing of a copper mine: Quantification of errors and omissions in 'As-built' documentation	JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES																	Love, Peter/D-7418-2017; Matthews, Jane/M-6968-2017	Love, Peter/0000-0002-3239-1304; Matthews, Jane/0000-0003-3367-9278; SING, Chun Pong/0000-0003-3526-0702												0950-4230	1873-3352				SEP	2016	43						414	423		10.1016/j.jlp.2016.06.011								WOS:000384775400043						
J	Love, PED; Zhou, JY; Matthews, J; Edwards, D				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane; Edwards, David			Moving beyond CAD to an object-oriented approach for electrical control and instrumentation systems	ADVANCES IN ENGINEERING SOFTWARE																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304												0965-9978	1873-5339				SEP	2016	99						9	17		10.1016/j.advengsoft.2016.04.007								WOS:000381542200002						
J	Love, PED; Zhou, JY; Matthews, J				Love, Peter E. D.; Zhou, Jingyang; Matthews, Jane			Systems information modeling: From file exchanges to model sharing for electrical instrumentation and control systems	AUTOMATION IN CONSTRUCTION																	Love, Peter/D-7418-2017; Matthews, Jane/M-6968-2017	Love, Peter/0000-0002-3239-1304; Matthews, Jane/0000-0003-3367-9278												0926-5805	1872-7891				JUL	2016	67						48	59		10.1016/j.autcon.2016.02.010								WOS:000375818300004						
J	Prat, N; Comyn-Wattiau, I; Akoka, J				Prat, Nicolas; Comyn-Wattiau, Isabelle; Akoka, Jacky			A Taxonomy of Evaluation Methods for Information Systems Artifacts	JOURNAL OF MANAGEMENT INFORMATION SYSTEMS																		Comyn-Wattiau, Isabelle/0000-0002-5257-6189												0742-1222	1557-928X					2015	32	3					229	267		10.1080/07421222.2015.1099390								WOS:000368329400010						
J	Zhou, J; Love, PED; Matthews, J; Carey, B; Sing, CP				Zhou, J.; Love, P. E. D.; Matthews, J.; Carey, B.; Sing, C. P.			Object-oriented model for life cycle management of electrical instrumentation control projects	AUTOMATION IN CONSTRUCTION																	Sing, Michael Chun Pong/O-2180-2015; Love, Peter/D-7418-2017; Matthews, Jane/M-6968-2017	Love, Peter/0000-0002-3239-1304; Matthews, Jane/0000-0003-3367-9278; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				JAN	2015	49		A				142	151		10.1016/j.autcon.2014.10.008								WOS:000347578800014						
J	Serra, CEM; Kunc, M				Serra, Carlos Eduardo Martins; Kunc, Martin			Benefits Realisation Management and its influence on project success and on the execution of business strategies	INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT																	Serra, Carlos/T-2313-2019	Serra, Carlos/0000-0001-5767-7520; Kunc, Martin/0000-0002-3411-4052												0263-7863	1873-4634				JAN	2015	33	1					53	66		10.1016/j.ijproman.2014.03.011								WOS:000347595200006						
J	Love, PED; Zhou, JY; Sing, CP; Kim, JT				Love, Peter E. D.; Zhou, Jingyang; Sing, Chun-Pong; Kim, Jeong-Tai			Assessing the impact of RFIs in electrical and instrumentation engineering contracts	JOURNAL OF ENGINEERING DESIGN																	Sing, Michael Chun Pong/O-2180-2015; Love, Peter/D-7418-2017	Love, Peter/0000-0002-3239-1304; SING, Chun Pong/0000-0003-3526-0702												0954-4828	1466-1837				JUN 3	2014	25	4-6					177	193		10.1080/09544828.2014.935305								WOS:000343232500001						
J	Love, PED; Matthews, J; Simpson, I; Hill, A; Olatunji, OA				Love, Peter E. D.; Matthews, Jane; Simpson, Ian; Hill, Andrew; Olatunji, Oluwole A.			A benefits realization management building information modeling framework for asset owners	AUTOMATION IN CONSTRUCTION																	Matthews, Jane/M-6968-2017; Love, Peter/D-7418-2017; Olatunji, Oluwole Alfred/I-3182-2014	Matthews, Jane/0000-0003-3367-9278; Love, Peter/0000-0002-3239-1304; Olatunji, Oluwole Alfred/0000-0002-9726-4218												0926-5805	1872-7891				JAN	2014	37						1	10		10.1016/j.autcon.2013.09.007								WOS:000329562700001						
J	Love, PED; Simpson, I; Hill, A; Standing, C				Love, Peter E. D.; Simpson, Ian; Hill, Andrew; Standing, Craig			From justification to evaluation: Building information modeling for asset owners	AUTOMATION IN CONSTRUCTION																	Love, Peter/D-7418-2017	Love, Peter/0000-0002-3239-1304												0926-5805	1872-7891				NOV	2013	35						208	216		10.1016/j.autcon.2013.05.008								WOS:000325742500017						
J	Love, PED; Zhou, JY; Sing, CP; Kim, JT				Love, Peter E. D.; Zhou, Jingyang; Sing, Chun-pong; Kim, Jeong Tai			Documentation errors in instrumentation and electrical systems: Toward productivity improvement using System Information Modeling	AUTOMATION IN CONSTRUCTION																	Love, Peter/D-7418-2017; Sing, Michael Chun Pong/O-2180-2015	Love, Peter/0000-0002-3239-1304; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				NOV	2013	35						448	459		10.1016/j.autcon.2013.05.028								WOS:000325742500039						
J	Barlish, K; Sullivan, K				Barlish, Kristen; Sullivan, Kenneth			How to measure the benefits of BIM - A case study approach	AUTOMATION IN CONSTRUCTION																		Hurtado, Kristen/0000-0002-1144-0015												0926-5805	1872-7891				JUL	2012	24						149	159		10.1016/j.autcon.2012.02.008								WOS:000304494800016						
J	Ashurst, C; Doherty, NF; Peppard, J				Ashurst, Colin; Doherty, Neil F.; Peppard, Joe			Improving the impact of IT development projects: the benefits realization capability model	EUROPEAN JOURNAL OF INFORMATION SYSTEMS																	Doherty, Neil/A-4783-2010	Doherty, Noeleen/0000-0002-2757-9118												0960-085X	1476-9344				AUG	2008	17	4					352	370		10.1057/ejis.2008.33								WOS:000260470100006						
J	Stockdale, R; Standing, C; Love, PED				Stockdale, Rosemary; Standing, Craig; Love, Peter E. D.			Propagation of a parsimonious framework for evaluating information systems in construction	AUTOMATION IN CONSTRUCTION																	Love, Peter/D-7418-2017	Love, Peter/0000-0002-3239-1304; Stockdale, Rosemary/0000-0003-0577-1413												0926-5805	1872-7891				NOV	2006	15	6					729	736		10.1016/j.autcon.2005.09.005								WOS:000240933100006						
J	Peppard, J; Ward, J				Peppard, J; Ward, J			Unlocking sustained business value from IT investments	CALIFORNIA MANAGEMENT REVIEW																														0008-1256					FAL	2005	48	1					52	+		10.2307/41166327								WOS:000233508500004						
J	Walter, SG; Spitta, T				Walter, SG; Spitta, T			Approaches to the ex-ante evaluation of investments into information systems	WIRTSCHAFTSINFORMATIK																		Walter, Sascha/0000-0002-0414-1770												0937-6429					JUN	2004	46	3					171	180		10.1007/BF03250934								WOS:000222523600002						
J	Irani, Z; Themistocleous, M; Love, PED				Irani, Z; Themistocleous, M; Love, PED			The impact of enterprise application integration on information system lifecycles	INFORMATION & MANAGEMENT																	Themistocleous, Marinos/W-4770-2018; Love, Peter/D-7418-2017	Themistocleous, Marinos/0000-0002-6904-9692; Love, Peter/0000-0002-3239-1304; Irani, Zahir/0000-0002-6332-6118												0378-7206	1872-7530				DEC	2003	41	2					177	187		10.1016/S0378-7206(03)00046-6								WOS:000186248300005						
J	Lin, C; Pervan, G				Lin, C; Pervan, G			The practice of IS/IT benefits management in large Australian organizations	INFORMATION & MANAGEMENT																	Lin, Chad/A-1432-2008	Lin, Chad/0000-0002-8365-977X												0378-7206	1872-7530				OCT	2003	41	1					13	24		10.1016/S0378-7206(03)00002-8								WOS:000185524800002						
J	Ward, J; Elvin, R				Ward, J; Elvin, R			A new framework for managing IT-enabled business change	INFORMATION SYSTEMS JOURNAL																														1350-1917					JUL	1999	9	3					197	221		10.1046/j.1365-2575.1999.00059.x								WOS:000082830400004						
J	Ward, J; Taylor, P; Bond, P				Ward, J; Taylor, P; Bond, P			Evaluation and realisation of IS/IT benefits: An empirical study of current practice	EUROPEAN JOURNAL OF INFORMATION SYSTEMS																														0960-085X					FEB	1996	4	4					214	225		10.1057/ejis.1996.3								WOS:A1996UA00900003						
