PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Zhu, JX; Tan, Y; Wang, XY; Wu, P				Zhu, Junxiang; Tan, Yi; Wang, Xiangyu; Wu, Peng			BIM/GIS integration for web GIS-based bridge management	ANNALS OF GIS																	Zhu, Junxiang/AAX-4418-2020; Wang, Xiangyu/B-6232-2013	Zhu, Junxiang/0000-0002-9828-5168; wu, peng/0000-0002-3793-0653												1947-5683	1947-5691					2021	27	1			SI		99	109		10.1080/19475683.2020.1743355								WOS:000627393900008						
J	Xue, F; Lu, WS; Chen, Z; Webster, CJ				Xue, Fan; Lu, Weisheng; Chen, Zhe; Webster, Christopher J.			From LiDAR point cloud towards digital twin city: Clustering city objects based on Gestalt principles	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Xue, Fan/H-9198-2012; /E-2899-2010	Xue, Fan/0000-0003-2217-3693; Webster, Chris/0000-0002-2171-7495; /0000-0003-4674-0357; Chen, Zhe/0000-0002-8720-2638												0924-2716	1872-8235				SEP	2020	167						418	431		10.1016/j.isprsjprs.2020.07.020								WOS:000561346200028						
J	Zhang, L; El-Gohary, NM				Zhang, Lu; El-Gohary, Nora M.			Automated IFC-based building information modelling and extraction for supporting value analysis of buildings	INTERNATIONAL JOURNAL OF CONSTRUCTION MANAGEMENT																														1562-3599	2331-2327				JUL 3	2020	20	4					269	288		10.1080/15623599.2018.1484850								WOS:000510811800001						
J	Shirowzhan, S; Tan, W; Sepasgozar, SME				Shirowzhan, Sara; Tan, Willie; Sepasgozar, Samad M. E.			Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Tan, Willie CK/H-4959-2018	Tan, Willie CK/0000-0001-9481-4862; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2220-9964				APR	2020	9	4							240	10.3390/ijgi9040240								WOS:000539535700055						
J	Shirowzhan, S; Sepasgozar, SME; Edwards, DJ; Li, H; Wang, C				Shirowzhan, Sara; Sepasgozar, Samad M. E.; Edwards, David J.; Li, Heng; Wang, Chen			BIM compatibility and its differentiation with interoperability challenges as an innovation factor	AUTOMATION IN CONSTRUCTION																	Wang, Chen/F-1586-2010; Li, Heng/B-2821-2015	Wang, Chen/0000-0001-7892-3575; Li, Heng/0000-0002-3187-9041; M. E. Sepasgozar, Samad/0000-0003-2568-3111												0926-5805	1872-7891				APR	2020	112								103086	10.1016/j.autcon.2020.103086								WOS:000526785600010						
J	Zhang, SR; Hou, DJ; Wang, C; Pan, F; Yan, L				Zhang, Sherong; Hou, Dejun; Wang, Chao; Pan, Fei; Yan, Lei			Integrating and managing BIM in 3D web-based GIS for hydraulic and hydropower engineering projects	AUTOMATION IN CONSTRUCTION																	wang, chao/N-6717-2015	wang, chao/0000-0003-1853-2833												0926-5805	1872-7891				APR	2020	112								103114	10.1016/j.autcon.2020.103114								WOS:000526785600025						
J	Zhu, JX; Wu, P; Chen, MC; Kim, MJ; Wang, XY; Fang, TC				Zhu, Junxiang; Wu, Peng; Chen, Mengcheng; Kim, Mi Jeong; Wang, Xiangyu; Fang, Tingchen			Automatically Processing IFC Clipping Representation for BIM and GIS Integration at the Process Level	APPLIED SCIENCES-BASEL																	Zhu, Junxiang/AAX-4418-2020; Wang, Xiangyu/B-6232-2013	Zhu, Junxiang/0000-0002-9828-5168; wu, peng/0000-0002-3793-0653													2076-3417				MAR	2020	10	6							2009	10.3390/app10062009								WOS:000529252800110						
J	Uchida, T; Hasegawa, K; Li, L; Adachi, M; Yamaguchi, H; Thufail, FI; Riyanto, S; Okamoto, A; Tanaka, S				Uchida, Tomomasa; Hasegawa, Kyoko; Li, Liang; Adachi, Motoaki; Yamaguchi, Hiroshi; Thufail, Fadjar, I; Riyanto, Sugeng; Okamoto, Atsushi; Tanaka, Satoshi			Noise-robust transparent visualization of large-scale point clouds acquired by laser scanning	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																		Thufail, Fadjar Ibnu/0000-0003-1753-3316												0924-2716	1872-8235				MAR	2020	161						124	134		10.1016/j.isprsjprs.2020.01.004								WOS:000517849600010						
J	Diakite, AA; Zlatanova, S				Diakite, Abdoulaye A.; Zlatanova, Sisi			Automatic geo-referencing of BIM in GIS environments using building footprints	COMPUTERS ENVIRONMENT AND URBAN SYSTEMS																	Zlatanova, Sisi/P-5503-2014	Zlatanova, Sisi/0000-0002-8766-0487												0198-9715	1873-7587				MAR	2020	80								101453	10.1016/j.compenvurbsys.2019.101453								WOS:000515209500013						
J	Kutzner, T; Chaturvedi, K; Kolbe, TH				Kutzner, Tatjana; Chaturvedi, Kanishk; Kolbe, Thomas H.			CityGML 3.0: New Functions Open Up New Applications	PFG-JOURNAL OF PHOTOGRAMMETRY REMOTE SENSING AND GEOINFORMATION SCIENCE																		Kutzner, Tatjana/0000-0001-9085-1842; Kolbe, Thomas H./0000-0003-1456-0423												2512-2789	2512-2819				FEB	2020	88	1			SI		43	61		10.1007/s41064-020-00095-z		FEB 2020						WOS:000516796400003						
J	Zhou, XP; Zhao, JC; Wang, J; Guo, M; Liu, JY; Shi, HH				Zhou, Xiaoping; Zhao, Jichao; Wang, Jia; Guo, Ming; Liu, Jiayin; Shi, Honghong			Towards product-level parallel computing of large-scale building information modeling data using graph theory	BUILDING AND ENVIRONMENT																														0360-1323	1873-684X				FEB	2020	169								106558	10.1016/j.buildenv.2019.106558								WOS:000532293100001						
J	Xu, Z; Zhang, L; Li, H; Lin, YH; Yin, S				Xu, Zhao; Zhang, Lu; Li, Heng; Lin, Yi-Hsin; Yin, Shi			Combining IFC and 3D tiles to create 3D visualization for building information modeling	AUTOMATION IN CONSTRUCTION																	Li, Heng/B-2821-2015; Lin, Yi-Hsin/P-8262-2019	Li, Heng/0000-0002-3187-9041; Lin, Yi-Hsin/0000-0002-8119-4921												0926-5805	1872-7891				JAN	2020	109								102995	10.1016/j.autcon.2019.102995								WOS:000501617300014						
J	Zhang, C; Liu, YP; Lin, C; Zhou, LC; Lin, BX; Che, ML				Zhang, Chi; Liu, Yunping; Lin, Chen; Zhou, Liangchen; Lin, Bingxian; Che, Mingliang			Development of a CityGML Application Domain Extension for Simulating the Building Construction Process	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																		Lin, Chen/0000-0002-2426-8015													2220-9964				DEC	2019	8	12							576	10.3390/ijgi8120576								WOS:000518041800055						
J	Zhu, JX; Wang, XY; Chen, MC; Wu, P; Kim, MJ				Zhu, Junxiang; Wang, Xiangyu; Chen, Mengcheng; Wu, Peng; Kim, Mi Jeong			Integration of BIM and GIS: IFC geometry transformation to shapefile using enhanced open-source approach	AUTOMATION IN CONSTRUCTION																	Kim, Mi Jeong/Z-6248-2019; Wang, Xiangyu/B-6232-2013; Zhu, Junxiang/AAX-4418-2020	Kim, Mi Jeong/0000-0002-0727-2741; Zhu, Junxiang/0000-0002-9828-5168; wu, peng/0000-0002-3793-0653												0926-5805	1872-7891				OCT	2019	106								102859	10.1016/j.autcon.2019.102859								WOS:000488136600016						
J	Zhu, JX; Wang, XY; Wang, P; Wu, ZY; Kim, MJ				Zhu, Junxiang; Wang, Xiangyu; Wang, Peng; Wu, Zhiyou; Kim, Mi Jeong			Integration of BIM and GIS: Geometry from IFC to shapefile using open-source technology	AUTOMATION IN CONSTRUCTION																	Kim, Mi Jeong/Z-6248-2019; Zhu, Junxiang/AAX-4418-2020; Wang, Xiangyu/B-6232-2013	Kim, Mi Jeong/0000-0002-0727-2741; Zhu, Junxiang/0000-0002-9828-5168; Wang, Xiangyu/0000-0001-8718-6941												0926-5805	1872-7891				JUN	2019	102						105	119		10.1016/j.autcon.2019.02.014								WOS:000463309900008						
J	Acharya, D; Khoshelham, K; Winter, S				Acharya, Debaditya; Khoshelham, Kourosh; Winter, Stephan			BIM-PoseNet: Indoor camera localisation using a 3D indoor model and deep learning from synthetic images	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Acharya, Debaditya/P-4497-2018; Winter, Stephan/F-5416-2014; Khoshelham, Kourosh/A-3789-2010	Acharya, Debaditya/0000-0002-6704-5778; Winter, Stephan/0000-0002-3403-6939; Khoshelham, Kourosh/0000-0001-6639-1727												0924-2716	1872-8235				APR	2019	150						245	258		10.1016/j.isprsjprs.2019.02.020								WOS:000464088400017						
J	Kim, JS; Li, KJ				Kim, Joon-Seok; Li, Ki-Joune			Simplification of geometric objects in an indoor space	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Kim, Joon-Seok/ABD-2138-2020													0924-2716	1872-8235				JAN	2019	147						146	162		10.1016/j.isprsjprs.2018.11.017								WOS:000455690800011						
J	Chen, YQ; Shooraj, E; Rajabifard, A; Sabri, S				Chen, Yiqun; Shooraj, Erfan; Rajabifard, Abbas; Sabri, Soheil			From IFC to 3D Tiles: An Integrated Open-Source Solution for Visualising BIMs on Cesium	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	; Rajabifard, Abbas/D-1818-2015	Chen, Yiqun/0000-0003-0672-9217; Rajabifard, Abbas/0000-0002-4256-3173													2220-9964				OCT	2018	7	10							393	10.3390/ijgi7100393								WOS:000448549600012						
J	Knoth, L; Scholz, J; Strobl, J; Mittlbock, M; Vockner, B; Atzl, C; Rajabifard, A; Atazadeh, B				Knoth, Laura; Scholz, Johannes; Strobl, Josef; Mittlboeck, Manfred; Vockner, Bernhard; Atzl, Caroline; Rajabifard, Abbas; Atazadeh, Behnam			Cross-Domain Building Models-A Step towards Interoperability	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Scholz, Johannes/H-9621-2019; Strobl, Josef/H-5137-2012; Atazadeh, Behnam/K-8913-2018; Rajabifard, Abbas/D-1818-2015	Scholz, Johannes/0000-0002-3212-8864; Atazadeh, Behnam/0000-0001-9295-4220; Rajabifard, Abbas/0000-0002-4256-3173; Atzl, Caroline/0000-0003-1880-7008; Mittlboeck, Manfred/0000-0002-6562-7889; Knoth, Laura/0000-0002-0708-8549													2220-9964				SEP	2018	7	9							363	10.3390/ijgi7090363								WOS:000445767900031						
