PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Ali, R; Chuah, JH; Abu Talip, MS; Mokhtar, N; Shoaib, MA				Ali, Raza; Chuah, Joon Huang; Abu Talip, Mohamad Sofian; Mokhtar, Norrima; Shoaib, Muhammad Ali			Structural crack detection using deep convolutional neural networks	AUTOMATION IN CONSTRUCTION																	Chuah, Joon Huang/F-9990-2010	Chuah, Joon Huang/0000-0001-9058-3497												0926-5805	1872-7891				JAN	2022	133								103989	10.1016/j.autcon.2021.103989								WOS:000716716700009						
J	Mohammadi, M; Rashidi, M; Mousavi, V; Karami, A; Yu, Y; Samali, B				Mohammadi, Masoud; Rashidi, Maria; Mousavi, Vahid; Karami, Ali; Yu, Yang; Samali, Bijan			Quality Evaluation of Digital Twins Generated Based on UAV Photogrammetry and TLS: Bridge Case Study	REMOTE SENSING																	Yu, Yang/L-7703-2016; Mohammadi, Masoud/AAO-9119-2021	Yu, Yang/0000-0001-9592-8191; Mohammadi, Masoud/0000-0002-5730-6743													2072-4292				SEP	2021	13	17							3499	10.3390/rs13173499								WOS:000694517200001						
J	Mirzazade, A; Popescu, C; Blanksvard, T; Taljsten, B				Mirzazade, Ali; Popescu, Cosmin; Blanksvard, Thomas; Taljsten, Bjorn			Workflow for Off-Site Bridge Inspection Using Automatic Damage Detection-Case Study of the Pahtajokk Bridge	REMOTE SENSING																		Mirzazade, Ali/0000-0002-1375-3322													2072-4292				JUL	2021	13	14							2665	10.3390/rs13142665								WOS:000677000500001						
J	Taraben, J; Morgenthal, G				Taraben, Jakob; Morgenthal, Guido			Methods for the Automated Assignment and Comparison of Building Damage Geometries	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				JAN	2021	47								101186	10.1016/j.aei.2020.101186								WOS:000630364600001						
J	Errandonea, I; Beltran, S; Arrizabalaga, S				Errandonea, Itxaro; Beltran, Sergio; Arrizabalaga, Saioa			Digital Twin for maintenance: A literature review	COMPUTERS IN INDUSTRY																		Beltran, Sergio/0000-0003-1008-2065; Errandonea, Itxaro/0000-0001-6935-1835												0166-3615	1872-6194				DEC	2020	123								103316	10.1016/j.compind.2020.103316								WOS:000663832400003						
J	Chow, JK; Su, Z; Wu, J; Tan, PS; Mao, X; Wang, YH				Chow, J. K.; Su, Z.; Wu, J.; Tan, P. S.; Mao, X.; Wang, Y. H.			Anomaly detection of defects on concrete structures with the convolutional autoencoder	ADVANCED ENGINEERING INFORMATICS																														1474-0346	1873-5320				AUG	2020	45								101105	10.1016/j.aei.2020.101105								WOS:000552715300012						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Rezgui, Yacine/ABE-6712-2020; Kubicki, Sylvain/I-6965-2019	Rezgui, Yacine/0000-0002-5711-8400; Kubicki, Sylvain/0000-0003-2985-0378; Boje, Calin/0000-0002-5150-9355; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Morgenthal, G; Eick, JF; Rau, S; Taraben, J				Morgenthal, Guido; Eick, Jan Frederick; Rau, Sebastian; Taraben, Jakob			Wireless Sensor Networks Composed of Standard Microcomputers and Smartphones for Applications in Structural Health Monitoring	SENSORS																		Eick, Jan Frederick/0000-0002-4372-5576													1424-8220				MAY 1	2019	19	9							2070	10.3390/s19092070								WOS:000469766800114	31058871					
C	Benz, C; Debus, P; Ha, HK; Rodehorst, V			IEEE	Benz, Christian; Debus, Paul; Ha, Huy Khanh; Rodehorst, Volker			Crack Segmentation on UAS-based Imagery using Transfer Learning	2019 INTERNATIONAL CONFERENCE ON IMAGE AND VISION COMPUTING NEW ZEALAND (IVCNZ)	International Conference on Image and Vision Computing New Zealand				International Conference on Image and Vision Computing New Zealand (IVCNZ)	DEC 02-04, 2019	Dunedin, NEW ZEALAND																							2151-2191		978-1-7281-4187-9				2019																		WOS:000532496700023						
J	Morgenthal, G; Hallermann, N; Kersten, J; Taraben, J; Debus, P; Helmrich, M; Rodehorst, V				Morgenthal, Guido; Hallermann, Norman; Kersten, Jens; Taraben, Jakob; Debus, Paul; Helmrich, Marcel; Rodehorst, Volker			Framework for automated UAS-based structural condition assessment of bridges	AUTOMATION IN CONSTRUCTION																		Kersten, Jens/0000-0002-4735-7360; Debus, Paul/0000-0001-6228-588X												0926-5805	1872-7891				JAN	2019	97						77	95		10.1016/j.autcon.2018.10.006								WOS:000453623600006						
J	Ye, C; Acikgoz, S; Pendrigh, S; Riley, E; DeJong, MJ				Ye, C.; Acikgoz, S.; Pendrigh, S.; Riley, E.; DeJong, M. J.			Mapping deformations and inferring movements of masonry arch bridges using point cloud data	ENGINEERING STRUCTURES																		DeJong, Matthew/0000-0002-6195-839X												0141-0296	1873-7323				OCT 15	2018	173						530	545		10.1016/j.engstruct.2018.06.094								WOS:000443663100038						
J	Hallermann, N; Helmrich, M; Morgenthal, G; Schnitzler, E; Rodehorst, V; Debus, P				Hallermann, Norman; Helmrich, Marcel; Morgenthal, Guido; Schnitzler, Elke; Rodehorst, Volker; Debus, Paul			UAS-based diagnostics of infrastructure structures - part of a digital maintenance strategy	BAUTECHNIK																														0932-8351	1437-0999				OCT	2018	95	10					720	+		10.1002/bate.201800066								WOS:000446426700004						
J	Sacks, R; Kedar, A; Borrmann, A; Ma, L; Brilakis, I; Huthwohl, P; Daum, S; Kattel, U; Yosef, R; Liebich, T; Barutcu, BE; Muhic, S				Sacks, Rafael; Kedar, Amir; Borrmann, Andre; Ma, Ling; Brilakis, Ioannis; Huthwohl, Philipp; Daum, Simon; Kattel, Uri; Yosef, Raz; Liebich, Thomas; Barutcu, Burcu Esen; Muhic, Sergej			SeeBridge as next generation bridge inspection: Overview, Information Delivery Manual and Model View Definition	AUTOMATION IN CONSTRUCTION																	Brilakis, Ioannis/H-5369-2013; Sacks, Rafael/B-1431-2008; Ma, Ling/F-6641-2010; Ma, Ling/F-3413-2019	Brilakis, Ioannis/0000-0003-1829-2083; Sacks, Rafael/0000-0001-9427-5053; Ma, Ling/0000-0002-9187-471X; Ma, Ling/0000-0002-9187-471X												0926-5805	1872-7891				JUN	2018	90						134	145		10.1016/j.autcon.2018.02.033								WOS:000430520300011						
J	Huthwohl, P; Brilakis, I; Borrmann, A; Sacks, R				Huthwohl, Philipp; Brilakis, Ioannis; Borrmann, Andre; Sacks, Rafael			Integrating RC Bridge Defect Information into BIM Models	JOURNAL OF COMPUTING IN CIVIL ENGINEERING																	Sacks, Rafael/B-1431-2008; Brilakis, Ioannis/H-5369-2013	Sacks, Rafael/0000-0001-9427-5053; Brilakis, Ioannis/0000-0003-1829-2083												0887-3801	1943-5487				MAY	2018	32	3							04018013	10.1061/(ASCE)CP.1943-5487.0000744								WOS:000429816100003						
