PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Chou, JS; Cheng, MY; Hsieh, YM; Yang, IT; Hsu, HT				Chou, Jui-Sheng; Cheng, Min-Yuan; Hsieh, Yo-Min; Yang, I-Tung; Hsu, Hsin-Ting			Optimal path planning in real time for dynamic building fire rescue operations using wireless sensors and visual guidance	AUTOMATION IN CONSTRUCTION																	Chou, Jui-Sheng/C-8795-2009	Chou, Jui-Sheng/0000-0002-8372-9934												0926-5805	1872-7891				MAR	2019	99						1	17		10.1016/j.autcon.2018.11.020								WOS:000456759400001						
J	Seghier, TE; Ahmad, MH; Lim, YW				Seghier, Taki Eddine; Ahmad, Mohd Hamdan; Lim, Yaik-Wah			Automation of Concrete Usage Index (CUI) assessment using computational BIM	INTERNATIONAL JOURNAL OF BUILT ENVIRONMENT AND SUSTAINABILITY																	Lim, Yaik Wah/K-6794-2012; Seghier, Taki Eddine/AAG-1111-2021; seghier, Taki/AAQ-5382-2020	Seghier, Taki Eddine/0000-0002-7313-0688; 												1511-1369	2289-8948				JAN	2019	6	1					23	30		10.11113/ijbes.v6.n1.319								WOS:000454912100004						
J	Monizza, GP; Bendetti, C; Matt, DT				Monizza, Gabriele Pasetti; Bendetti, Cristina; Matt, Dominik T.			Parametric and and Generative Design techniques in mass-production environments as effective enablers of Industry 4.0 approaches in the Building Industry	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				AUG	2018	92						270	285		10.1016/j.autcon.2018.02.027								WOS:000439254100019						
J	Yang, D; Ren, SB; Turrin, M; Sariyildiz, S; Sun, YM				Yang, Ding; Ren, Shibo; Turrin, Michela; Sariyildiz, Sevil; Sun, Yimin			Multi-disciplinary and multi-objective optimization problem re-formulation in computational design exploration: A case of conceptual sports building design	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				AUG	2018	92						242	269		10.1016/j.autcon.2018.03.023								WOS:000439254100018						
J	Li, HB; Xiong, L; Liu, YB; Li, HT				Li, Hongbo; Xiong, Li; Liu, Yinbin; Li, Haitao			An effective genetic algorithm for the resource levelling problem with generalised precedence relations	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH																														0020-7543	1366-588X					2018	56	5			SI		2054	2075		10.1080/00207543.2017.1355120								WOS:000433967300019						
J	Lilis, GN; Giannakis, GI; Rovas, DV				Lilis, Georgios N.; Giannakis, Georgios I.; Rovas, Dimitrios V.			Automatic generation of second-level space boundary topology from IFC geometry inputs	AUTOMATION IN CONSTRUCTION																	Giannakis, Georgios/Z-4413-2019	Giannakis, Georgios/0000-0002-0196-0260; Rovas, Dimitrios/0000-0002-5639-6783												0926-5805	1872-7891				APR	2017	76						108	124		10.1016/j.autcon.2016.08.044								WOS:000394068900010						
J	Erwig, M; Smeltzer, K; Wang, XY				Erwig, Martin; Smeltzer, Karl; Wang, Xiangyu			What is a visual language?	JOURNAL OF VISUAL LANGUAGES AND COMPUTING																														1045-926X	1095-8533				FEB	2017	38				SI		9	17		10.1016/j.jvlc.2016.10.005								WOS:000401498200003						
J	Lu, WS; Webster, C; Chen, K; Zhang, XL; Chen, X				Lu, Weisheng; Webster, Chris; Chen, Ke; Zhang, Xiaoling; Chen, Xi			Computational Building Information Modelling for construction waste management: Moving from rhetoric to reality	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Lu, Wilson/E-2899-2010; Webster, Christopher John/F-2039-2013; Zhang, Xiaoling/AAT-4748-2020; CHEN, KE/A-4018-2015; Zhang, Xiaoling/AAT-4795-2020	Lu, Wilson/0000-0003-4674-0357; Webster, Christopher John/0000-0002-2171-7495; CHEN, KE/0000-0003-3918-3820; Zhang, Xiaoling/0000-0002-6369-9424												1364-0321	1879-0690				FEB	2017	68		1				587	595		10.1016/j.rser.2016.10.029								WOS:000391899200043						
J	Schleich, B; Anwer, N; Mathieu, L; Wartzack, S				Schleich, Benjamin; Anwer, Nabil; Mathieu, Luc; Wartzack, Sandro			Shaping the digital twin for design and production engineering	CIRP ANNALS-MANUFACTURING TECHNOLOGY																	anwer, nabil/AAG-3942-2019; ANWER, NABIL/C-8538-2015	anwer, nabil/0000-0002-0771-4685; ANWER, NABIL/0000-0002-0771-4685; Schleich, Benjamin/0000-0002-3638-4179; Wartzack, Sandro/0000-0002-0244-5033												0007-8506	1726-0604					2017	66	1					141	144		10.1016/j.cirp.2017.04.040								WOS:000407985900036						
C	Puri, N; Turkan, Y		Garrigos, AG; Mahdjoubi, L; Brebbia, CA		Puri, Nisha; Turkan, Yelda			TOWARD AUTOMATED DIMENSIONAL QUALITY CONTROL OF PRECAST CONCRETE ELEMENTS USING DESIGN BIM	BUILDING INFORMATION MODELLING (BIM) IN DESIGN, CONSTRUCTION AND OPERATIONS II	WIT Transactions on the Built Environment				2nd International Conference on Building Information Modelling (BIM) on Design, Construction and Operations (BIM)	2017	Univ Alicante, Alicante, SPAIN	Univ W England, Wessex Inst, WIT Transact Built Environm, Int Journal Sustainable Dev & Planning	Univ Alicante																					1746-4498		978-1-78466-172-4; 978-1-78466-171-7				2017	169						203	210		10.2495/BIM170191								WOS:000576963300019						
