PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Tam, GKL; Cheng, ZQ; Lai, YK; Langbein, FC; Liu, YH; Marshall, D; Martin, RR; Sun, XF; Rosin, PL				Tam, Gary K. L.; Cheng, Zhi-Quan; Lai, Yu-Kun; Langbein, Frank C.; Liu, Yonghuai; Marshall, David; Martin, Ralph R.; Sun, Xian-Fang; Rosin, Paul L.			Registration of 3D Point Clouds and Meshes: A Survey from Rigid to Nonrigid	IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS																	Liu, Yonghuai/ABF-3794-2020; Langbein, Frank C/C-6109-2008; Tam, Gary KL/E-5098-2011; Sun, Xianfang/D-2346-2010	Langbein, Frank C/0000-0002-3379-0323; Tam, Gary KL/0000-0001-7387-5180; Sun, Xianfang/0000-0002-6114-0766; Rosin, Paul/0000-0002-4965-3884												1077-2626	1941-0506				JUL	2013	19	7					1199	1217		10.1109/TVCG.2012.310								WOS:000319061500011	23661012					
C	Turner, E; Zakhor, A			IEEE Comp Soc	Turner, Eric; Zakhor, Avideh			Watertight As-Built Architectural Floor Plans Generated from Laser Range Data	SECOND JOINT 3DIM/3DPVT CONFERENCE: 3D IMAGING, MODELING, PROCESSING, VISUALIZATION & TRANSMISSION (3DIMPVT 2012)					2nd Joint 3DIM/3DPVT International Conference on 3D Imaging, Modeling, Processing, Visualization and Transmission (3DIMPVT)	OCT 13-15, 2012	ETH Zurich, Zurich, SWITZERLAND	Disney Res, Leica Geosystems, Hexagon, Adobe, RealD, Qualcomm Inc, Mitsubishi Elect, Google, 4D View Solut, SRI Int, Swiss Fed Inst Technol Zurich, Univ N Carolina Chapel Hill, Eurograph Assoc	ETH Zurich																							978-0-7695-4873-9				2012							316	323		10.1109/3DIMPVT.2012.80								WOS:000337507600041						
J	Myronenko, A; Song, XB				Myronenko, Andriy; Song, Xubo			Point Set Registration: Coherent Point Drift	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																		Myronenko, Andriy/0000-0001-8713-7031												0162-8828	1939-3539				DEC	2010	32	12					2262	2275		10.1109/TPAMI.2010.46								WOS:000283558700011	20975122					
J	Kazhdan, M				Kazhdan, Michael			An approximate and efficient method for optimal rotation alignment of 3D models	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																	Kazhdan, Michael M./A-3366-2010													0162-8828	1939-3539				JUL	2007	29	7					1221	1229		10.1109/TPAMI.2007.1032								WOS:000246395300009	17496379					
J	Hansen, N; Muller, SD; Koumoutsakos, P				Hansen, N; Muller, SD; Koumoutsakos, P			Reducing the time complexity of the derandomized evolution strategy with covariance matrix adaptation (CMA-ES)	EVOLUTIONARY COMPUTATION																	Hansen, Nikolaus/U-6988-2019; Koumoutsakos, Petros/P-4535-2019; Hansen, Nikolaus/D-3009-2012; Koumoutsakos, Petros/A-2846-2008; Liu, Andrea/K-3968-2017	Hansen, Nikolaus/0000-0001-7788-4906; Koumoutsakos, Petros/0000-0001-8337-2122; Hansen, Nikolaus/0000-0001-7788-4906; Koumoutsakos, Petros/0000-0001-8337-2122; Liu, Andrea/0000-0002-2295-2729												1063-6560	1530-9304				SPR	2003	11	1					1	18		10.1162/106365603321828970								WOS:000181752400001	12804094					
C	Rusinkiewicz, S; Levoy, M			IEEE COMPUTER SOCIETY; IEEE COMPUTER SOCIETY	Rusinkiewicz, S; Levoy, M			Efficient variants of the ICP algorithm	THIRD INTERNATIONAL CONFERENCE ON 3-D DIGITAL IMAGING AND MODELING, PROCEEDINGS					3rd International Conference on 3-D Digital Imaging and Modeling	MAY 28-JUN 01, 2001	QUEBEC CITY, CANADA	Natl Res Council Canada										Rusinkiewicz, Szymon/0000-0002-4253-2588														0-7695-0985-1				2001							145	152		10.1109/IM.2001.924423								WOS:000169642900018						
C	Johnson, AE; Hebert, M			IEEE COMP SOC; IEEE COMP SOC	Johnson, AE; Hebert, M			Efficient multiple model recognition in cluttered 3-D scenes	1998 IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION, PROCEEDINGS	PROCEEDINGS - IEEE COMPUTER SOCIETY CONFERENCE ON COMPUTER VISION AND PATTERN RECOGNITION				1998 IEEE Computer-Society Conference on Computer Vision and Pattern Recognition	JUN 23-25, 1998	SANTA BARBARA, CA	IEEE Comp Soc, Tech Comm Pattern Anal & Machine Intelligence																						1063-6919		0-8186-8497-6				1998							671	677		10.1109/CVPR.1998.698676								WOS:000074947400097						
J	Chua, CS; Jarvis, R				Chua, CS; Jarvis, R			Point signatures: A new representation for 3D object recognition	INTERNATIONAL JOURNAL OF COMPUTER VISION																														0920-5691	1573-1405				OCT	1997	25	1					63	85		10.1023/A:1007981719186								WOS:A1997YB32600004						
J	Sun, CM; Sherrah, J				Sun, CM; Sherrah, J			3D symmetry detection using the extended Gaussian image	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																	Sun, Changming/A-3276-2008	Sun, Changming/0000-0001-5943-1989												0162-8828					FEB	1997	19	2					164	168		10.1109/34.574800								WOS:A1997WK72800011						
J	ADAMS, R; BISCHOF, L				ADAMS, R; BISCHOF, L			SEEDED REGION GROWING	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																	Bischof, Leanne M/A-3718-2009													0162-8828					JUN	1994	16	6					641	647		10.1109/34.295913								WOS:A1994NR97200008						
J	JONES, DR; PERTTUNEN, CD; STUCKMAN, BE				JONES, DR; PERTTUNEN, CD; STUCKMAN, BE			LIPSCHITZIAN OPTIMIZATION WITHOUT THE LIPSCHITZ CONSTANT	JOURNAL OF OPTIMIZATION THEORY AND APPLICATIONS																														0022-3239					OCT	1993	79	1					157	181		10.1007/BF00941892								WOS:A1993MJ99700009						
J	CHEN, Y; MEDIONI, G				CHEN, Y; MEDIONI, G			OBJECT MODELING BY REGISTRATION OF MULTIPLE RANGE IMAGES	IMAGE AND VISION COMPUTING																														0262-8856					APR	1992	10	3					145	155		10.1016/0262-8856(92)90066-C								WOS:A1992HH70100003						
J	BESL, PJ; MCKAY, ND				BESL, PJ; MCKAY, ND			A METHOD FOR REGISTRATION OF 3-D SHAPES	IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE																														0162-8828	1939-3539				FEB	1992	14	2					239	256		10.1109/34.121791								WOS:A1992HC02900010						
J	NELDER, JA; MEAD, R				NELDER, JA; MEAD, R			A SIMPLEX-METHOD FOR FUNCTION MINIMIZATION	COMPUTER JOURNAL																														0010-4620						1965	7	4					308	313		10.1093/comjnl/7.4.308								WOS:A1965CLA3200015						
