PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Polewski, P; Yao, W				Polewski, Przemyslaw; Yao, Wei			Scale invariant line-based co-registration of multimodal aerial data using L1 minimization of spatial and angular deviations	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Yao, Wei/E-8520-2017	Yao, Wei/0000-0001-7704-0615												0924-2716	1872-8235				JUN	2019	152						79	93		10.1016/j.isprsjprs.2019.04.004								WOS:000469158200007						
J	Xu, YS; Boerner, R; Yao, W; Hoegner, L; Stilla, U				Xu, Yusheng; Boerner, Richard; Yao, Wei; Hoegner, Ludwig; Stilla, Uwe			Pairwise coarse registration of point clouds in urban scenes using voxel-based 4-planes congruent sets	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Hoegner, Ludwig/AAG-1607-2021; Stilla, Uwe/H-1534-2011; Yao, Wei/E-8520-2017	Hoegner, Ludwig/0000-0002-9112-3713; Stilla, Uwe/0000-0002-1184-0924; Yao, Wei/0000-0001-7704-0615												0924-2716	1872-8235				MAY	2019	151						106	123		10.1016/j.isprsjprs.2019.02.015								WOS:000469306300009						
J	Ochmann, S; Vock, R; Klein, R				Ochmann, Sebastian; Vock, Richard; Klein, Reinhard			Automatic reconstruction of fully volumetric 3D building models from oriented point clouds	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																														0924-2716	1872-8235				MAY	2019	151						251	262		10.1016/j.isprsjprs.2019.03.017								WOS:000469306300018						
J	Xue, F; Lu, WS; Webster, CJ; Chen, K				Xue, Fan; Lu, Weisheng; Webster, Christopher J.; Chen, Ke			A derivative-free optimization-based approach for detecting architectural symmetries from 3D point clouds	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Xue, Fan/H-9198-2012; Webster, Christopher John/F-2039-2013; CHEN, KE/A-4018-2015	Xue, Fan/0000-0003-2217-3693; Webster, Christopher John/0000-0002-2171-7495; CHEN, KE/0000-0003-3918-3820												0924-2716	1872-8235				FEB	2019	148						32	40		10.1016/j.isprsjprs.2018.12.005								WOS:000457820500003						
C	Wang, Y; Solomon, JM			IEEE	Wang, Yue; Solomon, Justin M.			Deep Closest Point: Learning Representations for Point Cloud Registration	2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2019)	IEEE International Conference on Computer Vision				IEEE/CVF International Conference on Computer Vision (ICCV)	OCT 27-NOV 02, 2019	Seoul, SOUTH KOREA	IEEE, IEEE Comp Soc, CVF																						1550-5499		978-1-7281-4803-8				2019							3522	3531		10.1109/ICCV.2019.00362								WOS:000531438103068						
C	Choy, C; Park, J; Koltun, V			IEEE	Choy, Christopher; Park, Jaesik; Koltun, Vladlen			Fully Convolutional Geometric Features	2019 IEEE/CVF INTERNATIONAL CONFERENCE ON COMPUTER VISION (ICCV 2019)	IEEE International Conference on Computer Vision				IEEE/CVF International Conference on Computer Vision (ICCV)	OCT 27-NOV 02, 2019	Seoul, SOUTH KOREA	IEEE, IEEE Comp Soc, CVF										PARK, JAESIK/0000-0001-5541-409X												1550-5499		978-1-7281-4803-8				2019							8957	8965		10.1109/ICCV.2019.00905								WOS:000548549204008						
J	Khajavi, SH; Motlagh, NH; Jaribion, A; Werner, LC; Holmstrom, J				Khajavi, Siavash H.; Motlagh, Naser Hossein; Jaribion, Alireza; Werner, Liss C.; Holmstroem, Jan			Digital Twin: Vision, Benefits, Boundaries, and Creation for Buildings	IEEE ACCESS																	Motlagh, Naser Hossein/AAG-9568-2019; Khajavi, Siavash Haghighat/H-5187-2018; Jaribion, Alireza/AAN-6751-2020; Holmström, Jan B/E-7230-2012; Werner, Liss C./P-4678-2016	Motlagh, Naser Hossein/0000-0001-9923-9879; Khajavi, Siavash Haghighat/0000-0002-5166-4021; Jaribion, Alireza/0000-0003-1916-1309; Holmström, Jan B/0000-0002-2596-0337; Werner, Liss C./0000-0003-4184-6670												2169-3536						2019	7						147406	147419		10.1109/ACCESS.2019.2946515								WOS:000497160500006						
J	Xu, HN; Yu, L; Lei, SM				Xu, Haonan; Yu, Lei; Lei, Shumin			Hand-Held 3-D Reconstruction of Large-Scale Scene With Kinect Sensors Based on Surfel and Video Sequences	IEEE GEOSCIENCE AND REMOTE SENSING LETTERS																		Yu, Lei/0000-0002-7621-6807												1545-598X	1558-0571				DEC	2018	15	12					1842	1846		10.1109/LGRS.2018.2866280								WOS:000454209200009						
J	Jung, J; Stachniss, C; Ju, S; Heo, J				Jung, Jaehoon; Stachniss, Cyrill; Ju, Sungha; Heo, Joon			Automated 3D volumetric reconstruction of multiple-room building interiors for as-built BIM	ADVANCED ENGINEERING INFORMATICS																	Heo, Joon/J-8399-2012; Stachniss, Cyrill/AAH-3034-2019	Stachniss, Cyrill/0000-0003-1173-6972												1474-0346	1873-5320				OCT	2018	38						811	825		10.1016/j.aei.2018.10.007								WOS:000454378700059						
J	Zolanvari, SMI; Laefer, DF; Natanzi, AS				Zolanvari, S. M. Iman; Laefer, Debra F.; Natanzi, Atteyeh S.			Three-dimensional building facade segmentation and opening area detection from point clouds	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Laefer, Debra F/R-1390-2018	Laefer, Debra F/0000-0001-5134-5322												0924-2716	1872-8235				SEP	2018	143						134	149		10.1016/j.isprsjprs.2018.04.004								WOS:000442709900012						
