PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Madni, AM; Madni, CC; Lucero, SD				Madni, Azad M.; Madni, Carla C.; Lucero, Scott D.			Leveraging Digital Twin Technology in Model-Based Systems Engineering	SYSTEMS																		Madni, Carla/0000-0002-3075-7122													2079-8954				JAN 30	2019	7	1							7	10.3390/systems7010007								WOS:000464064800001						
C	Trento, A; Wurzer, G; Coraglia, UM		Sousa, JP; Henriques, GC; Xavier, JP		Trento, Armando; Wurzer, Gabriel; Coraglia, Ugo Maria			A Digital Twin for Directing People Flow in Preserved Heritage Buildings	ECAADE SIGRADI 2019: ARCHITECTURE IN THE AGE OF THE 4TH INDUSTRIAL REVOLUTION, VOL 1					37th Conference on Education-and-Research-in-Computer-Aided-Architectural-Design-in-Europe (eCAADe) / 23rd Conference of the Iberoamerican-Society-Digital-Graphics (SIGraDi)	SEP 11-13, 2019	Univ Porto, Fac Architecture, Porto, PORTUGAL	Iberoamerican Soc Digital Graph, Autodesk, Graphisoft Archicad, Dassault Systemes, Bentley Inst, Educ & Res Comp Aided Architectural Design Europe, ACADIA, CAADRIA, ASCAAD, CAAD Futures	Univ Porto, Fac Architecture																							978-94-91207-17-4				2019							561	568										WOS:000562928600062						
J	Zucker, G; Sporr, A; Kollmann, S; Wendt, A; Siafara, LC; Fernbach, A				Zucker, Gerhard; Sporr, Andreas; Kollmann, Stefan; Wendt, Alexander; Siafara, Lydia Chaido; Fernbach, Andreas			A Cognitive System Architecture for Building Energy Management	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Zucker, Gerhard/C-6229-2014	Zucker, Gerhard/0000-0003-4258-2849; Sporr, Andreas/0000-0002-5470-9969; Kollmann, Stefan/0000-0003-2736-603X												1551-3203	1941-0050				JUN	2018	14	6					2521	2529		10.1109/TII.2018.2815739								WOS:000434297100019						
J	Eck, DJ				Eck, Daniel J.			Bootstrapping for multivariate linear regression models	STATISTICS & PROBABILITY LETTERS																														0167-7152	1879-2103				MAR	2018	134						141	149		10.1016/j.spl.2017.11.001								WOS:000425197600020						
J	Kim, J; Zhou, YX; Schiavon, S; Raftery, P; Brager, G				Kim, Joyce; Zhou, Yuxun; Schiavon, Stefano; Raftery, Paul; Brager, Gail			Personal comfort models: Predicting individuals' thermal preference using occupant heating and cooling behavior and machine learning	BUILDING AND ENVIRONMENT																	Schiavon, Stefano/AAS-9673-2020; Zhou, Yuxun/AAA-1180-2021	Schiavon, Stefano/0000-0003-1285-5682; Raftery, Paul/0000-0002-6532-5178												0360-1323	1873-684X				FEB 1	2018	129						96	106		10.1016/j.buildenv.2017.12.011								WOS:000423889500010						
J	Bolton, RN; McColl-Kennedy, JR; Cheung, L; Gallan, A; Orsingher, C; Witell, L; Zaki, M				Bolton, Ruth N.; McColl-Kennedy, Janet R.; Cheung, Lilliemay; Gallan, Andrew; Orsingher, Chiara; Witell, Lars; Zaki, Mohamed			Customer experience challenges: bringing together digital, physical and social realms	JOURNAL OF SERVICE MANAGEMENT																	Bolton, Ruth N/A-3465-2008; Zaki, Mohamed/W-5494-2019; McColl-Kennedy, Janet R/J-8472-2013; Witell, Lars/Q-4689-2016	Zaki, Mohamed/0000-0003-0264-2691; McColl-Kennedy, Janet R/0000-0003-1536-1194; Witell, Lars/0000-0002-6589-8662; Bolton, Ruth/0000-0001-7328-4102												1757-5818	1757-5826					2018	29	5			SI		776	808		10.1108/JOSM-04-2018-0113								WOS:000449487800002						
C	Ploennigs, J; Schumann, A			AAAI	Ploennigs, Joern; Schumann, Anika			From Semantic Models to Cognitive Buildings	THIRTY-FIRST AAAI CONFERENCE ON ARTIFICIAL INTELLIGENCE					31st AAAI Conference on Artificial Intelligence	FEB 04-09, 2017	San Francisco, CA	Assoc Advancement Artificial Intelligence																												2017							5105	5106										WOS:000485630705069						
J	Wong, JKW; Li, H; Wang, SW				Wong, JKW; Li, H; Wang, SW			Intelligent building research: a review	AUTOMATION IN CONSTRUCTION																	Li, Heng/B-2821-2015; Buckman, Alex H/A-1481-2014; Wang, Shengwei/C-4533-2008	Li, Heng/0000-0002-3187-9041; Wang, Shengwei/0000-0002-9684-590X												0926-5805	1872-7891				JAN	2005	14	1					143	159		10.1016/j.autcon.2004.06.001								WOS:000226496400011						
J	Bien, Z; Bang, WC; Kim, DY; Han, JS				Bien, Z; Bang, WC; Kim, DY; Han, JS			Machine intelligence quotient: its measurements and applications	FUZZY SETS AND SYSTEMS					8th World Congress of the International-Fuzzy-Systems-Association (IFSA 99)	AUG, 1999	TAIPEI, TAIWAN	Int Fuzzy Syst Assoc									Bien, Zeungnam/F-3874-2010													0165-0114	1872-6801				APR 1	2002	127	1					3	16	PII S0165-0114(01)00149-X	10.1016/S0165-0114(01)00149-X								WOS:000174539100002						
