PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Tang, X; Chong, HY; Zhang, W				Tang, Xi; Chong, Heap-Yih; Zhang, Wei			Relationship between BIM Implementation and Performance of OSM Projects	JOURNAL OF MANAGEMENT IN ENGINEERING																	Chong, Heap-Yih/M-8354-2017	Chong, Heap-Yih/0000-0002-6080-7530												0742-597X	1943-5479				SEP 1	2019	35	5							04019019	10.1061/(ASCE)ME.1943-5479.0000704								WOS:000482520400001						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
C	Kan, C; Anumba, CJ		Cho, YK; Leite, F; Behzadan, A; Wang, C		Kan, C.; Anumba, C. J.			Digital Twins as the Next Phase of Cyber-Physical Systems in Construction	COMPUTING IN CIVIL ENGINEERING 2019: DATA, SENSING, AND ANALYTICS					ASCE International Conference on Computing in Civil Engineering (i3CE)	JUN 17-19, 2019	Georgia Inst Technol, Atlanta, GEORGIA	Amer Soc Civil Engineers, Comp Div, Amer Soc Civil Engineers	Georgia Inst Technol																							978-0-7844-8243-8				2019							256	264										WOS:000485219700033						
C	Awolusi, I; Nnaji, C; Marks, E; Hallowell, M		Cho, YK; Leite, F; Behzadan, A; Wang, C		Awolusi, Ibukun; Nnaji, Chukwuma; Marks, Eric; Hallowell, Matthew			Enhancing Construction Safety Monitoring through the Application of Internet of Things and Wearable Sensing Devices: A Review	COMPUTING IN CIVIL ENGINEERING 2019: DATA, SENSING, AND ANALYTICS					ASCE International Conference on Computing in Civil Engineering (i3CE)	JUN 17-19, 2019	Georgia Inst Technol, Atlanta, GEORGIA	Amer Soc Civil Engineers, Comp Div, Amer Soc Civil Engineers	Georgia Inst Technol								Awolusi, Ibukun/X-1147-2019	Awolusi, Ibukun/0000-0001-8723-8609														978-0-7844-8243-8				2019							530	538										WOS:000485219700067						
C	Gao, XH; Pishdad-Bozorgi, P; Shelden, DR; Tang, S		Cho, YK; Leite, F; Behzadan, A; Wang, C		Gao, Xinghua; Pishdad-Bozorgi, Pardis; Shelden, Dennis R.; Tang, Shu			A Scalable Cyber-Physical System Data Acquisition Framework for the Smart Built Environment	COMPUTING IN CIVIL ENGINEERING 2019: SMART CITIES, SUSTAINABILITY, AND RESILIENCE					ASCE International Conference on Computing in Civil Engineering (i3CE)	JUN 17-19, 2019	Georgia Inst Technol, Atlanta, GEORGIA	Amer Soc Civil Engineers, Comp Div, Amer Soc Civil Engineers	Georgia Inst Technol								Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737														978-0-7844-8244-5				2019							259	266										WOS:000485354700033						
J	Zhou, C; Luo, HB; Fang, WL; Wei, R; Ding, LY				Zhou, Cheng; Luo, Hanbin; Fang, Weili; Wei, Ran; Ding, Lieyun			Cyber-physical-system-based safety monitoring for blind hoisting with the internet of things: A case study	AUTOMATION IN CONSTRUCTION																	Hanbin, Luo/AAH-7441-2019; Fang, Weili/O-5424-2018; li, chengqian/AAH-7343-2019	Fang, Weili/0000-0001-8974-2534; Ding, Lieyun/0000-0002-9873-3776												0926-5805	1872-7891				JAN	2019	97						138	150		10.1016/j.autcon.2018.10.017								WOS:000453623600010						
J	Dave, B; Buda, A; Nurminen, A; Framling, K				Dave, Bhargav; Buda, Andrea; Nurminen, Antti; Framling, Kary			A framework for integrating BIM and IoT through open standards	AUTOMATION IN CONSTRUCTION																	Främling, Kary Å/G-2222-2013; Tang, Llewellyn/AAE-8423-2020; Dave, Bhargav/C-1555-2014	Främling, Kary Å/0000-0002-8078-5172; Tang, Llewellyn/0000-0001-8453-5384; Dave, Bhargav/0000-0003-4228-506X												0926-5805	1872-7891				NOV	2018	95						35	45		10.1016/j.autcon.2018.07.022								WOS:000446286800004						
J	Ma, XZ; Xiong, F; Olawumi, TO; Dong, N; Chan, APC				Ma, Xiaozhi; Xiong, Feng; Olawumi, Timothy O.; Dong, Na; Chan, Albert P. C.			Conceptual Framework and Roadmap Approach for Integrating BIM into Lifecycle Project Management	JOURNAL OF MANAGEMENT IN ENGINEERING																	Chan, Albert/I-4650-2012; Olawumi, Timothy O./D-9720-2016	Chan, Albert/0000-0002-4853-6440; Olawumi, Timothy O./0000-0003-3380-4702; Ma, Xiaozhi/0000-0002-5092-9358												0742-597X	1943-5479				NOV	2018	34	6							05018011	10.1061/(ASCE)ME.1943-5479.0000647								WOS:000444385500014						
J	Hosseini, MR; Parn, EA; Edwards, DJ; Papadonikolaki, E; Oraee, M				Hosseini, M. Reza; Parn, E. A.; Edwards, D. J.; Papadonikolaki, Eleni; Oraee, Mehran			Roadmap to Mature BIM Use in Australian SMEs: Competitive Dynamics Perspective	JOURNAL OF MANAGEMENT IN ENGINEERING																	Hosseini, M. Reza/AAA-4859-2021; Papadonikolaki, Eleni/N-6791-2015	Hosseini, M. Reza/0000-0001-8675-736X; Papadonikolaki, Eleni/0000-0003-1952-1570												0742-597X	1943-5479				SEP	2018	34	5							05018008	10.1061/(ASCE)ME.1943-5479.0000636								WOS:000438696100007						
J	Farghaly, K; Abanda, FH; Vidalakis, C; Wood, G				Farghaly, Karim; Abanda, Fonbeyin Henry; Vidalakis, Christos; Wood, Graham			Taxonomy for BIM and Asset Management Semantic Interoperability	JOURNAL OF MANAGEMENT IN ENGINEERING																		Farghaly, Karim/0000-0003-0717-7434												0742-597X	1943-5479				JUL	2018	34	4							04018012	10.1061/(ASCE)ME.1943-5479.0000610								WOS:000432571400002						
J	Fernandez-Carames, TM; Fraga-Lamas, P; Suarez-Albela, M; Diaz-Bouza, MA				Fernandez-Carames, Tiago M.; Fraga-Lamas, Paula; Suarez-Albela, Manuel; Diaz-Bouza, Manuel A.			A Fog Computing Based Cyber-Physical System for the Automation of Pipe-Related Tasks in the Industry 4.0 Shipyard	SENSORS																	Caramés, Tiago M. Fernández/L-9307-2014; Fraga-Lamas, Paula/G-2499-2016	Caramés, Tiago M. Fernández/0000-0003-2179-5917; Fraga-Lamas, Paula/0000-0002-4991-6808; Suarez Albela, Manuel/0000-0001-9891-4553													1424-8220				JUN	2018	18	6							1961	10.3390/s18061961								WOS:000436774300295	29914207					
J	Cao, DP; Li, H; Wang, GB; Luo, XC; Tan, D				Cao, Dongping; Li, Heng; Wang, Guangbin; Luo, Xiaochun; Tan, Dan			Relationship Network Structure and Organizational Competitiveness: Evidence from BIM Implementation Practices in the Construction Industry	JOURNAL OF MANAGEMENT IN ENGINEERING																	LUO, Xiaochun/AAX-7943-2020; Li, Heng/B-2821-2015	LUO, Xiaochun/0000-0002-2497-848X; Li, Heng/0000-0002-3187-9041; Cao, Dongping/0000-0002-6366-2621												0742-597X	1943-5479				MAY	2018	34	3							04018005	10.1061/(ASCE)ME.1943-5479.0000600								WOS:000427961900006						
J	Cheung, WF; Lin, TH; Lin, YC				Cheung, Weng-Fong; Lin, Tzu-Hsuan; Lin, Yu-Cheng			A Real-Time Construction Safety Monitoring System for Hazardous Gas Integrating Wireless Sensor Network and Building Information Modeling Technologies	SENSORS																		Lin, Tzu-Hsuan/0000-0001-7833-5394												1424-8220					FEB	2018	18	2							436	10.3390/s18020436								WOS:000427544000119	29393887					
