PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Prudhomme, C; Homburg, T; Ponciano, JJ; Boochs, F; Cruz, C; Roxin, AM				Prudhomme, Claire; Homburg, Timo; Ponciano, Jean-Jacques; Boochs, Frank; Cruz, Christophe; Roxin, Ana-Maria			Interpretation and automatic integration of geospatial data into the Semantic Web Towards a process of automatic geospatial data interpretation, classification and integration using semantic technologies	COMPUTING					7th International Conference on Cloud Computing and Services Science (CLOSER)	APR 24-26, 2017	Porto, PORTUGAL										Homburg, Timo/X-5155-2019; Homburg, Timo/W-6503-2019; Ponciano, Jean-Jacques/AAF-3886-2020; CRUZ, Christophe/I-2419-2012; Roxin, Ana/M-6806-2019	Homburg, Timo/0000-0002-9499-5840; Ponciano, Jean-Jacques/0000-0001-8950-5723; CRUZ, Christophe/0000-0002-5611-9479; Roxin, Ana/0000-0001-9841-0494												0010-485X	1436-5057				FEB	2020	102	2			SI		365	391		10.1007/s00607-019-00701-y								WOS:000511621900003						
J	Kubicki, S; Guerriero, A; Schwartz, L; Daher, E; Idris, B				Kubicki, Sylvain; Guerriero, Annie; Schwartz, Lou; Daher, Elie; Idris, Bryan			Assessment of synchronous interactive devices for BIM project coordination: Prospective ergonomics approach	AUTOMATION IN CONSTRUCTION																	Kubicki, Sylvain/I-6965-2019	Kubicki, Sylvain/0000-0003-2985-0378; Guerriero, Annie/0000-0002-8804-1995												0926-5805	1872-7891				MAY	2019	101						160	178		10.1016/j.autcon.2018.12.009								WOS:000461130000012						
J	Tao, F; Zhan, H; Liu, A; Nee, AYC				Tao, Fei; Zhan, He; Liu, Ang; Nee, A. Y. C.			Digital Twin in Industry: State-of-the-Art	IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS																	Tao, Fei/F-8944-2012; Andrew, Y.C. Nee/C-9974-2009	Tao, Fei/0000-0002-9020-0633; Nee, Andrew/0000-0002-1029-9988												1551-3203	1941-0050				APR	2019	15	4					2405	2415		10.1109/TII.2018.2873186								WOS:000467095500054						
J	Zheng, Y; Yang, S; Cheng, HC				Zheng, Yu; Yang, Sen; Cheng, Huanchong			An application framework of digital twin and its case study	JOURNAL OF AMBIENT INTELLIGENCE AND HUMANIZED COMPUTING																		Zheng, Yu/0000-0002-1803-8678												1868-5137	1868-5145				MAR	2019	10	3			SI		1141	1153		10.1007/s12652-018-0911-3								WOS:000459538400025						
J	Tomko, M; Winter, S				Tomko, Martin; Winter, Stephan			Beyond digital twins - A commentary	ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE																	Winter, Stephan/F-5416-2014	Winter, Stephan/0000-0002-3403-6939; Tomko, Martin/0000-0002-5736-4679												2399-8083	2399-8091				FEB	2019	46	2					395	399		10.1177/2399808318816992								WOS:000458830400012						
J	Sakhakarmi, S; Park, J; Cho, C				Sakhakarmi, Sayan; Park, JeeWoong; Cho, Chunhee			Enhanced Machine Learning Classification Accuracy for Scaffolding Safety Using Increased Features	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Sakhakarmi, Sayan/ABE-9678-2020	Sakhakarmi, Sayan/0000-0001-8652-1613; Park, Jee Woong/0000-0003-2205-6585												0733-9364	1943-7862				FEB	2019	145	2							04018133	10.1061/(ASCE)CO.1943-7862.0001601								WOS:000453213000012						
J	Madni, AM; Madni, CC; Lucero, SD				Madni, Azad M.; Madni, Carla C.; Lucero, Scott D.			Leveraging Digital Twin Technology in Model-Based Systems Engineering	SYSTEMS																		Madni, Carla/0000-0002-3075-7122													2079-8954				JAN 30	2019	7	1							7	10.3390/systems7010007								WOS:000464064800001						
J	Butkovic, B; Heesom, D; Oloke, D				Butkovic, Bogdan; Heesom, David; Oloke, David			THE NEED FOR MULTI-LOD 4D SIMULATIONS IN CONSTRUCTION PROJECTS	JOURNAL OF INFORMATION TECHNOLOGY IN CONSTRUCTION																														1874-4753						2019	24						256	272										WOS:000472915700001						
J	Tongal, H; Booij, MJ				Tongal, Hakan; Booij, Martijn J.			Simulation and forecasting of streamflows using machine learning models coupled with base flow separation	JOURNAL OF HYDROLOGY																	Booij, Martijn J./C-7753-2011; Tongal, Hakan/A-4923-2018	Booij, Martijn J./0000-0001-6208-9045; Tongal, Hakan/0000-0002-0501-7894												0022-1694	1879-2707				SEP	2018	564						266	282		10.1016/j.jhydrol.2018.07.004								WOS:000445316200022						
J	Charef, R; Alaka, H; Emmitt, S				Charef, Rabia; Alaka, Hafiz; Emmitt, Stephen			Beyond the third dimension of BIM: A systematic review of literature and assessment of professional views	JOURNAL OF BUILDING ENGINEERING																	Charef, Rabia/AAH-3339-2021	Emmitt, Stephen/0000-0002-8277-3378; Charef, Rabia/0000-0002-3164-9545												2352-7102					SEP	2018	19						242	257		10.1016/j.jobe.2018.04.028								WOS:000438148500024						
