PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, RW; Nie, JT; Garg, S; Xiong, ZH; Zhang, Y; Hossain, MS				Liu, Ryan Wen; Nie, Jiangtian; Garg, Sahil; Xiong, Zehui; Zhang, Yang; Hossain, M. Shamim			Data-Driven Trajectory Quality Improvement for Promoting Intelligent Vessel Traffic Services in 6G-Enabled Maritime IoT Systems	IEEE INTERNET OF THINGS JOURNAL																	Liu, Ryan Wen/U-6910-2019; Hossain, M. Shamim/K-1362-2014; Xiong, Zehui/B-9792-2019; Liu, Wen/H-4047-2014	Hossain, M. Shamim/0000-0001-5906-9422; Xiong, Zehui/0000-0002-4440-941X; Garg, Sahil/0000-0003-0229-608X; Liu, Wen/0000-0002-1591-5583												2327-4662					APR 1	2021	8	7					5374	5385		10.1109/JIOT.2020.3028743								WOS:000633436600026						
J	Huang, Y; Li, Y; Zhang, ZF; Liu, RW				Huang, Yu; Li, Yan; Zhang, Zhaofeng; Liu, Ryan Wen			GPU-Accelerated Compression and Visualization of Large-Scale Vessel Trajectories in Maritime IoT Industries	IEEE INTERNET OF THINGS JOURNAL																	Liu, Ryan Wen/U-6910-2019; Liu, Wen/H-4047-2014	Liu, Wen/0000-0002-1591-5583												2327-4662					NOV	2020	7	11					10794	10812		10.1109/JIOT.2020.2989398								WOS:000590754700006						
J	van der Burgt, T; Baronner, A				van der Burgt, Therry; Baronner, Allard			An Information and Tracking System for Inland Shipping	IEEE SOFTWARE																														0740-7459	1937-4194				MAY-JUN	2017	34	3					105	110		10.1109/MS.2017.63								WOS:000401974500016						
