PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Chapman, D; Providakis, S; Rogers, C				Chapman, David; Providakis, Stylianos; Rogers, Christopher			BIM for the Underground - An enabler of trenchless construction	UNDERGROUND SPACE																														2096-2754	2467-9674				DEC	2020	5	4					354	361		10.1016/j.undsp.2019.08.001								WOS:000567786600007						
J	Al-Saeed, Y; Parn, E; Edwards, DJ; Scaysbrook, S				Al-Saeed, Yayha; Parn, Erika; Edwards, David John; Scaysbrook, Stephen			A conceptual framework for utilising BIM digital objects (BDO) in manufacturing design and production A case study	JOURNAL OF ENGINEERING DESIGN AND TECHNOLOGY																														1726-0531					AUG 10	2019	17	5					960	984		10.1108/JEDT-03-2019-0065								WOS:000483616400007						
J	La Paz, A; Merigo, JM; Powell, P; Ramaprasad, A; Syn, T				La Paz, Ariel; Merigo, Jose M.; Powell, Philip; Ramaprasad, Arkalgud; Syn, Thant			Twenty-five years of the Information Systems Journal: A bibliometric and ontological overview	INFORMATION SYSTEMS JOURNAL																	La Paz, Ariel/AAO-6549-2020; Syn, Thant/D-3302-2015; Merigó, José M./K-1500-2019	La Paz, Ariel/0000-0001-8920-2335; Syn, Thant/0000-0001-5727-5927; Merigó, José M./0000-0002-4672-6961; Powell, Philip/0000-0002-2774-3862; Ramaprasad, Arkalgud/0000-0003-1551-6854												1350-1917	1365-2575				MAY	2020	30	3					431	457		10.1111/isj.12260		AUG 2019						WOS:000480364400001						
J	Gefen, D				Gefen, David			The Philosopher's Corner: A Post-Positivist Answering Back. Part 1: Good for You, Karl Popper!	DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS																														0095-0033					MAY	2019	50	2					9	17										WOS:000467217700003						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
J	Kankam, PK				Kankam, Philip Kwaku			The use of paradigms in information research	LIBRARY & INFORMATION SCIENCE RESEARCH																														0740-8188	1873-1848				APR	2019	41	2					85	92		10.1016/j.lisr.2019.04.003								WOS:000473375000001						
J	Tuzun, E; Tekinerdogan, B; Macit, Y; Ince, K				Tuzun, Eray; Tekinerdogan, Bedir; Macit, Yagup; Ince, Kursat			Adopting integrated application lifecycle management within a large-scale software company: An action research approach	JOURNAL OF SYSTEMS AND SOFTWARE																	Tuzun, Eray/AAD-7282-2021; Tekinerdogan, Bedir/K-3639-2019; Tekinerdogan, Bedir/AAU-8909-2020; Tuzun, Eray/B-5949-2018	Tuzun, Eray/0000-0002-5550-7816; Tekinerdogan, Bedir/0000-0002-8538-7261; Tuzun, Eray/0000-0002-5550-7816												0164-1212	1873-1228				MAR	2019	149						63	82		10.1016/j.jss.2018.11.021								WOS:000457951800003						
J	Aksnes, DW; Sivertsen, G				Aksnes, Dag W.; Sivertsen, Gunnar			A Criteria-based Assessment of the Coverage of Scopus and Web of Science	JOURNAL OF DATA AND INFORMATION SCIENCE																	Aksnes, Dag W./R-3607-2019; Sivertsen, Gunnar/E-1159-2012	Aksnes, Dag W./0000-0002-1519-195X; Sivertsen, Gunnar/0000-0003-1020-3189												2096-157X	2543-683X				FEB	2019	4	1					1	21		10.2478/jdis-2019-0001								WOS:000463268400001						
J	Moon, MD				Moon, Michael D.			TRIANGULATION: A METHOD TO INCREASE VALIDITY, RELIABILITY, AND LEGITIMATION IN CLINICAL RESEARCH	JOURNAL OF EMERGENCY NURSING																														0099-1767	1527-2966				JAN	2019	45	1					103	105		10.1016/j.jen.2018.11.004								WOS:000454923300026	30616761					
C	Jallow, H; Renukappa, S; Suresh, S; Alneyadi, A			Assoc Comp Machinery	Jallow, Haddy; Renukappa, Suresh; Suresh, Subashini; Alneyadi, Ahmed			Implementing a BIM Collaborative Workflow In The UK Infrastructure Sector	PROCEEDINGS OF 3RD INTERNATIONAL CONFERENCE ON INFORMATION SYSTEM AND DATA MINING (ICISDM 2019)					3rd International Conference on Information System and Data Mining (ICISDM)	APR 06-08, 2019	Univ Houston, Houston, TX	Dakota State Univ, S Asia Inst Sci & Engn	Univ Houston								Suresh, Subashini/I-2791-2015	Suresh, Subashini/0000-0001-5266-128X														978-1-4503-6635-9				2019							103	108		10.1145/3325917.3325957								WOS:000507622200018						
J	Roberts, CJ; Edwards, DJ; Hosseini, MR; Mateo-Garcia, M; Owusu-Manu, DG				Roberts, C. J.; Edwards, David John; Hosseini, M. Reza; Mateo-Garcia, Monica; Owusu-Manu, De-Graft			Post-occupancy evaluation: a review of literature	ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT																	Hosseini, M. Reza/AAA-4859-2021	Hosseini, M. Reza/0000-0001-8675-736X; Edwards, David/0000-0001-9727-6000; Mateo-Garcia, Monica/0000-0001-7331-4818												0969-9988	1365-232X					2019	26	9					2084	2106		10.1108/ECAM-09-2018-0390								WOS:000489897500013						
J	Woodhead, R; Stephenson, P; Morrey, D				Woodhead, Roy; Stephenson, Paul; Morrey, Denise			Digital construction: From point solutions to IoT ecosystem	AUTOMATION IN CONSTRUCTION																														0926-5805	1872-7891				SEP	2018	93						35	46		10.1016/j.autcon.2018.05.004								WOS:000441687500004						
J	Marzouk, M; Azab, S; Metawie, M				Marzouk, Mohamed; Azab, Shimaa; Metawie, Mahmoud			BIM-based approach for optimizing life cycle costs of sustainable buildings	JOURNAL OF CLEANER PRODUCTION																	Marzouk, Mohamed/AAA-2717-2021	Marzouk, Mohamed/0000-0002-8594-8452												0959-6526	1879-1786				JUL 1	2018	188						217	226		10.1016/j.jclepro.2018.03.280								WOS:000431937500019						
J	Davtalab, O; Kazemian, A; Khoshnevis, B				Davtalab, Omid; Kazemian, Ali; Khoshnevis, Behrokh			Perspectives on a BIM-integrated software platform for robotic construction through Contour Crafting	AUTOMATION IN CONSTRUCTION																		Kazemian, Ali/0000-0002-9525-6759												0926-5805	1872-7891				MAY	2018	89						13	23		10.1016/j.autcon.2018.01.006								WOS:000430777700002						
J	Trujillo, CM; Long, TM				Trujillo, Caleb M.; Long, Tammy M.			Document co-citation analysis to enhance transdisciplinary research	SCIENCE ADVANCES																	Trujillo, Caleb M/O-6181-2016													2375-2548					JAN	2018	4	1							e1701130	10.1126/sciadv.1701130								WOS:000426694200005	29308433					
J	Parn, EA; Edwards, DJ; Sing, MCP				Paern, E. A.; Edwards, D. J.; Sing, Michael C. P.			Origins and probabilities of MEP and structural design clashes within a federated BIM model	AUTOMATION IN CONSTRUCTION																		Parn, Erika/0000-0002-8124-4263; SING, Chun Pong/0000-0003-3526-0702												0926-5805	1872-7891				JAN	2018	85						209	219		10.1016/j.autcon.2017.09.010								WOS:000424071900016						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
C	Binesmael, M; Li, HJ; Lark, R		CamarinhaMatos, LM; Afsarmanesh, H; Rezgui, Y		Binesmael, Mohamed; Li, Haijiang; Lark, R.			Meta-Standard for Collaborative BIM Standards: An Analysis of UK BIM Level 2 Standards	COLLABORATIVE NETWORKS OF COGNITIVE SYSTEMS	IFIP Advances in Information and Communication Technology				19th IFIP Working Conference on Virtual Enterprises (PRO-VE 2018)	SEP 17-19, 2018	Cardiff, WALES	IFIP WG 5 5 COVE, Soc Collaborat Networks, Cardiff Univ, Nova Univ Lisbon, UNINOVA, Univ Amsterdam																						1868-4238	1868-422X	978-3-319-99126-9				2018	534						661	668		10.1007/978-3-319-99127-6_57								WOS:000449239300057						
J	Abanda, FH; Tah, JHM; Cheung, FKT				Abanda, F. H.; Tah, J. H. M.; Cheung, F. K. T.			BIM in off-site manufacturing for buildings	JOURNAL OF BUILDING ENGINEERING																	Tah, Joseph/AAI-6944-2020	Tah, Joseph/0000-0002-1950-8387; Cheung, Franco Kai Tak/0000-0001-6088-6315												2352-7102					NOV	2017	14						89	102		10.1016/j.jobe.2017.10.002								WOS:000418658300011						
J	Aria, M; Cuccurullo, C				Aria, Massimo; Cuccurullo, Corrado			bibliometrix: An R-tool for comprehensive science mapping analysis	JOURNAL OF INFORMETRICS																	Aria, Massimo/O-7983-2015	Aria, Massimo/0000-0002-8517-9411; CUCCURULLO, Corrado/0000-0002-7401-8575												1751-1577	1875-5879				NOV	2017	11	4					959	975		10.1016/j.joi.2017.08.007								WOS:000418020600003						
