PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Palomar, IJ; Valldecabres, JLG; Tzortzopoulos, P; Pellicer, E				Jordan Palomar, Isabel; Garcia Valldecabres, Jorge L.; Tzortzopoulos, Patricia; Pellicer, Eugenio			An online platform to unify and synchronise heritage architecture information	AUTOMATION IN CONSTRUCTION																	Pellicer, Eugenio/B-5593-2012; Tzortzopoulos, Patricia/E-2768-2014	Pellicer, Eugenio/0000-0001-9100-0644; Tzortzopoulos, Patricia/0000-0002-8740-6753												0926-5805	1872-7891				FEB	2020	110								103008	10.1016/j.autcon.2019.103008								WOS:000517664900007						
J	Sun, Z; Xie, JT; Zhang, YY; Cao, YK				Sun, Zheng; Xie, Jiangtao; Zhang, Yingying; Cao, Yongkang			As-Built BIM for a Fifteenth-Century Chinese Brick Structure at Various LoDs	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	xie, jiangtao/AAC-5586-2021	xie, jiangtao/0000-0001-5151-0148; sun, zheng/0000-0002-1832-3495													2220-9964				DEC	2019	8	12							577	10.3390/ijgi8120577								WOS:000518041800056						
J	Yang, XC; Lu, YC; Murtiyoso, A; Koehl, M; Grussenmeyer, P				Yang, Xiucheng; Lu, Yi-Chou; Murtiyoso, Arnadi; Koehl, Mathieu; Grussenmeyer, Pierre			HBIM Modeling from the Surface Mesh and Its Extended Capability of Knowledge Representation	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Pierre, Grussenmeyer/B-4570-2010; Yang, Xiucheng/O-4374-2018	Pierre, Grussenmeyer/0000-0002-7292-2755; Murtiyoso, Arnadi/0000-0002-3310-8937; Yang, Xiucheng/0000-0001-5134-9614												2220-9964					JUL	2019	8	7							301	10.3390/ijgi8070301								WOS:000478616400025						
C	Jouan, P; Hallot, P		GonzalezAguilera, D; Remondino, F; Toschi, I; RodriguezGonzalvez, P; Stathopoulou, E		Jouan, P.; Hallot, P.			DIGITAL TWIN: A HBIM-BASED METHODOLOGY TO SUPPORT PREVENTIVE CONSERVATION OF HISTORIC ASSETS THROUGH HERITAGE SIGNIFICANCE AWARENESS	27TH CIPA INTERNATIONAL SYMPOSIUM: DOCUMENTING THE PAST FOR A BETTER FUTURE	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				27th CIPA International Symposium on Documenting the Past for a Better Future	SEP 01-05, 2019	Avila, SPAIN	ISPRS, CIPA									Jouan, Pierre/AAC-7072-2021	Jouan, Pierre/0000-0003-1784-8895												1682-1750	2194-9034					2019	42-2	W15					609	615		10.5194/isprs-archives-XLII-2-W15-609-2019								WOS:000583155100082						
C	Brumana, R; Condoleo, P; Grimoldi, A; Previtali, M		Brumana, R; Pracchi, V; Rinaudo, F; Grimoldi, A; Scaioni, M; Previtali, M; Cantini, L		Brumana, R.; Condoleo, P.; Grimoldi, A.; Previtali, M.			TOWARDS A SEMANTIC BASED HUB PLATFORM OF VAULTED SYSTEMS: HBIM MEETS A GEODB	2ND INTERNATIONAL CONFERENCE OF GEOMATICS AND RESTORATION (GEORES 2019)	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				2nd International Conference of Geomatics and Restoration (GEORES)	MAY 08-10, 2019	Milan, ITALY	Carleton Univ, Carleton Immers Media Studio, Microgeo Srl, GEOMAX Srl, STONEX Srl										Grimoldi, Alberto/0000-0002-2726-2305												1682-1750	2194-9034					2019	42-2	W11					301	308		10.5194/isprs-archives-XLII-2-W11-301-2019								WOS:000568508700042						
J	Hellmund, T; Hertweck, P; Hilbring, D; Mossgraber, J; Alexandrakis, G; Pouli, P; Siatou, A; Padeletti, G				Hellmund, Tobias; Hertweck, Philipp; Hilbring, Desiree; Mossgraber, Juergen; Alexandrakis, George; Pouli, Paraskevi; Siatou, Amalia; Padeletti, Giuseppina			Introducing the HERACLES Ontology-Semantics for Cultural Heritage Management	HERITAGE																	Pouli, Paraskevi/H-3448-2011	Pouli, Paraskevi/0000-0002-9814-1981; Siatou, Amalia/0000-0002-3614-8221; Hertweck, Philipp/0000-0002-1051-8052; Hellmund, Tobias/0000-0002-4932-9267													2571-9408				DEC	2018	1	2					377	391		10.3390/heritage1020026								WOS:000654880700001						
J	Elfadaly, A; Attia, W; Qelichi, MM; Murgante, B; Lasaponara, R				Elfadaly, Abdelaziz; Attia, Wael; Qelichi, Mohamad Molaei; Murgante, Beniamino; Lasaponara, Rosa			Management of Cultural Heritage Sites Using Remote Sensing Indices and Spatial Analysis Techniques	SURVEYS IN GEOPHYSICS					3rd International Conference on Metrology for Archaeology and Cultural Heritage	OCT 23-25, 2017	Lecce, ITALY										Murgante, Beniamino/B-4049-2016; Lasaponara, Rosa/AAI-6160-2020; Qelichi, Mohamad Molaei/Q-1949-2019; Elfadaly, Abdelaziz/AAQ-4781-2021	Murgante, Beniamino/0000-0003-2409-5959; Lasaponara, Rosa/0000-0002-1287-646X; Qelichi, Mohamad Molaei/0000-0002-1915-550X; Elfadaly, Abdelaziz/0000-0002-8376-5556; Elfadaly, Abdelaziz/0000-0001-8647-4212												0169-3298	1573-0956				NOV	2018	39	6			SI		1347	1377		10.1007/s10712-018-9489-8								WOS:000447982800017						
J	Pocobelli, DP; Boehm, J; Bryan, P; Still, J; Grau-Bove, J				Pocobelli, Danae Phaedra; Boehm, Jan; Bryan, Paul; Still, James; Grau-Bove, Josep			BIM for heritage science: a review	HERITAGE SCIENCE																	Boehm, Jan/K-2336-2012	Boehm, Jan/0000-0003-2190-0449; , Danae/0000-0002-3031-1294; Grau-Bove, Josep/0000-0003-0444-3194												2050-7445					MAY 16	2018	6								30	10.1186/s40494-018-0191-4								WOS:000432594800001						
J	Perles, A; Perez-Marin, E; Mercado, R; Segrelles, JD; Blanquer, I; Zarzo, M; Garcia-Diego, FJ				Perles, Angel; Perez-Marin, Eva; Mercado, Ricardo; Damian Segrelles, J.; Blanquer, Ignacio; Zarzo, Manuel; Garcia-Diego, Fernando J.			An energy-efficient internet of things (IoT) architecture for preventive conservation of cultural heritage	FUTURE GENERATION COMPUTER SYSTEMS-THE INTERNATIONAL JOURNAL OF ESCIENCE																	García-Diego, Fernando J./AAL-7308-2020; Blanquer, Ignacio/AAH-2524-2020; Zarzo, Manuel/E-3072-2018; Perles, Angel/J-5762-2014; García-Diego, Fernando Juan/ABH-3758-2020	García-Diego, Fernando J./0000-0002-7062-245X; Blanquer, Ignacio/0000-0003-1692-8922; Zarzo, Manuel/0000-0002-8361-0554; Perles, Angel/0000-0002-5782-4284; García-Diego, Fernando Juan/0000-0002-7062-245X; Perez Marin, Eva/0000-0003-3201-8451; Segrelles Quilis, J. Damian/0000-0001-5698-7965												0167-739X	1872-7115				APR	2018	81						566	581		10.1016/j.future.2017.06.030								WOS:000423652200051						
J	Vandesande, A; van Balen, K; Della Torre, S; Cardoso, F				Vandesande, Aziliz; van Balen, Koenraad; Della Torre, Stefano; Cardoso, Fausto			Preventive and planned conservation as a new management approach for built heritage: from a physical health check to empowering communities and activating (lost) traditions for local sustainable development	JOURNAL OF CULTURAL HERITAGE MANAGEMENT AND SUSTAINABLE DEVELOPMENT																	Van Balen, Koenraad/Q-6350-2019; Van Balen, Koenraad EP/C-2063-2012	Van Balen, Koenraad/0000-0001-6595-2051; Van Balen, Koenraad EP/0000-0001-6595-2051; Vandesande, Aziliz/0000-0001-5793-5630												2044-1266	2044-1274					2018	8	2			SI		78	81		10.1108/JCHMSD-05-2018-076								WOS:000434297900001						
J	Macher, H; Landes, T; Grussenmeyer, P				Macher, Helene; Landes, Tania; Grussenmeyer, Pierre			From Point Clouds to Building Information Models: 3D Semi-Automatic Reconstruction of Indoors of Existing Buildings	APPLIED SCIENCES-BASEL																	Pierre, Grussenmeyer/B-4570-2010	Pierre, Grussenmeyer/0000-0002-7292-2755; Macher, Helene/0000-0002-2686-0864													2076-3417				OCT	2017	7	10							1030	10.3390/app7101030								WOS:000414457800068						
J	Klein, LJ; Bermudez, SA; Schrott, AG; Tsukada, M; Dionisi-Vici, P; Kargere, L; Marianno, F; Hamann, HF; Lopez, V; Leona, M				Klein, Levente J.; Bermudez, Sergio A.; Schrott, Alejandro G.; Tsukada, Masahiko; Dionisi-Vici, Paolo; Kargere, Lucretia; Marianno, Fernando; Hamann, Hendrik F.; Lopez, Vanessa; Leona, Marco			Wireless Sensor Platform for Cultural Heritage Monitoring and Modeling System	SENSORS																	Dionisi-Vici, Paolo/G-3829-2011; Dionisi-Vici, Paolo/V-1426-2019	Dionisi-Vici, Paolo/0000-0002-9692-9695; Dionisi-Vici, Paolo/0000-0002-9692-9695; Klein, Levente/0000-0001-9497-1403													1424-8220				SEP	2017	17	9							1998	10.3390/s17091998								WOS:000411484700068						
C	Oreni, D; Karimi, G; Barazzetti, L		Hayes, J; Ouimet, C; Quintero, MS; Fai, S; Smith, L		Oreni, D.; Karimi, G.; Barazzetti, L.			APPLYING BIM TO BUILT HERITAGE WITH COMPLEX SHAPES: THE ICE HOUSE OF FILARETE'S OSPEDALE MAGGIORE IN MILAN, ITALY	ICOMOS/ISPRS INTERNATIONAL SCIENTIFIC COMMITTEE ON HERITAGE DOCUMENTATION (CIPA) 26TH INTERNATIONAL CIPA SYMPOSIUM - DIGITAL WORKFLOWS FOR HERITAGE CONSERVATION	International Archives of the Photogrammetry Remote Sensing and Spatial Information Sciences				26th International Symposium of ICOMOS/ISPRS-International-Scientific-Committee-on-Heritage-Documentation (CIPA) on Digital Workflows for Heritage Conservation	AUG 28-SEP 01, 2017	Ottawa, CANADA	ICOMOS ISPRS Int Sci Comm Heritage Documentat, Int Soc Photogrammetry & Remote Sensing									Fai, Stephen/V-1266-2018	Fai, Stephen/0000-0003-2369-5442; BARAZZETTI, LUIGI/0000-0002-7859-8677												2194-9034						2017	42-2	W5					553	560		10.5194/isprs-archives-XLII-2-W5-553-2017								WOS:000426801500082						
