PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Lu, QC; Chen, L; Li, S; Pitt, M				Lu, Qiuchen; Chen, Long; Li, Shuai; Pitt, Michael			Semi-automatic geometric digital twinning for existing buildings based on images and CAD drawings	AUTOMATION IN CONSTRUCTION																		Chen, Long/0000-0002-6771-752X												0926-5805	1872-7891				JUL	2020	115								103183	10.1016/j.autcon.2020.103183								WOS:000528282500011						
J	Boje, C; Guerriero, A; Kubicki, S; Rezgui, Y				Boje, Calin; Guerriero, Annie; Kubicki, Sylvain; Rezgui, Yacine			Towards a semantic Construction Digital Twin: Directions for future research	AUTOMATION IN CONSTRUCTION																	Kubicki, Sylvain/I-6965-2019; Rezgui, Yacine/ABE-6712-2020	Kubicki, Sylvain/0000-0003-2985-0378; Rezgui, Yacine/0000-0002-5711-8400; Guerriero, Annie/0000-0002-8804-1995; Boje, Calin/0000-0002-5150-9355												0926-5805	1872-7891				JUN	2020	114								103179	10.1016/j.autcon.2020.103179								WOS:000526785800022						
J	Moyne, J; Qamsane, Y; Balta, EC; Kovalenko, I; Faris, J; Barton, K; Tilbury, DM				Moyne, James; Qamsane, Yassine; Balta, Efe C.; Kovalenko, Ilya; Faris, John; Barton, Kira; Tilbury, Dawn M.			A Requirements Driven Digital Twin Framework: Specification and Opportunities	IEEE ACCESS																	QAMSANE, Yassine/AAC-4224-2020	QAMSANE, Yassine/0000-0003-4036-2586; Balta, Efe/0000-0001-8596-8739; Moyne, James/0000-0002-4702-6553												2169-3536						2020	8						107781	107801		10.1109/ACCESS.2020.3000437								WOS:000544042700013						
J	Rasheed, A; San, O; Kvamsdal, T				Rasheed, Adil; San, Omer; Kvamsdal, Trond			Digital Twin: Values, Challenges and Enablers From a Modeling Perspective	IEEE ACCESS																	San, Omer/AAA-9282-2020; Kvamsdal, Trond/I-1493-2014	San, Omer/0000-0002-2241-4648; Kvamsdal, Trond/0000-0002-1615-7649; Rasheed, Adil/0000-0003-2690-983X												2169-3536						2020	8						21980	22012		10.1109/ACCESS.2020.2970143								WOS:000525393900022						
J	Autiosalo, J; Vepsalainen, J; Viitala, R; Tammi, K				Autiosalo, Juuso; Vepsalainen, Jari; Viitala, Raine; Tammi, Kari			A Feature-Based Framework for Structuring Industrial Digital Twins	IEEE ACCESS																	Viitala, Raine/AAP-1120-2021; Tammi, Kari/J-8999-2015; Vepsäläinen, Jari/AAD-1281-2021	Viitala, Raine/0000-0003-1672-1921; Tammi, Kari/0000-0001-9376-2386; Vepsalainen, Jari/0000-0002-9379-5687; Autiosalo, Juuso/0000-0003-3714-748X												2169-3536						2020	8						1193	1208		10.1109/ACCESS.2019.2950507								WOS:000507293900097						
J	Talkhestani, BA; Jung, T; Lindemann, B; Sahlab, N; Jazdi, N; Schloegl, W; Weyrich, M				Talkhestani, Behrang Ashtari; Jung, Tobias; Lindemann, Benjamin; Sahlab, Nada; Jazdi, Nasser; Schloegl, Wolfgang; Weyrich, Michael			An architecture of an Intelligent Digital Twin in a Cyber-Physical Production System	AT-AUTOMATISIERUNGSTECHNIK																		Ashtari, Behrang/0000-0002-5667-937X												0178-2312					SEP	2019	67	9					762	782		10.1515/auto-2019-0039								WOS:000489304000006						
J	Basole, RC; Park, H				Basole, Rahul C.; Park, Hyunwoo			Interfirm Collaboration and Firm Value in Software Ecosystems: Evidence From Cloud Computing	IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT																	Park, Hyunwoo/F-8692-2012	Park, Hyunwoo/0000-0001-9818-217X												0018-9391	1558-0040				AUG	2019	66	3					368	380		10.1109/TEM.2018.2855401								WOS:000476772400008						
J	Khajavi, SH; Motlagh, NH; Jaribion, A; Werner, LC; Holmstrom, J				Khajavi, Siavash H.; Motlagh, Naser Hossein; Jaribion, Alireza; Werner, Liss C.; Holmstroem, Jan			Digital Twin: Vision, Benefits, Boundaries, and Creation for Buildings	IEEE ACCESS																	Jaribion, Alireza/AAN-6751-2020; Khajavi, Siavash Haghighat/H-5187-2018; Holmström, Jan B/E-7230-2012; Motlagh, Naser Hossein/AAG-9568-2019; Werner, Liss C./P-4678-2016	Jaribion, Alireza/0000-0003-1916-1309; Khajavi, Siavash Haghighat/0000-0002-5166-4021; Holmström, Jan B/0000-0002-2596-0337; Motlagh, Naser Hossein/0000-0001-9923-9879; Werner, Liss C./0000-0003-4184-6670												2169-3536						2019	7						147406	147419		10.1109/ACCESS.2019.2946515								WOS:000497160500006						
C	Camposano, JC; Smolander, K		Giorgini, P; Weber, B		Camposano, Jose Carlos; Smolander, Kari			Inter-organizational Integration in the AEC/FM Industry Exploring the "Addressed" and "Unaddressed" Information Exchange Needs Between Stakeholders	ADVANCED INFORMATION SYSTEMS ENGINEERING (CAISE 2019)	Lecture Notes in Computer Science				31st Int Conf Adv Informat Syst Engn / 7th Int Workshop Cognit Aspects of Informat Syst Engn / 1st Int Workshop on Key Enabling Technologies for Digital Factories / Joint Workshop on Blockchains for Inter-Org Collaborat and Flexible Adv Informat Syst	JUN 03-07, 2019	Rome, ITALY											Camposano, Jose Carlos/0000-0002-7782-5700												0302-9743	1611-3349	978-3-030-21290-2; 978-3-030-21289-6				2019	11483						64	79		10.1007/978-3-030-21290-2_5								WOS:000495359000005						
J	El Saddik, A				El Saddik, Abdulmotaleb			Digital Twins The Convergence of Multimedia Technologies	IEEE MULTIMEDIA																	El Saddik, Abdulmotaleb/D-4159-2009	El Saddik, Abdulmotaleb/0000-0002-7690-8547												1070-986X	1941-0166				APR-JUN	2018	25	2					87	92		10.1109/MMUL.2018.023121167								WOS:000440854300008						
J	Tao, F; Cheng, JF; Qi, QL; Zhang, M; Zhang, H; Sui, FY				Tao, Fei; Cheng, Jiangfeng; Qi, Qinglin; Zhang, Meng; Zhang, He; Sui, Fangyuan			Digital twin-driven product design, manufacturing and service with big data	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY					12th International Conference on Frontiers of Design and Manufacturing (ICFDM)	AUG 10-12, 2016	Natl Nat Sci Fdn China, Shenyang, PEOPLES R CHINA	Shien Ming Wu Fdn USA	Natl Nat Sci Fdn China								Qi, Qinglin/N-3496-2018; Qi, Qinglin/AAP-2458-2020; Tao, Fei/F-8944-2012	Qi, Qinglin/0000-0002-3247-0440; Tao, Fei/0000-0002-9020-0633; Cheng, Jiangfeng/0000-0003-0386-3533												0268-3768	1433-3015				FEB	2018	94	9-12					3563	3576		10.1007/s00170-017-0233-1								WOS:000425592900043						
C	Autiosalo, J			IEEE	Autiosalo, Juuso			Platform for Industrial Internet and Digital Twin Focused Education, Research, and Innovation: Ilmatar the Overhead Crane	2018 IEEE 4TH WORLD FORUM ON INTERNET OF THINGS (WF-IOT)					4th IEEE World Forum on Internet of Things (WF-IoT)	FEB 05-08, 2018	Singapore, SINGAPORE	IEEE, Nanyang Technol Univ, Sch Elect & Elect Engn, CREDITS, DARKMATTER, Rohde & Schwarz, Fuzhou IoT Lab, IEEE Commun Soc, IEEE Consumer Elect Soc, IEEE Control Syst Soc, IEEE Council Elect Design Automat, IEEE Council RFID, IEEE Electromagnet Compatibil Soc, IEEE Electron Devices So, IEEE Elect Packaging Soc, IEEE Ind Elect Soc, IEEE Microwave Theory & Tech Soc, IEEE Power & Energy Soc, IEEE Power Elect Soc, IEEE Reliabil Soc, IEEE Robot & Automat Soc, IEEE Sensors Council, IEEE Signal Proc Soc, IEEE Soc Social Implicat Technol, IEEE Stand Assoc, IEEE Vehicular Technol Soc, IEEE Comp Soc, Internet Soc																								978-1-4673-9944-9				2018							241	244										WOS:000492762400044						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
J	Ghaffarianhoseini, A; Tookey, J; Ghaffarianhoseini, A; Naismith, N; Azhar, S; Efimova, O; Raahemifar, K				Ghaffarianhoseini, Ali; Tookey, John; Ghaffarianhoseini, Amirhosein; Naismith, Nicola; Azhar, Salman; Efimova, Olia; Raahemifar, Kaamran			Building Information Modelling (BIM) uptake: Clear benefits, understanding its implementation, risks and challenges	RENEWABLE & SUSTAINABLE ENERGY REVIEWS																	Azhar, Salman/J-6438-2014	GhaffarianHoseini, Ali/0000-0002-0787-8399												1364-0321					AUG	2017	75						1046	1053		10.1016/j.rser.2016.11.083								WOS:000401395000084						
J	Vargo, SL; Lusch, RF				Vargo, Stephen L.; Lusch, Robert F.			Service-dominant logic 2025	INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING																	Vargo, Stephen L./A-2462-2009	Vargo, Stephen L./0000-0002-2401-8358												0167-8116	1873-8001				MAR	2017	34	1					46	67		10.1016/j.ijresmar.2016.11.001								WOS:000399844500004						
J	Alam, KM; El Saddik, A				Alam, Kazi Masudul; El Saddik, Abdulmotaleb			C2PS: A Digital Twin Architecture Reference Model for the Cloud-Based Cyber-Physical Systems	IEEE ACCESS																	El Saddik, Abdulmotaleb/D-4159-2009	El Saddik, Abdulmotaleb/0000-0002-7690-8547; ALAM, KAZI MASUDUL/0000-0003-4731-9847												2169-3536						2017	5						2050	2062		10.1109/ACCESS.2017.2657006								WOS:000397136900116						
C	Mangialardi, G; Di Biccari, C; Pascarelli, C; Lazoi, M; Corallo, A		Rios, J; Bernard, A; Bouras, A; Foufou, S		Mangialardi, Giovanna; Di Biccari, Carla; Pascarelli, Claudio; Lazoi, Mariangela; Corallo, Angelo			BIM and PLM Associations in Current Literature	PRODUCT LIFECYCLE MANAGEMENT AND THE INDUSTRY OF THE FUTURE	IFIP Advances in Information and Communication Technology				14th IFIP WG 5.1 International Conference on Product Lifecycle Management (PLM)	JUL 10-12, 2017	Seville, SPAIN	IFIP Working Grp G 5 1, FIDETIA, FUJITSU, EVERIS, PRODETUR, EXTENDA									Lazoi, Mariangela/AAQ-8275-2021	Pascarelli, Claudio/0000-0002-9854-7703												1868-4238	1868-422X	978-3-319-72905-3; 978-3-319-72904-6				2017	517						345	357		10.1007/978-3-319-72905-3_31								WOS:000452518600031						
J	Papadonikolaki, E; Wamelink, H				Papadonikolaki, Eleni; Wamelink, Hans			Inter- and intra-organizational conditions for supply chain integration with BIM	BUILDING RESEARCH AND INFORMATION																	; Papadonikolaki, Eleni/N-6791-2015	Wamelink, Hans/0000-0002-9977-3462; Papadonikolaki, Eleni/0000-0003-1952-1570												0961-3218	1466-4321					2017	45	6			SI		649	664		10.1080/09613218.2017.1301718								WOS:000405329900006						
