PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Tao, F; Sui, FY; Liu, A; Qi, QL; Zhang, M; Song, BY; Guo, ZR; Lu, SCY; Nee, AYC				Tao, Fei; Sui, Fangyuan; Liu, Ang; Qi, Qinglin; Zhang, Meng; Song, Boyang; Guo, Zirong; Lu, Stephen C. -Y.; Nee, A. Y. C.			Digital twin-driven product design framework	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH																	Tao, Fei/F-8944-2012; Andrew, Y.C. Nee/C-9974-2009; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440; Nee, Andrew/0000-0002-1029-9988												0020-7543	1366-588X				JUN 18	2019	57	12			SI		3935	3953		10.1080/00207543.2018.1443229								WOS:000474250800010						
J	Tang, S; Shelden, DR; Eastman, CM; Pishdad-Bozorgi, P; Gao, XH				Tang, Shu; Shelden, Dennis R.; Eastman, Charles M.; Pishdad-Bozorgi, Pardis; Gao, Xinghua			A review of building information modeling (BIM) and the internet of things (IoT) devices integration: Present status and future trends	AUTOMATION IN CONSTRUCTION																	Bagga, Ankit/AAG-8019-2021; Tang, Shu/ABC-9944-2021	Tang, Shu/0000-0002-9796-2737												0926-5805	1872-7891				MAY	2019	101						127	139		10.1016/j.autcon.2019.01.020								WOS:000461130000010						
J	Xu, Y; Sun, YM; Liu, XL; Zheng, YH				Xu, Yan; Sun, Yanming; Liu, Xiaolong; Zheng, Yonghua			A Digital-Twin-Assisted Fault Diagnosis Using Deep Transfer Learning	IEEE ACCESS																														2169-3536						2019	7						19990	19999		10.1109/ACCESS.2018.2890566								WOS:000459901900001						
J	Kaewunruen, S; Rungskunroch, P; Welsh, J				Kaewunruen, Sakdirat; Rungskunroch, Panrawee; Welsh, Joshua			A Digital-Twin Evaluation of Net Zero Energy Building for Existing Buildings	SUSTAINABILITY																	Kaewunruen, Sakdirat/A-6793-2008	Kaewunruen, Sakdirat/0000-0003-2153-3538												2071-1050					JAN 1	2019	11	1							159	10.3390/su11010159								WOS:000457127300159						
J	Jia, RX; Jin, BH; Jin, M; Zhou, YX; Konstantakopoulos, IC; Zou, H; Kim, J; Li, D; Gu, WX; Arghandeh, R; Nuzzo, P; Schiavon, S; Sangiovanni-Vincentelli, AL; Spanos, CJ				Jia, Ruoxi; Jin, Baihong; Jin, Ming; Zhou, Yuxun; Konstantakopoulos, Ioannis C.; Zou, Han; Kim, Joyce; Li, Dan; Gu, Weixi; Arghandeh, Reza; Nuzzo, Pierluigi; Schiavon, Stefano; Sangiovanni-Vincentelli, Alberto L.; Spanos, Costas J.			Design Automation for Smart Building Systems	PROCEEDINGS OF THE IEEE																	Arghandeh, Reza/M-4895-2013; Zhou, Yuxun/AAA-1180-2021; Sangiovanni-Vincentelli, Alberto/S-3822-2019; Zou, Han/Q-4862-2017	Arghandeh, Reza/0000-0002-0691-5426; Sangiovanni-Vincentelli, Alberto/0000-0003-1298-8389; Zou, Han/0000-0002-8063-5211; Zhou, Yuxun/0000-0003-4258-2179												0018-9219	1558-2256				SEP	2018	106	9			SI		1680	1699		10.1109/JPROC.2018.2856932								WOS:000445274600011						
J	El Saddik, A				El Saddik, Abdulmotaleb			Digital Twins The Convergence of Multimedia Technologies	IEEE MULTIMEDIA																	El Saddik, Abdulmotaleb/D-4159-2009	El Saddik, Abdulmotaleb/0000-0002-7690-8547												1070-986X	1941-0166				APR-JUN	2018	25	2					87	92		10.1109/MMUL.2018.023121167								WOS:000440854300008						
J	Bruno, S; De Fino, M; Fatiguso, F				Bruno, Silvana; De Fino, Mariella; Fatiguso, Fabio			Historic Building Information Modelling: performance assessment for diagnosis-aided information modelling and management	AUTOMATION IN CONSTRUCTION																	De Fino, Mariella/ABF-4542-2021; Bruno, Silvana/AAC-8233-2019	FATIGUSO, Fabio/0000-0003-4584-3776; Bruno, Silvana/0000-0002-7633-9989; DE FINO, Mariella/0000-0002-2675-704X												0926-5805	1872-7891				FEB	2018	86						256	276		10.1016/j.autcon.2017.11.009								WOS:000423889800020						
J	Tao, F; Cheng, JF; Qi, QL; Zhang, M; Zhang, H; Sui, FY				Tao, Fei; Cheng, Jiangfeng; Qi, Qinglin; Zhang, Meng; Zhang, He; Sui, Fangyuan			Digital twin-driven product design, manufacturing and service with big data	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY					12th International Conference on Frontiers of Design and Manufacturing (ICFDM)	AUG 10-12, 2016	Natl Nat Sci Fdn China, Shenyang, PEOPLES R CHINA	Shien Ming Wu Fdn USA	Natl Nat Sci Fdn China								Qi, Qinglin/N-3496-2018; Qi, Qinglin/AAP-2458-2020; Tao, Fei/F-8944-2012	Qi, Qinglin/0000-0002-3247-0440; Tao, Fei/0000-0002-9020-0633; Cheng, Jiangfeng/0000-0003-0386-3533												0268-3768	1433-3015				FEB	2018	94	9-12					3563	3576		10.1007/s00170-017-0233-1								WOS:000425592900043						
C	Jaribion, A; Khajavi, SH; Motlagh, NH; Holmstrom, J			IEEE	Jaribion, Alireza; Khajavi, Siavash H.; Motlagh, Naser Hossein; Holmstrom, Jan			A Novel Method for Big Data Analytics and Summarization based on Fuzzy Similarity Measure	2018 IEEE 11TH CONFERENCE ON SERVICE-ORIENTED COMPUTING AND APPLICATIONS (SOCA)	IEEE International Conference on Service-Oriented Computing and Applications				11th IEEE International Conference on Service-Oriented Computing and Applications (SOCA)	NOV 19-22, 2018	Paris, FRANCE	IEEE, IEEE Comp Soc, IEEE Comp Soc Tech Comm Business Informat & Syst									Motlagh, Naser Hossein/AAG-9568-2019; Jaribion, Alireza/AAN-6751-2020; Holmström, Jan B/E-7230-2012; Khajavi, Siavash Haghighat/H-5187-2018	Motlagh, Naser Hossein/0000-0001-9923-9879; Jaribion, Alireza/0000-0003-1916-1309; Holmström, Jan B/0000-0002-2596-0337; Khajavi, Siavash Haghighat/0000-0002-5166-4021												2163-2871		978-1-5386-9133-5				2018							221	226		10.1109/SOCA.2018.00039								WOS:000459210000030						
J	Qi, QL; Tao, F				Qi, Qinglin; Tao, Fei			Digital Twin and Big Data Towards Smart Manufacturing and Industry 4.0: 360 Degree Comparison	IEEE ACCESS																	Tao, Fei/F-8944-2012; Qi, Qinglin/AAP-2458-2020; Qi, Qinglin/N-3496-2018	Tao, Fei/0000-0002-9020-0633; Qi, Qinglin/0000-0002-3247-0440												2169-3536						2018	6						3585	3593		10.1109/ACCESS.2018.2793265								WOS:000426298500001						
