PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Derigent, W; Cardin, O; Trentesaux, D				Derigent, William; Cardin, Olivier; Trentesaux, Damien			Industry 4.0: contributions of holonic manufacturing control architectures and future challenges	JOURNAL OF INTELLIGENT MANUFACTURING																	trentesaux, damien/D-2791-2009; Cardin, Olivier/AAN-2869-2020	trentesaux, damien/0000-0003-2489-6203; Cardin, Olivier/0000-0002-9035-9660												0956-5515	1572-8145				OCT	2021	32	7			SI		1797	1818		10.1007/s10845-020-01532-x		JAN 2020						WOS:000508722500001						
C	Wan, H; David, M; Derigent, W		Borangiu, T; Trentesaux, D; Leitao, P; Boggino, AG; Botti, V		Wan, Hang; David, Michael; Derigent, William			A Holonic Manufacturing Approach Applied to Communicate Concrete: Concept and First Development	SERVICE ORIENTED, HOLONIC AND MULTI-AGENT MANUFACTURING SYSTEMS FOR INDUSTRY OF THE FUTURE	Studies in Computational Intelligence				9th International Workshop on Service Oriented, Holonic and Multi-Agent Manufacturing Systems for the Industry of the Future (SOHOMA)	OCT 03-04, 2019	Valencia, SPAIN	Univ Politecnica Valencia, Univ Politehnica Bucharest, CIMR Res Ctr Comp Integrated Mfg & Robot, Polytechn Univ Hauts France, LAMIH Lab Ind & Human Automat Control Mech Engn & Com Sci, Polytechn Inst Braganca, CeDRI Res Ctr Digitalizat & Intelligent Robot																						1860-949X	1860-9503	978-3-030-27477-1; 978-3-030-27476-4				2020	853						414	425		10.1007/978-3-030-27477-1_32								WOS:000620144800032						
J	Loubet, G; Takacs, A; Gardner, E; De Luca, A; Udrea, F; Dragomirescu, D				Loubet, Gael; Takacs, Alexandru; Gardner, Ethan; De Luca, Andrea; Udrea, Florin; Dragomirescu, Daniela			LoRaWAN Battery-Free Wireless Sensors Network Designed for Structural Health Monitoring in the Construction Domain	SENSORS																	De Luca, Andrea/W-2632-2017; Dragomirescu, Daniela/AAW-8678-2020	De Luca, Andrea/0000-0002-9481-4747; Dragomirescu, Daniela/0000-0001-8589-6093; Loubet, Gael/0000-0003-3347-0036; Gardner, Ethan/0000-0002-0990-0481												1424-8220					APR 1	2019	19	7							1510	10.3390/s19071510								WOS:000465570700029	30925754					
J	Basselot, V; Berger, T; Sallez, Y				Basselot, Vivien; Berger, Thierry; Sallez, Yves			Information chain modeling from product to stakeholder in the use phase - Application to diagnoses in railway transportation	MANUFACTURING LETTERS																		BERGER, Thierry/0000-0002-0861-4598												2213-8463					APR	2019	20						22	26		10.1016/j.mfglet.2019.03.001								WOS:000645111300005						
J	Theiler, M; Smarsly, K				Theiler, Michael; Smarsly, Kay			IFC Monitor - An IFC schema extension for modeling structural health monitoring systems	ADVANCED ENGINEERING INFORMATICS					24th EG-ICE International Workshop on Intelligent Computing in Engineering (EG-ICE)	JUL 10-12, 2017	Nottingham, ENGLAND	European Grp Intelligent Comp Engn																						1474-0346	1873-5320				AUG	2018	37						54	65		10.1016/j.aei.2018.04.011								WOS:000438320300005						
J	Loubet, G; Takacs, A; Dragomirescu, D				Loubet, Gael; Takacs, Alexandru; Dragomirescu, Daniela			Towards the Design of wireless Communicating Reinforced Concrete	IEEE ACCESS																	Dragomirescu, Daniela/AAW-8678-2020	Dragomirescu, Daniela/0000-0001-8589-6093; Loubet, Gael/0000-0003-3347-0036												2169-3536						2018	6						75002	75014		10.1109/ACCESS.2018.2883434								WOS:000454281600001						
J	Barroca, N; Borges, LM; Velez, FJ; Monteiro, F; Gorski, M; Castro-Gomes, J				Barroca, Norberto; Borges, Luis M.; Velez, Fernando J.; Monteiro, Filipe; Gorski, Marcin; Castro-Gomes, Joao			Wireless sensor networks for temperature and humidity monitoring within concrete structures	CONSTRUCTION AND BUILDING MATERIALS																	Górski, Marcin/E-4061-2013; Borges, Luís M. M./N-8869-2013; Castro-Gomes, João/F-8850-2010; da Silva Velez, Fernando José/N-7650-2013; Barroca, Norberto/B-7698-2012	Górski, Marcin/0000-0001-7028-924X; Borges, Luís M. M./0000-0002-6419-4807; Castro-Gomes, João/0000-0002-2694-5462; da Silva Velez, Fernando José/0000-0001-9680-123X; Barroca, Norberto/0000-0002-0157-9531												0950-0618	1879-0526				MAR	2013	40						1156	1166		10.1016/j.conbuildmat.2012.11.087								WOS:000316304800128						
J	Le Mortellec, A; Clarhaut, J; Sallez, Y; Berger, T; Trentesaux, D				Le Mortellec, Antoine; Clarhaut, Joffrey; Sallez, Yves; Berger, Thierry; Trentesaux, Damien			Embedded holonic fault diagnosis of complex transportation systems	ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE					4th International Conference on Industrial Engineering and Systems Management (IESM) - Innovative Approaches and Technologies for Networked Manufacturing Enterprises Management	MAY 25-27, 2011	Metz, FRANCE	Int Inst Innovat, Ind Engn & Entrepreneurship, ENIM, INRIA, Igipm, Conseil Gen Moselle, Metz Metropole, Univ Valenciennes Hainaut Cambresis, Lab Automatique Mecanique & Informatique Ind & Humaines, Thermique Ecoulement Mecanique Materiaux Mise Forme Prod, Gdr Macs, IBM, Innovat Prod Machines & Syst									trentesaux, damien/D-2791-2009	trentesaux, damien/0000-0003-2489-6203; BERGER, Thierry/0000-0002-0861-4598												0952-1976	1873-6769				JAN	2013	26	1					227	240		10.1016/j.engappai.2012.09.008								WOS:000313855000018						
J	Jiang, S; Georgakopoulos, SV				Jiang, Shan; Georgakopoulos, Stavros V.			Optimum Wireless Powering of Sensors Embedded in Concrete	IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION																	Georgakopoulos, Stavros/U-2845-2019													0018-926X	1558-2221				FEB	2012	60	2	2				1106	1113		10.1109/TAP.2011.2173147								WOS:000302720300043						
J	Li, N; Becerik-Gerber, B				Li, Nan; Becerik-Gerber, Burcin			Life-Cycle Approach for Implementing RFID Technology in Construction: Learning from Academic and Industry Use Cases	JOURNAL OF CONSTRUCTION ENGINEERING AND MANAGEMENT																	Li, Nan/W-4397-2017; Becerik-Gerber, Burcin/D-6897-2013	Li, Nan/0000-0002-7272-4273; Becerik-Gerber, Burcin/0000-0001-8648-0989												0733-9364	1943-7862				DEC	2011	137	12					1089	1098		10.1061/(ASCE)CO.1943-7862.0000376								WOS:000299133600008						
