PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Liu, SM; Lu, YQ; Li, J; Song, DQ; Sun, XM; Bao, JS				Liu, Shimin; Lu, Yuqian; Li, Jie; Song, Dengqiang; Sun, Xuemin; Bao, Jinsong			Multi-scale evolution mechanism and knowledge construction of a digital twin mimic model	ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING																	Lu, Yuqian/U-6820-2019	Lu, Yuqian/0000-0001-5954-0421												0736-5845	1879-2537				OCT	2021	71								102123	10.1016/j.rcim.2021.102123								WOS:000663337500002						
J	Gupta, R; Reebadiya, D; Tanwar, S				Gupta, Rajesh; Reebadiya, Dakshita; Tanwar, Sudeep			6G-enabled Edge Intelligence for Ultra -Reliable Low Latency Applications: Vision and Mission	COMPUTER STANDARDS & INTERFACES																	Tanwar, Sudeep/AAI-6709-2020; Gupta, Rajesh/AAC-8353-2020	Tanwar, Sudeep/0000-0002-1776-4651; Gupta, Rajesh/0000-0003-3298-4238												0920-5489	1872-7018				AUG	2021	77								103521	10.1016/j.csi.2021.103521								WOS:000652843800007						
J	Ritto, TG; Rochinha, FA				Ritto, T. G.; Rochinha, F. A.			Digital twin, physics-based model, and machine learning applied to damage detection in structures	MECHANICAL SYSTEMS AND SIGNAL PROCESSING																														0888-3270	1096-1216				JUN 16	2021	155								107614	10.1016/j.ymssp.2021.107614								WOS:000625388600006						
J	Jiang, ZM; Guo, YM; Wang, ZQ				Jiang, Zongmin; Guo, Yangming; Wang, Zhuqing			Digital twin to improve the virtual-real integration of industrial IoT	JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION																														2467-964X	2452-414X				JUN	2021	22								100196	10.1016/j.jii.2020.100196								WOS:000687861300009						
J	D'Amico, G; Szopik-Depczynska, K; Dembinska, I; Ioppolo, G				D'Amico, Gaspare; Szopik-Depczynska, Katarzyna; Dembinska, Izabela; Ioppolo, Giuseppe			Smart and sustainable logistics of Port cities: A framework for comprehending enabling factors, domains and goals	SUSTAINABLE CITIES AND SOCIETY																	Izabela, Dembińska/Q-7847-2016; Szopik-Depczynska, Katarzyna/AAZ-5033-2020	Izabela, Dembińska/0000-0001-7618-0018; Szopik-Depczynska, Katarzyna/0000-0002-3054-0660; D'Amico, Gaspare/0000-0002-9114-8961												2210-6707	2210-6715				JUN	2021	69								102801	10.1016/j.scs.2021.102801								WOS:000651405200008						
J	Huang, HY; Yang, L; Wang, YB; Xu, X; Lu, YQ				Huang, Huiyue; Yang, Lei; Wang, Yuanbin; Xu, Xun; Lu, Yuqian			Digital Twin-driven online anomaly detection for an automation system based on edge intelligence	JOURNAL OF MANUFACTURING SYSTEMS																	Lu, Yuqian/U-6820-2019; Xu, Xun William/K-7899-2015; Wang, Yuanbin/K-8359-2015	Lu, Yuqian/0000-0001-5954-0421; Xu, Xun William/0000-0001-6294-8153; Wang, Yuanbin/0000-0002-9988-6790												0278-6125	1878-6642				APR	2021	59						138	150		10.1016/j.jmsy.2021.02.010								WOS:000654630800004						
J	Mogensen, RS; Rodriguez, I; Schou, C; Mortensen, S; Sorensen, MS				Mogensen, Rasmus Suhr; Rodriguez, Ignacio; Schou, Casper; Mortensen, Steffen; Sorensen, Michael Sparre			Evaluation of the impact of wireless communication in production via factory digital twins	MANUFACTURING LETTERS																	Rodriguez Larrad, Ignacio/G-4599-2016; Schou, Casper/J-3357-2012	Rodriguez Larrad, Ignacio/0000-0001-9258-4194; Schou, Casper/0000-0001-7831-311X												2213-8463					APR	2021	28						1	5		10.1016/j.mfglet.2021.01.006								WOS:000659425100001						
J	Ivars-Baidal, JA; Celdran-Bernabeu, MA; Femenia-Serra, F; Perles-Ribes, JF; Giner-Sanchez, D				Ivars-Baidal, Josep A.; Celdran-Bernabeu, Marco A.; Femenia-Serra, Francisco; Perles-Ribes, Jose F.; Giner-Sanchez, David			Measuring the progress of smart destinations: The use of indicators as a management tool	JOURNAL OF DESTINATION MARKETING & MANAGEMENT																	Femenia-Serra, Francisco/T-4571-2017	Femenia-Serra, Francisco/0000-0003-3829-6196												2212-571X	2212-5752				MAR	2021	19								100531	10.1016/j.jdmm.2020.100531								WOS:000634266200003						
J	Coelho, F; Relvas, S; Barbosa-Povoa, AP				Coelho, F.; Relvas, S.; Barbosa-Povoa, A. P.			Simulation-based decision support tool for in-house logistics: the basis for a digital twin	COMPUTERS & INDUSTRIAL ENGINEERING																	; Relvas, Susana/D-7556-2011; Barbosa-Povoa, Ana/A-8578-2012	Coelho, Fabio/0000-0002-7276-2413; Relvas, Susana/0000-0003-3043-6086; Barbosa-Povoa, Ana/0000-0001-6594-9653												0360-8352	1879-0550				MAR	2021	153								107094	10.1016/j.cie.2020.107094								WOS:000632961600035						
J	White, G; Zink, A; Codeca, L; Clarke, S				White, Gary; Zink, Anna; Codeca, Lara; Clarke, Siobhan			A digital twin smart city for citizen feedback	CITIES																														0264-2751	1873-6084				MAR	2021	110								103064	10.1016/j.cities.2020.103064								WOS:000618544100001						
J	Lin, TY; Shi, GQ; Yang, C; Zhang, YX; Wang, JZ; Jia, ZX; Guo, LQ; Xiao, YY; Wei, ZQ; Lan, SL				Lin, Ting Yu; Shi, Guoqiang; Yang, Chen; Zhang, Yingxi; Wang, Jiezhang; Jia, Zhengxuan; Guo, Liqin; Xiao, Yingying; Wei, Zhiqiang; Lan, Shulin			Efficient container virtualization-based digital twin simulation of smart industrial systems	JOURNAL OF CLEANER PRODUCTION																														0959-6526	1879-1786				JAN 25	2021	281								124443	10.1016/j.jclepro.2020.124443								WOS:000609019300016						
J	He, B; Cao, XY; Hua, YC				He, Bin; Cao, Xiaoyang; Hua, Yicheng			Data fusion-based sustainable digital twin system of intelligent detection robotics	JOURNAL OF CLEANER PRODUCTION																														0959-6526	1879-1786				JAN 20	2021	280		1						124181	10.1016/j.jclepro.2020.124181								WOS:000609017600002						
J	Qi, QL; Tao, F; Hu, TL; Anwer, N; Liu, A; Wei, YL; Wang, LH; Nee, AYC				Qi, Qinglin; Tao, Fei; Hu, Tianliang; Anwer, Nabil; Liu, Ang; Wei, Yongli; Wang, Lihui; Nee, A. Y. C.			Enabling technologies and tools for digital twin	JOURNAL OF MANUFACTURING SYSTEMS																	anwer, nabil/AAG-3942-2019; ANWER, NABIL/C-8538-2015; Qi, Qinglin/N-3496-2018; Wang, Lihui/O-3907-2014	anwer, nabil/0000-0002-0771-4685; ANWER, NABIL/0000-0002-0771-4685; Qi, Qinglin/0000-0002-3247-0440; Wang, Lihui/0000-0001-8679-8049												0278-6125	1878-6642				JAN	2021	58		B		SI		3	21		10.1016/j.jmsy.2019.10.001								WOS:000631746800002						
J	Gregorio, JL; Lartigue, C; Thiebaut, F; Lebrun, R				Gregorio, Jean-Loup; Lartigue, Claire; Thiebaut, Francois; Lebrun, Regis			A digital twin-based approach for the management of geometrical deviations during assembly processes	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		B		SI		108	117		10.1016/j.jmsy.2020.04.020								WOS:000625561200001						
J	Glatt, M; Sinnwell, C; Yi, L; Donohoe, S; Ravani, B; Aurich, JC				Glatt, Moritz; Sinnwell, Chantal; Yi, Li; Donohoe, Sean; Ravani, Bahram; Aurich, Jan C.			Modeling and implementation of a digital twin of material flows based on physics simulation	JOURNAL OF MANUFACTURING SYSTEMS																	Aurich, Jan C/M-7546-2017	Aurich, Jan C/0000-0001-7063-9334												0278-6125	1878-6642				JAN	2021	58		B				231	245		10.1016/j.jmsy.2020.04.015								WOS:000625561000002						
J	Wang, XZ; Wang, YC; Tao, F; Liu, A				Wang, Xingzhi; Wang, Yuchen; Tao, Fei; Liu, Ang			New Paradigm of Data-Driven Smart Customisation through Digital Twin	JOURNAL OF MANUFACTURING SYSTEMS																	Naqvi, Fia/AAP-6270-2021	Wang, Xingzhi/0000-0002-6951-7425; Wang, Yuchen/0000-0001-8384-1742												0278-6125	1878-6642				JAN	2021	58		B				270	280		10.1016/j.jmsy.2020.07.023								WOS:000625561000004						
J	Kong, TX; Hu, TL; Zhou, TT; Ye, YX				Kong, Tianxiang; Hu, Tianliang; Zhou, Tingting; Ye, Yingxin			Data Construction Method for the Applications of Workshop Digital Twin System	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		B		SI		323	328		10.1016/j.jmsy.2020.02.003								WOS:000631736100003						
J	Wang, P; Luo, M				Wang, Pei; Luo, Ming			A digital twin-based big data virtual and real fusion learning reference framework supported by industrial internet towards smart manufacturing	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		A				16	32		10.1016/j.jmsy.2020.11.012								WOS:000647703700002						
J	Zhuang, CB; Gong, JC; Liu, JH				Zhuang, Cunbo; Gong, Jingcheng; Liu, Jianhua			Digital twin-based assembly data management and process traceability for complex products	JOURNAL OF MANUFACTURING SYSTEMS																														0278-6125	1878-6642				JAN	2021	58		B		SI		118	131		10.1016/j.jmsy.2020.05.011								WOS:000631726000001						
C	Barbieri, G; Gutierrez, DA		Longo, F; Affenzeller, M; Padovano, A		Barbieri, Giacomo; Gutierrez, David Andres			A GEMMA-GRAFCET Methodology to enable Digital Twin based on Real-Time Coupling	PROCEEDINGS OF THE 2ND INTERNATIONAL CONFERENCE ON INDUSTRY 4.0 AND SMART MANUFACTURING (ISM 2020)	Procedia Computer Science				2nd International Conference on Industry 4.0 and Smart Manufacturing (ISM)	NOV 23-25, 2020	ELECTR NETWORK											Barbieri, Giacomo/0000-0002-7051-2875												1877-0509						2021	180						13	23		10.1016/j.procs.2021.01.122								WOS:000655006800002						
J	Tao, F; Anwer, N; Liu, A; Wang, LH; Nee, AYC; Li, LM; Zhang, M				Tao, Fei; Anwer, Nabil; Liu, Ang; Wang, Lihui; Nee, Andrew Y. C.; Li, Liming; Zhang, Meng			Digital twin towards smart manufacturing and industr y 4.0	JOURNAL OF MANUFACTURING SYSTEMS																	anwer, nabil/AAG-3942-2019; Wang, Lihui/O-3907-2014; ANWER, NABIL/C-8538-2015	anwer, nabil/0000-0002-0771-4685; Wang, Lihui/0000-0001-8679-8049; ANWER, NABIL/0000-0002-0771-4685												0278-6125	1878-6642				JAN	2021	58		B		SI		1	2		10.1016/j.jmsy.2020.12.005								WOS:000631746800001						
J	Darko, A; Chan, APC; Yang, Y; Tetteh, MO				Darko, Amos; Chan, Albert P. C.; Yang, Yang; Tetteh, Mershack O.			Building information modeling (BIM)-based modular integrated construction risk management-Critical survey and future needs	COMPUTERS IN INDUSTRY																	Chan, Albert/I-4650-2012; Darko, Amos/C-4721-2018	Chan, Albert/0000-0002-4853-6440; Darko, Amos/0000-0002-7978-6039; Yang, Yang/0000-0002-3648-6001												0166-3615	1872-6194				DEC	2020	123								103327	10.1016/j.compind.2020.103327								WOS:000663832400010						
J	Rudin, RS; Fischer, SH; Damberg, CL; Shi, YF; Shekelle, PG; Xenakis, L; Khodyakov, D; Ridgely, MS				Rudin, Robert S.; Fischer, Shira H.; Damberg, Cheryl L.; Shi, Yunfeng; Shekelle, Paul G.; Xenakis, Lea; Khodyakov, Dmitry; Ridgely, M. Susan			Optimizing health IT to improve health system performance: A work in progress	HEALTHCARE-THE JOURNAL OF DELIVERY SCIENCE AND INNOVATION																	Fischer, Shira/ABC-4293-2021	Fischer, Shira/0000-0002-1124-4962; Ridgely, Marjorie/0000-0003-1113-6168												2213-0764	2213-0772				DEC	2020	8	4							100483	10.1016/j.hjdsi.2020.100483								WOS:000591980800007	33068915					
J	Alamoush, AS; Ballini, F; Olcer, AI				Alamoush, Anas S.; Ballini, Fabio; Olcer, Aykut, I			Ports' technical and operational measures to reduce greenhouse gas emission and improve energy efficiency: A review	MARINE POLLUTION BULLETIN																	Almoush, Anas S./AAW-3606-2021	Almoush, Anas S./0000-0002-6186-1192												0025-326X	1879-3363				NOV	2020	160								111508	10.1016/j.marpolbul.2020.111508								WOS:000626134600001	32798921					
J	Goel, P; Jain, P; Pasman, HJ; Pistikopoulos, EN; Datta, A				Goel, Pankaj; Jain, Prerna; Pasman, Hans J.; Pistikopoulos, E. N.; Datta, Aniruddha			Integration of data analytics with cloud services for safer process systems, application examples and implementation challenges	JOURNAL OF LOSS PREVENTION IN THE PROCESS INDUSTRIES																		Pasman, Hans/0000-0003-3036-3841												0950-4230	1873-3352				NOV	2020	68								104316	10.1016/j.jlp.2020.104316								WOS:000600435300008						
J	Al Dakheel, J; Del Pero, C; Aste, N; Leonforte, F				Al Dakheel, Joud; Del Pero, Claudio; Aste, Niccolo; Leonforte, Fabrizio			Smart buildings features and key performance indicators: A review	SUSTAINABLE CITIES AND SOCIETY																		Al Dakheel, Joud/0000-0002-6443-3978; Aste, Niccolo/0000-0002-0494-985X												2210-6707	2210-6715				OCT	2020	61								102328	10.1016/j.scs.2020.102328								WOS:000573586700005						
J	Martino, M; Magnotti, F; Morvillo, A				De Martino, Marcella; Magnotti, Fabio; Morvillo, Alfonso			Port governance and value creation in the supply chain: The case of Italian ports	CASE STUDIES ON TRANSPORT POLICY																	Morvillo, Alfonso/AAX-8119-2020; De Martino, Marcella/H-6397-2015; De Martino, Marcella/K-4113-2019	De Martino, Marcella/0000-0001-5789-5800; De Martino, Marcella/0000-0001-5789-5800; MORVILLO, ALFONSO/0000-0002-4420-3710												2213-624X	2213-6258				JUN	2020	8	2					373	382		10.1016/j.cstp.2019.10.004								WOS:000537700500011						
J	He, B; Bai, KJ				He, Bin; Bai, Kai-Jian			Digital twin-based sustainable intelligent manufacturing: a review	ADVANCES IN MANUFACTURING																														2095-3127	2195-3597				MAR	2021	9	1			SI		1	21		10.1007/s40436-020-00302-5		MAY 2020						WOS:000530254900001						
J	Jones, D; Snider, C; Nassehi, A; Yon, J; Hicks, B				Jones, David; Snider, Chris; Nassehi, Aydin; Yon, Jason; Hicks, Ben			Characterising the Digital Twin: A systematic literature review	CIRP JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY																	Snider, Chris/AAR-6791-2020; Nassehi, Aydin/C-6810-2008	Snider, Chris/0000-0003-2692-110X; Hicks, Ben/0000-0001-8294-4694; Jones, David/0000-0002-6209-2698; Nassehi, Aydin/0000-0003-3417-3391; Yon, Jason/0000-0002-9384-4311												1755-5817					MAY	2020	29		A				36	52		10.1016/j.cirpj.2020.02.002								WOS:000540340800004						
J	Akhlaghi, YG; Badiei, A; Zhao, XD; Aslansefat, K; Xiao, X; Shittu, S; Ma, XL				Akhlaghi, Yousef Golizadeh; Badiei, Ali; Zhao, Xudong; Aslansefat, Koorosh; Xiao, Xin; Shittu, Samson; Ma, Xiaoli			A constraint multi-objective evolutionary optimization of a state-of-the-art dew point cooler using digital twins	ENERGY CONVERSION AND MANAGEMENT																	Zhao, Xudong/AAY-4833-2020; Shittu, Samson/AAE-8353-2019; Aslansefat, Koorosh/T-7792-2018	Zhao, Xudong/0000-0002-6521-7054; Shittu, Samson/0000-0002-4190-2663; Aslansefat, Koorosh/0000-0001-9318-8177; Badiei, Ali/0000-0002-2103-2955												0196-8904	1879-2227				MAY 1	2020	211								112772	10.1016/j.enconman.2020.112772								WOS:000530067800029						
J	Shirowzhan, S; Tan, W; Sepasgozar, SME				Shirowzhan, Sara; Tan, Willie; Sepasgozar, Samad M. E.			Digital Twin and CyberGIS for Improving Connectivity and Measuring the Impact of Infrastructure Construction Planning in Smart Cities	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																	Tan, Willie CK/H-4959-2018	Tan, Willie CK/0000-0001-9481-4862; M. E. Sepasgozar, Samad/0000-0003-2568-3111; Shirowzhan, Sara/0000-0003-1511-3617													2220-9964				APR	2020	9	4							240	10.3390/ijgi9040240								WOS:000539535700055						
J	Shao, GD; Helu, M				Shao, Guodong; Helu, Moneer			Framework for a digital twin in manufacturing: Scope and requirements	MANUFACTURING LETTERS																														2213-8463					APR	2020	24						105	107		10.1016/j.mfglet.2020.04.004								WOS:000645121700023	32832379					
J	Akbarieh, A; Jayasinghe, LB; Waldmann, D; Teferle, FN				Akbarieh, Arghavan; Jayasinghe, Laddu Bhagya; Waldmann, Daniele; Teferle, Felix Norman			BIM-Based End-of-Lifecycle Decision Making and Digital Deconstruction: Literature Review	SUSTAINABILITY																	Waldmann, Daniele/E-4016-2017	Waldmann, Daniele/0000-0002-8345-0474; Jayasinghe, Bhagya/0000-0003-3705-0653; Teferle, Felix Norman/0000-0002-9132-3571; Akbarieh, Arghavan/0000-0001-6422-6779													2071-1050				APR	2020	12	7							2670	10.3390/su12072670								WOS:000531558100095						
J	Cheng, J; Zhang, H; Tao, F; Juang, CF				Cheng, Jiangfeng; Zhang, He; Tao, Fei; Juang, Chia-Feng			DT-II:Digital twin enhanced Industrial Internet reference framework towards smart manufacturing	ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING																	Tao, Fei/F-8944-2012	Tao, Fei/0000-0002-9020-0633												0736-5845	1879-2537				APR	2020	62								101881	10.1016/j.rcim.2019.101881								WOS:000501405400007						
C	Breda, G; Kiss, M		Moldovan, L; Gligor, A		Breda, Gabor; Kiss, Miklos			Overview of Information Security Standards in the Field of Special Protected Industry 4.0 Areas & Industrial Security	13TH INTERNATIONAL CONFERENCE INTERDISCIPLINARITY IN ENGINEERING (INTER-ENG 2019)	Procedia Manufacturing				13th International Conference on Interdisciplinarity in Engineering (INTER-ENG)	OCT 03-04, 2019	Targu Mures, ROMANIA																							2351-9789						2020	46						580	590		10.1016/j.promfg.2020.03.084								WOS:000582466200083						
J	Olba, XB; Daamen, W; Vellinga, T; Hoogendoorn, SP				Olba, Xavier Bellsola; Daamen, Winnie; Vellinga, Tiedo; Hoogendoorn, Serge P.			Multi-criteria evaluation of vessel traffic for port assessment: A case study of the Port of Rotterdam	CASE STUDIES ON TRANSPORT POLICY																														2213-624X	2213-6258				DEC	2019	7	4					871	881		10.1016/j.cstp.2019.07.005								WOS:000497357500019						
J	Arrichiello, V; Gualeni, P				Arrichiello, Vincenzo; Gualeni, Paola			Systems engineering and digital twin: a vision for the future of cruise ships design, production and operations	INTERNATIONAL JOURNAL OF INTERACTIVE DESIGN AND MANUFACTURING - IJIDEM																	GUALENI, PAOLA/AAD-2939-2021	GUALENI, PAOLA/0000-0002-6321-1855												1955-2513	1955-2505				MAR	2020	14	1					115	122		10.1007/s12008-019-00621-3		OCT 2019						WOS:000490821600001						
J	Heaton, J; Parlikad, AK; Schooling, J				Heaton, James; Parlikad, Ajith Kumar; Schooling, Jennifer			Design and development of BIM models to support operations and maintenance	COMPUTERS IN INDUSTRY																	Parlikad, Ajith Kumar/A-5269-2010	Parlikad, Ajith Kumar/0000-0001-6214-1739												0166-3615	1872-6194				OCT	2019	111						172	186		10.1016/j.compind.2019.08.001								WOS:000488306300012						
J	Caputo, F; Greco, A; Fera, M; Macchiaroli, R				Caputo, F.; Greco, A.; Fera, M.; Macchiaroli, R.			Digital twins to enhance the integration of ergonomics in the workplace design	INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS																	Macchiaroli, Roberto/AAS-2112-2021	Macchiaroli, Roberto/0000-0001-6260-676X; Greco, Alessandro/0000-0002-5856-5704; Caputo, Francesco/0000-0002-5969-7696; Fera, Marcello/0000-0002-3418-355X												0169-8141	1872-8219				MAY	2019	71						20	31		10.1016/j.ergon.2019.02.001								WOS:000466999800005						
J	Shvedenko, VN; Volkov, AA				Shvedenko, V. N.; Volkov, A. A.			A Method for Digital Twin Generation Based on the Aggregation of Information Objects	AUTOMATIC DOCUMENTATION AND MATHEMATICAL LINGUISTICS																	Shvedenko, Vladimir/AAM-5482-2020													0005-1055	1934-8371				MAY	2019	53	3					122	126		10.3103/S0005105519030038								WOS:000482919700003						
