Authors,Title,Year,Source title,Cited by,Link,Abstract,Document Type,Publication Stage,Source,EID
"Agarwal R., Chandrasekaran S., Sridhar M.","Imagining construction's digital future",2016,"Imagining Construction's Digital Future",105,,[No abstract available],,"Final",Scopus,2-s2.0-85046129011
"Bew M.",[No title available],2015,"Digital Built Britain, Level 3 Building Information Modelling - Strategic Plan",53,,[No abstract available],,"Final",Scopus,2-s2.0-84959240119
"Institute L.",[No title available],2016,"BIM for Landscape",7,,[No abstract available],,"Final",Scopus,2-s2.0-85044869062
"Wujic T.",[No title available],2017,"The Future of Making. Autodesk, Melcher Media",1,,[No abstract available],,"Final",Scopus,2-s2.0-85102729717
