PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Cao, T; Lian, ZW; Du, H; Miyazaki, R; Bao, JK				Cao, Ting; Lian, Zhiwei; Du, Heng; Miyazaki, Ryota; Bao, Jianke			Differences in environmental perception of gender and sleep quality in self-regulating sleep thermal environment	INDOOR AND BUILT ENVIRONMENT																														1420-326X	1423-0070				NOV	2021	30	9					1568	1579		10.1177/1420326X20961812		OCT 2020						WOS:000581886600001						
J	Tartarini, F; Schiavon, S; Cheung, T; Hoyt, T				Tartarini, Federico; Schiavon, Stefano; Cheung, Toby; Hoyt, Tyler			CBE Thermal Comfort Tool: Online tool for thermal comfort calculations and visualizations	SOFTWAREX																	Tartarini, Federico/ABF-9563-2021	Tartarini, Federico/0000-0002-8739-5062												2352-7110					JUL-DEC	2020	12								100563	10.1016/j.softx.2020.100563								WOS:000600676600030						
J	Ngarambe, J; Yun, GY; Santamouris, M				Ngarambe, Jack; Yun, Geun Young; Santamouris, Mat			The use of artificial intelligence (AI) methods in the prediction of thermal comfort in buildings: energy implications of AI-based thermal comfort controls	ENERGY AND BUILDINGS																	Mat, Santamouris/AAP-2836-2021; Yun, Geun Young/C-3843-2012	Yun, Geun Young/0000-0002-9868-8776												0378-7788	1872-6178				MAR 15	2020	211								109807	10.1016/j.enbuild.2020.109807								WOS:000531464500004						
J	Li, D; Menassa, CC; Kamat, VR				Li, Da; Menassa, Carol C.; Kamat, Vineet R.			Robust non-intrusive interpretation of occupant thermal comfort in built environments with low-cost networked thermal cameras	APPLIED ENERGY																		Kamat, Vineet/0000-0003-0788-5588												0306-2619	1872-9118				OCT 1	2019	251								113336	10.1016/j.apenergy.2019.113336								WOS:000497966300049						
J	Ma, GF; Liu, Y; Shang, SS				Ma, Guofeng; Liu, Ying; Shang, Shanshan			A Building Information Model (BIM) and Artificial Neural Network (ANN) Based System for Personal Thermal Comfort Evaluation and Energy Efficient Design of Interior Space	SUSTAINABILITY																															2071-1050				SEP	2019	11	18							4972	10.3390/su11184972								WOS:000489104700158						
J	Wang, Z; Yu, H; Luo, MH; Wang, Z; Zhang, H; Jiao, Y				Wang, Zi; Yu, Hang; Luo, Maohui; Wang, Zhe; Zhang, Hui; Jiao, Yu			Predicting older people's thermal sensation in building environment through a machine learning approach: Modelling, interpretation, and application	BUILDING AND ENVIRONMENT																	Luo, Maohui/ABD-9556-2020; Yu, Jiao/AAE-4108-2020	Wang, Zhe/0000-0002-2231-1606; Luo, Maohui/0000-0002-5107-6940												0360-1323	1873-684X				AUG 15	2019	161								106231	10.1016/j.buildenv.2019.106231								WOS:000476711100020						
J	Aryal, A; Becerik-Gerber, B				Aryal, Ashrant; Becerik-Gerber, Burcin			A comparative study of predicting individual thermal sensation and satisfaction using wrist-worn temperature sensor, thermal camera and ambient temperature sensor	BUILDING AND ENVIRONMENT																	Aryal, Ashrant/AAT-8298-2020; Becerik-Gerber, Burcin/D-6897-2013	Aryal, Ashrant/0000-0003-4610-1539; Becerik-Gerber, Burcin/0000-0001-8648-0989												0360-1323	1873-684X				AUG	2019	160								106223	10.1016/j.buildenv.2019.106223								WOS:000474204100001						
J	Cosma, AC; Simha, R				Cosma, Andrei Claudiu; Simha, Rahul			Using the contrast within a single face heat map to assess personal thermal comfort	BUILDING AND ENVIRONMENT																	Cosma, Andrei Claudiu/Q-4223-2017													0360-1323	1873-684X				AUG	2019	160								106163	10.1016/j.buildenv.2019.106163								WOS:000474204100057						
J	Mikkilineni, AK; Dong, J; Kuruganti, T; Fugate, D				Mikkilineni, Aravind K.; Dong, Jin; Kuruganti, Teja; Fugate, David			A novel occupancy detection solution using low-power IR-FPA based wireless occupancy sensor	ENERGY AND BUILDINGS																	Dong, Jin/AAY-7777-2021	DONG, JIN/0000-0002-5753-1588												0378-7788	1872-6178				JUN 1	2019	192						63	74		10.1016/j.enbuild.2019.03.022								WOS:000466829300005						
J	Sels, S; Verspeek, S; Ribbens, B; Bogaerts, B; Vanlanduit, S; Penne, R; Steenackers, G				Sels, Seppe; Verspeek, Simon; Ribbens, Bart; Bogaerts, Boris; Vanlanduit, Steve; Penne, Rudi; Steenackers, Gunther			A CAD matching method for 3D thermography of complex objects	INFRARED PHYSICS & TECHNOLOGY																														1350-4495	1879-0275				JUN	2019	99						152	157		10.1016/j.infrared.2019.04.014								WOS:000470940200018						
