PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Nieto-Julian, JE; Anton, D; Moyano, JJ				Nieto-Julian, Juan Enrique; Anton, Daniel; Moyano, Juan Jose			Implementation and Management of Structural Deformations into Historic Building Information Models	INTERNATIONAL JOURNAL OF ARCHITECTURAL HERITAGE																	Antón, Daniel/F-5206-2015; Campos, Juan José JJ Moyano/G-4579-2015; JULIAN, ENRIQUE NIETO/ABB-9380-2020	Antón, Daniel/0000-0002-4267-2433; Campos, Juan José JJ Moyano/0000-0002-2186-6159; JULIAN, ENRIQUE NIETO/0000-0002-1413-3811												1558-3058	1558-3066				OCT 20	2020	14	9					1384	1397		10.1080/15583058.2019.1610523								WOS:000570237700008						
C	Banfi, F		Brumana, R; Pracchi, V; Rinaudo, F; Grimoldi, A; Scaioni, M; Previtali, M; Cantini, L		Banfi, F.			THE INTEGRATION OF A SCAN-TO-HBIM PROCESS IN BIM APPLICATION: THE DEVELOPMENT OF AN ADD-IN TO GUIDE USERS IN AUTODESK REVIT	2ND INTERNATIONAL CONFERENCE OF GEOMATICS AND RESTORATION (GEORES 2019)	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				2nd International Conference of Geomatics and Restoration (GEORES)	MAY 08-10, 2019	Milan, ITALY	Carleton Univ, Carleton Immers Media Studio, Microgeo Srl, GEOMAX Srl, STONEX Srl										banfi, fabrizio/0000-0002-5193-0043												1682-1750	2194-9034					2019	42-2	W11					141	148		10.5194/isprs-archives-XLII-2-W11-141-2019								WOS:000568508700022						
C	Khalil, A; Stravoravdis, S		Brumana, R; Pracchi, V; Rinaudo, F; Grimoldi, A; Scaioni, M; Previtali, M; Cantini, L		Khalil, A.; Stravoravdis, S.			H-BIM AND THE DOMAINS OF DATA INVESTIGATIONS OF HERITAGE BUILDINGS CURRENT STATE OF THE ART	2ND INTERNATIONAL CONFERENCE OF GEOMATICS AND RESTORATION (GEORES 2019)	International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences				2nd International Conference of Geomatics and Restoration (GEORES)	MAY 08-10, 2019	Milan, ITALY	Carleton Univ, Carleton Immers Media Studio, Microgeo Srl, GEOMAX Srl, STONEX Srl									Stravoravdis, Spyros/AAD-9272-2021	Stravoravdis, Spyros/0000-0001-6122-8701; Khalil, Ahmed/0000-0003-2078-7122												1682-1750	2194-9034					2019	42-2	W11					661	667		10.5194/isprs-archives-XLII-2-W11-661-2019								WOS:000568508700091						
J	Brumana, R; Condoleo, P; Grimoldi, A; Banfi, F; Landi, AG; Previtali, M				Brumana, Raffaella; Condoleo, Paola; Grimoldi, Alberto; Banfi, Fabrizio; Landi, Angelo Giuseppe; Previtali, Mattia			HR LOD based HBIM to detect influences on geometry and shape by stereotomic construction techniques of brick vaults	APPLIED GEOMATICS																		banfi, fabrizio/0000-0002-5193-0043												1866-9298	1866-928X				DEC	2018	10	4			SI		529	543		10.1007/s12518-018-0209-3								WOS:000449933600018						
J	Stober, D; Zarnic, R; Penava, D; Podmanicki, MT; Virgej-Durasevic, R				Stober, Dina; Zarnic, Roko; Penava, Davorin; Podmanicki, Margareta Turkalj; Virgej-Durasevic, Romana			Application of HBIM as a Research Tool for Historical Building Assessment	CIVIL ENGINEERING JOURNAL-TEHRAN																														2476-3055					JUL	2018	4	7					1565	1574		10.28991/cej-0309195								WOS:000441344400009						
J	Garreton, JAY; Colombo, EM; Pattini, AE				Yamin Garreton, Julieta Alejandra; Margarita Colombo, Elisa; Elvira Pattini, Andrea			A global evaluation of discomfort glare metrics in real office spaces with presence of direct sunlight	ENERGY AND BUILDINGS																		Pattini, Andrea Elvira/0000-0001-6305-1268; Yamin Garreton, Julieta/0000-0001-9322-2902												0378-7788	1872-6178				MAY 1	2018	166						145	153		10.1016/j.enbuild.2018.01.024								WOS:000429757600011						
J	Jordan-Palomar, I; Tzortzopoulos, P; Garcia-Valldecabres, J; Pellicer, E				Jordan-Palomar, Isabel; Tzortzopoulos, Patricia; Garcia-Valldecabres, Jorge; Pellicer, Eugenio			Protocol to Manage Heritage-Building Interventions Using Heritage Building Information Modelling (HBIM)	SUSTAINABILITY																	Tzortzopoulos, Patricia/AAA-5749-2019; Pellicer, Eugenio/B-5593-2012	Tzortzopoulos, Patricia/0000-0002-8740-6753; Pellicer, Eugenio/0000-0001-9100-0644; Jordan, Isabel/0000-0002-3900-0230												2071-1050					APR	2018	10	4							908	10.3390/su10030908								WOS:000435188000012						
J	Osello, A; Lucibello, G; Morgagni, F				Osello, Anna; Lucibello, Greta; Morgagni, Francesco			HBIM and Virtual Tools: A New Chance to Preserve Architectural Heritage	BUILDINGS																		Lucibello, Greta/0000-0001-7634-9530													2075-5309				JAN	2018	8	1							12	10.3390/buildings8010012								WOS:000424097900011						
J	Arayici, Y; Fernando, T; Munoz, V; Bassanino, M				Arayici, Yusuf; Fernando, Terrence; Munoz, Victor; Bassanino, May			Interoperability specification development for integrated BIM use in performance based design	AUTOMATION IN CONSTRUCTION																	Arayici, Yusuf/M-1658-2017	Arayici, Yusuf/0000-0001-5705-2272												0926-5805	1872-7891				JAN	2018	85						167	181		10.1016/j.autcon.2017.10.018								WOS:000424071900013						
J	Habibi, S				Habibi, Shahryar			The promise of BIM for improving building performance	ENERGY AND BUILDINGS																	Bagga, Ankit/AAG-8019-2021; habibi, shahryar/B-2993-2017	habibi, shahryar/0000-0002-1683-8970												0378-7788	1872-6178				OCT 15	2017	153						525	548		10.1016/j.enbuild.2017.08.009								WOS:000412959600043						
J	Acierno, M; Cursi, S; Simeone, D; Fiorani, D				Acierno, Marta; Cursi, Stefano; Simeone, Davide; Fiorani, Donatella			Architectural heritage knowledge modelling: An ontology- based framework for conservation process	JOURNAL OF CULTURAL HERITAGE																	Cursi, Stefano/AAL-3154-2020	Cursi, Stefano/0000-0002-8499-1459												1296-2074	1778-3674				MAR-APR	2017	24						124	133		10.1016/j.culher.2016.09.010								WOS:000397948300016						
